,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,5gcsK1ovNSUroFw1LXptZA,Mike D.,4.0 star rating,"Ordered delivery and was VERY impressed!! We ordered 3 gyro sandwiches which were delicious, even my husband liked them and he is hard to please when to comes to Greek food!The spinach pies were still warm and crispy not soggy at all, my mother and I thought it was fantastic! My mom got the Lemmon soup which she said was delicious and the FF were really good too!!Also would like to mention delivery was sent in a reasonable time (about an hour) for a Sunday night in Hoboken which is not bad but the impressive part was that everything was still hot and NOT soggy!! Well, FF were soggy but it's almost impossible to keep them crunchy when your getting delivery, I expected that and was totally fine with it! This is the first time I'm ordering from them which is why I only gave 4 starts but if we keep getting service like this we I will def increase to 5 stars!!",Greektown,4.0 star rating,$$,"Greek,, Salad"
1,FlfSk0U1jPu9fuFvT8wRFw,Prem S.,2.0 star rating,"My go-to is ""It's Greek to Me"" in Hoboken. This place get's better reviews so decided to give it a go. Ordered gyro sandwich and sautéed broccoli side and wife ordered Greek salad. My sandwich was very blah and the broccoli was so under cooked, couldn't eat it. They also didn't provide any tzatziki sauce side. Only giving it 2 stars because wife said her salad was decent.It's Greek to Me is def better and they give you extra tzatziki sauce for free and their sauce/meat tastes way better.Will not be ordering from here again.",Greektown,4.0 star rating,$$,"Greek,, Salad"
2,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,From one greek to another... this is a very average greek place... the gyro meat was dry and bland. It looks like they have cut it from the circular mound of meat and let it sit out. The tzatziki is ok but nothing special. It has a lot of garlic in it.  The chicken gyro was better but still not up to par with some of the better greek food i have had.We also ordered the greek salad which was not bad.  I tried this place on 2 occasions and both were below par. Your best bet is to go to astoria/manhattan to get your greek fix.,Greektown,4.0 star rating,$$,"Greek,, Salad"
3,p1gQXnFigc_joKzHPcl9Ng,Enya L.,4.0 star rating,"We got the lamb pita platter and the grilled octopus appetizer. When you're reading the menu you're like why is the platter close to double the price... but the portions are huge! The two of us were full off 1 main and 1 app. The lamb pita platter came with salad and rice (or fries). The lamb comes on skewers. It was pretty good. The grilled octopus was what made the meal. It was so delicious. It was tender, juicy, and smoky. We loved the fresh tomato mix it came with. It really completed the dish.",Greektown,4.0 star rating,$$,"Greek,, Salad"
4,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,3.0 star rating,"I've been meaning to go to this restaurant for awhile now, and finally was craving Greek tonight. My boyfriend and I went around 8 p.m. and was offered outdoor or indoor seating. The food overall was above average than other Greek place I've been to. I ordered the SHRIMP PITA and my boyfriend got the YEERO PLATTER with side of french fries. The platter also comes with a Greek side salad. The meat was pretty juicy and just the right amount of greasy. The shrimp pita was delicious and they didn't skimp out on the shrimp. The place is BYOB, which is pretty nice -- there's a wine & liquor store right across the street. Now, about the service...it was not great at all. There weren't that many customers, but all the empty tables were still dirty from previous customers. We had to wait to be given menus, water, and silverware (even after we had gotten our meals). We had to ask twice for wine glasses, and the servers just seemed a bit frantic. I think I'm going to just order pick-up next time, tbh.",Greektown,4.0 star rating,$$,"Greek,, Salad"
5,5FW6iNXiPLxfi6SkYCuWSw,I D.,5.0 star rating,"Finally a good Greek restaurant in Hoboken! The food is fantastic, the service is great...I've been tons of times and it has never disappointment. Highly recommend!",Greektown,4.0 star rating,$$,"Greek,, Salad"
6,LRdfJxf3cCiASukNmnvTiw,Seth O.,5.0 star rating,Living in the city I have the chance to have lots of Greek food and Greektown is on par if not ahead of the curve. I got the grilled chicken platter and was shocked with how much food you are given and could have easily split it into two meals. You can tel that all the food is good quality and their space was very clean with attentive service. Will easily be a regular whenever I'm in Hoboken,Greektown,4.0 star rating,$$,"Greek,, Salad"
7,gxENC_UdtelREs0DEsrmrg,Michael N.,3.0 star rating,"To sum it up, not a bad spot. I've been here several times, given the convenience and close proximity to the path. However, time and again I pass this place with my friends and we simply elect to go elsewhere 9 times out of 10. That being said, this is not a bad option and absolutely worth trying out if you've never been there before. Just keep a few things in mind.The food will not ""WOW"" you. The presentation is nice, but don't let that fool you, as quality leaves something to be desired. I suppose it is cool that the menu is translated to English. For example, spanakopita is simply called ""spinach pie"" on their menu, which is guaranteed to reduce confusion.I'll give it an extra star than I would have otherwise for the BYOB with the liquor store across the street.",Greektown,4.0 star rating,$$,"Greek,, Salad"
8,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,Cute local spot with nice outdoor seating too. The Greektown chips appetizer is a must every time :),Greektown,4.0 star rating,$$,"Greek,, Salad"
9,-gkcx2A7T1xw8V9ST5T4gg,Louisa M.,5.0 star rating,"The crispy crispy crispy crispy zucchini and eggplant chips are heaven on earth.  This is deep fryer black magic.  I always get the yeero and am never disappointed.  The food here is consistently good, fast, and those chips honestly I may still extoll their virtues on my deathbed.",Greektown,4.0 star rating,$$,"Greek,, Salad"
10,2t1qdOoIaSp3NY64I4Su6A,Lauren M.,5.0 star rating,"I love this place. I order regularly (a couple of times a month since they have opened), and the food is consistently fresh, prepared well and delivered promptly. They have the best Greek salad in Hoboken, in my opinion. They have only messed up my order one time, and upon calling to inform them of the mistake I was quickly delivered a replacement salad with a free dessert AND a hand written apology note. Their customer service is excellent. I highly recommend GreekTown.",Greektown,4.0 star rating,$$,"Greek,, Salad"
11,PlPQcvrSTtfI71ovDV1pvQ,Driel T.,2.0 star rating,"It's a Tuesday 5:30pm 10/17/2017I've ordered gyro platters from here before and they've always been delicious. This time I ordered one for my other half and decided to try something new for myself. For myself I ordered the Stuffed crispy chicken for $18.00 & an appetizer to share The spinach pie for $7.00Since when is sticking cheese and spinach between two fried flat pieces of chicken called ""stuffed chicken""? &Spinach pie came completely burnt and inedible. Really disappointed...",Greektown,4.0 star rating,$$,"Greek,, Salad"
12,DuaM-ZAewKQ7GFmAeEWXZQ,Phil G.,3.0 star rating,I was craving Greek food and didn't quite get what I sought. It's a nice and simple place with indoor and outdoor seating. It stays busy with takeout and delivery business.The hummus and pita were excellent. We liked a Greektown salad and grilled octopus. I was underwhelmed with the shrimp entree.  The entree was big: loaded with orzo and shrimp but it lacked color and flavor.There's a wine shop across the street if you want to bring wine.The server was good but a one man band. He works the phone and the tables.,Greektown,4.0 star rating,$$,"Greek,, Salad"
13,M_ZSonBLo9T748ULtQGk1A,Lana S.,4.0 star rating,"Hands down best humus I've had! Great first time to Hoboken, and we were able to get reservations same day for four outdoor seating. We Ordered the  tapas sampler, octopus (delicious and very generous! Highly recommend). Service was terrific, you can BYOB (we brought 3 bottles of wine). We stayed for a couple hours and were actually the last table to leave and the staff never rushed us. Very friendly, would come all the time if I lived closer! To top it off, the bill was only $88 for 4 people!",Greektown,4.0 star rating,$$,"Greek,, Salad"
14,nH_kcvlzeDTPaUMk6Ry57w,Eric R.,1.0 star rating,"Just ordered lamb pita - Lamb was all fatty and stringy, could barely eat half of it - I couldn't even chew it.  Delivered by grub hub and it arrived late and cold.  Pay extra for Tzatziki and only get one small thimble of it.Second time I've been really disappointed here, so here's the review.",Greektown,4.0 star rating,$$,"Greek,, Salad"
15,ixqqv1BxTsNGPWiI5eyUgg,Samantha C.,3.0 star rating,"THE best hummus I think I've ever had. Flavor was amazing, can only wish that it was a little chunkier (texture preference). Had a chicken yeero which was also great on flavor. Had a section for outside sitting that I didn't get to take advantage of, but will definitely be back soon. Also, I think it's BYOB....perfect! Looking forward to going back for a ""healthy"" option for lunch.Taking off stars for service. First time there they forgot the French fries. 2nd time they forgot the hummus. It was empty both times so I can't say they were busy or short handed, just not listening.",Greektown,4.0 star rating,$$,"Greek,, Salad"
16,kz3bhHSFo33bWeRRm81pDg,Brian D.,3.0 star rating,Kudos to the restaurant.  We showed up late; near closing time.   But they sat us down and we ordered.    Overall the food was good.  Service was decent.    Prices were as expected - very affordable.   We ordered the baklava.   Biggest pieces I've ever seen from a restaurant.  Good flavor too.,Greektown,4.0 star rating,$$,"Greek,, Salad"
17,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,3.0 star rating,"I was excited to try this newish Greek restaurant in Hoboken, and while I didn't enjoy my entree, I will definitely give it another shot as the dip sampler and spinach pie looked pretty good and I'm dying to try there artichoke salad, which they were out of when I visited.  I ordered the tzatziki (which was good) and Shrimp Santorini ($21 shrimp / fresh tomatoes / spinach / feta cheese over orzo) which I did not care for at all.  I think the supporting ingredients were probably fine, but the shrimp didn't taste very fresh or flavorful.  My fella had a chicken and orzo entree and found the chicken to be completely unseasoned.In terms of my one experience I would rate two stars, but as there are other dishes I want to try, they are new, and it's byob, I'm rounding up to 3 stars.",Greektown,4.0 star rating,$$,"Greek,, Salad"
18,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,3.0 star rating,"I'm always shocked to see places rated above 3 stars in Hoboken. Even those with 4/5 stars aren't to be trusted, as the rating appears to be given higher in light of the rest of the crappy restaurants the neighborhood sadly harbors. This is another one of those joints - with 4 stars but not many reviews, I walked in without a shred of expectation. Thank goodness. I was NOT disappointed nor blown away. So at 3 stars it shall sit. We ordered the grilled chicken platter. Pretty tasteless (and not pretty). The food is simply not good. I also had to wrestle with the skewer - can't you just take it off the damn thing or us? It's a damn hassle. The cheese platter was good but you really can't mess that up (you're literally just slightly grilling some square pieces of cheese and bringing it with some vegetables). The tzatziki appetizer was just that - the sauce with some pita. We regretted that after coming to find out that the chicken platter comes with tzatziki and rice. Nothing gave me anything remotely near a wow factor. I'll come by for a casual dinner or two, but it's not something I'll be recommending to anyone. Service wasn't all that great either - our waiter forgot to bring us napkins 3 times. Other tables were given napkins (in a cup) without their asking. We weren't so lucky. However, the staff is generally friendly (just need to work on the level of attentiveness).The BYOB is a plus - especially when there's a liquor store right across! There's a lot of outdoor seating and most people seem to prefer that (this is true for most of Hoboken).",Greektown,4.0 star rating,$$,"Greek,, Salad"
19,qaCRLq_YNzsBRdlVB2bcIg,Danielle M.,5.0 star rating,"So glad that we stumbled upon this place on a Sunday night !  We walked by and the restaurant was totally empty, but there seemed to be tons of delivery orders going out, so we decided to give it a shot. The staff were immediately very welcoming.  Our waitress (I wish I could remember her name) gave us recommendations and answered in detail any questions that we had about the menu. She was even sweet enough to bring us an on the house dessert at the end of the meal. We had the rice pudding and it was delicious - the perfect end to the dinner. The consistency was creamy and it wasn't too sweet!  About the dinner:  We started with the grilled octopus. ORDER THIS DISH!!! A large portion of perfectly grilled octopus on a bed of roasted red peppers, capers, onions and chickpeas. There isn't much to say about the appetizer other than it was amazing. The char of the octopus blended so well with the saltiness of the capers. The octopus was also so fresh and perfectly cooked to tender and not chewy. We followed the octopus with the grilled chicken with spinach and rice entree and the grilled chicken kebab platter. Both were delicious and were huge portions. We both took food home, enough for a second meal. The chicken on both dishes was well seasoned and not at all dry. Needless to say, we will be back!  I would definitely recommend this place for anyone looking for a simple yet delicious, casual, BYOB restaurant.",Greektown,4.0 star rating,$$,"Greek,, Salad"
20,5gcsK1ovNSUroFw1LXptZA,Mike D.,4.0 star rating,"Ordered delivery and was VERY impressed!! We ordered 3 gyro sandwiches which were delicious, even my husband liked them and he is hard to please when to comes to Greek food!The spinach pies were still warm and crispy not soggy at all, my mother and I thought it was fantastic! My mom got the Lemmon soup which she said was delicious and the FF were really good too!!Also would like to mention delivery was sent in a reasonable time (about an hour) for a Sunday night in Hoboken which is not bad but the impressive part was that everything was still hot and NOT soggy!! Well, FF were soggy but it's almost impossible to keep them crunchy when your getting delivery, I expected that and was totally fine with it! This is the first time I'm ordering from them which is why I only gave 4 starts but if we keep getting service like this we I will def increase to 5 stars!!",Greektown,4.0 star rating,$$,"Greek,, Salad"
21,FlfSk0U1jPu9fuFvT8wRFw,Prem S.,2.0 star rating,"My go-to is ""It's Greek to Me"" in Hoboken. This place get's better reviews so decided to give it a go. Ordered gyro sandwich and sautéed broccoli side and wife ordered Greek salad. My sandwich was very blah and the broccoli was so under cooked, couldn't eat it. They also didn't provide any tzatziki sauce side. Only giving it 2 stars because wife said her salad was decent.It's Greek to Me is def better and they give you extra tzatziki sauce for free and their sauce/meat tastes way better.Will not be ordering from here again.",Greektown,4.0 star rating,$$,"Greek,, Salad"
22,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,From one greek to another... this is a very average greek place... the gyro meat was dry and bland. It looks like they have cut it from the circular mound of meat and let it sit out. The tzatziki is ok but nothing special. It has a lot of garlic in it.  The chicken gyro was better but still not up to par with some of the better greek food i have had.We also ordered the greek salad which was not bad.  I tried this place on 2 occasions and both were below par. Your best bet is to go to astoria/manhattan to get your greek fix.,Greektown,4.0 star rating,$$,"Greek,, Salad"
23,p1gQXnFigc_joKzHPcl9Ng,Enya L.,4.0 star rating,"We got the lamb pita platter and the grilled octopus appetizer. When you're reading the menu you're like why is the platter close to double the price... but the portions are huge! The two of us were full off 1 main and 1 app. The lamb pita platter came with salad and rice (or fries). The lamb comes on skewers. It was pretty good. The grilled octopus was what made the meal. It was so delicious. It was tender, juicy, and smoky. We loved the fresh tomato mix it came with. It really completed the dish.",Greektown,4.0 star rating,$$,"Greek,, Salad"
24,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,3.0 star rating,"I've been meaning to go to this restaurant for awhile now, and finally was craving Greek tonight. My boyfriend and I went around 8 p.m. and was offered outdoor or indoor seating. The food overall was above average than other Greek place I've been to. I ordered the SHRIMP PITA and my boyfriend got the YEERO PLATTER with side of french fries. The platter also comes with a Greek side salad. The meat was pretty juicy and just the right amount of greasy. The shrimp pita was delicious and they didn't skimp out on the shrimp. The place is BYOB, which is pretty nice -- there's a wine & liquor store right across the street. Now, about the service...it was not great at all. There weren't that many customers, but all the empty tables were still dirty from previous customers. We had to wait to be given menus, water, and silverware (even after we had gotten our meals). We had to ask twice for wine glasses, and the servers just seemed a bit frantic. I think I'm going to just order pick-up next time, tbh.",Greektown,4.0 star rating,$$,"Greek,, Salad"
25,5FW6iNXiPLxfi6SkYCuWSw,I D.,5.0 star rating,"Finally a good Greek restaurant in Hoboken! The food is fantastic, the service is great...I've been tons of times and it has never disappointment. Highly recommend!",Greektown,4.0 star rating,$$,"Greek,, Salad"
26,LRdfJxf3cCiASukNmnvTiw,Seth O.,5.0 star rating,Living in the city I have the chance to have lots of Greek food and Greektown is on par if not ahead of the curve. I got the grilled chicken platter and was shocked with how much food you are given and could have easily split it into two meals. You can tel that all the food is good quality and their space was very clean with attentive service. Will easily be a regular whenever I'm in Hoboken,Greektown,4.0 star rating,$$,"Greek,, Salad"
27,gxENC_UdtelREs0DEsrmrg,Michael N.,3.0 star rating,"To sum it up, not a bad spot. I've been here several times, given the convenience and close proximity to the path. However, time and again I pass this place with my friends and we simply elect to go elsewhere 9 times out of 10. That being said, this is not a bad option and absolutely worth trying out if you've never been there before. Just keep a few things in mind.The food will not ""WOW"" you. The presentation is nice, but don't let that fool you, as quality leaves something to be desired. I suppose it is cool that the menu is translated to English. For example, spanakopita is simply called ""spinach pie"" on their menu, which is guaranteed to reduce confusion.I'll give it an extra star than I would have otherwise for the BYOB with the liquor store across the street.",Greektown,4.0 star rating,$$,"Greek,, Salad"
28,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,Cute local spot with nice outdoor seating too. The Greektown chips appetizer is a must every time :),Greektown,4.0 star rating,$$,"Greek,, Salad"
29,-gkcx2A7T1xw8V9ST5T4gg,Louisa M.,5.0 star rating,"The crispy crispy crispy crispy zucchini and eggplant chips are heaven on earth.  This is deep fryer black magic.  I always get the yeero and am never disappointed.  The food here is consistently good, fast, and those chips honestly I may still extoll their virtues on my deathbed.",Greektown,4.0 star rating,$$,"Greek,, Salad"
30,2t1qdOoIaSp3NY64I4Su6A,Lauren M.,5.0 star rating,"I love this place. I order regularly (a couple of times a month since they have opened), and the food is consistently fresh, prepared well and delivered promptly. They have the best Greek salad in Hoboken, in my opinion. They have only messed up my order one time, and upon calling to inform them of the mistake I was quickly delivered a replacement salad with a free dessert AND a hand written apology note. Their customer service is excellent. I highly recommend GreekTown.",Greektown,4.0 star rating,$$,"Greek,, Salad"
