,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,DM3jBInsqzd3qaWB3zU3Yw,Bhuvnesh G.,5.0 star rating,"Home-like and simplistic ambience (in a good way)! I came to the cafe with some of my friends and they were very welcoming.The chai latte is a must-try. We ordered a sandwich, an omelette and an arepa. It was quite delicious and you could taste the freshness of all veggies and bread.Strongly recommended for brunch / lunch.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
1,vyxUB3w_H0GeqRDjgDOvFw,Greg C.,4.0 star rating,small cool place  ... little  Expensive for basic food I'm got Crepes ....   nice Place  & service  but  Is me or this place I'm like coffee  so I'm ask for refill  I'm by charge 2 × hmmmmmis not like They make FRESH & HOT  is from pot coffee,Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
2,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,3.0 star rating,"Decided to finally try this place out as looks cute and has high star rating.  I decided to give there crepes which are made of gluten free chickpea flour a try.  Truthfully not sure if it was the flour,  the cooking or maybe they tried to be healthy with how the kept crepes from sticking as felt mine was over cooked,  dry and lacking taste.  All I got was cinnamon coated bananas.   Maybe would be better if instead of having bananas inside and outside crepe they used peaches or strawberries on outside.    My mochas was nice looking but had no mocha taste and too much foam for my taste.  Service was good,  place is cute and has good wifi.   Almost gave them two stars but felt after one meal could not as chickpea flour could just not be my thing.  Maybe should have gone with my other choice the croissant egg sandwich.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
3,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,4.0 star rating,"I've been passing by this cute cafe for months now and finally got to try it yesterday. Went there around 830 for breakfast and it was just the cutest cafe ever with unique decotations.They have an array of breakfast options along with pasta and sandwiches for lunch. I chose the EGG & CHEESE CROISSANT and my friend got one of the AREPAS. The croissant was pretty good, flakey and not overly cheesy. The guy next to us got an omelette and it looked pretty good. I had a glass of grapefruit juice -- tasted fresh and not concentrate.I wouldn't suggest coming with a big group since there's only 3 or so tables inside the cafe. There's a few outdoor seating for when it's nice outside.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
4,TUMttGz4H5XFB6-Wlk9eUA,Caitlin G.,4.0 star rating,Such a quaint and cozy ambiance! Staff was very friendly and food was delicious.  Great selection of smoothies and fresh juices if you are into that.  I had the ham omelette and my boyfriend tried the Norwegian pancake dosa - not a crumb left on either of our plates.  Only downside was we had to purchase bottled water (Fiji). Will definitely be back to try the crepes!,Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
5,3Gzm5L5keFdbesTmd5y2PQ,Carolina R.,2.0 star rating,"Review is based on a pick-up order:I went to pick up a breakfast order I phoned in on a Thursday morning. This was my first time at the Green Pear Cafe so when I walked in, I couldn't help but notice how adorable it was. There was someone behind the counter but they seemed busy so I patiently waited and looked around at the mugs for sale for a few mins. She abruptly asks me, ""What do you need?"" I thought that was a weird way to greet someone in the morning right after they walked in the door. I told her I was picking up an order. She then abruptly asks me, ""Cash or card?"" Mind you, still no hello or anything. As I was paying, they were staring at the screen when the tip options came up which made me feel so uncomfortable. Who stares when you're entering a tip? I felt forced to over tip for a pick-up order that was already costing me over $30 (the egg white omelette I ordered was around $19 and my boyfriend's three hard boiled eggs, salmon, and dill sour cream was about $16, we also got two coffees). I grabbed my items and left, wrongfully assuming my entire order was in the bag. I got home and noticed the coffees were not in the bag, my mistake for not checking. I had to go back one more time to grab my coffees. They were apologetic which I understand. It happens.The food was ok but not worth $30+ for what we ordered. The coffee is not good. I don't think they've cleaned their coffee pots in ages or something because the coffee is insanely bitter. I wanted to love this place so much. I was so excited to discover something so close with such great reviews. Sadly, bad service and bitter coffee played a major role in me not coming back.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
6,qFYMlWg3Z3r6_aPoqAooNQ,Nico Z.,5.0 star rating,"Very nice food and very friendly staff, cozy place but perfect for grub food or drink. Love also get breakfast or also Sunday brunch",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
7,KfjE1I5_zXKGThgjTj9G1A,Haim A.,5.0 star rating,"Beautiful small spot, great service, delicious food and very good music! Our favorite brunch spot.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
8,wQYXCH3KQunMMZ7Nh3RZCQ,Dasle K.,3.0 star rating,"I really don't get the good reviews here... maybe just the drinks are ok? Came here for lunch with a friend but probably won't be back.The place is almost(?) cute, but the disco lights really bothered me. Our server was friendly but service was superrrrr slow. The price seemed ok but the food just did not cut it for me. We ordered a salad (that never came), grilled chicken panini, and vegetarian panini. Key word = panini. Aren't paninis supposed to be warm? Our sandwiches were cold  and the bread was not fresh. The mozzarella was pretty good but the sandwiches literally looked like something I can make in two minutes. Maybe the other dishes are better? I will never know. I did get the fresh grapefruit juice which was great, so I'm thinking this is a cafe to come for drinks, not food. Would not recommend for lunch.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
9,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"I have been to this place a couple of times. The first time was a morning in 2016. My husband and I had a sit-down breakfast. It wasn't bad. And I was glad to find Lavazza coffee in Hoboken. Recently, we went there again to get a cup of coffee around noon. It was a bit of wait. I wished there was a proper waiting area. We had to move around as other customers coming into the cafe.",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
10,w8d5Ih5WwQXmMuMu_Y_0lQ,Gizem A.,5.0 star rating,"Amazing coffee, delicious food, and friendly staff! Gina was so nice and kind. You should stop by and try whatever you want! You'd love here!",Green Pear Cafe,4.5 star rating,$$,"Breakfast, &, Brunch,, Cafes,, Creperies"
