,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,QLtEhxCoAY-Attja9OAPYg,Michael K.,5.0 star rating,"I believe I have been to every Grimaldi's (and associated offshoot) locations in the north east.Hoboken is my favorite, by a wide margin.The food is the standard Grimaldi's menu, and lives up to the reputation. The space i wonderful. The bar is spacious, the beer list is fantastic, and the service is top notch.",Grimaldi’s,4.0 star rating,$$,Pizza
1,dvJzbV1gnme0_7Yk-expKw,David S.,1.0 star rating,"I've been ordering here weekly for 6 years. I usually love the eggplant parmesan, although it's inconsistent with different kinds of sauce depending on the day. The pizza is not as good as Napolis.When they started delivering one day a week, we would have eggplant Tuesday. Now they deliver more often, but last time the driver had no singles, which is an amateur or hustle move. The person answering shouldn't have offered a cash option if there's no change. I only use cash for the driver's benefit. I called to complain, but the store takes no responsibility for its drivers.",Grimaldi’s,4.0 star rating,$$,Pizza
2,CJwIlpg_vOQEic1ZdK4cLw,Rachna B.,5.0 star rating,"Love this place! As a New York native I have had grimaldis pizza before. Usuallly getting grimaldis includes an unreasonable wait time for delicious food. The Hoboken location offers that same deliciousness without that pesky wait. Came here on a Sunday night around 6pm and was seated immediately. I had a pretty big brunch so I wasn't too hungry. My friend and I ordered a personal size of the grimaldis favorite pizza (I apologize I don't remember if that's the actual name of the pizza) it came with pepperoni, eggplant, ricotta cheese and fresh mozzarella. The pizza came with 4, perfectly sized slices. The eggplant was perfectly breaded and crispy, when added along with the other toppings created a combination of my 2 favorite foods- pizza and eggplant parm. It was such a delicious pizza I wish I could eat it all the time. My experience here was fantastic! Our waitress was super friendly and nice, there was no wait time (a big plus in my book) and our food came out super quickly. I will definitely be back!",Grimaldi’s,4.0 star rating,$$,Pizza
3,2h-gEJpAiJCa9NZsFQuA6g,Nagendra V.,3.0 star rating,"When you walk into Grimaldi's you will get the feeling its a cute little romantic place at least at night for dinner.  All the reviews and the area local hailed Grimaldi's as one of the best pizza in hoboken.  Although I will say it's pretty good I don't know if it's in the best category yet.  When we got in we were escorted to the upstairs private room which has an even nicer feel to it for a date night.  We were promptly seated and the waiters were available right away. We decided to go with some wine to start of the night.   Now we get to the food we decided to try the garlic bread with Grimaldi sauce and the caesar salad for starters with Italian dressing.  The garlic bread was pretty good and so was the salad I did enjoy both.   The garlic bread with Grimaldi sauce as a dip was what made it without the sauce I don't know how much I would have liked it other wise.  One thing that didn't disappoint was the portion size the garlic bread was pretty big and filling.  Once we got done with the apps we decided to order a personal pie with jalapenos, onions, olives, and green peppers.  Now the pizzas hype wasn't all there but I still enjoyed the pie.  For dessert we went with the Tartufo but this one missed the mark a little bit.  Although it wasn't the greatest experience (maybe I was influenced by the hype) the food was good and the ambience was nice.  Still made for a cute date night!  I would say if you're in the area who knows maybe this style of pizza might be your thing.   But be warey don't make the mistake of expecting too much and give it an honest try and see for yourself.",Grimaldi’s,4.0 star rating,$$,Pizza
4,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,3 stars is about right. The sauce is pretty bland and did not taste like much of anything. The pizza isnt bad but not sure it is 4 star.  The crust is chewy and has a good texture.Not my top choice in hoboken but extra bonus points for the upstairs private room. In hoboken there are not many places with a private room so definitely a bonus.,Grimaldi’s,4.0 star rating,$$,Pizza
5,gX3GV7sYm3QlPasge-bBbA,Caitlyn G.,2.0 star rating,"Not sure what I was expecting when I came here, but then again, I came here on a Sunday during Memorial Weekend. It was very busy. My boyfriend and I came here because I wanted to go to sit-in pizza restaurant. We saw this place on Yelp and decided to try it. When we came, there was a family of 6 before us who seemed to have been waiting for a while. It took about 10 minutes for us to get seated. The manager/owner asked where we would like to sit, but we didn't mind since I felt bad that it was busy. She brought us upstairs and boy, was that a mistake. The upstairs is mostly for bigger amounts of guests while the middle seating had tables for 2-4 people. It was extremely loud. This wasn't even the bad part though.It took about 30 minutes just for someone to get our order. I am not even exaggerating. There seemed to be only one waiter for all the tables and she was having a hard time. I felt extremely bad for the waitress, but she seemed to not know how to manage her time or organize herself. What made the experience worse though was that the table to our left came 10-15 minutes after us and got their order even before us. They also got their food before us and the family of 6 who were in line before my boyfriend and I. The family before us complained to the owner who apologized, yet said that they were short staff. From what I've learned, the owner should never make an excuse, especially saying their short staffed.Finally after an hour of being there, we got our food. We ordered a pizza with one half with bacon and the other with mushroom. We ordered a large with the two separate toppings that came out to $28. It's moderately priced, but a little more expensive than the usual. The pizza was not too bad. I was satisfied with it. The cheese they use is amazing. The cheese has such great flavor. The sauce, however, was not to our liking. It was opposite of the cheese where it didn't have enough flavor for me. Other than that, the pizza was good. Yet, even with a good pizza, the service did not hold up. It was probably just a bad day for them.",Grimaldi’s,4.0 star rating,$$,Pizza
6,db9hIcsYM6sdRH0LA3MS_A,Roma P.,3.0 star rating,"I'd like to believe I'm a pizza connoisseur (don't fight me on this one!) so obviously when in Hoboks, one must try Grimaldi's. All the hype plus fab reviews on Yelp... very little room for disappointment, right?! Let's start with the essential. When you come to Grimaldi's, you come for 'za. There's three sizes: personal, medium, and large. There's a wide selection of toppings to choose from, but prices could easily add up. We did a personal with 4 veggies, which was $8 for toppings and the pizza itself was $9.75. The jalapeños are a new addition (not found on the menu). They were a bit too vinegary for my liking (but I usually love that vinegary taste?!). Overall, the pizza was good, but nothing I'd rave about. We also had the Caesar salad and garlic bread, which were mediocre. We tried their famous Grimaldi sauce with the garlic bread. I don't know about you, but sauce always sets the precedent of whether or not I'm going to like a place. The sauce here were a bit short of extraordinary though. The interior was simple and cute, similar to a typical restaurant in Italy. The service was amazing. Kudos to the thoughtful busboy with a keen eye for detail for noticing our table was slightly wobbling and decided to fix it immediately. I honestly didn't even notice it until he came over, and I was very impressed at how observant and proactive he was!",Grimaldi’s,4.0 star rating,$$,Pizza
7,TtxF7ZIOz959nRCXGMd9mA,Linda M.,4.0 star rating,We went here for lunch and sat outside. The pizza was delicious. We had the pizza with pepperoni and extra cheese. And it was fantastic. Service was super quick. They also had drink specials that day. Mismosas and beers were discounted.,Grimaldi’s,4.0 star rating,$$,Pizza
8,LwQvuGC--FhHVCYZ9z_Etw,Patrick N.,4.0 star rating,I have been coming here for years. They have good pizzas with thin and tasty crust. The mozzarella is awesome and delicious. We got a medium pizza with sausage and mushroom. Tl;Dr Awesome pizza joint. We will probably come here more often now since razza is now constantly busy from their recent NYT praise.,Grimaldi’s,4.0 star rating,$$,Pizza
9,OhyD6lgljqFxQfZk5nExCg,Yann F.,3.0 star rating,"On a windy snowy northeaster evening, my wife and decided to have an Italian pizza in the neighborhood. Never been before at Grimaldi's, the place was full of the usual Hoboken crowd and we got a table next to the kitchen in the back. The dining room seemed warm and cozy feel, ambiance is nice. We both ordered each our own pizza, my wife liked hers, I was not so crazy about mine. It was kind of  doughy and soft, and stingy with the extra, altogether not closed to some of the best pizzas I ate in NYC, like at Patsy's in East Harlem, or Keste, John's of Bleeker st.   in the village. So it was ok, nothing extraordinary and  maybe this side of the Hudson for the locals who stay here and don't travel Grimaldi is their best choice on that side.By the way it looked like all the working staff in kitchen,  bartender, waiters came from south LA. So much for an Italian flavor.",Grimaldi’s,4.0 star rating,$$,Pizza
