,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,4.0 star rating,"*Happy Hour review*I had been craving oysters for a while, so when my BF found out they have $1 oysters during happy hour, we decided to stop in one Wednesday, just before 6.Happy hour is from 4-7 and there are some apps on special, as well as $5 house wines and draft beer, and a $7 'seasonal cocktail'. We went with 20 of their oysters, and 6 of their deviled eggs ($1 each during HH). The oysters were sizable, and the mignonette it came with was nice. Some of my oysters had bits of shell in them but it wasn't too bad overall (BF said most of his had bits of shell so I guess he was a bit unlucky). The deviled eggs were perfect. Each came with a sliver of fried garlic, which added a lot of flavor.I'm not sure if I would come back for regular food, as nothing really stood out to me. But I'll definitely be back the next time I need some dollar oysters. There don't seem to be a lot of those places in Hoboken.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
1,pKV4fwsJZodstQzDM_Bn2Q,Katherine R.,1.0 star rating,"Went to Halifax for brunch yesterday because I had family visiting from out of town, so I figured this would be the best place to bring them.  I was sorely mistaken.  We had reservations and were seated promptly upon arrival.  Once we sat down at our table, we opted for the $32 all you can eat and drink brunch.  However, we did not drink much at all, since our waiter was too busy flirting with the table of girls next to us, than to tend to our table.  Our food came out super slow and we had to ask for things multiple times.  By the time our third course came out, it was over 2 hours after we had sat down.  Our waiter told us that we had received all of the food that came with the brunch, however after going online to double check the brunch small plates menu, I realized he did not bring us the sliders, the fried rice, or the sandwiches, so I immediately let him know.  A half hour later, our waiter let us know that the kitchen had run out of the fried rice, but he made sure the table of girls he was flirting with had endless amounts of the fried rice, when they had sat down later than we did.  Shortly after, our sliders arrived.  We had a party of 7 people, but our waiter decided to only send out 3 sliders with buns, and 3 others without buns.  When we asked where the rest were and if he could bring out 4 more, he rolled his eyes at us.At this point we were so fed up, someone in my party found the manager and let him know that we had terrible service, not enough food, and hardly any drinks being refilled.  The manager proceeded to make excuses and did nothing to help-- not even an apology. Since he would not come around to ask if we needed anything else or more champagne, we decided to order a round of pecan pie shots from the bar.  Once they were delivered to our table, one of the shots was filled to the brim with just whipped cream, and no alcohol.  One of my family members brought the shot back up to the bar and showed the bartender.  The bartender did not apologize or make her a new shot, instead he took the shot out of her hand and said ""you messed with that shot, it was not sent to your table like that"" and continued making excuses while the manager watched the whole thing and said nothing.  The only person to apologize for our terrible dining experience was the hostess-- who had nothing to do with any of this.  She was very sweet and felt bad for the horrible service.  We left without a buzz and still hungry.  Don't bother coming here unless you're looking to be hungry and irritated during a 3.5 hour brunch, that should have been only 2 hours.  We will not be returning any time soon, especially since the management has to come up with excuses for having horrible customer service.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
2,wzv344LH-eSE0UmcVSxpWg,Vinny M.,4.0 star rating,"Went here on Sunday with my girlfriend. We decided to try out this spot, was recommended by one of my friends as we are foodies and always like to see what's trendy and fun. This place has both ! So let's begin shall we..... we arrived around 12:30 ( noon time ) for their brunch. Was immediately greeted by a hostess. She asked if we had a reservation and told her we didn't. They still accommodated us, which was nice. The waiter came over within the first 20 seconds and acknowledged we were there. The menu looked pretty confusing at first. However, he did come over and explain it to us. For 32.00 unlimited mimosas and unlimited small plates ! So the way it works is, the entire menu comes around putting on the table small plates of food and when done the next keep coming around. Food was 70/30. Some of the items were on point and really tasty and some were so so. Still good, but not as good as others. Hence why the 4 stars and not 5. The music was on point, but low enough to where you can still have a convo with someone and loud enough to not hear the people next to you. Only kinda wished the tables were a little bigger, between the champagne, the coffee, the water and of course the phones for the food selfies the room was tight for the food. Other than that, the salmon was on point, the Cuban sandwich beautifully cooked, eggs were cooked right, sweet meatballs could have been a little bigger ( but still delish ) we will 100% be back. There were a lot more items that I didn't mention, but I want you to be the judge.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
3,BkeVDw_RyxfxmgDIoNFd6w,Em K.,3.0 star rating,"I came here for brunch on a Sunday morning with my friends. We didn't have a reservation so we sat at the bar, which wasn't crowded and fully staffed. The hostess told us that their brunch is becoming very popular, and that people make reservations weeks in advance. I was surprised to hear that so many 20 something year olds in Hoboken are booking Sunday brunch weeks in advance as opposed to stumbling in hungry and hungover like we did. But definitely make a reservation if you want a table. Halifax has a super trendy vibe and a great view of the NYC skyline.  The space is large and very open. For somewhere between 21 and 23 (I don't remember and they appear to change their prices) dollars, you get unlimited small plates. For a little more than that, you get a bottle of champagne. Not sure if you get more or less than that, depending on your party size. That was unclear.  Actually, a lot of this menu was very unclear, which I'll get into. If you just want to order a la carte, small plates are $6 each.The way the menu reads, it seems like you can pick and choose from all the small plates and order as much or as little as you want. But in actuality, if you choose the unlimited option, they bring out all of the small plates in waves. This was very poorly explained and stressful for me, as I have food allergies. We finally understood what was going on once they started bringing everything out, but it was confusing because there were a few times where they brought out just one of something, and we had to remind them that there were 3 of us, to which we heard them mutter under their breaths ""you only ordered 1.""  No, we didnt order anything except say that we were doing the unlimited brunch! It was all extremely strange and confusing.  The servers were also being very literal. Like I ordered a coffee and they brought me black coffee with no sugar or cream and didn't ask me if I wanted any. The food was very delicious. It's all locally sourced. There was so much of it for a very reasonable price. It was all cooked well, and there was so much variety. They had both hot and cold plates. I wanted to give Halifax 4 stars but couldn't due to the choppy service. Nevertheless, I'd come back and recommend their brunch to others.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
4,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"I was skeptical before I came. This place has changed names a few times now and I was worried that this may be another short stay, but wow was I wrong!!We started with the squash frites and the charcuterie.  The squash frites were unique and surprisingly delicious. They were crunchy, salty, and a perfect start to the meal.I am not the biggest charcuterie person but the one I liked in particular was the smoked salmon. It was kind of like salmon jerky and went well with the different items.  One thing that would have been better is if the meat/cheese came with jams. The sweet salty combination would have made this even better.I would highly recommend ordering the cavatelli special with meat and sauce. It is very good and cooked perfectly al dente. Take a look at the picture who the waiter and order that.We also tried the salmon which was also tender and not dry. This was some superb salmon!For our sides we tried the polenta which wasnt the bed I have had. It was more like mushy porridge than creamy polenta. Seemed like they overcooked it a little. The cauliflower was good but the sides were not the star of the show here the entrees were. It is a little pricey here but the decor and view is unbelievable. You are right on the water overlooking nyc. Solid 4 star place.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
5,y_LETSyVwMVKbMSHwHDioQ,Erin A.,3.0 star rating,Went to the Halifax for the first time. We went for brunch and I tried to make a reservation and I couldn't online. Apparently they have 2 waves of brunch which was not explained on the website. And the first wave was sold out. But there were tables free they still wouldn't seat us. So we waited for a seat at the bar. Which further would take 15 to 20 minutes. The manager came to talk to us about why we couldn't get a table. She was very nice but still didn't make sense to me. We've been waiting for about 30 minutes now for someone to get up from the bar. The manager gave us complimentary champagne while we waited which was very nice.Finally a spot opened up at the bar and we were able to do unlimited brunch which was unlimited champagne and small plates of food for 32 dollars which is such a great deal. I'm a vegetarian so I only could eat very few of them but the ones I could eat were good. My friend is allergic to sea food so we decided not to get the sea food options. They were very accommodating.  After the first round of small plates. We just wanted the French toast and potatoes which they brought out. The food comes out fast which is good too. My only problem was they should state it on the website about the brunch and reservation situation so no one ends up waiting around like we did. Also if people have dietary issues or specific dietary concerns i think they shouldn't have to pay the whole 32 especially if they aren't eating most of it. As a vegetarian my options were super limited but I did enjoy my time after the seating situation was dealt with.,Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
6,l2-tfy5a1fYT4XKt20L8vw,Joan Y.,3.0 star rating,"Delicious food dampened by a bad service experience. Came here last night (Saturday) for dinner and everything started out ok. We were seated promptly without a reservation (I live in town and the expansive seating area always has tables open) at a table with a great view. We opted for three courses, starting with cured meats and cheeses (shout out to the 3/ $16 deal). Btw, the patè - so so good. As it was my first time at Halifax (the restaurant in this W hotel location changes often) I was pleasantly surprised at the complimentary bread and popcorn. The bread was legitimately a pillowy soft biscuit and I could've cried at how yummy it was!When our appetizers were ready, we were still barely halfway through our meats and the server asked us if he could clear the food on the table. I said no, we were still working, but we condensed our plates and offered he could clear the personal decanters from our wine and the popcorn. My friend also added that we were slow eaters as we like to talk and enjoy our food. To start, I got the pear salad (turns out not a personal fav, but I wouldn't discourage others from getting it) and my friend the sea bream tartar (so light and tasty!). I still had half my salad on my plate and her fork was literally still scooping up the last bite when the server took the plate from the table. Shocked at the audacity, I said hey we are still eating and the server, Luis A, sheepishly apologized.During our entree (highly recommend the lobster rigatoni, flavorful and surprisingly not creamy), no joke a total of 4 different people checked in on our table. At first I thought oh how nice the manager cares, but by the end I was highly confused and feeling rushed out. However, THERE WERE EMPTY TABLES IN THE VENUE THE ENTIRE TIME. Even weirder? After our check came out, it took 15 minutes for the server to take our credit cards. Why the rush the entire time, then the hold up at the end? In honesty, we got 3 courses, spent almost $200 and were there from about 8pm - 9:30pm. Not overstaying if you ask me! Delicious food. Bad customer experience.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
7,eb_Kx0klqAH1LsiQUkO-TA,Jackie G.,5.0 star rating,"Fave brunch items: bloody mary bar, croque monsieur, challah french toast.Had a great experience at their new DYO bloody mary bar during brunch. You choose your liquor, mix (bloody mary or ceasar), fixins, toppings, and rim! This is probably obvious but get bacon in it (and I really enjoyed the pickled string beans and blue cheese stuffed olives). The bloody mary itself was very good and very strong. It was actually a cocktail (as opposed to when places give you a glass of chunky cocktail sauce with a splash of vodka - hate that). Then you just sip and relax in their lovely lobby lounge area. Then eat brunch. What's not to like?",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
8,GE5doitEjnMFkbMljJ4FHw,Christina F.,4.0 star rating,$35 brunch menu was a great and delicious deal! They bring different small plates to your table around 2 at a time. I think we had about 10-12 different dishes along with sparkling wine. It's plenty of food...I felt very full by the end of the meal and enjoyed all of the dishes they brought out.,Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
9,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,4.0 star rating,"Halifax is in the swanky W Hotel. The restaurant has a very ""clean"" upscale vibe. The ambiance is very inviting and romantic. I came for dinner for their Tuesday tasting where they have 5 small plates paired with 5 different wines for $29.00. Very good deal for the quality of food, but when the say small plates, they are small! I felt the wines were perfectly paired with each plate. My favorite dishes were the cheese plate and short rib with polenta. Also, the dessert, a seasonal pumpkin cake, was the perfect bite to end the meal.It was nice to try a little bit of everything. I thought the service was very attentive and was pleased with my experience. I will be back to try their brunch.",Halifax,3.5 star rating,$$$,"Seafood,, American, (Traditional),, Breakfast, &, Brunch"
