,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,DsG2A3C_dUwZ8FsbYhewHQ,Matthew D.,5.0 star rating,"Being to new to the area, we are on a whirlwind tour of the food scene. Hamilton Pork did not disappoint! Too many times, bbq places are plagued by the liquid smoke curse. Not this place! With great music and service, the food takes it to another level! Will return!-Matthew&Charley",Hamilton Pork,4.0 star rating,$$,Barbeque
1,7HCwjUJZdkLsteqipxQMUw,Craig C.,3.0 star rating,"Cool atmosphere and very friendly staff! I came here for a dinner with my girlfriend and we decided to split two orders - the brisket and the pulled chicken. We also got a side of the Mexican Street Corn, which was just loaded with flavor.All of the food was good, real barbecue. I wasn't blown away by anything in particular, but it also wasn't anywhere near bad - it was good, solid BBQ food. The meats were tasty and portions were a pretty good size. Like I said earlier, the Mexican Street Corn was loaded with flavor and probably both of our favorite things - my girlfriend was raving about it. She also was a big fan of the pulled chicken in particular. I will say I really enjoyed their Asian-inspired BBQ sauce that they have on the table - that definitely added a lot of flavor.I've heard good things about their brunch, I'm sure we'll be back to try that as well at some point. For now, I'm glad we found an ""A-OK"" BBQ spot with a cool atmosphere and real barbecue food.",Hamilton Pork,4.0 star rating,$$,Barbeque
2,mEJkookl_GdnqMkHBTkHdg,Lorena S.,5.0 star rating,"Hamilton Pork simply makes me happy! I've never actually been to their establishment but have ordered delivery quite a few times.  Only tried a handful of the menu like the brisket sandwich on Texas toast - amazing! The meat sampler - a must! Fried chicken sandwich - Yum! And the sides, oh the sides - spicy slaw, mac & cheese, Mexican corn - Mmmm takes me back to California!  Based on other reviews, pics & friends who have ate there, everything seems to be a hit & I believe it!  I highly recommend paying a visit or ordering online, you will not be disappointed!  Or at least try the brisket sandwich - you'll be hooked!  Thank you Hamilton Pork for delivering to the Lafayette area!  I'm a big fan!!",Hamilton Pork,4.0 star rating,$$,Barbeque
3,zkLHu_MI8nv-LbRhxCmkrA,Sandra B.,3.0 star rating,Ordered delivery. Everything tasted like plastic and was cold. Eating in is a better experience.,Hamilton Pork,4.0 star rating,$$,Barbeque
4,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,5.0 star rating,"A wonderful addition to the Hamilton park in Jersey City, you can't but get stimulated by smell of Smokey bbq  when you are in the neighborhood. I would highly recommend the cowboy delight named the Meat Sampler (3) different choices for under $24. I had decided to try the smoked flavor Brisket, the pork belly which will melt your mouth like butter on corn, and a popular favorite ended up with the Smoked Jalapeno Cheddar Sausage which was so tasty with natural flavored hog laced with cheddar which pieces are in the sausage, a meat eater's delight it may not be Texas or Tennessee but it's pretty damn good for Hudson County.",Hamilton Pork,4.0 star rating,$$,Barbeque
5,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"This was our second time visiting this place. We came here on a Sunday morning because the place next door Hamilton Inn wasn't able to sit 8 of us. We were able to get a table right the way. The host was very friendly and let us sit even though some of our friends were still missing.I shared the chip and guacamole with my husband. It turned out very addictive. I had the brisket huevos benedictos and my husband was able to get it with pork belly. I thought the brisket was very good, which was tender and tasty. The pork belly was too salty for my taste but my husband enjoyed it.",Hamilton Pork,4.0 star rating,$$,Barbeque
6,YMMakzUBcmgcKMguWy9baQ,Alex C.,3.0 star rating,"This is the 3rd time I've visited and when the meat is good, it's really good, but sometimes it's dry. My wife had to send the Baby back Ribs as it was too dry - she instead ordered the Brisket and it was very good.Fish taco was excellent, the Gyro (lamb) was just okay. My son had the Mexican burger, pulled pork, avocado and pico, very messy but good.They were very good about us returning something that was not up to standard.",Hamilton Pork,4.0 star rating,$$,Barbeque
7,Xo6QEQhhhIIHIreWmN2ukA,Patty G.,5.0 star rating,"The wings... guys, the wings! I absolutely love the wings at Hamilton Pork, the sauce is delicious and they're cooked with the perfect amount of crisp. The serving size is perfect for sharing or even for 1. Their tacos are pretty good and have some great Taco Tuesday specials. The boyfriend loves the Mexican burger here continued to rave about it for days. Cocktails are pretty good along with the sangria. They have a good selection of beers. Tons of variations of tequilas, bourbon, and scotch. Along with wine and of course non alcoholic drinks. I love the ambience and seating. You can sit outside in the front, inside, or outside in the back which has great lighting and spacious. Staff is so friendly and attentive. I'm always surprised that this place isn't packed but glad I never have to wait for a table.",Hamilton Pork,4.0 star rating,$$,Barbeque
8,v72NgzMaqAm_ko8UO24e9g,Jeff D.,4.0 star rating,"There's a lot to be said about the food here. This is one of those rare menus where I want to try everything as everything looks so good. I've been a handful of times now and have really enjoyed the bbq combo platters. The brisket, ribs, pork belly, and nachos have all been finger lickin' good. They don't have a huge beer selection, but they always seem to keep Kane on tap which is nice to see.On Saturdays and Sundays, you can find a brunch menu which runs 11am-4pm and includes $5 cocktails. Although I've only been here on Saturdays, they have some pretty cool specials throughout the week including Happy Hour and Taco Tuesdays. Prices here seem to be standard for BBQ with a slight increase that comes with the territory. I would hope that the $5 tacos are good but from what I hear they are. Service can be hit or miss. Last time it was more of a miss. Slow at times and this was at a time when they were not busy. Nonetheless, I will return.",Hamilton Pork,4.0 star rating,$$,Barbeque
9,MCOa28PPfVW4lyaTSton_Q,Sam D.,4.0 star rating,"We were in town visiting some friends who made reservations for us on a busy Saturday night. When we got here, there was a table reserved for us inside. We asked to sit outside at a picnic table, and the switched us with no problem. Aside from it being a beautiful August night, the volume of the music was a bit too loud to hear what anyone was saying. There is a serious rustic vibe pouring out of this place, one that is worth mentioning. From dim lights to picnic tables to the chill waitress, it had everything you'd imagine at a new restaurant. The food: It's a combination of BBQ and mexican. You may think--how do they make this work? But let me tell you, they do. Our table had a plethora of food (party of 6) that will make this review even better...We started with the nachos, they were the real deal. The guacamole was legit, too. Both were served with homemade chips. We also had the Kung Pow wings, everyone at the table raved about them. The sauce on them was the same sauce that's in the bottle on the table. YOU MUST TRY THAT! It was time for the main course-- The meat sampler is MORE THAN enough to share between two people. There is so much meat given in the 3 portions, do yourself a favor and share. Between all of the people at the table, we had just about every meat option. They were all cooked perfectly and incredibly tasty. (Feel free to add Kung Pow sauce for extra taste.) The Caesar Chavez was a very refreshing dish away from the meats. My son had the rib'wich, it was packed with flavor. He loved it. Now let's talk sides--The french fries were obviously fresh cut and my oh my, was it a large portion. The macaroni and cheese comes out in a mini skillet, it was so good. Hands down the best side dish at the table were the Brussel Sprouts with bacon and apple. They were cooked perfectly and filled with flavor. Do you really think we left without dessert? Not a chance! The churro ice cream waffle sandwich has me drooling as I type this. Do yourself a favor and get this before you ask for the check!",Hamilton Pork,4.0 star rating,$$,Barbeque
