,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,YS76qea53tIuVsnzzczPIg,Jordan L.,4.0 star rating,"Growing up in the New Brunswick Area, Hansel and Griddle always reminds me of being back home. As a vegetarian, my go-tos are the Shroom Sandwich, Veggie Burger, and the Tater Tots (fried extra crispy). The Hoboken location is much more spacious then the New Brunswick Location. There also is an amazing deal that adds any side to an existing sandwich order for $2.99, saving you $2 off depending on the item. Interior: The only cons is that the restroom is not kept up with, and there is only one stall in the location. I most certainly will return.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
1,bLPbuTUXrVk7WdbgfwHwJw,Zak W.,4.0 star rating,"I've been to Hansel'n Griddle a few times for breakfast and am very pleased with the service and food. There aren't a ton of cheap spots for a nice affordable breakfast in Hoboken but this place is just that. I usually order an omelette which comes with your choice of toppings and a side of tater tots. The ingredients taste fresh and it is very filling all for about $7. I can't complain. Pricing is comparable to any fast-food joint, but with ingredients and quality that you actually feel comfortable putting into your body. Of course, I only ever get the omelette so I haven't tried much of anything else here, but they do that well. Staff is always pleasant as well and food is cooked to order. Definitely recommend.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
2,3v1kebOI5oTODrap1NDGMg,Brittni M.,1.0 star rating,"If it was possible to rate this place with one star, I most definitely would. Not only is the ENTIRE staff unprofessional, but especially their manager who thinks its okay to hang up in their customers ear. I am allergic to chicken & I decided to order FROM THEIR VEGETARIAN LIST the RRP'n fresh mozzarella wrap. Upon arrival, I took a bite out of the wrap to see that there was chicken inside. Once realizing this, I immediately called them to let them know their mistake. Thankfully it isn't a life threatening allergy & just some benadryl will do the trick. THAT IS NOT THE POINT! The point is they were very rude & unprofessional. ""You should have mentioned your allergies"" & hung up in my ear. I'm sorry, but if this is the person you have running your establishment, I think you need a new one. That is not someone you should have as an example for your other employees. Disgraceful.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
3,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,"As a Rutgers alum, this will alway be a favorite and I love that there is now a Hansel in Hoboken. Definitely can't go wrong with a buffalo chicken crisp and a banana flip smoothie!",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
4,XlH8oikQgvXILtHpn8H_ZQ,Sarah B.,3.0 star rating,"I have been to this Hansel a couple of times. When I most recently went, I was disappointed with my order. I ordered a rajun Cajun wrap that was poorly wrapped. The chicken was also very dry. Typically I order the crisps, which I haven't been disappointed with yet.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
5,VdwsBfxuBAnfavac0akKsQ,Tony R.,3.0 star rating,"Solid food however service is a bit slow. We came in around 9am on a weekday for Breakfast and ordered two of their most popular items. The Breakfast Burrito and the Breakfast Crisp. As a meal, they were great. My wife enjoyed the Burrito and I enjoyed the Crisp (which is plenty of food by itself) However, there was about a good 20-25 minute wait for it. No other customers in the store at the time and it just didn't seem like they were expecting people! It's a prime location in Hoboken and one I want to like more than I do. I would stop by again in the future because the crisp was good, however I'd have to do it on a day when I have no place to be in any hurry.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
6,2nRgsYKJcsGT4Cud7-WdNA,Heather M.,5.0 star rating,"I've only ever ordered delivery, so I can't speak to the in-store experience at all. This has become one of my go-to spots for those mornings where getting up to make breakfast just isn't gonna happen :). I highly recommend he breakfast crisp (one of their most popular items.) it's really tasty, customizable, and a big portion for the price. I usually end up sharing it with someone or saving half for later.My deliveries have always been on time and accurate. There was even an instance where something I ordered was out of stock in a specific flavor, so they called to ask if I'd like to sub it out, or be refunded. I really appreciated that, because most places will just replace it with something else & then you're stuck with something you don't really like. Good food and excellent customer service.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
7,3-8651FlH7ICZ21GhIeiHA,Gabriella C.,5.0 star rating,Love this place! Great staff they went out of their way to accommodate my order!!!! Open late night,Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
8,lnQku65k4ami3uk0mr875A,Sam P.,3.0 star rating,"Used to order from here all the time, great food but now they stopped delivering the 2 miles to Jersey City. Very disappointed.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
9,90jA0Rvtjlu8va4V84zbow,Michael F.,2.0 star rating,"I was in the area with a co-worker during lunch hour and we were looking for a place to eat.  We happen to walk by this location and I told my co-worker that I had recently eaten at their New Brunswick location and really liked it.  It was lunch time and it was surprisingly quiet.  I had the balsamic chicken wrap and my co-worker had the ""made to order"" London broil sandwich.  He had a side of potatoes that were tiny and cubed.  We were very disappointed with both our meals.  My wrap was big and stuffed with plenty of chicken.  The problem was there was so much balsamic dressing on the wrap that it was ruined.  In addition, there was an overwhelming taste of parmesan cheese.  The wrap called for parmesan cheese but much to much.  I couldn't finish it.  It was like eating a balsamic cheese wrap.  My co-worker ordered his ""made to order"" London broil medium rare.  The meat came out well done.  I told him he had no business ordering London broil from a place like this.  He said the potatoes were not edibile and didn't touch them.Overall service was good and prices were reasonable.  What a big difference from my previous experience.  I must admit last time I had ordred the pancakes and sausage and my co-worker had ordered the French toast.  Maybe I'll just stick to breakfast at this place.",Hansel ‘n Griddle,3.5 star rating,$,"Burgers,, Breakfast, &, Brunch,, Juice, Bars, &, Smoothies"
