,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,NPYCFWTJuaw4s59U6NuR3w,Sam B.,4.0 star rating,"This a nice modern Thai restaurant with very good food. Went here on a Tuesday night and It was pretty empty, maybe 4 others inside otherwise had the place to ourselves. Ordered Tom Kha Shrimp soup (about $6) and It was delicious. Has a coconut milk base to It along with Thai seasonings and chopped onions, peppers and mushrooms in It. Only thing I'd change about this is the onions and peppers would have been better if they were quickly cooked instead of chopped raw and put in the soup. Otherwise it was delicious.Entrees ordered were Drunken noodles with chicken (about $12) and Massaman curry with chicken (about $12).The drunken noodles with chicken was a delicious dish and definitely recommended. A little spicy too which I love. The Massaman curry chicken was delicious with the curry sauce but only negative thing was potatoes that they added to the dish were under cooked. Otherwise both dishes were very good and the soup as well. Total bill was about $30 which was very reasonable. Service was just a little slow otherwise good experience.",Hi-So Thai,4.0 star rating,$$,Thai
1,Jb7Fuofojc5k5QUxHthuOg,Steven Z.,4.0 star rating,"Good local restaurant in Weehawken. You'll never have to wait for a table because it's in a rather awkward location and doesn't seem to get much foot traffic. Prices are very reasonable and food is very good. Would recommend the beef pad thai, it's a classic!Only negative is that they ONLY take cash. Luckily there is a BofA atm right across the door but it is still an inconvenience.",Hi-So Thai,4.0 star rating,$$,Thai
2,0WWabObctndJvHe809irBA,Tasnim C.,1.0 star rating,"I was staying in a hotel near Hi-So and decided to come here with my family due to high ratings. We weren't impressed. We eat Thai food pretty often and regularly so we know when a place is good and when it falls short of our expectations. We always get the same dishes with one or two new ones and everything was mediocre while some fell short. The Thai basil chicken was just okay, tasted kind of bland and had no spice to it. Drunken noodles were not spicy at all either and didn't have much of a taste truthfully. The Thai basil shrimp was seasoned and flavored really well but had a very intense fish smell; I'm well aware it's shrimp but it smelled like it wasn't cleaned or anything. We ordered vegetable fried rice and more than half of our serving was veggies and little rice. I don't mind vegetables but when you say that one portion can serve three people and it actually just serves two, it's a bit disappointing. I'm not saying to not come here but my experience here wasn't that great so I'm disappointed.",Hi-So Thai,4.0 star rating,$$,Thai
3,jYYdez7rBqb8i5MIyKZkSA,Anna M.,5.0 star rating,Everything we got was great here. They made me pad thai one with duck and no peanuts without an issue.The spring rolls and dumplings were also delicious.Friendly and clean place.Cash only!,Hi-So Thai,4.0 star rating,$$,Thai
4,GFHXES1vGZQjmM-ii51RSA,Melissa G.,5.0 star rating,"I live in NY & rarely find places I enjoy eating in NJ. This place is delicious!!! And the people are so nice & accommodating. If you like Thai iced tea, you have to try it here, the presentation is beautiful! Big fan",Hi-So Thai,4.0 star rating,$$,Thai
5,rQAwy7P93GxCg295uuc62g,Jeff Z.,4.0 star rating,"I was at the Sheraton and tired of the Hooligans one day and walked over to here. The food was awesome - very good Thai food. Price is okay but on the high side. The guy serving is very friendly as well. I didn't like the cash only - that is so 90s. With their price, they really should not have to save the 3% cc fees. Hopefully with President Trumps' new tax laws they don't have to trying to cheat on Taxes either and can start using cc or mobile payments.",Hi-So Thai,4.0 star rating,$$,Thai
6,jtnLoZ4SUfSKnVVpi0LeTQ,Mehul P.,1.0 star rating,"I went here looking at the great reviews here. First impressions, 7:30pm on Labor Day and there was only one table occupied. This should have been the first warning. There was only one woman handling the register, taking phones and waiting the tables. Needless to say the service was terrible. Water had bugs in it and the curry puffs and spring rolls tasted like they were frozen. Moving to entrees, the tofu was still cold from the inside and the drunken noodles were terrible. Vegetarian green curry has a fish after taste. Avoid if you can",Hi-So Thai,4.0 star rating,$$,Thai
7,k3PmeqwdQEMp-GcVfJpbLQ,Lesley A.,5.0 star rating,"My husband and I were delighted to find this place open on a snowy evening. We had the peanut curry and the drunken noodles. Both delicious. Not super spicy, but good hot sauce and spice powder on the table. Veggies perfectly cooked, bright and crisp. Had fresh mango for dessert. Yummy. Will definitely go back if we travel here again.",Hi-So Thai,4.0 star rating,$$,Thai
8,QzHS3Lw393UZqvYTZ7Vh0w,Dulce L.,4.0 star rating,"Very nice host. Very friendly and accommodating. We ordered the vegetable fried rice, spring rolls, chicken wings with homey and some curry potatoes stuffed pastry  The only thing we didn't like was the curry potato thing, every else was just delicious. We also had the coconut soup which was excellent. Quite little place with great food.",Hi-So Thai,4.0 star rating,$$,Thai
9,WQGGhXr0MQO4kmPkrZpq6g,Daniel B.,4.0 star rating,"This place is legit.  Food is good, I'd say a notch up from your standard neighborhood Thai spot and at least 8 notches above the terrible Thai spots that permeate Hoboken. The dining room is cute and airy, not a hole in the wall by any stretch.  So although the window is facing out to Lincoln Tunnel traffic, you could easily do an easy and cheap date night here. Speaking of date night, it's also BYOB with no corkage fee, which is always a plus in my book. Pro Tip: if parking is your concern, don't worry, there's always plenty on the street just behind the restaurant.  Never had to walk more than a block or so.    So let's recap:Cute spaceGood food.BYOBParking isn't as bad as you'd think Delivery is promptCASH ONLY. By my count, that's 5 positive and 1 negative.  Alas, we can't have everything in life.  If you're in the Hoboken or Weehawken area don't think twice. This is your spot.",Hi-So Thai,4.0 star rating,$$,Thai
