,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,JrILVIamwQpzSSv9-OcF6A,Mariah F.,4.0 star rating,"5 stars for the service. 4 for overall. It was my first time eating here even though I live about two blocks away. I went on a Sunday night for a quick bite, ended up getting a whole chicken calzone which was huge. It tasted great. Upon arrival, Andrew I believe his name was provided excellent service. Because it was my first time he helped me choose exactly what I wanted. Forgot I was at a pizza spot, thought I was at a restaurant. Mike was a fun guy who defiantly added to the atmosphere. Cool, kick back place & its BYOB which I didn't know but will definitely be returning next time :)",Hot House Pizza,3.5 star rating,$,Pizza
1,cIRHqDKHgu9l3jRt5bcsRQ,Julie D.,1.0 star rating,"This place is absolute trash. John (who I sincerely hope is not the owner and/or manager as he claimed) was rude, exhibited terrible business practices, and was generally just horrible. We ordered the Monroe Pie ($20.00) with extra mozzarella ($2.00) and extra prosciutto on the right half ($4 00). With tax, delivery fee, and the extra toppings, the order ended up being $34.67. We got a dough-y pizza without extra cheese, with three pieces of prosciutto, and soggy arugula-- picture attached. They must have misunderstood that we wanted EXTRA cheese and EXTRA prosciutto and instead gave us 9 quarter-sized pieces of mozzarella and 3 pieces of prosciutto on half of the pie. When I called and asked for them to remake it or refund us, I spoke with John who quite literally yelled at me. He said that he ""Is not clairvoyant and could not tell that we ordered extra."" I asked him to look at the price of the pie and see that it was $20.00 and then $6.00 extra for toppings. He said he saw that but it didn't say extra so we were out of luck. We could call Grubhub. We called, they gave us a refund on our toppings, my boyfriend ate a piece, said that it was gross, we threw it out, and we ate elsewhere. Honestly, there are so many fantastic pizza places in Hoboken with far better pizza and infinitely better service. Don't waste your time on this joke.",Hot House Pizza,3.5 star rating,$,Pizza
2,gzrbzSQuUZvFM2L9dR6A2Q,Jason A.,3.0 star rating,"I tried Hot House Pizza after a recommendation from a friend who also lives in Hoboken. As you know Hoboken is filled with Pizza establishments and i am always looking for the best places to eat. I did not not to dine in so, I had placed an order in for pickup and they indicated that it would take about 15 minutes to pick up, which was great for a Friday night. The pizza was exactly as ordered. I am not a huge fan of the flavors of the pizza but that is just my opinion. The pizza was not bad, but in my opinion there are other places with better flavors.  It should be noted that this place is BYOB! I would rate Hot House Pizza as follows: Pizza is 3 Stars, Price is 3.5 Stars, Atmosphere is 3.5 Stars and Service is 4 Stars.The views expressed are of my own and are my true personal experience at this establishment. My personal experience may not reflect this actual establishment, their quality or someone else's experience at the establishment.",Hot House Pizza,3.5 star rating,$,Pizza
3,u4IsqJKAUwfemaEhkW-KRg,Desiree D.,4.0 star rating,"What a cute pizza place in Hoboken! They have a lovely, intimate back yard/garden for you to enjoy!. Its BYOB so take advantage of that!The Buffalo Chicken pizza was one of my favorites the night i came here! This was my far a winner! Another suggestion i would try is the margherita pizza! Both of these type of pies are made on a thin crust , but will deff. fill ya up!. Their spicy sausage pizza is not for someone who cant handle heat. Two of my friends said it tasted good, but deff heated up their mouths!. The staff is very friendly and sweet. Grab a pie, go on a date, and enjoy the back patio!",Hot House Pizza,3.5 star rating,$,Pizza
4,D8DChdcY0NP85udx1O15Fg,Lexy C.,2.0 star rating,"The pizza tastes pretty good, but on the one I ordered last night there was a giant hair baked into the crust. I don't think I'll order from here again.",Hot House Pizza,3.5 star rating,$,Pizza
5,cBa1Y6TpdXeUyxyR5PolYQ,Steve A.,5.0 star rating,"So we all know that Hoboken is a pizza Mecca, and I can say now that Hot House is one of the strongholds. After being disappointed by my last takeout order from Grimaldi's (and not wanting to drive), I found this relatively new to the scene (based on review dates) place while trawling the maps for pizza. They deliver via Seamless, so I ordered up a Monroe pie and damn was I happy. Perfect sauce/cheese ratio, perfect charring on the crust (not too little, not too much) and incredibly fresh tasting. So good I had to have an extra slice!I know everyone has their favorite (and there's a lot of great pizza in Hoboken), but do yourself a favor and try a pie from these guys. You'll be glad you did. I'll have to stop by and try their outdoor seating area while the weather is still nice, too!",Hot House Pizza,3.5 star rating,$,Pizza
6,Iok_PJhNQq1LesmV23_1ew,Humeyra C.,5.0 star rating,"I've tried their famous margarita, BBQ chicken, Shrimp pesto pizza at UYE.. It was great! Great atmosphere, great service! Having to be seated outside in such beautiful weather, added to the pleasant experience! After the event; I decided to take home some pizza for my family, I've asked for penne-vodka pizza even though it was not on the menu the chef surprised me with a delicious looking and tasting penne-vodka pizza!",Hot House Pizza,3.5 star rating,$,Pizza
7,ornb1UYCzFd2u9Y_ldGvPA,Nicole R.,5.0 star rating,"Hoboken is filled with plenty of bars and pizza spots.  Everyone has their go to place that they have been loyal to for years and years.  Well, I am here to tell you that your loyalty has to change to Hot House Pizza and for so many reasons.Hot House is located on 2nd Street and gives off a NY style atmosphere.  With a garage door opening front this is the best place to check out especially now that the weather is starting to warm up.  Upon entering they have small tables where you can sit down and have a slice or try some of their other food options.  The owner Ralph (fellow Hobokenite) is always pleasant when you stop in along with the other staff members.  What drew me into Hot House was the pizza (of course) but also its simple menu.  If you want pizza, chicken/meatball parm sandwiches, salads, or cold sandwiches then this is the spot.  This place differs from others because it doesn't lose sight of the additional hundred menu items that other pizzerias tend to offer.  It sticks to the basics making every order delicious and made with special care.Now let's get to my two favorites parts: the pizza and back patio.  Have you heard of a place that has A+ pizza and is BYOB in Hoboken?  Didn't think so.  The pizza itself has the perfect amount of dough and is not overbearingly heavy with the sauce and cheese that I've had at other pizzerias.  If you're into those slices that droop down with masses amount of oils then this isn't the place for you.  However, if you're like me and can enjoy a good quality slice which is balanced with all the right ingredients then this is your place. For $3 a slice I promise that you will not be disappointed.Hot House offers the cutest back door area that feels like you're walking into someone's secret garden.  Set up with a nice amount of tables this can be your weekday escape.  We all have those days or even weekend nights where we want to go out for drinks but aren't in the mood to make plans or get all dolled up.  Problem solved! Take a walk down 2nd St. with a few friends, stop for some wine/beer, and head over to Hot House and park yourself right in the back area.  I know this will be one of my low key evening spots this Spring/Summer.",Hot House Pizza,3.5 star rating,$,Pizza
8,gpsoDC1DZlnkUIzP6qmlQg,G B.,5.0 star rating,i went with my dad and we split a pie. delicious margarita pizza. very friendly staff! they have a nice garden too. we sat inside and it was very comfy and welcoming.,Hot House Pizza,3.5 star rating,$,Pizza
9,dU-i-uFJq06P6BEEvvxwrg,Jacqueline C.,5.0 star rating,I just ordered from here on Saturday and we loved the pizza! Pretty thin slices but the cheese and sauce were yummy- nothing too filling but very tasty. There were four of us and we said we should have gotten another pie . Very affordable and quick delivery. Would recommend!,Hot House Pizza,3.5 star rating,$,Pizza
10,o41ZMmp4hGadN8FVo4XuMw,DarDra C.,1.0 star rating,This place is a complete disappointment to the pizza world. The crust was not fully cook this cheese tasted milky and the pepperoni was not gold. My bill came to 23 dollars and the delivery man came with no change. I would not recommend this place to anyone. Please do not waste your money eating food at this place. I would give this place NO STARS,Hot House Pizza,3.5 star rating,$,Pizza
11,gRZbF21o4GdztbvL8CHrBg,Keith N.,5.0 star rating,Great quality Pie and fast delivery. Don't pass up on this place. Have ordered here several times and I am never disappointed.,Hot House Pizza,3.5 star rating,$,Pizza
12,yISlrcngEoRiNrwYTHX8wQ,J K.,1.0 star rating,"This place doesn't even deserve a star ! The owner Karen she is by far the most rude person I have ever met. It's ridiculous how she runs a business with such disrespect I would never recommend anyone to come here for an event! I'm disgusted.... She's clearly racist she had the nerve to try and up charge us for an event we had there today. First of all it rained the whole night so we couldn't even use the outside space as we rented and no refund. No remorse for our situation it was my bridal shower. She had the nerve to be rude, give attitude, and charge us extra for the people who did not come. The worst customer service experience for such an important day. A lot of dishes that was supposed to be included did not come out but we were charged as if everything came out. Karen I hope you read this review and know you will never become mayor of Hoboken and if you do the town is screwed lol! I wish you were there in person and tried to speak to us the way you did because lady you mistreated the wrong people! I hope everyone will rethink before booking any event here!!!!!!!!!",Hot House Pizza,3.5 star rating,$,Pizza
13,v-LyyhMk5sp817yqnomMyQ,C K.,5.0 star rating,"Ok PIzza in hobokenThere are some really great brick oven places to eat pizza in Hoboken, but this is the best pizza(NY style) in hoboken and they deliver.  There wings are also top notch(not so meaty).  I am surprised that this place does not get better ratings.Thanks",Hot House Pizza,3.5 star rating,$,Pizza
14,0B0d08ShYCVHAOqbrOG5-g,Santiago P.,5.0 star rating,BBQ buffalo pizza is best I've Had in a very long time. Very nice and polite people workingDef recommend to anyone looking for great pizza,Hot House Pizza,3.5 star rating,$,Pizza
15,ud7T58Rnp8iNx6ljj_vXfA,Michael M.,5.0 star rating,Place is legit. Really upset that I haven't checked this out until this weekend. I've been here twice in the past two days. Cheese slices ate $3 - Perfectly thin crust with a really thin layer of crisp that turns to nice tender dough when u get thru it. Sauce is great cheese is really great. Very happy. Also got the monroe- arugula and prosciutto- $12 for a small. Very good as well. I was super hesitant about the pre made slices - after walking by so many places downtown with their dry slices sitting out all day. I was VERY pleasantly surprised. After being thrown back in the oven for the perfect amount of time (time enough to make it hot but not too hot and not burnt). Tasted incredibly fresh. My issue with most other wood fire Pizza spots are they burn the crust. There was minimal char if any....Guys working here are really nice and outgoing.Game changer.,Hot House Pizza,3.5 star rating,$,Pizza
16,fUhiDYlNk1dc_elSOqe5jA,Caroline A.,4.0 star rating,"Like many other Yelpers have said Hoboken is a pizza oasis. There are so many pizza spots that I have YET to try them all, and Hoboken is only a square mile! Hot House Pizza is feet away from our apartment so it's no surprise we've been here a few times now.We got a group of friends together for dinner here the other night. We called ahead to see if they could accommodate a group of ten, and the guy on the phone said it wouldn't be a problem. When we got to HHP the service was phenomenal for dining-in, and of course, the pizza did not disappoint. We got one of each of the pizzas to share (we opted for the small sizes). The margarita pizza and Buffalo chicken might have been my favorites. This place is also BYOB if you dine-in in the backyard space, too.Other times that we've either stopped in for a slice or ordered take out we've ordered their meatball subs, salads and garlic knots, and everything was top notch. If you find yourself near the Hoboken/JC border this place is definitely worth checking out",Hot House Pizza,3.5 star rating,$,Pizza
17,LPwspbX1XdUPduI7dRQvug,Eki O.,1.0 star rating,We ordered Pizza online and after 60 min it still wasn't delivered and we called twice and were promised to receive a call back but nothing. We are still waiting. Tried to give them a chance despite bad reviews but I regret we ordered from them. We could have just made our own pizza.,Hot House Pizza,3.5 star rating,$,Pizza
