,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"We picked House of Que to celebrate our twins' first birthday here last week and couldn't be more pleased with our choice!  House of Que is a family friendly restaurant (so lacking in Hoboken) with a great upbeat vibe and friendly staff. We worked with Natalie (the event manager) to arrange everything at pretty much the last minute and she and the staff were so fab to work with. This is a great venue - bright, airy and spacious if you're looking to do a family get-to-gather, a birthday celebration or any event in general. They have family fun days over the weekend; face painting, balloon making, a band et al ... definitely a hug hit with kids of all ages. We chose Sunday for our small birthday celebration and it was perfect. We ordered party platters from the catering menu and our guests couldn't stop raving about the food - the jalapeno poppers, smoked wings, chicken tenders, fries and brisket were a hit. The drinks were great and Maria, our server was very accommodating. The space is airy and well lit and lends it self for great pics! There's also a small gaming arcade for kids at the back of the restaurant. Besides family fun weekends, House of Que has great lunch specials and live music nights. We plan to go back soon!",House of Que,3.5 star rating,$$,Barbeque
1,XUgSst_enjCbf1ylMFAbLw,A. H.,1.0 star rating,"Giving a 1 star review due to an experience we had with a bartender purposefully trying to overcharge us.   I came here on a Saturday during Dueling Pianos which is a lot of fun.  I went to the bar and asked the bartender about the wine selection to which he supplied me with a drinks menu.  On it, pretty much all the wines were listed at $7 a glass.  I pointed to the Sauvignon Blanc and requested 2.  The bartender came back with 2 cups of wine and told us the total was $28.  When I asked him how it can possibly cost twice as much as the list price on the menu, he at first avoided me before ultimately replying ""Yeah...they changed the menu and that's the price now"".  I found this suspicious being that I spotted several customers ordering from that very same menu and asked him, ""The price doubled on just this particular wine or all of them?""  to which he quickly responded ""All of them"" before quickly taking away the menu,  turning his back, and avoiding us. I was incredulous so went to a different portion of the bar and asked a different bartender whether the wine prices had in fact doubled overnight.  He indicated that this was NOT the case and the price was still $7.  Ultimately not the end of the world as we just ordered drinks from the honest bartender the rest of the night but wanted to give everyone a head's up as from what I'm hearing, this unfortunately wasn't an isolated incident so keep an eye out!",House of Que,3.5 star rating,$$,Barbeque
2,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"Although House of Que smells like bathroom cleaner, I must say that their brisket is actually pretty good.Our party of four showed up on a Thursday at around 6 and aside from what looked like a small company having a work HH, and a few families, the place wasn't too packed. We decided to go with the Pitmaster's Pick for 4 (1 lb of brisket, 4 ribs, 4 sausage links, half a smoked chicken, and 4 medium sides). The brisket was very tender. It needed a bit more flavor but the BBQ sauce definitely helped. The ribs weren't bad, the sausage links were tough and super salty, and the chicken was dry. As for sides, we got the collard greens (super salty), potato salad, beans, and cole slaw, which was great.While it wasn't the best BBQ, there don't seem to be a lot of BBQ options in Hoboken. That being said, if I come back, I'll just get the brisket and cole slaw, or maybe try one of their sammies.Tip - HH is Mon-Fri (11 am to 7 pm). Just don't get the 'house wine'. It was probably the most terrible wine I've ever had in my life.",House of Que,3.5 star rating,$$,Barbeque
3,PC3KH34e7oVFtPAvQoGMQQ,Jamie M.,2.0 star rating,"House of Que is supposed to be Texas bbq but the only highlight of the restaurant was the dueling pianos that were playing the weekend night we went. I was there for a birthday party and therefore the ability to request and dedicate songs was fun. The performers themselves were very talented and comedic and blunt lol.The food was dry and reminded me nothing of Texas, also over priced. Only the hot dog was decent and that's not real meat. Wouldn't come back.",House of Que,3.5 star rating,$$,Barbeque
4,JaesTErPaXXRRC0kqodDjA,May C.,3.0 star rating,"Highly recommend coming here for the Dueling Pianos. I can't remember their names, but both of them are so talented. They can pretty much sing anything!As for the food, the corn pudding is amazing. I thought it would be a cream since it said ""pudding"", but it was more like a corn bread served in a cup. The bread is buttery heaven, so moist and warm. The corn gives it some texture and additional flavor. I highly recommend trying it! I also had a BBQ chicken sandwich, but it wasn't as good. It had ok flavor, but the chicken is extremely dry. Expected much more from a BBQ place, especially when it boasts bringing Austin to Hoboken. Drinks are okay priced - $8-9 a drink. They make a great gin and tonic. Shots on the other hand, are pretty expensive. $8 for a shot in the small plastic cup. Not worth it.I'll certainly be back for Dueling Pianos, but not sure I'll be here for the food otherwise.",House of Que,3.5 star rating,$$,Barbeque
5,nkrt_GX66yznsvvSu5eC5w,Steve L.,4.0 star rating,Great food and big location. Probably best option for BBQ in Hoboken. Their wings are really good but other stuff isn't as good,House of Que,3.5 star rating,$$,Barbeque
6,TtxF7ZIOz959nRCXGMd9mA,Linda M.,4.0 star rating,Oh yes! I have been yearning for the corn pudding since I left.  I'm glad I listened to other yelpers and tried it. It's delicious.  So get it.  Seriously. The brisket sandwich with fries was good. I also enjoyed the platter of brisket and ribs. They were solid without fuss and tasty.  I  got to really enjoy the flavor of the meat.  The Mac and cheese was OK.  The greens were good especially when I added a little bit of Tabasco for heat. Overall a strong barbecue meal with a great location. We got to sit outside and enjoy a great view!,House of Que,3.5 star rating,$$,Barbeque
7,agc8xW_K52K_QJGhfKdmjw,Leena T.,4.0 star rating,"I came here with my fiance after running the city challenge race in Hoboken for some celebratory drinks (a free one for race participants) and celebratory wings. We sat at the bar and unfortunately the bartender didn't honor the free drink without the drink ticket... which is attached to your race bib and seemingly gets ripped off when running obstacles. Not a deal breaker and of course there are in house policies, but it would have been nice for this to still be honored.In any case, can't go wrong with beers in general (most of the time), but really came to review the delicious smoked wings. Marinated so well, peppery with an incredible BBQ sauce. Highly recommend stopping by for this solely.",House of Que,3.5 star rating,$$,Barbeque
8,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"I think this place was average. The live music and atmosphere were great, and I love the way they open the windows on the summer days/nights. Definitely a plus. They offer both indoor and outdoor seating.The drinks were great. The Big Tex Palmer and the HOQ Spiked Lemon Tea were fantastic. We kept the drinks coming! However, the food was nothing special. The Queso Blanco was okay. Fried Pickle Spears should have had way more to them - the appetizer only included 5 pickles and it just looked scarce on the plate. The Pork Ribs were very fatty and the HOQ Chicken Sandwich almost reminded me of fast food. Overall, it was very average. I had higher expectations for this place.",House of Que,3.5 star rating,$$,Barbeque
9,3rqMcJvQ1KpGX6dVfZmGbA,Peter L.,3.0 star rating,"Been hearing a lot of good things about this place and seeing as it is also by the water, a beautiful July 4th day was perfect to try it. I came here with reservations for 12:30pm but didn't really need it because the place was pretty empty. I am assuming it is because of the holiday weekend as every time i drive by it looks busy. House of Que offers both inside and outside seating. The outside gives you a nice view of the water and city. We opted for the inside as it was very hot today.The staff here were very helpful and extremely friendly. Once seated we were greeted by our waiter who made a few recommendations for us. My group decided on a pound of the smoked wings naked and the Pickmaster's Pick combo with 4 sides. The combo includes 1lb of brisket, 4 ribs, 4 sausage links and half a smoked chicken. For the sides we got the mac salad, mac and cheese, slaw, and chili. The food unfortunately looked a lot better than it tasted minus the chicken. The chicken items were all surprising really good! My favorite was the smoked wings. Getting them naked really brings out the smokey taste and when dipped with ranch, it turns it into an epic appetizer. Everything else tasted okay. To be honest most of the items were very bland. Even when dipped with one of the two sauces provided it still wasn't that great. The sides were nothing to talk about either. It wasn't great but it wasn't so awful that it was not edible.Overall, this place is very average. I was extremely impressed by their staff and how quickly all the food came. The food won't blow your mind but it will definitely get you full. Next time I come I will just be sticking with the wings and drinks.",House of Que,3.5 star rating,$$,Barbeque
