,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,4wN4c4rNV_CCiKL5rMZiwA,Vaibhav S.,4.0 star rating,"This is an off the beaten path gem. Walking down the street up to Houseman is quite nondescript but inside is a bright restaurant with cool typography on the menu and a friendly staff eager to serve you. I came on a weekday so the crowd was relatively thin. I can imagine this place is full on the weekends. The vegetarian options aren't the most plentiful in terms of entree sized dishes, but the individual vegetable dishes were quite good if you treat them as tapas instead of individual portions. The best dish was by far the cabbage and hazelnut. This rec came from the waitress who saw my face rile up with disgust when she suggested it as one of the best things on the menu, but damn, this was one of the best preparations of food I don't usually like and changed my perspective on an otherwise unpleasant vegetable. I also had the potatos with goat cheese and the brussel sprouts. They were each unique and didn't really complement each other. I haven't had such a vegetable focused meal since I had a raw tasting menu, but it was a nice change from the usual gluten and starch I eat with my meals.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
1,IiqAV9NPDWpg_IGKxBppRw,Stacey C.,5.0 star rating,"Haven't visited Houseman in a while.....was time to revisit.The food is SO good, the service so kind.  I love this homey, neighborhood gem.  Steak frites off the chart good.Chicken Paprika on spaetzle amazing.......octopus and citrus salad terrific and the in house made sausage with watercress was a 10.Desserts were special....tahini semifreddo and an almond cake w/ candied orange.Ok folks, I need to come here weekly.  SO GOOD.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
2,Fw8yt6ehy9oyZE6ASJkAkA,Mike G.,3.0 star rating,Came here with friends for our monthly burger meet up. The staff was very accommodating since there was 12 of us and we were all ordering the burger.The burger comes as is and the only change you can make is if you don't want cheese. All the burgers come medium rare to medium with Swiss cheese and caramelized onions and mushrooms with fries.The burger was very good and cooked the right way. I would recommend it if you were in the area and in the mood for a burger but not worth traveling out of your way for it.,Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
3,8XQLYdJrjzbP3VOCzFmgpA,O G.,5.0 star rating,"I'm four burgers into my Tour de Manhattan, and I nearly missed an epic side. However, my 10 year old daughter and her penchant for steak frites saved me. The fries that come with the burger are good. But those that come with the steak frites are extraordinary. I wondered they were cooked in tallow (once wonderful, but now forbidden fat), then tossed with the thyme and spices that accompany the steak. Regardless, get the steak frites and be glad you did.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
4,PhIo_j1q01N-qerNSjX0oQ,Pete B.,5.0 star rating,"Fabulous food all around. One of the best burgers in town, but be adventurous and try everything, from the nibbles to the small plates and everything else. Stellar wine selection and  great bar service. This place is a keeper.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
5,LaJknZjQMI-4BI_IE31SrA,Romain T.,2.0 star rating,"So so experience.Had to wait 15 min despite having a reservation.We ordered burgers following an advice on inflatuation.-The burger itself was good (meat + bun). No sauce inside the burger (-1).-The French fries were cold and waaaaaay to salty (see picture). Not very tasty and probably frozen (ie not handmade) (-1)-The sauce for the fries was ketchup...come on, ketchup, really?.(-1)Atmosphere and service were good.The burger seriously lacks creativity. Shake shack type of burger, with bad french fries.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
6,To7h4NUOUug37mW1zBjT5Q,Jasper W.,2.0 star rating,"Let me start by saying I have been to Houseman a handful times. I live around the corner, so when it opened nearly three years ago we were excited to get something new in the area. I was not thrilled by my first visit there back in 2015 but went several more times because my girlfriend really WANTED it to be good. We both did, but it honestly wasn't for us. We would go in and leave being sort of just disappointed. A lot of menu items where you read the description, order, and then the way the plate comes out is something completely different than you pictured. That is good in some restaurants - I know diners love it. But the problem here is that a lot of times the dish just doesn't quite work. Actually, I have experienced this at a lot of restaurants that are categorized as ""New American."" I know I am being vague, but it's just not tasty! Sort of bland or under-salted or just a mix of things that are just that - a mix of things - not necessarily some amazing odd combo the chef created. Not bad, but just not something you want again....Now we get to the point of my review here, which indeed is partly about my Houseman experience, but also about a recent Grub Street ""Best of NY"" list - which got me back through the doors of Houseman. Before last night it had easily been two years since I'd gone to Houseman. I had made my opinion of the place and just never go anymore. This Grub Street list purported that Houseman has the best steak-frites in New York City. Now the list was interesting because it avoided the classic NYC steak house places and was more centered around bistros and smaller restaurants that don't solely focus on steak. Cherche Midi was #3 on their countdown which made me trust in the list, because I have been a huge fan of the steak-frites at Midi and indeed do the solo bar move they outline myself quite often. I felt like they knew my sleeper steak spot so they must know what they're talking about. The steak at Houseman was not nearly as good as it is at Cherche Midi. However it was exactly what I would expect at Houseman. Some twist on a dish that you didn't want or need but are getting anyway. There is nearly no crust on the meat - no Maillard reaction going on. It's as though it were sous-vide'd and then just rolled around and sautéed in a semi-hot pan for about a minute to get the outside a little brown. A lot of medium-rare beef throughout, not a lot of the flavor of the exterior which is personally why I eat steak. To Houseman's defense, reading the piece on Grub Street again right now, it sort of outlines that the steak would come out this way. Steak or no steak, my opinion on Houseman is exactly the same now as it has been. As Yelp puts it for two stars, ""Meh. I've experienced better.""",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
7,sJxBi5-V-gQfe7TOKFQnuQ,D R.,3.0 star rating,Went for dinner. Paid $20 for a hamburger. It was underwhelming and basic. It satiated my hunger but was not special or flavorful. It left me feeling like a chump who actually spent $20 for a burger and fries.,Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
8,TDolY5V9kO9WZioSGML8GA,Sasha B.,4.0 star rating,Damn good burger. Good bar scene. Good service. I am excited to go back and try other items on the menu.,Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
9,xCzy2az2QQcVQ5S5O-gKzA,Satoshi I.,5.0 star rating,"Great food and cozy place for everyone, like a family with a small kid, like a couple of elders and singles. I love the ""Butter Chicken"" which was with coriander. The person was nice, too. (I was at the bar counter, so my impression was mostly about the person at the bar)I feel comfortable not only because of the foods, drinks and staffs, but also because of the smiles of guests.",Houseman,4.0 star rating,$$$,"American, (New),, Burgers,, Wine, Bars"
