,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,NSIIlfSAmggFSm86dTv6sA,Hannah C.,5.0 star rating,"Kitchen in plain site, where you see several chefs cooking up delicious, fresh meals right in front of you. There's bar seating, which I'd recommend trying. Other than that, small tables throughout the restaurant. There's cute outdoor seating which I didn't really get to see set up, since we went on a chilly winter's day. The veggie burger is great. I love finding places that can do a good job at making veggie patties and this place is definitely a great way to go. You can add avocado to your burger which I also recommend. Great list of wines by the glass (reds, whites, sparkling). Service super friendly, casual. If you're coming with a group, wouldn't recommend more than 6. It's small. Gets busy during lunch on a weekday also. Avocado toast looked delicious. I'd definitely come back to try more of their dishes.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
1,JEjvSTkJhkIkMQbyZIWpaw,C L.,5.0 star rating,"Came here for the first time last night for my birthday after a different restaurant lost our reservations. We were able to get reservations for 2 just a few hours before we wanted to visit. Ordered the quinoa salad, ravioli appetizer, short rib entree, steak entree and chocolate pot for dessert. Everything was absolutely delicious! The short ribs and ravioli were my favorites. Prices were reasonable for portions, everything had great flavor. The vibe and service were also good! Will definitely be recommending and returning.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
2,gGePueTnywY2s7Bxgv_7lw,Bonnie G.,5.0 star rating,"Been hearing about these homemade cinnamon rolls for a long time, and as a major hunter of the sensational treats, I had to come here and finally try them. They're half the size I thought they'd be and could be served warmer, but darn did they get the job done! Really delicious and a great mix of sweet and fluffy, unraveling dough.Also got the yummy but basic in every sense of the word avocado toast. The poached eggs with cream sauce and mushrooms was so tasty, too. And the employees are so kind, generously pouring coffees while we played rummikub. 5 stars!!!!!!",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
3,Bgma55u_oXSZTdnUAkhRLw,Karen B.,4.0 star rating,"Delicious, fresh food, yummy roasted broccolinI!  Highly recommend this place for lunch.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
4,3ddDHGLI9tp8o7vI6c-BgQ,Shaila S.,4.0 star rating,"This is a small trendy cozy place with a beautiful garden patio to sit and eat and enjoy in the summers or to watch in the cold days. All their stuff is amazing - from their breakfast foods, their cinnamon roll, their fries (OMG those fries), pastas (gnocchi), and their steak dish. Service was super friendly and attentive, the food was fresh and cooked right there, and the flavors were great. I'll definitely be back with friends.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
5,sZyD1IA2RQfz4BqLwY2d7A,Lan L.,4.0 star rating,"Walked in on Friday night without a reservation and got seats at the chef's table.  Got an up-close and personal view of the kitchen where the magic happens.  Appetizer was burrata; was ok.  Definitely recommend the gnocchi for entree, by far one of the best gnocchi I've had. The salad on the side was heavenly.  My friend got the bass, which was decent too. Blueberry crostata for dessert hit the spot.Bathroom was not very tidy; paper towels overlooked the trash.Would recommend sitting in the garden in the backyard to enjoy the crisp autumn air.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
6,XjJBIa84p_DhPoT34QhLfA,catherine r.,5.0 star rating,"walked in no wait on a saturday @ 830pm.. pretty amazing on a saturday in nyc...  in any case the food was delicious (we got the quinoa, the duck, and the potatoes). Service was also good and quick. Would come back when I need a last minute place and don't have reservations.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
7,B-5L18TuR-VjBlm8k3xSaQ,Dennis R.,5.0 star rating,"Love this place!  Photos on yelp doesn't do it any justice when it comes to appeal of the place.  The Chef Jake was amazing and with great hospitality.  I had the filet mignon, clams with linguini, and the sweet potatoes (root vegetable gratin, squash, celeriac, sweet potatoes, chipotle , flory's truckle cheddar).  For dessert I had the infamous cheesecake.  Coming back tomorrow for brunch! Thanks Jake",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
8,bwvnypzWo5uy3dW9my-02Q,Kate H.,4.0 star rating,"A casual brunch spot with a lovely outdoor patio in the back. My husband and I stopped in early afternoon on a beautiful Sunday and only waited 5-10 minutes for a table in the back garden. The seating area is lovely, well shaded, and with plenty of greenery. I had a refreshing grapefruit-and-gin cocktail with a tasty eggs benedict (recommended!), while my husband had a french toast he LOVED. (He may have tried to lick the plate without anyone noticing - ha!)Perfect little neighborhood spot, not too overcrowded with tourists.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
9,PY-XIZ9KX4xZ0WFT6RaFLg,Jessica D.,3.0 star rating,"This place is very cute and quaint, there was no wait for Sunday brunch. We sat outside because the weather was so nice. The waitress was a bit slow.. waited like 5 minutes for a refill of coffee. Huevos Rancheros ($16)- 3/5 These were really just okay, yet it was on the more expensive side. The portions were decent. They use like 2 corn tortillas instead of chips and I couldn't really taste the cheese. It had a lot of black bean juice that leaked from the beans and could potentially make your tortilla soggy. My boyfriend ordered the Herbed French Omelette ($15) which was pretty good, the tomatoes were delicious but the mixed greens were on the bitter side. Green Machine ($8)- Nice and cold without ice. It's good for a cleanse or for a refreshing start.",Hudson Clearwater,4.0 star rating,$$$,"American, (New),, Breakfast, &, Brunch,, Wine, Bars"
