,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,I8B5HrvxIM2KLotIFBIp0g,Lenny K.,4.0 star rating,"I tease my wife because no matter where we go, if they have paella on the menu, she orders it.  Spanish, Portuguese, Seafood, Greek, Gastropub, wherever.  This one she said was excellent.  I had the skirt steak and also thought it was very good.  In fact, everyone in our party of 8 enjoyed their meal.  There is a large selection of burgers. The place seems to be very cooperative in making changes and they have just about every flavor of vodka. This night I tried the fig flavored vodka.  They do need to do something about the cold winter air coming all the way into the dining room every time the outside door to the bar is opened.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
1,s6TnINODnAwhHk0e_QXayg,Arshi K.,4.0 star rating,"Can't fault a good old tavern with great food and a chill vibe. Hudson Tavern has a really good menu and something for everyone - the food is well done and they have some great specials. On Friday night they served a mean lobster risotto with a giant soft shell crab. The husband demolished the crab before I could get a good pic, sorry... but I can vouch for its fresh crispy excellence. The risotto itself was a generous portion with a good amount of lobster and I thoroughly enjoyed it.  The catfish sandwich is also a good bet and seems to be an in-house favorite - the fish is nicely blackened and served on a fresh ciabatta. Great food and warm service ... win-win for this old Hoboken favorite. And strollers are encouraged in the back dining room. So parents take note!",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
2,ZpOqY_z67FCP94AEfOQ3WA,Froilan O.,4.0 star rating,"Hudson Tavern is a great time. I especially enjoy going there during happy hour. Most beers are about 3 bucks each during that time. The food is great. I recommend their chicken quesadilla. The bar and restaurant are a decent size so, even when it is crowded, it doesn't feel overwhelming. For those of you who want to get work done at the bar, they do not have wifi. Lucky for me, I have access to a mobile network through Optimum. Friendly staff and a nice ambiance for a date.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
3,b8aGupTedzuiIkYh7QN-rA,Caroline M.,4.0 star rating,So good! Went for lunch - it was amazing! The best part is they are pet friendly and they even gave my pup a bowl of water.,Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
4,l8_h_axKGp5aQeQfTC0_EQ,Diandra F.,4.0 star rating,"Anywhere you can bring your pet is a plus. I love my dog, I love it more when I can bring him to brunch. Stopped here with my fireman, his sister, and our dogs Leroy and Charlie. We ordered the buffalo wings to start and grilled chicken for the dogs. The wings were amazing, super tasty and just the right size and level of spice. I do with the blue cheese was authentic, it tasted a little boring, and had not blue cheese chunks. The dogs got sliced up grilled chicken and water bowls - they were loving the service. I ordered the truffle Mac and cheese for my meal because it sounded amazing. And so it was. Absolutely delicious. There's a lot of options here, makes it difficult to choose something when you're already super hungry. Overall, great experience, lovely staff and good service.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
5,q3sTs30eeBr6zVylesvfuw,Ritesh S.,4.0 star rating,"Nice neighborhood bar with friendly staff and good list of beers and cocktails. We went on a Friday eve,  sat at the bar and ordered couple of drinks. It was pretty busy. It has a formal dining room as well. We didn't order any food but their menu looks impressive. Will definitely go again to try their food.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
6,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,5.0 star rating,"2 important points:  Best burger I have had in Hoboken.  At a perfectly cooked medium rare, the juice was dripping out of the burger and I fell into a prompt food coma at the bar.  Which is why the bartender made me a banging espresso martini.  Easily the best martini in Hoboken!  If you live in the neighborhood this is an easy choice for a casual dinner.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
7,s0b7ZuuqbzW_rmEfdW55kA,Katie K.,4.0 star rating,"Great tavern with a large round bar that feels old-fashioned and a solid menu of pub eats. It's an excellent spot to watch a game on tv and eat a good meal. We've passed Hudson Tavern tons of times mistaking it for just another pub, but it's actually a nice restaurant inside with an area that is separate from the bar. It also has a nice 30+ crowd and great bartenders.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
8,q7Mb8zPMTH3rlK4MFnj6CA,Meg F.,4.0 star rating,"Ordered wine and appetizers here... had the mac and cheese, pizza, spinach dip and Calamari. Highly suggest the spinach dip and mac and cheese.... calamari had no flavor and pizza was medicore. Staff was very slow outside.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
9,HviqiMwYpXzVoPBNuX6oYA,Ken M.,4.0 star rating,"Great local bar/pub- whether eating at a table or eating / drinking at bar.  Super spot for a game.  Not too many milennials. FYI kudos to Carmelo, he is a great bartender!",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
10,7zNwXp9eOrIQYRtlvWVEig,Kirsten H.,3.0 star rating,"I came here on a Monday night and sat in the bar area rather than the restaurant. This wasn't a wise choice, as Monday night football was in full swing and there were some rowdy fans as the tables surrounding us, but definitely our mistake not the restaurants. I ordered the Portobello sandwich, which was a great size though difficult to eat. The side salad had way too much dressing on it, but was fresh. The food was good, not great, and well priced, but the tiny little glasses of water they gave us bothered me. I had a pretty average dining experience overall-nothing to complain too heavily about, but nothing superb either.",Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
11,xZJvEPe7MnOoKLcgZfM4Uw,Maria B.,5.0 star rating,One of my favorite under the radar places. I've never had a bad meal here. Best mushroom risotto. Everrr. Love their perogies ! Great steak dishes. The paella is bangin'. And always good service!,Hudson Tavern,3.5 star rating,$$,"Pubs,, American, (New),, Sandwiches"
