,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,qczBbqTBteN78ld5C5ktLg,Jonathan B.,5.0 star rating,"Miso cod is to die forGreat portion, surprising these daysEverything else is just as greatKudos to you HobokenOnly time I'll ever say that",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
1,Z6g-jEpKaZyVeQ4aCtmqGQ,Sage L.,1.0 star rating,"I use Yelp daily to look up restaurants but have never left a review, so you know this was bad.Read below for misleading prices, misleading serving sizes, and ATROCIOUS CUSTOMER SERVICE, specifically from the manager. I was looking forward to trying Illuzion because the menu on their website featured some interesting special rolls at decent prices, ranging from $9 to $13.50. However everything was priced way more expensive when I got to the restaurant, especially the special rolls which were actually $17-$20 each. I was annoyed because this difference is pretty significant and I would've gone somewhere more affordable. I didn't want to spend that much on a single roll, so I went to the menu section of regular rolls and ordered one of the more elaborate ones off there for $11, along with an order of fried rice.When the roll came out, it only had 5 pieces. I'm not a stickler, but it was just so little food. I was already feeling misled/unhappy about the menu prices and feeling ripped off a second time before ever taking a bite. I asked the server if there should be another piece. ""No."" I said if the roll was smaller than the others I believe this should've been indicated, because this portion is extremely small for $11 and I wouldn't have ordered it. She said she would ask the manager. I waited awkwardly for 10 minutes (not eating the roll), but no one comes. The server came to refill our waters and again said ""just 5 pieces."" I asked if the manager (who the server said she would get btw--I never asked) is still coming.The manager then stormed over, asking ""You don't like the food?"" in an accusatory tone while reaching to grab my plate. I politely explained that it's not that I don't like it (I haven't even tasted it), just that I was surprised at how small the portion is for this price and that a 5-piece roll is not normal and should've been indicated on the menu. She yells at me that I should've know because every roll with shrimp or lobster is small everywhere (obviously not true). She kept grabbing for the plate saying she'll take it back if I don't want it. I stayed cool and collected, trying to explain how I feel again and telling her I was a dissatisfied customer and just thought she should know. But she kept interrupting me and rolling her eyes. And I had to seriously ask her to stop interrupting so I could finish my sentence more than once. The conversation was about 25% me talking and 75% her yelling, rolling her eyes, interrupting me, and grabbing for my plate. I eventually said i didn't want it, so she grabbed the plate, stormed off, and threw it over to the sushi bar. And then proceeded to huff and puff her way over to the servers and gossip about me. She didn't care even a drop that I was not happy.I have never been spoken to so rudely by anyone in a restaurant, let alone a manager.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
2,zqMDyH3T7Sd4OEtrNGpl_A,Ling C.,4.0 star rating,I love this restaurant. I was introduced to it by my boss.  She used to order from here all the time when we worked in Jersey City.The restaurant is quiet during the weekday lunch hour. Prices are reasonable and the sushi rolls are fresh.,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
3,ioElFB9bwp3zZw-ckaR-Nw,Ruby B.,4.0 star rating,Ive eaten at their resturant and have gotten take out from them many times; Ive never been dissapointed. The food is really good and basic (but the good kind of basic). The resturant has good service and delivery is very quick. Also the shrimp risotto is bomb!! One of the best sushi places in Hoboken.,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
4,dnhMSSC6OvfbSxBtQ90IwA,Patricia A.,5.0 star rating,Beyond the best restaurant in hudson county  the fish is fresh food is always a+ quality is go there often with my kids and the waitresses along with the cashier ate very friendly it will always be my number one sushi place delivery is also fast mind you i live in Weehawken i would recomend to anyone eat dine and enjoy here plus is byob which is the be,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
5,tibDp6fwKPt1mK_Ifxln0Q,Vinil B.,5.0 star rating,"Come here for the excellent service. Its a gem in midst of hoboken. Vry considerate staff, amazing ambience. Def coming back.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
6,QzHS3Lw393UZqvYTZ7Vh0w,Dulce L.,1.0 star rating,"Indoor and outdoor seating available right on Hoboken's Washington Ave.  We ordered a California roll, shrimp tempura roll, one spicy tuna roll and a yellow tail roll.  Rolls were small, no attention to detail.  Avocado in the rolls were hard and unedible.  We called our waitress and told her that the rolls were hard, even the seaweed in the rolls was unchewable.  So we asked for the check so we could leave.  She comes back out with more sushi and tells us it's on the house.  We try the second set of sushi and it was just as bad.  No attention to detail or quality.We paid for our check and left extremely disappointed.  Never again.We have been on a losing streak with restaurants lately",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
7,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,3.0 star rating,"Too much sesame oil- never seen that on rolls before (as in, I've never had sesame oil in any soosh before). It was way overpowering. While I would never hold anything over the most minimal expectations of sushi joints in the area, I still can't give this more than 3 stars because it's just meh at best. The rolls are creative and I did feel filled to the brim having shared 3 rolls between 2 people, but I didn't like that I had to pay extra for green tea at a supposedly Japanese restaurant (yes, we all know it's the run of the mill Chinese joint). I liked how there wasn't much rice, but the rolls were somewhat falling apart. By the time it reached my mouth, I had half in the soy sauce pan. I also thought that the tables were WAYYYY too close to each other. We were all elbow to elbow and I can hear the next table's conversations as clearly as our own. The bathroom was clean and the restaurant had a moderately well decorated modern decor.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
8,z7jOy5Vbhc4xezMWYPkvTg,Amy O.,5.0 star rating,Best sushi in Hoboken!! Very unique rolls.  The ginger dressing on their salads is purple with plum in it-- very good!,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
9,s2cAI45H91uLEbXjJjXuTw,Jaclyn V.,1.0 star rating,"They gave me the wrong hand rolls in my order as a delivery, as it was a ""lunch special"" that came with soup, salad and two rolls. They didn't want to refund my money because they claimed I ate the soup and salad, so they started nit-picking the order because I ate the $2 dollar soup and a $3 dollar salad. Talk about CHEAP and now they lost a customer who will never order from them again over $19 bucks. HIGHLY do not recommend them, I will go to Okinawa every time now",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
10,KqaZX9q4dPDiskRainHd2w,Nouran I.,3.0 star rating,"I was there on a Tuesday night and it wasn't crowded at all, when we first went no other customers were there and the staff was nice. I ordered the stir fried chicken with Udon, I wanted to substitute it for ramen but I wasn't allowed to(but the Udon was really good). We ordered the Crazy Weekend from the Chef's Special Rolls. It was pretty good. **I was charged $1 for spicy mayo.. that to me seemed super cheap of the restaurant to do, I've been to so many Asian restaurants and I've never been charged for spicy mayo** The tables are kind of tight but it wasn't  an issue like I said it was pretty empty so I didn't have to worry about being too close to others.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
11,KoYbIMRK0tN3MBlTaJaSkQ,Sasha E.,4.0 star rating,Good for a quick and cheap bite. Rolls are mediocre. Enjoyed outdoor seating. So it deserves 4 stars. More casual bites. Would try again,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
12,DexW55ulqWSs-x7YroK-vA,Kate F.,5.0 star rating,"I'm obsessed with Sushi, and this is the best of the best in Hoboken, they really know how to spot the best-quality  fresh fish instantly... BYOB and enjoy your date",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
13,J3LPSil7Y0SGZvpWpxUiOA,Laura S.,5.0 star rating,"My favorite sushi spot in Hoboken! The Invictus roll is the best! The owner is a lovely lady, she knows my face cause I'm there at least once a week lol They can be tricky with reservations but the food is awesome",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
14,Of2vbDCNL6soQEk6WJ9X8g,Ve V.,1.0 star rating,"I decided to order from Illuzion Sushi, I asked for riceless sushi rolls and they answered that they were not able to do them. I have been to many japanese restaurants both in Usa and Europe, it's the first time that it happens to me. I am very disappointed, on the way to Honshu in Jersey City probably the best sushi place around here, they do amazing riceless sushi!",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
15,ifKYuJaWBCuJM4ipxELufQ,Yu Sang L.,5.0 star rating,"Just had dinner with my friends in illuzion. I have been living in Hoboken for a long time, and illuzion is my go to spot for some taste of the sea.  I ordered sashimi by pieces( a la carte) and it was perfect. I only eat certain kinds of fish raw, so if you like assortment of fishes, please try the sashimi deluxe.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
16,OJ3P9Nug3E9J-gsU5T2c9A,Aaron B.,3.0 star rating,Good sushi and reasonably priced. I was very happy they were able to get us a table without a reservation on a Friday night. My one complaint on this place is how obnoxiously bright it is in there. Turn the lights down and make it more intimate!!!,Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
17,KOygMqXCqAmCmktxYXyL1g,Scott H.,3.0 star rating,"Meh.Sometimes average restaurants live on for years due to good location. Sometimes good location provides an endless supply of customers, and there's no incentive to improve.  I suspect that's the case here.  I've had both delivery & eat-in sushi at Illuzion a few times and haven't been impressed.  I've tried a number of different rolls, and they all suffer from the same flaw:  below-average rice.  Their rice doesn't hold together well - the texture and consistency aren't right - and it also seems entirely flavorless and unseasoned.  Illuzion, please send your cooks to Robongi to learn better rice prep.  Beyond that, the fish and other ingredients that fill the rolls are just average.  In Hoboken, Okinawa (my #1) and Robongi (my #2) are far better for sushi.",Illuzion,3.5 star rating,$$,"Japanese,, Sushi, Bars"
