,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,DsNQRzcSA4P3BixWW-kMeQ,Greg R.,5.0 star rating,"Talk about a gem... I can't tell which is better, the atmosphere, the people, or the food!  I'll start with the atmosphere... old world pub style, very cool. The very next thing that will jump out at you is how excruciatingly nice everybody is, starting with the bartender, the hostess, waiters, and even the manager came over to say hello. Remember the good old days, when waiters used to linger near your table constantly watching what you're doing like a hawk? Our waiter was Victor and that's all he did.... awesome. Last thing is the food. I had the iceberg wedge salad, the salmon, chicken wings, and nachos.... Everything perfect. Would highly recommend!",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
1,ns-SZ4VuVZpwIYHT7eTX3Q,Jessica B.,4.0 star rating,"The food was good. However, they are on the pricier side. But you expect that in a hotel. I ordered the grilled cheese with bacon. There was three different kinds of cheese and the bacon pieces were thick and huge so its not your ordinary small grilled cheese. It is filling. I upgraded my fries to disco fries since I have never had them before. The fries were suppose to be smothered in gravy, cheese, and bacon. They were pretty good. It could have used more gravy for my taste. My friend orded a french dip and I used some of that sauce for my fries with no toppings as it had a similar taste.",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
2,MjiLFYXCO48SKVbZ2astPA,Jay E.,1.0 star rating,"It was my first and last visit to this restaurant.Why?? The food was not fresh, correction the fries and the beverage were the only ""fresh items.""I read other reviews about this place and my biggest observation was how filthy it was. There was food in the crevice (space) between the back cushions and the cushion where you place your bum.I had the pork ribs. The menu does not confirm whether it's a 1/2 or FULL rack. Shame on me for not asking.You can tell by the taste the ribs were OLD and heated up, not 1/2 way cooked or pre-cooked.Before I forget to tell you, the fries were good.The service wasn't bad, it was not the best either.Why do waiters and waitresses always go MIA when it's time to pay the bill.Unlike the menu, I will maintain transparency and confirm for you, I will not be back, primarily because how filthy the place was.",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
3,OrpKNqiEzX9T2we9xMAezw,Prince O.,5.0 star rating,"I was there for a 3 day conference and ate at Jack Austin's the full 3 days. The staff is excellent! It's sad to say that I had not experienced that awesome level of customer service in awhile. From the very first individual you encounter up to the manager, Peter, the bartender, Moudy, you'll experience what great customer service is. I recommend it!",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
4,vTCMQJINbT25uHAKMmI4XA,Rachel L.,3.0 star rating,"A friend of mine craved for Jack Austin's Blueberry tart dessert on a Sunday evening, so off we went. This place was pretty empty at 8 p.m. Sunday evening, and we were seated right away.We had a full meal before coming here, so we let our waiter know that we were only in for a specific dessert, Blueberry tart.We ordered lattes, which was foamy and not too strong. The dessert was on point. Something that I would come back for.Decor of the place was nice, and what a great location to stroll around the river after a meal! I would come back to try the full meal and update my review. So as for now, I can only recommend their desert.Parking lot is conveniently located right around the restaurant. There was no one at the entrance booth to collect parking fee nor there were any signs about the charges on a Sunday evening.",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
5,aywUCGrIt0NZgcH8m0ROrQ,Jessica M.,5.0 star rating,"Aradin was more than helpful We had 2 bloody Mary's which were amazing when asked to make them EXTRA EXTRA EXTRA EXTRA SPICY, they tried but you still need to add Tabasco to make it perfection. We had the Jacks Burger and Breakfast burger without the pork, asked for a side of spicy mustard for the fries ! Do it !!!!! Tastes amazing !!!!!!! Enjoy !If you want drinks in the evening !? Come to the bar, have Moody help you he is outstanding in customer service and loves his job which makes you love to be around him and bring your friends to drink ! He has amazing recommendations! Xx your welcome",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
6,5nCxfTUC2-xZqbQC_7atcQ,Kevin C.,3.0 star rating,"We came here on a Friday night for dinner at this Texas themed dimly lit restaurant attached to the Sheraton hotel.   We were a bit surprised there were rather few customers at the seating area, but the bar was full and lively on this night.  Opening the menu, we could see why.  We sorted through a minefield of overpriced items that only an out-of-towner getting dinner on the company dime would order.  Landing on the $12 ""large"" bowl of chili for appetizer, we were quite disappointed with the portions, with the only saving grace being that the chili was made with real cuts of steak.  My wife's deluxe burger entree wasn't bad at all, and the portions of fries were better than I expected.  Now onto my own entree, which actually pleasantly surprised me and which I'd even come back again for... the hot chicken sandwich, which was served on delicious Japanese toast and with a monstrous crispy chicken fillet (and I'm still full even writing this post an hour after eating it).  Leaving the restaurant, I checked back at the bar area which still buzzing with patrons and I wondered to myself what they must be serving for drinks...",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
7,gashKGzqPc4Z_RoexpaWdA,Harry G.,5.0 star rating,The service by the bartender Scott has been above and beyond. Food is actually been very wonderful and the atmosphere is perfect looking out over the Hudson. Keep up the great work look forward to returning soon.,Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
8,OoDBqY5G5N_K6N5DI-acaQ,J S.,1.0 star rating,This is the worst restaurant for breakfast west of the Hudson. Their buffet of liquid eggs and burnt bacon is not fit for a dog.   The employees are so useless.  No one stopped by our table to take drink orders.  Literally the worst  breakfast and experience you can imagine. You are better off waiting for lunch for away than eating here.,Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
9,h2KheE7aMbrY6Xc-k_1IrA,Bilgehan E.,1.0 star rating,"Ordered 16 Hour House Smoked Brisket for pickup, $24. What we got was a thin slice of what can be described rather as leather with side of potato and beans. The worst part spending the next day pretty close to the restroom.",Jack Austin’s,3.0 star rating,$$,"American, (Traditional),, Bars"
