,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,5.0 star rating,"JOHNNY PEPPERONI. I am absolutely obsessed. This restaurant is a wonderful dine in spot for pizza & Italian food. It's authentic & absolutely fantastic. I feel like I'm in Italy with every bite. The bruschetta is so good - the toast is crispy & soft (you'll understand what I'm talking about when you try it) and the ricotta and tomatoes are amazing and fresh. The square pizza pie is to die for - we always have so much to take home, and I am satisfied for days. The pricing is reasonable and the service is great. It's BYOB which is another huge plus in Hoboken. Highly recommend!",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
1,_XigL_SDb1_NnPbL2fXnIw,Tawanna M.,5.0 star rating,It was my husband and I first time coming here tonight since living in Hoboken since last year. The food is amazing authentic. I felt like I was in Italy. The atmosphere is amazing. The people that work here are amazing I mean everyone. I would like to give a shoutout to Richie. Please if you come here ask for Richie because he is the best!!!!!!! Oh yeah and BYOB which is amazing. The entire staff is amazing. You will definitely see my husband and I here more than once. See you next time Richie!!!!!!!!Hospitality here was amazing and outstanding from when  we enter the restaurant and until we left!!!,Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
2,JZJIG5KdsJHITf0i0loGXw,Joe E.,2.0 star rating,"People have been raving about this place to me for a couple of years. Mostly around the amazing square pie they serve. So, we decided to make a trip here last weekend for a homecoming party. They do not take reservations, but we were told that we would be seated pretty quickly. When we arrived, we immediately found ourselves having to wait out in the rain because there is a real lack of an area to wait inside, but that was not all that bad since we only had to wait about 10 minutes. We got seated around 8:50 PM and we were immediately surrounded by about 3 servers, who surrounded us to fill our water and open our bottles of wine (score BYOB). As a large group, we took about 5 minutes to figure out what we would start off with. After another 5 minutes our waiter came over, gave us some suggestions and took our first order of appetizers. The appetizers were pretty good, we started with; the Antipasti Platter, wings, rice balls and a square pizza. The Antipasti Platter was a huge let down for the price we paid, it kind of looked like they just threw some leftovers on a plate and served it. The rice balls were okay, not something I enjoy, but everybody else seemed to like them. The wings, nothing special, just wings, but the square pie was pretty great! It really had us looking forward to try out some of the other pies. The restaurant was pretty busy and we kept waiving over to our waiter, who seemed overwhelmed with other tables. We asked the bus-boy if we could place our dinner order when he came over to fill-up our water, but he said our waiter had to do that, but he would tell him to come over. Finally, after about 10 minutes he came over, apologized and took our order for 4 pizzas. Then tragedy...he came back about 3 minutes later and told us that the kitchen was closed. Apparently the kitchen has a hard close time of 10pm, which nobody thought to share with us when we sat down or ordered. I quickly looked at my watch which read 10:01. I told him that we actually ordered a couple of minutes ago, but he again apologized. When I asked why he did not share that the kitchen would not serve after 10:00, he just shrugged and said he was sorry. I know that places have to close, but this seemed a little excessive considering that we did order before the kitchen closed and nobody mentioned this closing time to us. So, we did not have a chance to try out all the other pizzas that were on the menu. So we left hungry and made a walk down to Mario's, which was still open and more then happy to take our money. I guess we will never know what their pizza taste like since we will not be heading back.",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
3,TXlw_uAtRAjIaCtPr3cZRw,Allie C.,4.0 star rating,"Pros : outdoor seating is ample and comfortable! The burrata  special was out of this word amazing. So much so, that I packed my entree to go, and ate the burrata as my meal.Cons: servers looked unkempt, arancini (rice balls) tasted like A mixture of cheddar cheese and plastic.Major pro: the owner, (John) was kind, generous and easy to work with during an event I hosted this weekend.",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
4,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,Has been a family staple ever since Baron was born.  Staff is always great.  Cozy friendly vibe.  We love to bring some beer and wine and nestle in for quality pizza.  Every once and awhile I diverge to a pasta dish and am never disappointed.,Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
5,_PeZgqt5NfKSbY4zYNJ2rQ,Melissa M.,2.0 star rating,"I really was not impressed with Johnny Pepperoni. I felt like I had to try it at least once because it seems to be a staple in Hoboken. The caesar salad was fresh, but the dressing had a fishy taste. I know it's obviously made with anchovies, but I've never tasted that in a caesar dressing before.We ordered a plain pie. Although it was not bad, it was certainly nothing to write home about, especially for the cost.The staff was friendly and the owner (or manager?) came to check in with us at one point during the meal to see how everything was.All in all, if Johnny Pepperoni was a bit cheaper I might return, but there are too many other Italian restaurants in Hoboken that I could go to with better quality food for the prices.",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
6,9zngzsXKxCPUg0uR76PJ4Q,Lisa H.,3.0 star rating,"Four adults and one baby sat outside of Johnny Pepperoni on a mild summer evening. I didn't see much of the inside, but the outdoor seating was really nice, especially since the pizzeria is located in a calmer residential part of Hoboken. We shared the burrata cheese appetizer ($18) off the specials menu. It was a heaping ball o' cheese accompanied by prosciutto and a little balsamic reduction and olive oil. The appetizer was quickly destroyed. For some greenery, we ordered two marinated mushroom salads ($9) to share. There was nothing negative to say about the salads, only positive things like ""Yum."" In addition to the mushrooms, there were artichokes, onions, and basil, topped off with a balsamic vinaigrette. Eventually we decided on the prosciutto and arugula ($20) and chicken parmigiana ($19) pizzas. I was willing to try the clam pie since it sounded like the most out there option, but no one else was game. Both pizzas were popular at our table. I thought the chicken parm one was a little heavy since there was fried chicken atop a pizza, but that was just me. I probably gravitated more towards the prosciutto pie but it was a slightly salty due to the prosciutto. Unfortunately we found a long blondish hair baked into one of the pizzas. We didn't say anything just to prevent a fuss, but it wasn't exactly the highlight of the meal.I think our server was named Danny, and he was ultra-polite, and he and some other staffers kept an eye on us.",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
7,UHi8Y73uTZQ2tAKLJcKqxw,Jenny Z.,5.0 star rating,"Friends highly recommended the pizzas at Johnny pepperoni, but we are nonconformists... and tried their nana's chicken and eggplant parm! Wow, we were blown away! Especially with nana's chicken, didn't know what it was, the chicken was cooked perfectly and so flavorful (even the rice). Our serve was great,  the location is awesome, can't wait to come back and try what they are known for, PIZZA!",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
8,FuiG5k5hpmVgVjFnY8eQhQ,Cassandra P.,5.0 star rating,"Our favorite pizza place in the neighborhood! Have tried all the pizza places in the North End, Johnny Pepperoni's is by far the best.",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
9,z7jOy5Vbhc4xezMWYPkvTg,Amy O.,3.0 star rating,Ordered during a snow storm so I understand it may have been an off night. Very expensive for the quality of the food. The chicken parm was a little chewy and the prosciutto arugula pizza was not the best... the meat was a little too thick,Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
10,q7Mb8zPMTH3rlK4MFnj6CA,Meg F.,4.0 star rating,"Great BYOB Italian place in town. I have passed this place plenty of times and finally went in tonight for dinner and was very pleased!  Food was good, staff was friendly. I wish they had more variety in their menu. I had eggplant parm for dinner which was delicious. Would definitely return!",Johnny Pepperoni,4.0 star rating,$$,"Pizza,, Italian"
