,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,l7N_9vzkCRFgSEdzvh50Cw,Ashley G.,5.0 star rating,"I don;t know what to say, aside that it's near my block; enough said!They also provide pan con mantequilla and mad water!",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
1,SuL8mod1Doke7DOSdCzoCQ,Kat G.,1.0 star rating,"Prices DO NOT reflect what they charge you.  I'm taking a grad class at a school nearby this semester.. they could've had a loyal customer for at the very least the next few months.  I got charged $2 more than listed on the menu for a to go order. $9 instead of $7. When I asked the waitress why she charged me more her only response was ""sorry"". I didn't argue or say anything else... I'll just never go back again.  Haven't even had the meal yet but I don't care how good it is I won't risk feeling schemed twice lol",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
2,6ACTq2bqB1Oopzfib2kVdw,Melissa N.,3.0 star rating,"""menu esta Malo"" which is what I was told when the check came and it was way overpriced. Shouldn't the menu reflect actual pricing or are just supposed to round off the numbers to the nearest ten?",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
3,_5mZQXqGKfpesCM1EVlcVQ,Jouleya R.,1.0 star rating,It is highly annoying that this business like other neighborhood business impose a minimum purchase amount on debit card transactions. This is ILLEGAL. Minimum purchase amounts can only be imposed on credit card transactions. Every time I come here I'm forced to spend 10$ even though I use my debit card. If I want a $7 breakfast I have to buy 3 bottles of water to meet the $10 requirement. Also the service sucks but I guess for the prices you can't be to picky. The staff is always talking to each other  or on their phone and it's hard to get there attention to order even when it's not busy.,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
4,IVbrRuFkG9hllP4hcW5RSw,Son P.,3.0 star rating,"I don't know what other people's experience with this place but mine was not so good. I came here with my Dad and expected to try new culinary. I found this place via Yelp. When I first came, it was crowded. I thought the food must be good. Not to mention the food, what made me give this place 3 stars was how they treated us.1) the waitress spoke very little English. I can sympathize with this part cuz this area is Latino one.2) It took so long for them to bring us an omelette, while they served other guests who came after us first. This pissed me off the most.3) They didn't bring us the full menu. The menu they brought us includes only breakfast option: omelette, sausage, potatoes. We'd love to try their cushine not this ordinary breakfast. Their full menu is awesome, wide variety of choices. I'm sorry to say this but my experience here was not so pleasant.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
5,NpkPUSY2ZZOL4-Pv5Ysalw,John D.,1.0 star rating,I ordered lunch from work and this guy messes up my order and doesn't send my food then won't even correct my order and have it delivered the only option was to pick it up then they try to charge me again for a order the never sent me I'm never getting from here again there con artist and rip offs Juana y Gloria sucks !!!!!! Never again will I waste my time or money here it's not worth the trash service,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
6,JzGOQ0com6NDzzTwh1eEFA,Jessica C.,4.0 star rating,Omg I've been coming here for years for the 3 golpes and it's always delicious. There other ok is great as well. There service however I would give 2 stars. The girls always seem to be distracted with the men or with gossip.,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
7,4KRttd9JMLjX_HAIugElAg,Consuelo L.,1.0 star rating,"Horrible service!!! They will not adjust anything on the menu, took 30 minutes to get food and they let someone pay ahead of me even though I waited at my table and had to get up to pay. They also have items on the menu that are never available. Enjoy the 2 dollar tip",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
8,c29Gr7hlU5EVHN7_6hzs2Q,Lorenzo T.,4.0 star rating,"One of my go to spots for good Spanish food. With alot of choices in the area it's sometimes hard to pick a place - JyG is hands down one of the best. This is a locals favourite in Union City.Great for brunch, with a full bar. The daily specials are one of the best bang for your buck in town. Great for breakfast, lunch, and dinner.Don't be discouraged if you don't speak Spanish - i've gotten by every time.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
9,ZB_pH1bbcmiAruH7M9B6CQ,Alexis H.,5.0 star rating,"I went to ""Juana y Gloria"" this morning for the first time and I felt very welcomed as soon as I walked in. Every waitress served us with bright smiles. The atmosphere was comfortable and positive and the customer service was outstanding. To top it off, the food was absolutely great. I highly recommend coming here for a nice outing with family members.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
10,g2k8i2oX0jeF78XIVpvGcw,Asmr A.,1.0 star rating,"Worst service ever!-why?, well for one is that it took about 20 minutes to get our drinks and that was AFTER we got our food. Second is that something as simple as a ham and cheese was not even that good, if i could make it better than a restaurant then its bad. The third is that even our check took 10 minutes and let me remind you that there were about 7 tables half filled so it shouldn't have took that long at all. Dont waste your time going here, literally.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
11,XIS2XSVaImvWtmDB5NX8aA,Abigail Y.,4.0 star rating,"4 stars because the food is amazing. Top five mangu in union city!! make sure you order early. Sometimes they run out. Very good passion fruit juice. I've seen improvements, the restaurant has nicer people on the phone now.  I went to the restaurant once and had an odd ordering experience. Felt like  no one wanted to take my order. Don't let that discourage you. Make your presence known or you'll never order. Haha",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
12,sqSGyZm7KmnqZ7jFgdXylA,Vidhi B.,4.0 star rating,"This domenican  family run establishment is not too far from where I live and is one of the many latin restaurants in the neighborhood.The two things that I keep coming back for is the Fish soup which and the Pan Con Mantekiya (bread with butter).Service can be slow even on their slowest days, so be prepared to wait.But the free bread on the table makes the waiting less painful.Staff speaks spanish only so unless you know what you want, ordering can be a challenge.They have daily specials and they are decently priced.My husband ordered the ox tail stew yesterday and he said it was delicious. I ended up ordered the vegetable with rice and red beans and rice and avocados( $3 each). Ox tail stew was a decent portion for $9.They also serve liqiour and they have fresh juices which I invariably order with my meal.Cheap,good latin food if you are around Union City.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
13,HDFGZzdrL0ZlN9uIpOof_Q,Tania G.,2.0 star rating,This place by far has the rudest employees!!! I know where they get it from because the owner herself has a dog face on the whole entire time!!! I actually felt embaressed because one of the waitress is a patient at my job and when she saw me she put her head down. Food is ok nothing to die for. Horrible service in Uniom City!!!,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
14,3WJ-giRiXj3dASZVFttvXg,Cherisse L.,4.0 star rating,"Had huevos rancheros. 6.00 for two eggs with rice and beans and a tortilla. I liked the price, service; Mexican cuisine. Not a lot of English spoken but enough to get order through. They do take credit cards and won't charge you extra for it.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
15,LwIIYze4DPZk8AG8J2INxQ,Eff R.,4.0 star rating,"Tasty food though .. Not a word in English.  Nice people,good food. Dominican of course.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
16,lK4fUqSVd-2dqt6D_M0gJA,Rebel A.,5.0 star rating,"Authentic Dominican Cuisine. The food is consistently delicious, fresh & filling. The prices are inexpensive. Juana and Gloria have been at this location for over 18years. They have been in the restaurant business longer than that. Their experience is evident! One of my favorite restaurants in Hudson county!",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
17,WWmv-OF9bcbTDJRiQKKjkQ,Jolene P.,4.0 star rating,"J & G has been a community staple for a long time now. They are most famous fir their big Dominican breakfasts : Mangu (mashed green plantain) with delish pickeled onions served with fried cheese, salami, and fried egg. Its  soo good! But aside from that they are legit Dominican food at a pretty good price. You really cant go wrong with anything but their mofongo is a dish to highlight.",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
18,veQkaS-8j_UGcCK0DEWTHQ,Jennifer M.,5.0 star rating,All I can say is omg!!!!!!   Was visiting my father in law and got hungry yelped this place and decided to give it a try.  Needless to say I was surprisingly surprised the food was awesome. I had black beans and breaded steak.   It was my husband and I and our two children.  The kids ate everything on their plate didn't leave one morsel.  Portions are ridiculous. Ambiance is meh but hey you can't want everything.  The place can be brightened a bit.  Went to the bathroom and it was ok but not to my standards of clean.  There was the cable box on a shelf there and was tempted to change the channel but decided not to. Hehehehe.  As far as the bill it was four meals and a takeout order for my father in law. It was 45 dollars great deal and we brought food back. Highly highly recommend if you want down home Dominican cooking at a great price.,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
19,H8vUfWVwB5pZffjBsxYZvw,Liz D.,4.0 star rating,Great food and good prices.  Service is inconsistent to say the least. But the flavor of the food is oh so good!,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
20,l7N_9vzkCRFgSEdzvh50Cw,Ashley G.,5.0 star rating,"I don;t know what to say, aside that it's near my block; enough said!They also provide pan con mantequilla and mad water!",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
21,SuL8mod1Doke7DOSdCzoCQ,Kat G.,1.0 star rating,"Prices DO NOT reflect what they charge you.  I'm taking a grad class at a school nearby this semester.. they could've had a loyal customer for at the very least the next few months.  I got charged $2 more than listed on the menu for a to go order. $9 instead of $7. When I asked the waitress why she charged me more her only response was ""sorry"". I didn't argue or say anything else... I'll just never go back again.  Haven't even had the meal yet but I don't care how good it is I won't risk feeling schemed twice lol",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
22,6ACTq2bqB1Oopzfib2kVdw,Melissa N.,3.0 star rating,"""menu esta Malo"" which is what I was told when the check came and it was way overpriced. Shouldn't the menu reflect actual pricing or are just supposed to round off the numbers to the nearest ten?",Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
23,_5mZQXqGKfpesCM1EVlcVQ,Jouleya R.,1.0 star rating,It is highly annoying that this business like other neighborhood business impose a minimum purchase amount on debit card transactions. This is ILLEGAL. Minimum purchase amounts can only be imposed on credit card transactions. Every time I come here I'm forced to spend 10$ even though I use my debit card. If I want a $7 breakfast I have to buy 3 bottles of water to meet the $10 requirement. Also the service sucks but I guess for the prices you can't be to picky. The staff is always talking to each other  or on their phone and it's hard to get there attention to order even when it's not busy.,Juana & Gloria,3.5 star rating,$$,"Dominican,, Latin, American,, Breakfast, &, Brunch"
