,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,cX7f2UhAxAuGfN-wnCA6aw,diego w.,5.0 star rating,I've been coming to Karma for almost 20 years and in that time they have never let me down. Their consistency for excellent food is amazing and the staff feels like old friends. Karma has a lunchtime buffet that changes daily with Indian specialties that you can have for about 9 per person. It's not too big in there and it does get crowded.,Karma Kafe,4.0 star rating,$$,Indian
1,a3gImZSN8l4AIgzBkqa6Gw,Supriya M.,3.0 star rating,Ordered in :Paneer makhni - decent - soft paneer and not too sweet.Gobhi matar - ok - in tomato gravy.Comes with a side of rice and daal which was pretty cool.,Karma Kafe,4.0 star rating,$$,Indian
2,mTrXfM4209GtIFrFiEsP5Q,Victoria X.,4.0 star rating,"$9.95 lunch buffet (weekdays)$11.95 lunch buffet (weekends)Come early, around opening time, on a weekend to snag yourself a seat. The buffet section takes up a small corner by the front door and features mostly popular Indian dishes, and an abundance of naan. Definitely get the rice pudding dessert at the end of your meal, its sweet and refreshing. The staff here is always friendly and attentive without you having to flag them down. They're on seamless, and offer $5 off your first delivery order. For the price of the lunch special, especially on a weekend, it is very fair for Indian food. I actually really appreciate the fact that Karma Kafe offers weekend lunch specials since most place do not. The mango lassi is $4.95 and not included in the buffet selection but I highly recommend the beverage as it is deliciously refreshing. When coming for the lunch special, be prepared to leave with the itis post lunch special, and probably be unproductive for the rest of the day.",Karma Kafe,4.0 star rating,$$,Indian
3,SnwSyIqdAot_I1DJB-uZPA,Wendy J.,5.0 star rating,"Indian cuisine is one of my favorites. I was recently in Jersey and had to try out this spot.  As soon as I sat down I was greeted by the staff with smiles. Top notch service. I ordered the chicken tikka masala, shrimp madras, and a lamb dish. Usually, I'm not really into lamb but the waiter said it's one of the best things on the menu so I listened. Boyyyy am I glad I listened to him because it was SO good! In my opinion, it was the most flavorful dish out of all of the ones I ordered. The meat was so tender and flavorful. For desert I got the rasmalai. Absolutely delicious. I recommend you try Karma out.",Karma Kafe,4.0 star rating,$$,Indian
4,jYgoG_KfTzju_b81XQ9LvQ,Rohit G.,1.0 star rating,"We were here for a holiday dinner. Restaurant wasn't that crowded and looked clean. Service sucked big time and food was terrible. For starters we ordered veg and chicken samosa, allo tikki, kabab sampler, wings haryali and papdi chat. I cannot tell which one was worse. For main course, we ordered chicken tikka masala, chicken curry, salmon malabar, lamb curry, lamb Bhuna, roti and nans. I couldn't tell if any one of them was worth their price. Definitely I am not coming back to this place nor I will recommend this to anyone..",Karma Kafe,4.0 star rating,$$,Indian
5,UaTy6ipBrhFjfyrBK4pAAw,Richard R.,4.0 star rating,"Once again Karma café hits a homer  in the stomach with a most succulent variety of spicey food.I would had given them a full 5 stars but they did not include plastic utensils or napkins.For delicious delivery make sure you ask for those items my little kiddies!Otherwise set your taste buds to ""stun!""my little kiddies!",Karma Kafe,4.0 star rating,$$,Indian
6,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,4.0 star rating,"This place is great. But, for the record, this is Americanized Indian food. That's executed rather well. Buffet becomes a crowded s. show, so show up early or wait while (generally speaking, overweight, out of town) obnoxious people oogle over food and take too much time to move.Full bar, which is good because I like to drink.",Karma Kafe,4.0 star rating,$$,Indian
7,_XigL_SDb1_NnPbL2fXnIw,Tawanna M.,5.0 star rating,My husband and I finally made our way to this restaurant last night. The staff is very welcoming it gets crowded in the night on any given day I can tell. The food was amazing (naan with garlic was everythingggggg) my husband had a chicken dish and I had Tandoori Fish which was made just right seasoned perfectly and nice and rendered. I had the lentil soup spicy just the way I like it to be. I would definitely return back with my husband. We might try the buffet on a weekend.,Karma Kafe,4.0 star rating,$$,Indian
8,RIhACn-oA3lxRBWst1_L1w,John M.,4.0 star rating,I stop in occasionally for dinner. Always has been reliable tasty food.  I usually order the chicken sag. Large portions.  Service is outstanding.  Lunch tends to be much busier than dinner time.  They can be a little slow settling the check but you food does come out pretty fast.,Karma Kafe,4.0 star rating,$$,Indian
9,oYnPmeacaxtYgGFkfbfUFg,Lee S.,5.0 star rating,"This was Indian food done really well.  My favorite thing was the naan.  A lot of times, naan can be kinda burnt and flaky, but this one was big, fluffy, and buttery, just perfect.Got the chicken tikka masala which was tasty, but I wish I went with the chicken coconut one.  The reason I didn't was because I was told the spice would be too hot.  Maybe next time, I will grow a pair, and give it a shot.",Karma Kafe,4.0 star rating,$$,Indian
10,coRkzl6oqJxbYhvl8PBS2Q,Nicole G.,5.0 star rating,"It was our first time coming here and all i can say is delicious. The place is cute and very clean. They have indoor and out door seating. They serve adult drinks which is always a plus for me. The service was fast and all the staff were very attentive. Perfect place for a relaxed date night. Now to the food...we started with samosa chaat as an appetizer. As an entree we ordered palak paneer and the onion kulcha with raita. This was enough to share and we even had leftover. The food was so fresh and flavorful. I am picky with Raita bc not everywhere makes it good but this one has become one of my favorites. When we finished, the server packed everything up nicely and even provided us with a little extra raita. Hands down this little gem was wonderful.",Karma Kafe,4.0 star rating,$$,Indian
11,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,3.0 star rating,"We were craving Indian food yesterday so after reviews lots and lots of reviews of the different options in Hoboken, we decided on Karma. The portions were pretty generous (the SAMOSAS are HUGE!) but they really skimped out on the rice. We got an order of CHICKEN MASALA and the LAMB VINDALOO (incredibly spicy) and we couldn't eat anymore after the rice was gone because the vindaloo was so spicy. Spicy, but delicious. The prices are a bit up pricey for me, and I've def had better Indian food. The samosas were a bit on the salty side, but I like the sweet brown sauce and the green sauce they give you. NOTE: If you're ordering delivery and you want a small portion of MANGO CHUTNEY, just write a note in the ""Instructions"" space. However, it's pretty small and you probably just want to order an actual order of it. I didn't see a it on the menu though so might have to just call them and order. Our food took over an hour to be delivered, but it was still pretty hot when it was delivered. I read some good reviews about the buffet so I'll have to try that sometime.",Karma Kafe,4.0 star rating,$$,Indian
12,Rth6t8yZWg498e0XJwWv7Q,S F.,5.0 star rating,"well done!!! and welcome back!!.Great Indian food here in Hoboken....always delicious... service is outstanding,delivery is prompt... a bit pricey welcome to Hoboken....Portions are small but the flavor is there.......",Karma Kafe,4.0 star rating,$$,Indian
13,q8sq0uyAewFd3jXXMwb8cg,Kendra H.,5.0 star rating,"Since their redo, I have been actually stopping on the way home from work to pick up food as opposed to waiting for delivery. Food is always delicious and no matter what night of the week I go there, it's always busy!",Karma Kafe,4.0 star rating,$$,Indian
14,Lxv9aGGhPpDMd82cOFANoQ,Suchi P.,4.0 star rating,"Tried the weekend buffet for :$11.95Veg options - Pav bhaji, paneer sabzi, palak saag, Naan and palak bhaji.Non veg options - Chicken tandoori, mutton curry They setup a buffet in the small corner of a beautifully decorated place. I thought they could have had more options on a buffet menu. Very limited options but food was great! Service is prompt and courteous. I wouldn't mind going here again if I'm in the area!",Karma Kafe,4.0 star rating,$$,Indian
15,wbA0zcJr05_uDJDJAxNh2w,Will Y.,4.0 star rating,"This was my first time trying real Indian food at a restaurant rather than buying a he microwave stuff from Trader Joe's. I got the tikki chicken masala and it was really good. It came with a small chickpea soup, some lettuce and cumin rice. I had no idea cumin rice was a thing but I'm a fan. My wife got the spinach and cheese dish which looks unappetizing but wasn't bad. We also got the nam (not sure if I spelled that right and I'm too lazy to look it up), which was made with a few on of garlic was good. Overall, everything was pretty good and not bad for a quick dinner.",Karma Kafe,4.0 star rating,$$,Indian
16,D7Gg0MPqQPKPvbgX5XT0fQ,June C.,4.0 star rating,"Tried their $11 lunch buffet during the weekday. I would say food are pretty decent with unlimited buffet and salad bar. It's cheap, too. But seriously, both me and my friend had stomachache right after the meal...  I would say unless I have really strong stomach for the Indian food, otherwise I need to think twice before I tried again lol",Karma Kafe,4.0 star rating,$$,Indian
17,uJGzH74Ctt3JRkzSMXV93Q,Allison G.,3.0 star rating,"We came here for the lunch buffet on Sunday. It was okay. We were disappointed by the limited selection of items. Our favorite was the goat curry and the rice budding. Everything else was just meh. The Basmati rice was a bit too watery. The chicken was simply just fried chicken. The curries blend in together. It was a very popular place, but we've had better.",Karma Kafe,4.0 star rating,$$,Indian
18,0U3SZtk2fXXJSPL8EvYNJg,Elaine J.,5.0 star rating,Food and service is great. I highly recommend the chicken tandoori. When it's nice out they have outdoor seating.,Karma Kafe,4.0 star rating,$$,Indian
19,M3yAi0yAuGzDosFfOWKi7w,KC K.,4.0 star rating,Always great food at Karma!!!  Had delivery for the 1st time and the food was just as good in house.  My friend I was sharing the meal with said this is the best Indian he has had!,Karma Kafe,4.0 star rating,$$,Indian
20,cX7f2UhAxAuGfN-wnCA6aw,diego w.,5.0 star rating,I've been coming to Karma for almost 20 years and in that time they have never let me down. Their consistency for excellent food is amazing and the staff feels like old friends. Karma has a lunchtime buffet that changes daily with Indian specialties that you can have for about 9 per person. It's not too big in there and it does get crowded.,Karma Kafe,4.0 star rating,$$,Indian
21,a3gImZSN8l4AIgzBkqa6Gw,Supriya M.,3.0 star rating,Ordered in :Paneer makhni - decent - soft paneer and not too sweet.Gobhi matar - ok - in tomato gravy.Comes with a side of rice and daal which was pretty cool.,Karma Kafe,4.0 star rating,$$,Indian
22,mTrXfM4209GtIFrFiEsP5Q,Victoria X.,4.0 star rating,"$9.95 lunch buffet (weekdays)$11.95 lunch buffet (weekends)Come early, around opening time, on a weekend to snag yourself a seat. The buffet section takes up a small corner by the front door and features mostly popular Indian dishes, and an abundance of naan. Definitely get the rice pudding dessert at the end of your meal, its sweet and refreshing. The staff here is always friendly and attentive without you having to flag them down. They're on seamless, and offer $5 off your first delivery order. For the price of the lunch special, especially on a weekend, it is very fair for Indian food. I actually really appreciate the fact that Karma Kafe offers weekend lunch specials since most place do not. The mango lassi is $4.95 and not included in the buffet selection but I highly recommend the beverage as it is deliciously refreshing. When coming for the lunch special, be prepared to leave with the itis post lunch special, and probably be unproductive for the rest of the day.",Karma Kafe,4.0 star rating,$$,Indian
23,SnwSyIqdAot_I1DJB-uZPA,Wendy J.,5.0 star rating,"Indian cuisine is one of my favorites. I was recently in Jersey and had to try out this spot.  As soon as I sat down I was greeted by the staff with smiles. Top notch service. I ordered the chicken tikka masala, shrimp madras, and a lamb dish. Usually, I'm not really into lamb but the waiter said it's one of the best things on the menu so I listened. Boyyyy am I glad I listened to him because it was SO good! In my opinion, it was the most flavorful dish out of all of the ones I ordered. The meat was so tender and flavorful. For desert I got the rasmalai. Absolutely delicious. I recommend you try Karma out.",Karma Kafe,4.0 star rating,$$,Indian
24,jYgoG_KfTzju_b81XQ9LvQ,Rohit G.,1.0 star rating,"We were here for a holiday dinner. Restaurant wasn't that crowded and looked clean. Service sucked big time and food was terrible. For starters we ordered veg and chicken samosa, allo tikki, kabab sampler, wings haryali and papdi chat. I cannot tell which one was worse. For main course, we ordered chicken tikka masala, chicken curry, salmon malabar, lamb curry, lamb Bhuna, roti and nans. I couldn't tell if any one of them was worth their price. Definitely I am not coming back to this place nor I will recommend this to anyone..",Karma Kafe,4.0 star rating,$$,Indian
25,UaTy6ipBrhFjfyrBK4pAAw,Richard R.,4.0 star rating,"Once again Karma café hits a homer  in the stomach with a most succulent variety of spicey food.I would had given them a full 5 stars but they did not include plastic utensils or napkins.For delicious delivery make sure you ask for those items my little kiddies!Otherwise set your taste buds to ""stun!""my little kiddies!",Karma Kafe,4.0 star rating,$$,Indian
26,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,4.0 star rating,"This place is great. But, for the record, this is Americanized Indian food. That's executed rather well. Buffet becomes a crowded s. show, so show up early or wait while (generally speaking, overweight, out of town) obnoxious people oogle over food and take too much time to move.Full bar, which is good because I like to drink.",Karma Kafe,4.0 star rating,$$,Indian
