,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,k6vG6D_q8576ZZ1nZpG0Sw,Gui Bin Z.,5.0 star rating,"Keming is hands down the best Chinese place in Hoboken. They offer a pretty extensive menu, from chinese American to traditional Chinese. We ordered the xiaolongbao (little steam porkbuns/soup dumplings), spicy wonton, sesame chicken, and the fatty pork Mala casserole. We really enjoyed the entire meal. The best dish was the fatty pork mala casserole. It's a traditional Chinese dish, dry spices with fatty pork and a bunch of veggies. The second best dish was the sesame chicken. Good chunks of chicken and not just fried breading like you would get elsewhere. The XLB and the spicy wonton were both really good as well, our one criticism is both the wrappers were too thick. The servers were nice, a little rough around the edges but overall great. We ordered a tea that they forgot about it until we were almost done, but in hindsight they probably did us a favor as we were able to finish everything we ordered and then use the tea as palate cleanser. The decoration was interesting but it's now something to be expected of authentic Asian restaurants. The wall by the door had m&ms painted on it and the opposite wall had a mural of traditional chinese men at a banquet. I got a good laugh from this. I'll definitely be back, also it's byob, what more could you ask for.",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
1,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"Ugh.The ordering process is like dealing with the plague.There are literally no online ordering options, which means you have to call.  Which sucks in and of itself.  But what sucks more is that -whatever menu you are referencing- may or may not be relevant.Here are my experiences, and feedback which should be considered: -See it online? ""We no longer have that dish!""-See it in a print menu? ""We no longer have that dish!""-See it on Yelp?  ""We no longer have that dish!""Align yourselves, please, around a single menu, and broadcast accordingly.",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
2,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,3.0 star rating,"this is a new spot in hoboken and you know I have to try all the new spots! I ordered the pork dumplings, lo mein, and general tso's chicken. This is a solid order when checking out a new asian spot ANYWHERE.The dumplings were good but I would rate them a touch gummy. You know when dumplings sometimes overcook the starch gums up and that is what happened.The lo mein wasnt bad but not the best I have had honestly. The meat in the lo meon was very fatty which was not a good sign. Flavor was ok though.Now the star of the show... the general tso chicken... I liked the kick of spice it has and the texture was on point. The chicken flavor did not come through and so I would have to put it in the 3/5 star range.Overall, the delivery was quick and ordering easy but that is typical for any asian spot. The food was a 3 out of 5 star. Would I order again... yes... am I dying to order it again... no",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
3,mTrXfM4209GtIFrFiEsP5Q,Victoria X.,3.0 star rating,"The food is alright here, but I do not think I could consider this place a true Szechaun place as I've had better in Flushing. I had the string beans with salty/crispy meat bits & rice lunch special and majority of what I tasted was white pepper. The redeeming quality to the string beans was that it was crunchy and not mushy. The mapo tofu was not as spicy or flavorful as I hoped it would be, and the three-cups chicken lacked the soy sauce flavors I was expecting it to have, and was almost bland against my taste buds. The cool cucumber appetizer was good and what I expected it to taste like. This place has affordable lunch specials, and they are available on weekends as well, which is nice for the locals in the area.My opinions here are most definitely biased as I've had better in queens, NY. But for the Hoboken area this place is decent.",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
4,5aZX8bTiD0k9vR60SG588Q,Alison C.,4.0 star rating,"My friend and I were trying to decide where to dine in the area, when I remembered that I had been meaning to try the recently opened Szechuan restaurant, Keming.  I had grown to love this spicy cuisine over the past few years and was thrilled to see that I could now get it easily in Hoboken.  Despite it being one of the coldest evenings of the winter so far, the restaurant was packed on that Friday evening.  We selected a table away from the door and sat down to menus that were mainly recognizable American Chinese offerings.  However, the back of the menu included ""Classic Style""  Szechuan casseroles and other authentic dishes.  Plus, if you really looked closely at the main menu, you would find adventurous ingredients like preserved egg, tripe, rice cakes, and more - rare finds in the neighborhood.We decided to indulge in their spicy offerings by sharing the Thai Hot and Sour Soup and the Dan Dan Noodles in Spicy Sauce.  We were shocked to discover that the soup was served in such a large bowl that splitting it between us was almost enough for a full meal on its own!  The spicy, aromatic broth was a bright red exclamation mark of herbs that packed a kick.  The hearty soup contained chunky vegetables, such as cabbage and tomatoes.   The Dan Dan Noodles had the perfect texture and were served in just enough chili oil to cover the pasta, but could have actually used extra to make it even more robust.  Prior to seeing the large sizes of the starters, we had also decided to split the Chicken with Eggplant and Ma Po Tofu.  The poultry entree had several large pieces of tender chicken, though I would have loved more.  The Japanese eggplant had the perfect consistency without being too mushy.  The Ma Po Tofu was the only dish that I was ""eh"" on.  I thought it needed more spice and richness; it just seemed rather bland, and the pork could have had more seasoning.  I also wished that they would have offered brown rice, but we were informed that they only had white.Overall, the meal contained obviously quality ingredients, served in a neat presentation and at affordable rates.  Between the friendly owner, bring-your-own beverage capabilities, and the cozy dining room with the ""Happy Everything"" sign on the wall, Keming created a very homey atmosphere.  I cannot wait to go back for the tripe, hot pot, soup dumplings, and to try more authentic Szechuan plates.  This is truly a welcome addition to the often humdrum Hoboken culinary scene.",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
5,rtOgvrSLb8at6qIEIKu1_g,Sampad D.,4.0 star rating,Nice Szeuchuan place. The hosts and servers were nice and friendly. The food was awesome.Fried Rice - 4.85/5Soup Dumpling -  4.65/5Fish in Szechuan oil - 4.5/5Overall a good experience !,Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
6,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,4.0 star rating,"Very similar to a nyc style take out highly recommend the soup (pork/dumplings ($6.95), wonton with spicy sauce ($5.95)and dan dan noodles ($8.95) for appetizers, love their casseroles ($25.95)and their beef noodle soup (Szechuan, Spicy green peppers & tendon ($12.95). They are open on holidays even on New Year's Eve and they have take out, they take cash or card, parking is available but could be tough to find Thursday- Saturday nights, good luck!",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
7,U_UvZKuqTV35_R_QaUsVPA,Christina G.,3.0 star rating,"Had to downgrade after the last two experiences here, particularly the meal tonight. Everything was pretty tasteless- particularly the chicken lo mein and egg drop soup. Chicken lo mein smelled heavily of garlic, but otherwise very bland with almost 0 chicken or veggies. On a prior order I tried the won ton soup, this was also very bland. Hoping it was just an off night with the kitchen!",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
8,60xT8IJErBIOe1q8dGfIJw,Christina D.,3.0 star rating,"Much better than the average take out, but since they are a dine in restaurant and to be fair, I will compare it to other sit down Chinese restaurants...although there are none in Hoboken.Without mentioning names in comparing Keming to one in JC, one in Wallington and one in Wayne.The food for this type of site down Chinese is just ok.  We've gotten their mala pot (which is just a random mix of whatever is in the kitchen), their beef tendon, xiao long bao, dan dan noodles, and everything was just decent.  The seasonings are good and as authentic as it comes in Hoboken, but it is nothing compared to other Chinese restaurants in NNJ of this caliber.  Their spice level is not true sichuan as they are seriously lacking in the numbing department.For sit down service, it's ok.  The wait staff certainly tries hard to please, but they need to figure out how to run the front house of a restaurant and have wait staff which are ""their"" tables vs. everyone try your best to service the entire restaurant.If you are looking for better than take-out, this is your place in Hoboken as there is no other sit down Chinese restaurant here.  But if you are looking for true, authentic and mouth water Sichuan or Chinese food, go elsewhere...but you'll definitely need a car lol.",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
9,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"For a 9 o'clock on a Thursday, there were still a good few tables dining. We ordered the soup dumplings and the beef lomein. The soup dumplings taste slightly better than the frozen ones you would buy at a Chinese supermarket. The lomein is also a level better than one you'd order from a typical takeout place. I would say Keming is a good option if you want Chinese, but don't want takeout. It seems pretty authentic for the area. Plus they have a Szechuan hot pot, which I'll be back to try! Tip - BYOB! There's a liquor store right next door (but it's a bit pricy)",Keming Restaurant,4.0 star rating,$$,"Szechuan, Hot Pot"
