,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,OhiIhhqCpoh6ZL8CoNUTyQ,Benjamin W.,4.0 star rating,"Real authentic Szechuan style dishes. What a gem and I'm really happy I found this restaurant.  The delivery came promptly and the delivery guy was super friendly, which is a pleasant surprise. I look forward to ordering from them again. Good portions, and food done the right way!",King Szechuan Palace,3.5 star rating,$$,Szechuan
1,qgqbgHpbuxlrIWCFiGwiKA,Anna M.,3.0 star rating,"Got delivery from here and the food was just okay. I would recommend getting their scallion pancake, very delicious! Their hot and sour soup was good too, not too spicy which is what I like. I then got the fish filet ginger and scallion sauce. It wasn't as good as I thought it would be. Majority of it was onions and scallions, I felt like i barely had any fish. That was disappointing.",King Szechuan Palace,3.5 star rating,$$,Szechuan
2,efp8vHrkKsPwgB_c7nKmJA,L B.,5.0 star rating,This review is specifically for the Szechuan food which is AMAZING. I think the other food is probably middle of the road. But I dream of the Chong Qing and the Mapo tofu. Delicious!!,King Szechuan Palace,3.5 star rating,$$,Szechuan
3,VQbvc_C_zV0NchvvSpYMMg,Christian K.,1.0 star rating,"Never got my dinner delivery order. When I called the restaurant an hour after the delivery time, there was no answer.",King Szechuan Palace,3.5 star rating,$$,Szechuan
4,ZRn_OKPlH_8-fLte_m-tuA,Yupei L.,1.0 star rating,"Great food, but deliver guy ruined it. This dude Unsatisfied with the tip even if I leave a few blocks away.",King Szechuan Palace,3.5 star rating,$$,Szechuan
5,EmGVEavcLNbJ-ZJPqUXwGA,Peter G.,5.0 star rating,"Recently moved nearby and this is the first and last Chinese food my roommates and I have tried. The food is always prepared in a timely manner and is of high quality.  There is a wide variety of both Americanized and traditional Szechuan food items that all have been fantastic.Our favorites include orange chicken, twice cooked pork, cumin style chicken, and wonton soup.",King Szechuan Palace,3.5 star rating,$$,Szechuan
6,l_rY9UjMRrzoa3TXXP1lTw,Jana S.,1.0 star rating,"Ordered at 7:37 arrived at 9:22. Food is cold and bland. Orange chicken is dry, almost no sauce or flavor. Other entrees are just as disappointing. No good.",King Szechuan Palace,3.5 star rating,$$,Szechuan
7,Osxg8AppTNPpLZ1ySSu9Rg,Kimberly C.,4.0 star rating,"This will be our go-to for delivery Chinese food in Jersey City. I didn't know what to expect based on other reviews, but my husband wanted Chinese so I took a leap of faith and it was very good! Took 30 mins exactly, arrived piping hot. Husband had the pepper steak and an order of vegetable fried rice. He said it was good. I had the shrimp lo mein and krab Rangoon. The shrimp lo mein was very good, lots of shrimp and just enough veggies, I probably could have used more flavor but it hit the spot. The portions were also good for the price.The krab rangoon was OK, more cream cheese than krab. But overall, we'll keep this place as our favorite.",King Szechuan Palace,3.5 star rating,$$,Szechuan
8,UimUfAPeN3l86EAvAj1leg,Allison M.,5.0 star rating,This is my go-to place in the heights for Chinese food. The food is consistently good (especially the Moo Shu Pork) and the delivery is always prompt. I highly recommend.,King Szechuan Palace,3.5 star rating,$$,Szechuan
9,60BjJ44UKSlpyJ4zv3ubdA,Maicol B.,5.0 star rating,"Hands down best Chinese restaurant in the area. Super friendly staff ready to help and authentic szechuan and Chinese - American menu as well. Great dry pot recipes, wontons, soup dumplings. New go to.",King Szechuan Palace,3.5 star rating,$$,Szechuan
