,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,VYmR4gg3whmhelY35qxi-w,Leslie S.,5.0 star rating,"Amazing sushi rice balls!!! Well, triangles to be exact but you know what I mean.This cute little whole-in-the-wall of a restaurant is very easy to miss so keep an eye out for it!There is a small table you can eat the food at but it's clear this place is mostly take out. That's because this is the perfect food for take out if you don't want to deal with a soggy sandwich. We needed a meal for our night flight which was leaving at 6. Which meant we needed to buy the food around 4 so we needed something that could be eaten cold. Sandwiches were the only option but lots of them get soggy.Fortunately, we found rice balls! The perfect food for this situation! The food comes individually wrapped and it comes in such a way that the seaweed wrap is kept separate from the rice so it stays super crunchy!We ordered a bunch of flavors. There were so many! The Korean BBQ and miso beef were the best by far. The Yaki chicken was also delish. You really only need about 3 for a filling meal so I could go with those 3. I also tried the salmon which didn't have much flavor and the Moroccan, which was a little too sweet for my liking.Hopefully they bring this to Cali!",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
1,EVwT9lleIRE9JB-kRNs0Ng,Stacey T.,4.0 star rating,"Stopped here for lunch and enjoyed two yummy Japanese inspired rice balls. I ordered the miso beef and Korean BBQ chicken and ate both with a little bit of soy sauce and spicy mayo. My friends also has positive reviews of the Cuban and spicy salmon rice balls. They are a little messy to eat but just grab a fork for anything that falls out. They are offering a winter special - buy 3 and get 1 free when you pay with cash (4 for $10.50) which is a great deal for those who have good appetites, want leftovers or want to split with a friend. For those who require it, it's good to note that everything there is gluten free so the menu is your proverbial oyster. The interior space is small but there are a handful of stools if you'd like to dine in.  I'd like to try some other combinations.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
2,pOIxNuAsP7dmc6y06Gb6GA,Evelyn W.,4.0 star rating,"I liked this place. I love onigiri and when I found out that there was an onigiri shop right down the street from my old haunt, I was immediately intrigued. They have a stupendous happy hour deal, and you can get 4(!) for a discounted price.I liked my rice balls, but I couldn't convince the hubby to come back (he thought portions were too small). I miss you, Koro Koro.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
3,z9FknIGy4N5dZhYZymzkiQ,Jun C.,3.0 star rating,"The rice balls are pretty good, but no more than the ones you can get at Asian markets pre-made. Obviously these will have the benefit of being warm/hot. The spicy salmon rice ball is my favorite.Also, please avoid the Nutella Rice Balls if you're someone who likes rice balls. It's literally just a slimy, poorly formed clump of rice with Nutella smeared on it. You can make this at home in 1 minute.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
4,0zI1a0f0VxcdhNg0su4cBA,Samantha B.,1.0 star rating,Today i called and placed an order of 8 rice balls with Koro i have been to the resturant and have enjoyed their food many times. Today i placed an order to go at 5:46. I called back at 6:28 to see if it was near. Because i know it is about a 15 minute walk from my address. The employee on the phone let me know it should be at least another 5 minutes. I called back at 6:44pm to ask if they were near because at that point i would've just come to pick it up. The owner answered. Put me on a brief hold and them preceded to tell me that im lying i actually placed the order 20 minutes ago and i need to basically be patient and im basically a liar. Im looking at my phone baffled at how im being spoken to. ESPECIALLY BY someone who called themselves the owner. He then proceeded to tell me hes gonna go me a favor by giving me the food for free and i dont have to worry about paying for it. As if i would eat it at this point. I hung up. Because i was obviously upset. He called me back to ask me if i hung up. I said yes. Then he asked me what i wanted him to do with the food. I said to shove it up his ass. Then he called me back to basically yell at me some more. Great customer service. I wont stop till everyone in hoboken reads this.,Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
5,QlGSIokpsceDwzL4B05RVg,Dave N.,3.0 star rating,"I was immediately drawn by the existence of an onigiri restaurant period, let alone right here in Hoboken. From a nice decor and a friendly staff with plenty of instructions, perhaps that's why we walked out with 4 of them for home. As they emphasized they were a contemporary take and not classic Japanese, I wasn't expecting a 100% resemblance to the original.They went okay.I tried so hard not to compare, but every part of it felt ""less"". Since they made the balls with hot rice/ingredients, they had a proprietary wrapper with 3-4 steps. But unwrapping and reassembling the nori at home was annoying and would make it a hard snack for commuting like I had hoped.I feel like flavor and textures were consistent an almost. Umeboshi had the classic pickle flavor but visibly looked like purple liquid with no visible pickles.The salmon and miso beef were seasoned a tad over mild, but they meat was minced to pulpy shreds. The fillings all felt like they just melted into the hot rice and offered no contrast.I'm seeing plenty of praises for the soup and the potato salad. I'm curious enough to come back, but for now my overall impression is meh.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
6,Vr94oCgVobXtkrRkg1i3PQ,Jane Y.,4.0 star rating,"I am pleasantly surprised by how much of a fan I am of Koro Koro.  A newer addition to the Hoboken dining scene, I wanted to try it out, but wasn't expecting much ... I mean, it only serves triangle rice balls and a few sides, how awesome can it be?  Additionally, I've eaten triangle rice balls before and knew what I would be getting.  If you've ever had a Korean kimbap before, it's exactly like that, only in triangular form.  The rice balls at Koro Koro are the triangular kind with lots of different stuffing options ranging from your standard Asian flare (a la the spicy salmon) to your modern western take on a standard asian dish (ie: cochinita pibil).Except for the umeboshi (there just wasn't enough... only three pieces of pickled plum to be exact leading to way too much rice and not enough filling) I very much enjoy all the different triangle rice ball options offered here.  What's even better than all of their delicious choices and flavors, is that all of the rice balls are generously filled and the rice to filling ratio is spot on (except for the umeboshi).  I especially like the different rice ball of the days that they offer - in fact every time I order their rice ball of the day, it ends up being my favorite that day!  So far I have tried the following: cuban, spicy salmon, yama chicken, umeboshi, cochinita pibil, Korean bbq, and the rice balls of the day.  Each rice ball tastes exactly as they describe on their menu and I have not been disappointed with my choices.  The space is small, and so it's much more comfortable taking your order to go, but my interaction with the staff has been pleasant, and I appreciate how they label each rice ball so it isn't a surprise when I bite into the food.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
7,g_pzpZ2gqnED3_JNG_0HLw,Wei H.,5.0 star rating,Came here for quick lunch and turned out pretty good! Nice comfort food if you are around Hoboken area.,Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
8,z-qKDbBD1tjPuvxvTJReGw,Carlo K.,4.0 star rating,"Neat little Japanese cuisine shop with a fast casual menu. Careful with the rice balls - they are trickier than they look. I consider myself experienced with Korean food but Japanese cuisine is a bit more of a mystery to me outside of sushi, ramen, and Japanese curry.Friendly staff and great location. Price point makes you feel like you walked away with a fair trade.",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
9,VdwsBfxuBAnfavac0akKsQ,Tony R.,5.0 star rating,"I've been walking and coming by this place since it opened and never got the chance to pop in until Today. I came in for lunch and I was pleasantly surprised by how awesome it was. I chose the lunch  special. For $10 you get two rice balls and a small mesclun salad. The rice balls themselves are triangular, really authentic, I remember loving these when I was in South Korea. They come stuffed with virtually anything you'd like.  The Korean BBQ Chicken and the Spicy Salmon we're both great. I'm excited to return to try the many different varieties. Shout out to the friendly staff who walked me through the process of choosing the best riceball for me and for helping me eat it the proper way. Great little place on Washington in Hoboken!",Koro Koro,4.5 star rating,$,"Japanese,, Comfort, Food,, Food, Trucks"
