,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,8cESxDy1i8RxJiM8-hMxQA,Dora W.,4.0 star rating,"Cute and cozy restaurant in Hoboken,  I had a great brunch time with my husband here, we ordered the Chicken Panini &  Brioche French Toast ( add Mascarpone and berry sauce ).  The French toast was perfect, not too sweet and topped with a lot of fruit. We will come next time and try the Omelette and Croissant.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
1,ueh43L04SWCcA979awaDlg,Clark W.,3.0 star rating,"Positives: A splendid quiet and cozy atmosphere. Friendly and personal service. A huge omelette, packed with ham and cheddar. Negatives: A bit pricey for common breakfast items. Bacon was seemingly microwaved. Gentleman serving us didn't let us know that both meals came with side of potatoes when we ordered what turned out to be an extra side of potatoes. Somewhere in-between: Eggs Benedict was decent but when served on harder focaccia bread was difficult to maneuver. Pitcher of water was room temperature, perhaps a bit warmer.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
2,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,3.0 star rating,"Came here with my husband and his brother for brunch. After having the meal here, I realized why they had such a low ratings. The service was extremely slow! We were waiting for a while for the food to come out and then for the check to be printed.I had the spicy wild mushroom omelet. I wasn't able to tell the ""wild"" part. It was a little spicy with jalapeno peppers. My husband had the croque madame, which didn't impress him at all. His brother had a crepe, which seemed a little better but on the dry side.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
3,7h2wGMj-N2VwQ7dVu6Wazw,Alex V.,3.0 star rating,"This place is ok. Nothing special, really.The Croque Madame was one of the laziest I've ever had. For the bread, they seemed to have used packaged supermarket slices. The egg on top was SO overcooked and hard. There was no Mornay sauce or any kind of sauce at all. Don't get me wrong, the whole thing tasted alright, but it was so boring that I almost fell asleep. The coffee did help to keep me awake, but I was a bit surprised that they charge you for refills. It's not like the coffee was amazing or anything, it was just alright.In terms of decor, the place just looks really old school and not very well maintained.The service was decent, but a bit slow. I guess that's just the French style.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
4,TR3OAhDKXsA2PbXngr7aqw,Christine Y.,5.0 star rating,"Cuuuuute little place, perfect spot for enjoying brunch on a sunny breezy day at its outdoor tables!The French toast was delicious, and adding the mascarpone creamy cheese and the chill berry puree made it even better!The dirty Chai is the best Chai drink I have ever had! The sweetness, the creaminess, and the bubbliness was at the most perfect balance. I'll surely order it every time I go from now on.Will definitely come again to try their other brunch dishes, with the dirty Chai it is! :)",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
5,C9k-xYwCOnyYIXY2VtXecg,Peter B.,5.0 star rating,My girlfriend and I love this place; it's our favorite brunch spot in town!  Very cozy inside and it does offer outside seating when the weather is right.  As for the food and coffees - they're outstanding (I always seem to get the spicy wild mushroom omelette and it never disappoints)!  Waitstaff has always been very friendly and accommodating.  The only negative thing I could possibly say about this place is that it's a bit on the pricey side.  But it's sure to be a great brunch experience!,La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
6,laGhaNbo5Zh3f4EjtWbuqw,Pedro A.,5.0 star rating,Forgot our coffees until we reminded them after the brunch meals came out. The owner/manager came out to personally apologize and did not put them on the bill. The way in which he did it was so sincere and full of class.These people get it. These people care. Oh and btw. The food was awesome!! The atmosphere was great. 100% returning.,La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
7,5aZX8bTiD0k9vR60SG588Q,Alison C.,3.0 star rating,"My friends and I had wound up having brunch at La Bouche Café, after we had been turned away from a neighboring coffee shop that had been closed for a private event.  Though it was my first time at the quaint spot, my friends had been there previously.  They had commented on the poor service, but had thought that the food had been fine.  Well, boy, they had not been kidding on the service piece.  On this occasion, we were sitting outside, which could often lead to lengthy waiting times at even the most efficient restaurants, and this was much worse.  Throughout the meal, we had to continually ask for things, such as silverware, water, condiments, and more.  In fact, some of our inquiries had even needed to be repeated multiple times!  f Despite the frustration-producing wait staff, our meal was actually rather tasty.  My Mediterranean Salad was huge and included a bulk of fresh ingredients, such as chickpeas, cucumbers, cherry tomatoes, red onions, dill, and black olives.   I also had the option to add sprinkles of feta cheese, but I decided to stick with the base-level version.  Lastly, I had also ordered a coffee, which had been rich and flavorful.La Bouche Café was really an adorable space with a simple, yet varied, menu.  It was really a shame that the service had been so poor, because I would otherwise be much more interested in returning.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
8,xwXDTm6kG1I0d3M6HgjzOw,William I.,5.0 star rating,"What a nice little spot! If you're not from around here, do yourself a favor and walk down to La Bouche. My wife and I were visiting Hoboken from New York, and this was a great spot for brunch.We ordered a croque madame, the croissant with bacon, egg, and cheese, and a side of their Lyonnaise potatoes. All of it was fresh and delicious. Service was quick and welcoming, and the location is very quaint and comfortable. Perfect for a date or just a relaxing meal.",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
9,JP5DEwtdpo99FaEP1icCdg,Kartik K.,5.0 star rating,"It's a small Cafe at the street corner of Hoboken. I was here for a lazy Sunday brunch and boy did this place make it worth our time. I got an iced vanilla latte which was great and a madame croquet which was a little smaller portion than I was expecting but very good nonetheless. To top it off we had the Bailey's mudcake which was again fuckin A but it was a huge portion and even 2 people sharing it couldn't finish it. But no complains it was labor day but not very busy, the service was good the food was immaculate.Highly recommended and hope to be back here soon !!",La Bouche Cafe,3.5 star rating,$$,"French,, Breakfast, &, Brunch,, Sandwiches"
