,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,sG4yd4Fcf_iUAoTAW6IzsA,Shari C.,5.0 star rating,"I was having a craving for oxtail stew/rabo encendido and decided to try this place for dinner. It's the only place I know in Hoboken that serves oxtail more than once a week (I'm looking at you...La Isla).Other than fulfilling my oxtail craving, I also decided to try the Mofongo de Chicharron, which are just mashed plantains with fried pork and garlic. I do recommend getting the oxtail dish...it was super delicious! I did enjoy the oxtail more than the mofongo as I felt the mofongo with the pork were a bit too dry for my taste. All the main entrees come with your choice of two sides. They have a variety of sides you can choose from, such as beans, rice, plantains, fries, salad, fried egg, veggie of the day, etc. Also, the prices here are very reasonable.Service here is very friendly and efficient. One thing to note is that space in here is pretty tight. I would say that this restaurant seats no more than about 10-15 people. It would be good for small groups.Look no further, I totally recommend coming here to get some Cuban food!",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
1,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,2.0 star rating,"Guess my experiences are one-off events.  Or the Hoboken Yelp crowd has limited expectations/knowledge of Spanish food.Likely?  A hybrid of both.Went to this tiny crawl space of a restaurant on a Sunday for lunch during the winter and, considering how outright cold it was, my jacket was worn during said meal. Okay, can live with being bumped continually and being cold (read: freezing) if the food speaks.It was mute.As nice and affable as the owner was, every single dish was delivered cold and clearly the pernil was a poorly reheated example from the night(s?) before.  There's far superior food of this ilk in city.  And much better in the cities within a throw of Hoboken.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
2,rPEsb2qZTr0H_AhTHcGjnw,Evelyn G.,5.0 star rating,"First time in this cute little Cuban joint.  Very reasonable prices for their food, especially for Hoboken.  I had the lunch special- Rabo Encendido, the oxtail stew, which was very delicious.  The server Adalid made some great recommendations  the service was fast and pleasant.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
3,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,5.0 star rating,"I almost missed this tiny place. I believed that it used to be the froyo place before. The staff members were very friendly. It seemed that the customers were the regulars, who knew each other and the staff. We sat down near the bar area by the door. Space was very tight and they had to move the tables and chairs around to fit us.We ordered a beef empanada to share. It was crispy outside and tender & salty inside. I could use a little less salt but it was perfect for my husband. I ordered the pollo asado (rotisserie chicken) with sweet plantains and vegetables. The chicken was well roasted and pretty tender. Sweet plantains were soft and sweet and reminded me of Sophie's. Vegetables were pretty standard. My husband got oxtail stew with rice and eggs. Oxtail stew was very flavorful and tender.  The whole thing turned out about $25, which was very cheap for a sit-down dinner in Hoboken.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
4,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,3.0 star rating,"I really want to love this place. The menu sounds great and the reviews seem amazing.  I would love to order from a Cuban place that's not La Isla (this is a high standard). I ordered food for delivery. The food is just okay... the mofongo, rice, and tostones are so dry. The oxtail and shrimp dishes portion are kind of small but flavor is deep. I do recommend the oxtail and shrimp but keep in mind that the trade off with price is portion size.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
5,yMB7dl22Qp3RG2DR86vJPg,Mr.r P.,5.0 star rating,The food was very good. The place looks clean and nice. We were a party of 13 and took a while to seat us all because is very small but we had a great experience.,La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
6,3VFQWZbHA6Edv7_m-ioJPw,Lucy M.,4.0 star rating,"The food here reminded me of the Spanish restaurants in the Bronx where I grew up, but this place is much nicer and the prices aren't much higher considering it's in prime Hoboken.  There's nothing on the menu that is over $20, so very affordable.  Plus, it's BYOB!For dinner I had the grilled skirt steak which comes with any 2 sides on the menu so I had the tostones and vegetable of the day.  The portions were really big for $15 and I really enjoyed my steak.  My only complaint is that the vegetables seemed like they've been sitting around a bit rather than cooked to order.  My broccoli looked a bit sad and I didn't eat much of it. Overall, not a bad place for a cheap filling meal.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
7,EVwT9lleIRE9JB-kRNs0Ng,Stacey T.,4.0 star rating,"Glad to have stumbled on this little whole in the wall between 2 larger Cuban restaurants. Good for small groups (mostly just tables for 2) or takeout, the $9 lunch special with 2 sides can't be beat. I ordered the pernil with maduros and black beans. Taking some points off because they were out of the rice/beans combo side :(. Either way the portion was generous so I took some home and ate it the next day. Looking forward to coming back to try some other options.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
8,qbn6y_69XENMgi3zYdLBdQ,Jason D.,5.0 star rating,"Nice little gem in Hoboken.The restaurant is quite small, so expect to go as couples... not sure what they could do for larger groups. I went as a family of 3, and sat at the largest table (for 4) in the back.The service was friendly and timely. The food was delicious. We started the meal with the chorizo, and ate the ox tail (one of my favorite dishes) and red snapper entrees; with fries, rice & beans, salad, and fried sweet plaintain as sides. I like that the menu has only a few options and cooked well! Truly tasted like a home cooked meal.Bonus: location is right around the corner from Carlo's Bakery (cake boss)!",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
9,OhVXhkN-Uj9T0gp5j3VxCw,Jonathan C.,4.0 star rating,"Pro1. The Ambiance was very Campo, a Comfort Feel. I felt like I was visiting my family in the country side of Puerto Rico.2. The Yuca with Garlic Sauce (Mojo) was the BEST I have ever had in my LIFE. Tender and Hearty.3. The Complimentary Lemon Water was a Thoughtful touch.4. The Oxtail Stew was Very Good and Tender! I wish they added Bollitas de Plantano or potatoes. Just to stand out from the other Latin Caribbean Restaurants.5. The White Rice was cooked well.6. Friendly staff.7. The Chocolate Cake was Very Good.8. The Sancocho Soup was good. I prefer with Oxtails or a Mix. But it did it's purpose. Tender pork! I'm trying to stay away from Pork caramba. Ha haCons1. The Tall Candles on the back windows should not be so close to the chair. An Accident is waiting to happen and with Real Wood Decor is worrisome. Perhaps, a cowshed door with a Aloe Plant or Snake Plant for the window. 2. The Pollo Guisado (Chicken Stew) was on the Salty side. Perhaps, adding Potatoes and Carrrots to Balance it out. 3. The Roasted Chicken was Dry it needs more TLC. Maybe more Sofrito, Garlic Butter rub, or 2 days of Marinating.Overall, this is the Best Latin Caribbean Restaurant in HOBOKEN. Hands down. Period.Many blessings,J",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
10,vp2wQ6bmjH2o8Q51umeeMQ,Edgard A.,4.0 star rating,"La Casa is a cozy Cuban/Puerto Rican restaurant. I typically visit during lunch and it gets crowded pretty fast so I suggest ordering ahead. They're amongst the best lunch specials in town. The food is good and hearty, I can never finish an entire meal. All for $10! I recommend the pernil with arroz con gandules and maduros. Also, try the Cuban sandwich. You won't be disappointed.",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
11,oD3HGwuvY6G3P7cALt2dQQ,Dianne V.,5.0 star rating,"Started working back in Hoboken recently and am very happy to find more variety in restaurants. La Casa is a great place to eat with affordable prices and good food. I've been coming here multiple times a week for breakfast and lunch now and everything I have had has been really good.Sancocho in cold weather is amazing and they have it as a lunch special with rice for an affordable price.Also mangu breakfast was really good and filling. Will continue to come here for good food and convenience.One issue I had was coming in one day and ordering lunch to go. It took about 30 minutes to get my lunch and everyone who came after me already received their food.Granted, it was a busy day. Other than that hiccup I do recommend coming here :)",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
12,8IRfbqHnZ0NuBYXfFJiNfw,Scott B.,5.0 star rating,This place is super good. Get the steak sandwich and the morir soñando (orange juice drink),La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
13,7OLCkR-XgMOPotVqpFHc2A,Courtney Y.,5.0 star rating,"This new spot is great! We ordered take out through grubhub so can't comment on the table service but the food is superb! The ropa vieja was cooked to perfection and the maduros were tasty. We have been to many other spanish restaurants in the area (both Hoboken, union city, north Bergen, etc) and this place is up there.Only suggestion would be to deliver to Weehawken so we can have it more often! :)",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
14,wP3cjR-WhKMqVMxq-uJs5g,Jose T.,5.0 star rating,"Long day of running around and cycling left me drained. Ran into Basile at La Casa and decided to try a few empanadas and soup (Sancocho for us Puerto Ricans). The Steak was good, the tortillas were fried fresh and not greasy, and the Sancocho was perfectly seasoned, meat-filled and hearty veggies with the taste of home i longed for back when Abuela was around. It was more welcome to feel at home with the great service and family friendly staff. Thanks Basile. You've out-done yourself here!",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
15,dcXSIjdnJeetggxOVs5fNw,Jessica M.,5.0 star rating,"La casa is an amazing BYOB Cuban restaurant.  It has a really homey feel with excellent, well priced food to match.  The portions are also huge. It feels like you're eating at your Cuban grandma's house!",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
16,JROIkn3Mg0APSXTtS7VH5w,Christine P.,5.0 star rating,"So glad La Casa opened up in Hoboken! I've ordered lunch here two times so far and I'm already obsessed.I ordered the Pollo Guisado (chicken stew) lunch special both times and it was delicious! I'll definitely branch out next time since they offer a wide variety of specials. They come with any two sides you'd like on the menu--everything I tried was delicious so I don't think you can go wrong. Everything was full of flavor while not being too greasy. Their empanadas are also a must-have! They're crispy, flavorful and quite large for $2 (so no excuses!).I can't wait to come into the restaurant to try more of their options :)",La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
17,C5gHsqN22YOe-_dwPAWLMg,James B.,5.0 star rating,Great food and pretty cheap prices. The chicken soup and pollo guisado are my favorites,La Casa,4.5 star rating,$$,"Cuban,, Dominican,, Puerto, Rican"
