,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,a5KJFFLBMoEpU7Bogn8YdQ,Nicole C.,5.0 star rating,"As good as it gets! The Tasajo con Boniato was love at first bite for me. I couldn't believe the complexity of flavors. You can taste the time that was put into cooking the cured beef. It's salty and deeply savory but perfect in conjunction with the Cuban sweet potato and rice. It was one of the best meals I've had. This meal was featured when Guy Fieri came to the restaurant too. The restaurant is a BYOB too, which is nice.My sister ordered the pollo al Ajillo con Espinaca. It was a pretty large portion, but the garlic sauce was delicious mixed with the rice and beans. Definitely order the plantains as a side order- they were delicious!Overall, this is a wonderfully authentic Cuban restaurant in the heart of Hoboken. It's not about the size of the place or how upscale it is, when you walk into this little restaurant you know you're about to experience true Cuban gastronomy.",La Isla Restaurant,4.0 star rating,$$,Cuban
1,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,4.0 star rating,"If you're craving Cuban food, definitely check out La Isla. I've been meaning to go for awhile, and finally got the chance to a few weeks ago for lunch. The place is not fancy or anything, but a good lunch spot or quick dinner. My boyfriend and I split the CHURRASCO CON CHIMICHURRI (Marinated grilled skirt steak topped with chopped raw onion, served with an Argentinean style steak sauce) and the EL CUBANO sandwich. The sandwich was pretty small, but put together really well. The steak was so delicious, and the sauce was to die for. I really liked the onions that came with the dish. I usually don't like beans period, but I ate all of the beans that came as a side dish. You get two sides with an entree -- I got the beans and the rice. The rice was also spot-on. Rice + the sauce that came with the steak = magical. They have daily specials which all looks pretty great -- will have to check the place again soon!",La Isla Restaurant,4.0 star rating,$$,Cuban
2,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"Yea, it's okay. But just okay.-Service is hit or miss, depending on who's tasked with your seat.-Pre-cooked food sits in holding pens, which means your food isn't freshly prepared.  -Prices are high for what you're getting.  But, then again, this is Hoboken versus more Cuban attuned locations (Union City, I'm looking at you).  Which means the price of everything gets seriously jacked up. -Cool digs (original location).  2nd location?  The suburbs called and want their bland, generic, cookie-cutter real-estate back.",La Isla Restaurant,4.0 star rating,$$,Cuban
3,DoAvJEpYGEqAiGp5HM23aQ,MrFoodFood L.,3.0 star rating,I had omlet  It was ok.  The old lady that was serving us had a bad attitude.---------------,La Isla Restaurant,4.0 star rating,$$,Cuban
4,QbpxoXdynzncl_hp4FdrKQ,Joaquin G.,5.0 star rating,"Super authentic Cuban food with great prices... total hole in the wall so if you're looking for somewhere fancy, this place is not for you. But the ambiance contributes to the authentic overall experience. The Cuban sandwiches are to die for.",La Isla Restaurant,4.0 star rating,$$,Cuban
5,XmeXZkK-iEqQKg22jFNonw,Jon W.,5.0 star rating,"Olah Cuba!On may night out in hoboken I was recommended this spot and it did impress! This is a short walk from the path / ferry and can easily be missed on washington street with all the other restaurants but this is the one you want to go to and there is some out door seating.When you walk in here it gives off that old school dinner vibe with a long bar almost the entire length of the restaurant and a few four person tables. We sat at the bar and when going over the menu everything looked amazing. The waitress was really friendly and helped us figure out what we would like best. With this being a Cuban restaurant I obviously had to go with the Cubano sandwhich which is Pulled pork, ham, swiss cheese, pickle with garlic mojo and every bite was more delicious than the next. The pulled pork and ham was juicy and full of flavor and that sanwhich was pressed to perfection. We also got the Pollo al Ajillo con Espinaca - Boneless chicken breast in garlic sauce served with sautéed spinach this was a ton of food and the that garlic sauce on the chicken gave it such a delicious flavor. To finish the meal we got coffee and it was strong and kept me going for the night!In short:- Delicious Cuban food- Fast Friendly service- I'll be back",La Isla Restaurant,4.0 star rating,$$,Cuban
6,WlqGTB2iv7bgyikWzCA0-g,Yesenia R.,4.0 star rating,"Great local Cuban food. Not your fancy place to have a night out, but more like a lunch date. The food is so delicious and true to their cuisine. They have lunch special during the week. Love their potato balls, and ham croquette, and stew beef.",La Isla Restaurant,4.0 star rating,$$,Cuban
7,RECpkJbBspGstPDPWfBRXQ,Dennis J.,2.0 star rating,"Okay Cuban food for the area.We stopped by for dinner in the area and split a beef empanada to start, the middle of which was a little cold in the middle unfortunately. My shredded beef dish was alright, the meat decent but the rice very dry. My friend's marinated strip steak was also fine, but it was certainly not medium rare as requested. It's not particularly cheap and the quality left something to be desired; I'd rather go to The Cuban up the street for a meal of this ilk in the area.",La Isla Restaurant,4.0 star rating,$$,Cuban
8,uav-09kHrybQEjkrEJGXGw,Salua K.,4.0 star rating,Everything was so perfect. Delicious flavor and great service. My only complaint is that the eggs were cold. But everything is amazing.,La Isla Restaurant,4.0 star rating,$$,Cuban
9,qi4Ydiwfux-fhrwbbPlx5Q,John S.,1.0 star rating,Terrible cold food nothing prepared fresh.Went on a Saturday afternoon not so busyWe ordered half roast chicken with sides. Nothing was prepared fresh food came out as if warmed up and made well in advance.Service slow and not consistentTourist trap spend your money else where,La Isla Restaurant,4.0 star rating,$$,Cuban
