,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,GUraxth1UL53yY0jBoq_1Q,Meow G.,5.0 star rating,"I've been coming here for Christmas for that past few years with my mother. My mother has been succumbing to dementia so I was super concerned how our Christmas lunch would be.We were greeted by a lovely young gentlemen who immediately gave a complement to my mom. My mom takes a bit of time with a menu, and the staff (and I believe the owner!) was wonderful with understanding this.The food is from my childhood. Perfectly French. The best part? My mother ate an appetizer and entree, the most she has eaten for a while!Thank you La Ripaille staff!",La Ripaille,4.0 star rating,$$$,French
1,119RDkTlf-akmTWexBheLg,Lior S.,5.0 star rating,"Reallly enjoyed both my time and the meal at La Ripaille. We had a chance to spend time with the owner, who could not be a nicer individual and welcoming. The overall atmosphere is very intimate and that feeling of being at home. Even though I came during the day for lunch, the lighting is dim and provided for a very comfortable time with my co-worker as we devoured the tomato soup - which was perfectly balanced and just the way I like it. I had the chicken with mushrooms which was juicy, quite substantial, and very tasty. It was not overpowered by the mushrooms at all and went perfect with the potatoes and green beans both of which were very tasty. This is a place that I would certainly come to eat at again and would recommend for when you are in the Emery's village again...or border of Chelsea.",La Ripaille,4.0 star rating,$$$,French
2,JOa52YDgDZcCm0RqIWMi5A,Michael K.,5.0 star rating,"West Village gem.  Never had a bad meal here.  Best when owner Alan is present.  Very charming guy.  Have hosted many large dinners here-  all a success.  Recommend the pate,  vegetarian salad and entrecôte.",La Ripaille,4.0 star rating,$$$,French
3,fQ1iNjjR2crP_3AiQvEv5g,moshe k.,5.0 star rating,This was one of the best meals I have ever had! The broccoli mouse is Devine the duck mouse was exceptional my Red Snapper  was perfectly cooked the desert were perfect and the wine oh the wine was amazing . The servers were amazing and the owner Alan and his daughter Stella were just joy and so very inviting and personal,La Ripaille,4.0 star rating,$$$,French
4,J4V9cL5-rd0F_GhHsCmIoA,Annie R.,4.0 star rating,"The food was excellent, the service lovely, and the atmosphere old school romantic & classy in this little treasure of brick-and-mortar that remains elevated above newer & hipper spots by its reliable French cuisine and the owner, Alan, whose personality and charm makes every guest feel transported. And real candlelight!",La Ripaille,4.0 star rating,$$$,French
5,ZrAPfUiN3SVr6T9L3GZ0CA,Maera H.,5.0 star rating,"A very nice French restaurant, amazing food and good selection of wine. The owner was there when we got there and made us feel special and as if we're in France. Highly recommended, for any special dinner of a date",La Ripaille,4.0 star rating,$$$,French
6,E9udhiq3OupWHmKsvP4h1Q,Yan T.,4.0 star rating,"Come for the ambiance, outlandish owner, and super-charming Francophone staff. My buddy led us in here when the trendier eateries were too busy (at 10 pm!). I didn't get a proper entree, but the charcuterie plate was filling and satisfying. My wife's ravioli, which she was kind enough to share, was rich and creamy.The prices are definitely not what I would call friendly to the wallet. But so it goes. I'm bumping this to 4 stars for the charm and old-school, devil-may-care decor.",La Ripaille,4.0 star rating,$$$,French
7,nMBZWnO-gl7fT2g7z99OVQ,Nora C.,5.0 star rating,"Had a very nice dinner here last week.  Everything was delicious, especially the lamb with a dark, flavorful gravy.  The chocolate dessert special was satisfying without being too heavy.  AND there is no big bar scene, so you can actually carry on a conversation with the others in your group.  AND you don't have to fight your way through the crowds on the sidewalk on the busier section of Hudson Street a couple of blocks down.  (Hudson Street is becoming impassable.  It's very touristy and unpleasant to have to fight your way through.)  I'd come here again,",La Ripaille,4.0 star rating,$$$,French
8,OJuD05ggWhccOuj415VXoA,Wayne B.,1.0 star rating,"This restaurant has seen better days. The pate, the broccoli mousse, the duck were all flat. The wines were so so. The bathroom was filthy. The waiters forgot about us when it got busy.  All this for $340 for 4 people. It's one saving grace is the atmosphere. But oh! , we came here to eat.",La Ripaille,4.0 star rating,$$$,French
9,HZBmwOHBvXqChJeoscT_Xg,Taly M.,1.0 star rating,"Had dinner here and sat outside. While I was there, a man walked past on the sidewalk (outside the restaurant dining area) with his dog. The dog, being a dog, went to the bathroom while they were in front of the restaurant (again, not inside the dining area). The man cleaned up after the dog. Nevertheless, the restaurant owner very rudely and obnoxiously yelled at the man, saying something about ""having respect."" I'm not sure why the restaurant owner made such a fuss about a dog going to the bathroom on the sidewalk. It's a dog. It had to go to the bathroom. It's NYC. If you have a restaurant in NYC with an outdoor seating area, odds are dogs are going to walk past it. Humans can't control when and where dogs go to the bathroom - all they can do is walk them in public, dog-friendly spaces (e.g. NYC sidewalk) and pick up after them. The restaurant owner was loud, rude, and obnoxious. His display created a negative atmosphere. We will not be returning and wouldn't recommend this place to anyone.",La Ripaille,4.0 star rating,$$$,French
10,ojYkja12YaZoHCYDB_z3fA,Amelia D.,1.0 star rating,"Just went there after pride for dinner. We were hungry and were willing to pay the $$ to eat a good meal. We started off with a watermelon salad and there was a bloody bandaid in the salad. When we confronted the owner/manager about this issue, he said ""That's strange because no one has a cut in the kitchen"" essentially accusing us of of placing the bandaid in the food. The waiter came back and was extremely apologetic, saying that it belonged to a member of the staff but that doesn't excuse the manager's reaction (which was to blame 4 queer women, the majority of whom were people of color, for he bloody bandaid in our food) and the fact that for the bandaid to be in the food in the first place someone on food prep was not wearing gloves ESPECIALLY since he was injured and bleeding. This is a serious food safety issue. The waiter offered to make us a new salad but at that point it was clear to us that there were some public health issues in the kitchen in addition to an extremely rude manager and we left.",La Ripaille,4.0 star rating,$$$,French
11,02QFwKqrni2S0Q4lOUsxQw,Aviva H.,5.0 star rating,"Came for dinner in Oct. 2016 after being rudely turned away from another nearby French place for not having a reservation (okay, it was Saturday night in NYC, my bad!) La Ripaille could not have been more welcoming in spite of the the fact that we had not made a reservation. The friendly French greeter set up a little table in the back for our party of two and we were quite happy (if a bit isolated from the main room). French-speaking waiters indulged our college French and was super-friendly. Food was delicious and atmosphere was cozy and old-school NY. Loved it! Must go back soon.",La Ripaille,4.0 star rating,$$$,French
