,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,sgk0J9CJiA9jaeZBNqCEhA,Steph R.,5.0 star rating,"I like this spot for a quick ""healthy"" snack. I've been coming here for years now and the items are always on point. My favorite items are fried crispy chicken wontons that are $1.75 for twelve it's delicious I'm getting hungry just thinking about them. I also get French fries I like that there salty and I put ketchup on them one by one... it's like a fun activity. I've tried the house special rice and chicken with broccoli and it's all good. They also have tostones which I also love and other American options like cheeseburgers.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
1,xtFtEUke7lCV3FE9M6tC8w,Sam S.,5.0 star rating,"Best Chinese food in the Heights, the honey chicken cutlet is a must. It remains crunchy yet has the great homey flavor. Mrs Lee and Johnny are also really cool to talk to and really remember every customer.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
2,gjQvWPOi-FEhN35YPnB7Pg,Barbara M.,1.0 star rating,"The delivery experience was good.  I felt bad for the man, his hands were nearly frozen and I have him a pair of gloves. He was appreciative.They forgot my sodas.They returned with the two sodas.The steamed dumplings were pretty good, the right amount of ginger was there in every bite.  They seemed to be under steamed so I put them in the micro wave so that I won't catch some sort of bug.The shrimp egg foo young was HORRIBLE!! over fried, burnt to the point that the small shrimp were hard as little pebbles.  They were paper thin and disgusting.The rice was also over cooked and stuck together like rice paste. This staple was done poorly.I called and was offered another order.  I passed.The feeling for the meal passed.Not sure if I will go for another order there again or not because the food is what matters and they didn't deliver the taste and quality food.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
3,rljnS2UDvhCp4iRz5w2RqA,Jacob M.,5.0 star rating,"I love this place. The food is cheap, hot, tasty, and well valued. Parking is a pain, but its Jersey City. Ms Lee is always friendly and service is fast. Sometimes its so busy that phone doesnt get picked up. Lol... thats how crazy it can get.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
4,NCYYhzWEsVgM4lt52YJFfw,Terry D.,4.0 star rating,This is the best Chinese food in jc but there hours and delivery is really bad 70% of the time they dont answers the phone and sometimes they dont open till 3pm but there food is always fresh and good,Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
5,TAqXaSMHpmjbk_Fp10R8Fw,Jose S.,1.0 star rating,"Thought this place was one of the best Chinese food spots?!?!.....WROOOONG I called N they didn't pick up. So I would walked over n in front of the register I called to see what they would do. They didn't even budge to pick up the phone and say give me a minute please, letting the phone ring and ring. I understand when a business is busy, but have some courtesy. The lady was extremely rude when I finally was able to get my order in. There are  better Chinese spots around.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
6,YlHfPPRKUeQC6L344RXLDg,K P.,3.0 star rating,"The food here is amazing but lee's attitude sucks. Some days she nice, other days she yells. Some days she delivers to my house, Some days she doesnt. She also treats her employees very poorly. Great food, horrible service. Wish i could've given the five stars, but how well u treat paying customers is a deal to me.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
7,6YcE0iqnqoayP6JgsqvZkA,Ewen Y.,5.0 star rating,"This place should be at the top of the list for the area.  There are many Chinese takeaways to choose from around here and I've tried most of them...Lee's is the one I go to from choice.  Admittedly I am not very adventurous when it comes to Chinese takeaway food (usually it's either curry or sweet'n'sour chicken), therefore I'm not the most qualified for an opinion on anything much else on their menu.  However, I am a bit of a food snob in general (meaning that I don't settle for terrible food, not that I'm a snob on what establishments I'll go to).  I love the Lees' curry.  Spicier than the usual Chinese takeaway curry and almost bursting out if it's container.Ms Lee recommended the dumplings to a friend, so we got some.  I thought they were amazing and just as good as anything you can get in some famous establishments in Flushing (which I've been to).  I always pick up a few now when I pop in for my curry.I Read some other reviews (the couple of negative ones that have really hurt the overall rating, which is a shame) and can't but help think ""are they referring to the same place?"" The only downside, from my experience, is that they're kind of a victim of their own success.  This place is very popular for deliveries.  There usually only seems to be one, sometimes two, people cooking and therefore you can be left waiting a very long time.  For me, I just make sure I'm not in a huge hurry when deciding to go there but it certainly has always been worth the wait.",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
8,4jOSwhtYSY1Ky0IFNGgNig,Lisandy M.,5.0 star rating,"I love this restaurant specially that they make tostones!!! The food is really fresh all the time you order , I recommended.....",Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
9,YMnw_Uc1IjCKz0FiBYP_rw,John G.,4.0 star rating,Great food. Especially the breaded chicken..my only complaint is that they RARELY answer their phone to place an order. You have to call them 20x before getting through.,Lee’s Chinese Restaurant,4.0 star rating,$,Chinese
