,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,qKSaHqTiz2y_uKuJUm-_3A,Kelly A.,4.0 star rating,"I've been making my way to west village more often and have since found so many great restaurants. Left bank did not disappoint.I'm all about sharing so we ordered the trout entree, spaghetti (lemon garlic one), and Parmesan fries. I enjoyed everything but I will say trout was delicious! And I would highly recommend it! For drinks I had the red sky at night. Geez. It was perfect!Great place for a date night or catch up session with a friend. Will definitely be back!",Left Bank,4.0 star rating,$$$,"American, (New)"
1,Mi_h7H6uGKm_zE2Tf_hMqw,Christopher D.,4.0 star rating,"The food is quality. The shaved brussel sprouts (pictured) were light but plentiful. The homemade potato gnocchi was fresh and soft, but the cremini mushroom sauce was distracting. The maple syrup pie is a great way to finish off a meal with its crunchy crust and sweet and soft maple syrup base.Consistent with the unpolished nature of the Restaurant Week menu, which featured two separate typos (""parmessan"", ""moussse""), the overall experience was solid, but Left Bank is not a must visit.",Left Bank,4.0 star rating,$$$,"American, (New)"
2,Cy7J-d9d1fT7AqMrVcps8Q,Dave R.,4.0 star rating,We read about the Left Bank's happy hour special so we decided to give it a try.  The happy hour includes an appetizer and pasta entree for $25.  Of course it doesn't include the entire menu and upon seeing the rest of the menu we got excited and decided to order off the full menu.  We started with steak tartar and grilled calamari.  The steak tar tar was kind of a deconstructed version as it was more untreated with all the accoutrements on the side.  It was a fun treatment of this appetizer but not the best version we've had.  The calamari was in a stewed red sauce with green and black olives and was really delicious. The calamari even had a nice charred hue to it.  For our entrees we got the potato gnocchi with butternut squash in an incredible butter sauce.  It was decadent and scrumptious.  A perfect fall dish.  We also got the grilled brook trout with salsa verde and roasted potatoes.  First of all the potatoes were crispy yet tender inside.  Perfectly prepared!  The fish was also perfectly prepared and the salsa verde was an ideal accompaniment although we would have preferred a little more of that.  We finished our meal with the dark chocolate mousse.  I have to say that I LOVE chocolate mousse and it has been awhile since I have had a version that I thought was worth writing about.  This was one of them.  Delicious finish to a wonderful night.  And not to be forgotten was the great wait staff that was spot on.,Left Bank,4.0 star rating,$$$,"American, (New)"
3,BlfSZ9WnzYXwo7Y8kbSHTA,Simon P.,4.0 star rating,"Honestly I don't know why Left Bank has less than 4 stars on Yelp. It's a solid 4 for me - good, classic brunch, very good European-style coffee and pretty nice service. Also, not that expensive and without ridiculous lines on weekends. It may not be my top 10, by I was satisfied and most provably will visit again.",Left Bank,4.0 star rating,$$$,"American, (New)"
4,0cgqHOd88b4DAnIsEhl8oQ,Jason S.,2.0 star rating,"(2.5 stars) Brunch here was disappointing overall, but your experience really can vary by the dish. The restaurant is a nice, quiet corner spot, but the food is pricey and mostly underwhelming. They do serve grumpy's coffee though which is a nice touch, but it's $4 and the cups are super small but come with refills. Given the plethora of quality restaurants in NYC, I would search elsewhere for your brunch fare. For $16, the cheese omelet is served with a homemade cheese mixture, which wasn't my favorite especially after a couple of bites when it became slightly offputting. And it only comes with a side salad. A crazy price for some eggs and greens. The dish was fine but nothing memorable. The best dish was the french toast, which wasn't too sweet or heavy, but had a nice richness to it. The Dutch pancakes were also enjoyable with the addition of some syrup. The most underwhelming dish was the potato latkes. They were lukewarm and mushy as though they weren't cooked all the way through. For $3, each one is an overpriced and unappetizing bundle of calories.",Left Bank,4.0 star rating,$$$,"American, (New)"
5,LMt1iYfTkUX3VlYx9fwdgA,Daniela G.,4.0 star rating,"Came here for dinner on Sunday. Loved the place. It was just us and a few more tables. The food was amazing, ambience was good and service too.Noted a little ""old house smell"", but understandable given it is W. Village and all the buildings here are old, and the pipes and walls have a weird smell during summers. Nothing unbearable, just the same ""humidity"" you notice when you go into an old building and then goes away. If anything, I felt it more homey (nice change from the fake smell in other places). I say this post-facto of having a great dinner. Likely it would have been a deal killer if dinner was not as good.Location is beautiful, in a very pretty corner in Perry St and Greenwich St.We were undecided what to order as everything looked great in the menu. Finally my boyfriend got the roasted onion and pesto soup ($13) which was out of this world. I had the shaved brussels sprouts salad w/ pecorino, hazelnuts, olive oil/lemon($16) which was nice and refreshing. We shared the chicken liver and mushroom pate with the appetizers and it was very good on the toasted bread. Then we shared the iron roast split chicken ($27) as a main. Someone else compared it to Pio Pio's and it nothing like it. Pio Pio's ket in their chicken is the green sauce (magic!) and this one didn't have such. It was great though and I loved the braised greens that came with it. I didn't leave anything in my plate (or my bf's either :P). Also they are ""committed to sourcing only humanely raised meat"". So it was a happy chicken and lived a nice (maybe short) life.We had a bottle of Dido Tinto 2015 ($68, grenach from Catalonia, Spain). Lovely wine, tasted great the next day also :)All in all a great dinner. They had a special with Blackboard Eats we used. Would come back even without the discount as everything was perfect.",Left Bank,4.0 star rating,$$$,"American, (New)"
6,HhH46EnjXfntPhDqV-2Ujw,Frederick B.,5.0 star rating,"Outstanding and delicious perfectly describes this quaint NYC eating establishment. My family and I had the pleasure of enjoying an Easter Brunch on Sunday. Food was absolutely delicious, drinks were perfect, atmosphere perfect and prices were very reasonable. You don't want miss an opportunity to dine here. We'll defintely be back.",Left Bank,4.0 star rating,$$$,"American, (New)"
7,zrlMGbh0ftnGLePbCPPfUw,Eileen Z.,3.0 star rating,"Appetizers:Chicken liver and mushroom pate Shaved Brussels sprouts salad Grilled octopus Entrees Potatoe gnocchi Capricci cacao e Pepe Tagliatelle allá bolongnese Iron roast chicken Pan roast mahi mahi Steak frites Came here as a group and we all ordered appetizers to share and our own individual entrees but we all shared our entree so I had a bite of each thing.  The food and drinks here were mediocre.  For appetizers, I would not normally order chicken liver on my own but it wasn't bad when I tried it.  The grilled octopus was good, my least favorite would be the salad.As for the entrees, all the pasta was pretty good.  No complaint to that, they were creamy and flavorful.  The chicken was juicy and went well with the sauce.  The mahi mahi wasn't anything special but I did really like the cauliflower purée with the acorn squash.   Goes well together and difference from the normal mash potatoes.  The steak would be my least favorite.  Not much flavor but salty and the cut of the meat they used was really tough.  The drinks weren't bad but after the first round the drinks went down hill.  I don't know if it was a different bartender or what.  The drink got so diluted you couldn't even taste the alcohol or juice.",Left Bank,4.0 star rating,$$$,"American, (New)"
8,-BKKJct1YKLq2klOueYyRA,Fan V.,5.0 star rating,"Stumbled upon this place and boy am I glad I found a new spot in the West Village for cocktails & steak tartare (sorry Employees Only) LOL. I've been to Left Bank twice and boy was I pleased with the whole experience. Don't let the fancy decor fool you, this place is super inviting. Cool vibes, great service, nice atmosphere, and the food was excellent. Shout out to the bartender Lauren, she definitely knows how to make a mean cocktail. She guided me on some of their popular dishes and of course I had to get my fix of their steak tartare followed by their banging a** burger. Both were delicious. Thanks Lauren! Sit at the bar, order yourself a cocktail, and treat yourself to a nice meal. I'm sure you won't be disappointed! I would definitely return and would definitely recommend this place!",Left Bank,4.0 star rating,$$$,"American, (New)"
9,0lFXcxKu1vsrGPfBIj8Jrw,Monica W.,4.0 star rating,"They just launched their brunch menu and it was delicious! Had the salmon & whitefish with poached eggs and hollandaise on potato latkes. Really liked that it was a bit different from the typical salmon benedict you see from other brunch spots! The Dutch baby pancakes topped with fresh fruits in a skillet was delicious and it takes about 20 mins. after ordering.  It's light & fluffy, and crispy - perfect texture.  I don't generally go for sweet things for breakfast/brunch but these were really good. It's more like a dessert to me. The decor is pretty. It's a perfect place for dinner with friends and date night. They also have a nice bar but the space there isn't all that big.",Left Bank,4.0 star rating,$$$,"American, (New)"
