,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,cwABSMz2gzmuYzw2mD-57A,Amir Z.,5.0 star rating,"Management must have changed, because customer service has improved significantly!Great food, big portions, great service and reasonably priced :-) what else is there?Our first choice for Asian food in Hoboken!!!",Lo-Fatt-Chow,4.0 star rating,$,Chinese
1,U_UvZKuqTV35_R_QaUsVPA,Christina G.,4.0 star rating,"Officially our go to take out Chinese spot. It's super easy to order online, especially once you set up an account with them. The food is always ready in 20mins, and it's piping hot when we bring it home. Some of our favorites- the combo deal for one. Lots of different entrees to choose from (my fave is hunan chicken), and tons of options for the two sides you get to choose from. You pick from a variety of Rice's/ lo meins and then either a soup or spring/ egg roll. Usually ends up being $10 for a ton of food! I'm normally a fried rice fan, but the lo mein here is the winner. It's so tasty. The egg rolls and soups are also good. Crab Rangoon is another appetizer well done here. The few things I wouldn't order again are the scallion pancakes and chicken wings. Both were soggy. This is strictly takeout/ delivery. There are only a few stools to sit on inside.",Lo-Fatt-Chow,4.0 star rating,$,Chinese
2,GydRg9XeEhsI_yHSF5MCSw,Alyssa E.,5.0 star rating,"My favorite Chinese takeout/delivery in Hoboken. Fast, fresh, and doesn't make you feel gross after eating.Love the beef and broccoli and the chow fun. Soups are good too (hot and sour and egg drop with wontons). Really almost everything I've tried is delicious but those are part of my regular order.They do deliver to the JC Heights-- call to place your order instead of going online for Heights delivery. However, during peak times/bad weather, they might not deliver there.",Lo-Fatt-Chow,4.0 star rating,$,Chinese
3,XLGVnWzz3Z7WHsSZaDAguA,Cecilia M.,5.0 star rating,"The chicken low main was excellent, not greasy at all. The beef & broccoli was a delightful dish too. The egg rolls and spring rolls were crispy and not greasy. Will be back for more !",Lo-Fatt-Chow,4.0 star rating,$,Chinese
4,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,On the pricey side because it is slightly healthier than other Chinese take out. The chicken is all white meat and the food is less greasy than your standard place. Try the crab rangoons!,Lo-Fatt-Chow,4.0 star rating,$,Chinese
5,B3LdwytFjnYrjpoPPIUlVA,Mirna G.,3.0 star rating,Food is great!But the older asian lady ( the host ) is mean and rude . . needs to be nicer lol,Lo-Fatt-Chow,4.0 star rating,$,Chinese
6,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,Surprised by the reviews on yelp for this place. I found the meal to be below average.We ordered the sesame chicken and the sweet and sour chicken. First off the sesame chicken was very salty and didnt have a great texture. It was kind of chewy. The sweet and sour chicken was mostly dough rather than chicken. This was also a little dry and i have had better.Might try again if i am craving chinese but this place did not hit the spot.,Lo-Fatt-Chow,4.0 star rating,$,Chinese
7,b-cuECtcfz6kv0PEMqgB1w,Janice L.,4.0 star rating,A neighborhood take out place. They are super friendly and prices are good. They advertise no msg and you can tell that Chinese food without msg is a little lacking... still not too bad,Lo-Fatt-Chow,4.0 star rating,$,Chinese
8,pFnNnKBL23D-0ERdhBrzoA,Chris B.,5.0 star rating,Best Chinese food in hoboken by far haven't ordered from another place since they opened.  The food is also much healthier than other options in town.,Lo-Fatt-Chow,4.0 star rating,$,Chinese
9,vezoZIIwEyAe-oB_P6CAmA,Alexis H.,3.0 star rating,"If I could, I would give Low-Fatt Chow 3.5 stars. My friends and I ordered for delivery. We went on the site and it said that it was too late to place an order. However, it said the place closed at 10 and it was only 9. It was only .1 miles away so it should have been plenty of time. So we called and they had no problem fulfilling our order. The service was outstanding after that- the lady was very competent even though it was a big order. The food was average. Definitely a safe Chinese place but it wasn't overly flavorful. It came in a container with a divider so rice was on one side and the protein on the other. Not how I would have like it but the others thought it was nice.",Lo-Fatt-Chow,4.0 star rating,$,Chinese
10,nsgaqFbzszFtL4RewbE5fQ,Glenn Elise P.,2.0 star rating,"I've moved to restrict my consumption of pork and beef, so recently I ordered the Sesame Chicken while my boyfriend ordered General Tso's which he gets everywhere.  Unfortunately, half his chicken tasted ""fishy"" which either means it was of questionable freshness or the frying oil for the fish is the same as for the chicken-- EXCEPT I also had a similarly fried chicken dish (aforementioned Sesame Chicken) and it was not fishy.  Needless to say- we won't be ordering from here again probably (even though I never had bad luck with the boneless spare ribs).",Lo-Fatt-Chow,4.0 star rating,$,Chinese
11,kTzJxbH2zmB0iY0BYHPmQg,Devon S.,1.0 star rating,"I wouldn't have written this review if you weren't so unprofessional & disrespectful, so I hope you're happy low fat chow. Anyway, i ordered chicken pad Thai and the chicken was so disgusting -soft squishy greasy, it didn't even taste like real chicken. To get a visual, the texture reminded me of raw fish or possibly a fetus, that marinated in a bucket of dishwater. I ate about 1/3 of the dish because I was starving AF and then got sick about an hour later. I called them requesting my money back and their boss was patronizing and unprofessional. She told me that she's certified (for what, idk) and it couldn't have possibly been their food that made me sick because I got sick too fast, and that maybe I shouldn't eat Chinese food in general. Lmao.*I ordered your food last week and the kung pao chicken was actually really good. Nothing like this. She said she'll give me my money back as long as I didn't eat more than half and they'll come pick up my food and inspect it, but still she kept going on and on about how this isn't their fault. OH and that I'm never allowed to order from them again- makes total sense. No one came the rest of the night to pick up my peasant food or give me my money back. I'm only giving 1 star because 0 isn't an option.",Lo-Fatt-Chow,4.0 star rating,$,Chinese
