,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,snTxnyaTO2mbvqfHNV4Zaw,Millie R.,5.0 star rating,"If a taco, or two is what you want delicious, tacos is what you will get. Located in the busy hustle & bustle of the Chelsea market you will find these flavorful hand snacks. The lines at the authentic Mexican stand are discouraging which, is why I have overlooked this location on numerous occasions. However, this time around I was in a total mood for tacos & hopped on the line. I was pleasantly surprised the queue, moved remarkably quick. We ordered steak cheese shell tacos, chicken flour tacos & a chicken quesadilla. Everything was outstanding, very authentic in flavor. Under $5 per item. Friendly staff Clean Quick service",Los Tacos No.1,4.5 star rating,$,Mexican
1,gk3bkJsa8I3uStlcIDmrHA,Marlena K.,3.0 star rating,"I think the hype is a little too much. Long lines... madness to say the least. You wait on a long line to order your food then they give you a ticket and you get on another line to encounter a large amount of people crowding the counter top area where you have to give the guys the ticket and they make your food.  The first time I went there it was really good. Then, the second time I went there the Nopal was so slimy it slipped out of the taco and didn't taste right. Consistency is obviously an issue. I would say its worth it if its your first time other than that, there is limited seating and i think they should put two soft taco shells around the taco so all of the things inside don't slip out.. They should also develop a better system to manage crowding at the counter top area. Cash and credit accepted.",Los Tacos No.1,4.5 star rating,$,Mexican
2,n035JAt9Uz3Y6k51wG_fWg,Jeffrey Y.,5.0 star rating,"if you had to decide between the 4 choices, go with the carne asada.you want regret it. it's juicy, tender, and has got the perfect amount of smokiness. yes",Los Tacos No.1,4.5 star rating,$,Mexican
3,BYVuRO-X5AurbaXtbhKrmw,Justine S.,5.0 star rating,"The food we got at this food truck/food stand was so good. You order at the cash and then you line up in front of the kitchen staff and they garnish it the way you want. Ordered a beef quesadilla to share, two beef tacos, and chips & guacamole. The tacos were so tasty and flavourful, the quesadilla is the same thing as the taco except they add cheese, and the guacamole was a very solid 4.5/5 (hint of lime, a bit of onions)Great value for the price, the portions are small but seeing as how you'll be eating a ton of other stuff around Chelsea Market, it's a good thing.",Los Tacos No.1,4.5 star rating,$,Mexican
4,pqyYVpDiSGWJLvN2kte-rw,Liz S.,4.0 star rating,"Los Tacos No. 1 continues to be a reason to actually brave Chelsea Market. It's never been my number one (I find it a little too soupy), but finding myself in the area, this was an easy pick for lunch.Around noon, the line wasn't bad at all and took under 5 minutes. I did a chicken on corn and a nopal on flour for a combined ~$7. $5 minimum for credit card. No seating, so stand where you get the tacos or try to steal some space away from other vendors. You'll need a counter or table as these get a little messy. If you get them ""with everything,"" you really won't need any of the garnishes, as I think it's a good amount of spice and sauce. However, grab some radish for a palate cleanser when you're done.The chicken on corn was magnificent. Great flavor, tender, tasty. I'm from Houston, know my tacos, yadda yadda, and this is great stuff. The corn tortilla was a must-order as it held up to the messiness.Nopal was more of a mixed bag. It was slightly overcooked and slimy, and the tortilla completely fell apart by the end. The taste was also a bit one dimensional and jalapeno-y, but you'll get that with nopal. Doable if you're vegetarian but if not, try another meat.Recommended overall and a fun experience. Los Mariscos will be my next Chelsea Market destination.",Los Tacos No.1,4.5 star rating,$,Mexican
5,UREOfUaBLRIC7EdCBQ8XRQ,Jordan M.,5.0 star rating,"Worth the hype! I get the Nopal Plate w/ Chicken. It's so cheap and very filling. The tacos are great, too. Everything on the salsa bar is perfection. The service is friendly and fast. This is the best lunch option in Time Square, without a doubt.",Los Tacos No.1,4.5 star rating,$,Mexican
6,e2nGHvBkgeV6EuKHs-NgMQ,William R.,4.0 star rating,This place is located in the Chelsea market( which being from out town took me a while to locate) but once you get inside just wander until you find it. That being said once I found it I was very happy. It's counter ordering so take out style. You put your order in then go give them cooks a little detail on what you want inside your taco. They hand you your order and then you chow down. The reason I didn't give it 5 stars has nothing to do with the food or service but that there is not really anywhere to seat down and enjoy your food(but that is more of an issue of the Chelsea market ).Now to get to the food the tacos were out of this world or should I say straight from Mexico. Very authentic and can choose between flour or corn tortillas for those who arnt really about that authentic life. They also serve horchata which is total bonus points for me! Check it out,Los Tacos No.1,4.5 star rating,$,Mexican
7,CIbKhIHBDvBOZdpK6pRMeg,Jinyoung P.,4.0 star rating,"We tried the tacos with shells made entirely of cheese! They were delicious, if a little salty. We were trying a bunch of places so we only got one taco each, but in retrospect, we should've gotten 3 different items and shared. I look forward to returning and trying more items next time I'm at Chelsea Market.",Los Tacos No.1,4.5 star rating,$,Mexican
8,4egjuOJknN45uAO82XZI5Q,Kathy T.,3.0 star rating,"I'm always a fan of trying places are offer vegetarian-friendly options, so I was super excited to see that they offer a Nopal Taco (Grilled Cactus)! First you order and pay at the cashier and walk to the left to the bar-table like area where the guys are grilling. Then you hand them your ticket and they'll start preparing your food. On a good day, it won't be too crowded you can proceed to eat there with all the condiments, but I can see how this place would get packed and you could possibly end up blocking the counter from other customers trying to hand in their order.Luckily, it wasn't too busy when we went, so we got our food fast and were able to enjoy it there. However, after trying the grilled cactus taco, I would say to stick to the meat. The grilled cactus was very sour tasting and personally not to my liking. I also thought the tortilla was delicious and that was the saving grace. My friend had the al pastor and said it was good, but not the best he's had.",Los Tacos No.1,4.5 star rating,$,Mexican
9,cKHctvIaOfkQ54ak1MkQyQ,Jerry T.,5.0 star rating,"Hey yo. Chant it with me: Los Tacos is the best, Los Tacos No.1 *CLAP *CLAP. This taco joint is located within Chelsea Market and serves up some of the best tacos in NYC. Chomped:1. Steak Tacos2. Chicken Tacos3. Cactus TacosAll of them were good in their own right. I regret not trying the pork because it looked so darn appetizing just spinning on the shawarma-like spit-grill. I could eat like 10 of these.",Los Tacos No.1,4.5 star rating,$,Mexican
