,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,5.0 star rating,"Love this place.Old skool. What Hoboken used to be and represent, now surrounded by a sea of cheap quality, cookie cutter condos. Employees are helpful and actually give a damn. Selection is amazing and, Pavlavian like, will force drooling. Quality is top notch.This place is the community, where the whole is a lot more than the sum of all of its parts.",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
1,94V-snVUg2Gd-OPd7rcZEg,Laila D.,5.0 star rating,"I have returned many times. This is the best deli in the world: the freshness and quality of the deli and everything here is top top notch. One enters and is treated with the greatest warmth and love like family. The homemade roast beef is addictive, as is the fresh mutz, the fresh breads, focaccia, cookies: everything. The market has Italian dried goodies that are also top notch including, pastas, pickles, cakes, cookies, herbs, Italian coffee, you name it!! Thank you Losurdo's!!  So grateful for you!!!",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
2,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,3.0 star rating,"This deli offers some great items home made sausages at the weekends, great sliced meats, the Palma ham and mortadella are very good, cheeses and breads and pastries. The only downside is it can be very frustrating to shop here as the counter service can be chaotic, a phone order will come in and your abandoned while that's taken care of .... this can be generally avoided by shopping at none peak times, however be warned it can make you walk out the store or it has me !!",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
3,mbxdo8Z59tcQc_FJMxHNeA,Trent T.,4.0 star rating,"Came in because Fiores was closed on Sunday so I figured I would give Losurdos a shot. I'm glad I did, excellent experience. Bread for the sandwiches was awesome and cold cuts were all thinly sliced. Best part was the price is extremely reasonable. Very nice staff made it a pleasant experience as well, I highly recommend!",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
4,uOPqYG5GpeokCCaKBD8VHg,The Man G.,5.0 star rating,"Love this deli.  Good price, good sandwiches.  Guys are always fast, nice, and never make a mistake.  Only thing that could improve is if they wore gloves to make your sandwich.",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
5,nzrfuX4SprnDiRgcO2rfRw,Nicholas D.,5.0 star rating,Truly authentic. Best Italian Deli in Hoboken without a doubt. Good people and even better food. You will not be disappointed.,Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
6,KkBMXD6eoLYqYB154ObeBA,Lisa M.,5.0 star rating,"Best of the best! Love the mutz, but also they have their own fresh breads, Italian cookies, plus salads and deli meats and cheeses. They also have lovely, real-deal products from Italy like Kimbo espresso.",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
7,DQGj1tPQ3nBfrj3KqZjGUw,K H.,5.0 star rating,Hands down best Mutz in town. Not even a question. Would never have known of this place unless I lived back here.,Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
8,ZZELut-m0rSyivf8saCMKA,Mark S.,4.0 star rating,"A healthy Italian Deli in Hoboken? Who knew?  I have been a fan of their mozzarella since I went to the Hoboken Mutzfest in January. I finally had a chance to go back today after my initial visit about three weeks ago was thwarted by their being closed on Mondays. They have whole wheat and gluten free options which I like and don't normally see in Italian Delis. I ordered two sandwiches. My standard prosciutto, fresh mozzarella, roasted peppers and balsamic vinegar. The other sandwich was roasted turkey and Swiss cheese with lettuce, tomato, oil and vinegar. Even though I was looking forward to my sandwich I let it marinate for a couple of hours so the bread got nice and spongy.   The place smells awesome when you walk in, with baked bread and pastries. I also had to bring home some of their delicious fresh mozzarella. The prices are pretty standard, about 8 dollars a sandwich. I have had larger, but, THIS IS THE BEST MUTZ I HAVE HAD. (So far)  :).",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
9,8-nBwgknhT42h1Qu7fR6Mw,Jerry C.,4.0 star rating,"Hoboken's Italian bakeries are dwindling in numbers with each passing year. Luckily, the Losurdo brothers continue Tony's Italian Bakery's tradition of baking fresh bread daily. Plain or sourdough, all kinds of shapes and sizes. Walking in the bakery you'll almost always hear Italian being spoken by one of the guys or old-time customers. Losurdo sandwiches are always packed with lots deli meats. Not as much as Carnegie Deli 1-pounders, but still more than enough. They stock both imported and domestic meats, my favorite being a hot Calabrese salami which I'd order by the 1/2 pound sliced, and then sliced again down the middle or it'd be too big for crackers. It is simply the hottest, spiciest salami I've found in the Six Boroughs (haha). They also have a good assortment of pickled items, imported Italian pasta, cookies and goods, cheeses and fresh mozzarella. A friendly staple of the neighborhood where I'm sure many folks stop by daily even just to say Ciao.",Losurdo’s Italian Bakery & Deli,4.5 star rating,$,"Bakeries,, Delis,, Italian"
