,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,eTWJ9zTlxyxCRfLAEVvRtA,John V.,5.0 star rating,"This was probably the best chicken bowl I have ever had!Fresh, delicious light( not too many spices), well worth $12Haven't tried the pizzas yet but definitely will next time I am in the area.",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
1,2m3p7r_aURIx3ppfKSU6fg,Breelyn M.,3.0 star rating,"It's a cute bar, nice ambiance. I'll definitely check it out in the summer to visit the backyard.Parking in the heights is pretty crappy but it is what it is.Nice selection of beers however I do think this place might be way overpriced. The bartender also gave me a really bad vibe. It was clear that he was super friendly to certain customers and not so much to others but then again he seemed to be drinking also.Oh and the pizza was good, but not worth raving about.",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
2,3qeP8QXid1ZAiUc4Itb6-g,Hans M.,5.0 star rating,"Update!: came here for lunch.  Kyle the bartender is awesome.  Legit craft cocktails have been coming out of the woodwork, super great customer service and delicious pizza.  I also had a beer and a Manhattan.  Others had other craft cocktails and are raving about them.  Baby (18 mos old)came with us and was welcomed without issue.  I am definitely going to come here more this winter.  This is a great addition to the neighborhood.  I'm happy about the craft cocktails and decent beer selection.  Also, the design is very nice and very welcoming.  They have a tv for football Sunday but they aren't going for the sports bar vibe.  The bar on a whole is definitely a hit and a vast improvement over its predecessor. However, the backyard is a miss.  It's basically a baggo/ tailgate toss court surrounded by benches and some chairs.  I can't understand why there aren't some outdoor sofas, patio sets etc out there.  Don't get me wrong, I love backyard games and would definitely get into some baggo.  However, I would stay longer, order more and relax if they set up the backyard.    Maybe I'm off here but I went there to hang in the backyard, when I wasn't comfortable I finished my 1 beer, 1 appetizer and left.  I will definitely go back for drinks all winter but on a nice day I would rather walk down to the Hutton even though I live basically across the street from LOFI.",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
3,v_O09rydDza5fayXJYTDqg,Taylor M.,5.0 star rating,"Wonderful addition to the heights. Has a Brooklyn vibe, and the bar is always lowkey poppin. The bartenders do a great job with creative specialty cocktails, and the Detroit style truffle pizza is banginnnn. Perfect neighborhood spot we frequent at least once or twice a week. Props to LoFi!",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
4,Ralo7wlSbCF5IM3Z46y8PA,Yeraldine S.,4.0 star rating,"#LowFidelity or #LoFi is a wonderful addition to the neighborhood. I definitely agree with Bloss that this spot has more of a casual, laidback feel, compared to the Archer (which i also like)  I stopped by on a Saturday night and it was a fun time. The bartender was super friendly and he made me a solid ""Kentucky Morning"" -$12 (bourbon, peach liqueur , honey, bitters). My coworker was also a fan of her ""El Diablo"" drink. I can't wait to try more of their cocktails (I've been stalking their Instagram page).We decided to try their Detroit Style pizza -we went for the Motor City (red sauce) and a white sauce one but can't remember the name -too much bourbon, My friend who was visiting from Detroit confirmed that the pizza was legit and verified it Detroit style :) We ended up in the backyard playing cornhole and it got pretty competitive. They also have a nice, well-priced beer list that also gets thumbs up from us. All in all, LowFidelity offered great drinks, a delicious simple-menu, and kick-ass service.  I'll be back! Follow their page on IG for more @LowFidelityBar",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
5,75oF_oV9ZL0F4xllOmt4Cg,Michelle G.,5.0 star rating,I dream about their detroit style pizza.  Its just amazing.  Fennel countdown is YUMMM.  I have to come back and try their other menu options.  Awesome addition to the Heights and to JC in general.,Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
6,C8BRhiuPMZeVVtV94x7wKw,Gail E.,3.0 star rating,"So I wasVery excited to visit this new bar. Nice decor alright bartender . Only problem I have is the no cranberry orOrange Juice thing. It's still a bar should have basicNeeds .Small selection on vodka , OnlyOne cider available ;And when we askedThe Bartender what's on tap he just pointed to the menu instead of conversing . I get the vibe it'sGoing for , but still should be welcoming for everyone .",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
7,kx3EYmzz86M47iNP4pmMWQ,Kéila F.,5.0 star rating,"We had a margarita pizza and it was delicious! The servers are friendly and accommodating. The drinks were perfectly blended. Overall, great experience and will definitely return (especially for the pizza)!",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
8,dl4ENy4Bk6-lCu59A8vxbg,Bloss C.,5.0 star rating,"Yipee, I can walk a few blocks and get a slamming martini. From the same owners of The Archer downtown, their second location is more causal than The Archer and has a neighborhood feel already. LoFi just opened so things are being worked out but the bartenders have been great on all of my visits. They are going to have seating  in the back yard at some point, but for now they have cornhole set up which, is pretty fun.  Off their first drink menu I've tried the Expat and really liked it, I wasn't as big of a fan of the Bees Knees, but everyone else liked it. The daily punch is also good, it changes but right now they are doing a bourbon mint punch.  In the coming weeks they will open their kitchen which will not have a game themed menu like the Archer.  It did get a little loud in the space on my first visit, but it hasn't been too loud on subsequent visits. Once they are in full swing I hope they offer a happy hour like they do downtown.",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
9,5T0ZlFzC3fkmi_VKSISHLw,Scott W.,5.0 star rating,"I like it A LOT so far. $4 high life on draft. Decor is cool and doesn't try that hard (i.e, the bar isn't made from a 200 yr-old halved tree trunk that the bartender, upon orders from the higher-ups, compels himself to tell you about each time you drink there.) I don't really feel qualified to expound my views on the drinks because I like a nice light beer. That said, this place knocks the socks off the Hutton just a couple blocks away because, as I said, $4 draft beer is a must in the Heights, and the Hutton only offers Coors Light for like, idk, $5 or $6. Alas, I will save my diatribe for another venue.Playlist was good, but I mean, if your bar is gonna be called Lo Fi, you gotta pound out the tunes. I was only here for a bit under an hour, but I heard TWO Pavement songs, a Superchunk song, ""Sugarcube"" by Yo La Tengo--relics from a once-was-cool-but-doesn't-even-taste-the-same Hoboken. Pretty happy they didn't just revert to playing Lumineers Pandora like most places in the area.I'll amend my review once food gets cooking. Their kitchen isn't up yet. Also hope they decide to do happy hour, but $4 beers are fine on any occasion tbqh",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
10,oHsCJCea42l-KCNNgLqNIQ,Shelby R.,5.0 star rating,"I love lofi. So stoked to have a great cocktail bar in the heights. Look at me, yelping.",Low Fidelity,4.5 star rating,$$,"Cocktail, Bars,, Pizza"
