,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,5.0 star rating,"Makai offers a selection of pre-marinated and unmarinated fish. All the fish tastes fresh and the Hawaiian marinade is my favorite. Unlike other poke spots, your bowl price can be entirely reasonable depending upon how you build it (your bowl can easily come in under $13, unlike Shaka's set price of $14). I come here more than Shaka not for the price alone but the fact that they have salmon!Makai also offers outdoor seating for warmer weather.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
1,mTrXfM4209GtIFrFiEsP5Q,Victoria X.,4.0 star rating,"*unlimited toppings**decent amount of seating - good for groups**this place is has been featured for their $200 poke bowl*I have no real complaints about this place. Standard poke, standard poke pricing ($7-$13), relaxed dining environment, friendly workers, and will probably be back in the near future.I do wish this place took ChasePay, and offered loyalty rewards for those who dine here frequently.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
2,u4IsqJKAUwfemaEhkW-KRg,Desiree D.,3.0 star rating,"very helpful and patient staff. i asked a million questions and asked to sample many things because im annoying, and they were nice and made things run smoothly. also made some good suggestions.the poke pizza was alright. i came here solely for that. i was shocked how much came with the price. i saw 10.95 and felt okay, im going to get a few pieces of fish on nori and rice. i was wrong. it was very filling, and filled with many toppings and fillings. over all, i think it needs more texture. i liked the idea and how innovative it is, but it just didnt blow me out of the water. also, its very messy to eat and i wasnt sure how to eat it. i did a mix of using my hands, rolling it up, and then using a fork and a knife like a tool. overall, it was good.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
3,_RNxlWibIPDZcnDGwh7ReA,Lisvette V.,4.0 star rating,"Fresh, clean and always busy so you know their product is rockin! Lunch time here the line is always out the door but they get the orders in and get their customers out - satisfied and content..I've tried a few different bowls- that combo of Mango and Rice is something else I tell ya.... try them out if you're feelin for sushi in a bowl or something that'll rock your tastebuds. Staff is also SUPER nice x3",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
4,JprijKvY4z1jUW5l0leTkg,Cydney B.,4.0 star rating,"If you have a craving for poke, this will absolutely hit the spot. Fast casual style service with build your own or prebuilt bowls/burritos. I ordered the Makai bowl and it was really good. My friend ordered the poke pizza. If your going to do it, do it for the gram. It's a pain to eat but she said it was delish. Would I come back? Sure!",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
5,lgaCjVK-OtWcKsgJ1nfBXA,Maria W.,4.0 star rating,"Yes to the Poke!  This eve we were enroute to a concert at Stevens U with the NJ Symphony Orchestra which hosts a delicious reception afterparty and we knew we couldn't hold out until post show to have a meal.  The Mr. and I were looking to make a quick stop for realz grub, a lot to ask for on short notice but figured Washington Avenue could meet the challenge as it has changed a great deal in a good way since I was a grad school singleton living in this mile square town.  Enter Makai Poke ftw! Bonus are the options to have salad or zoodles instead of rice. Who needs all those carbs, anyway? The staff were helpful and knowledgeable about all the various fixings, specials and sides.  I went for a spicy salmon poke with seaweed salad and he had a tuna poke burrito with some tempura for crunch.  There was no line and it took scant minutes to make our meals and for us to inhale them.  We made it to the concert on time with just the right amount of food made fast but not ""fast food"".",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
6,-VWxa75N4DtpXua6OAwg5Q,Pierson T.,3.0 star rating,"Tonight is the first time I've come in a while (probably 2 months?) and a lot has changed. Previously, I would have given this place 4-5 stars. However, tonight's experience has unfortunately changed my opinion. To start, while they've added many new options on the menu, including poke pizza and acai bowls, my review will be solely on the poke bowl. I always get a regular bowl (2 proteins) with white rice. First off, the sushi rice was warm, which is good, but also very mushy and soggy, which isn't good. When selecting proteins, the salmon and tuna chunks are so tiny, and the scoop is so small, that you feel like you're barely getting any proteins. They used to be more generous with how much they give you, but this time my bowl was pretty much all rice. Even after adding sauce and toppings, it still wasn't enough to cover all of the rice. I understand that portion control is difficult to perfect, but if I'm paying over $11 for a poke bowl, I gotta feel like I'm getting enough fish. Lastly, the workers are nice, but I felt like they weren't attentive enough. I was the only person in line and there was another customer being helped at the cashier. Two other workers were also there, but doing other things. In my mind, they should've dropped what they were doing to assist in taking my order, at least until the worker was done ringing the other customer out. Unfortunately I was left standing there for quite a while waiting to order. It doesn't make sense to have three workers in the area, and two customers, but leave one customer waiting. The process could have been streamlined much better. Overall, the actual food tasted pretty much the same as before, but I didn't leave feeling satisfied, as I had leftover white rice and not enough fish. It's enough to make me feel like not coming back again.  I may give this place another chance, as they do have new menu items.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
7,Sq3fuyXWxoGx7s_UeyBRTA,Kristin F.,4.0 star rating,"Went to a Yelp event here and I was very impressed by the quality of the ingredients offered. For protein, they offered, salmon, tuna, shrimp, and a few others. For toppings, they had a variety of over 20 things, from edamame, seaweed, mango, pineapple, scallion, avocado and many others! I loved the set up of the restaurant and its in a popular part of Hoboken. There's seating inside and outside of the restaurant. Because it's in Hoboken, metered street parking was very challenging. Don't count on parking in residential areas because all the streets are resident permit parking only and the parking officer is vigilant. Best bet for parking is actually on Washington itself, because people are constantly coming and going.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
8,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,5.0 star rating,"What a great find and lovely addition to Hoboken. It's hard to find poké in NJ. It's cute inside and has a casual, laid back, Cali vibe.Service was fast and friendly. It has the sort of Chipotle type assembly line, you can build your own or pick from one of their classic bowls. You basically can customize everything. I went with the Pele bowl, I really loved the sweet and spicy with the pineapple and jalapeño peppers. The rice and fish was very filling and I took my leftovers home for another meal. I don't understand the reviews saying it's pricey and skimpy portions. I thought it was very reasonable for fresh ingredients (and fresh fish). And it is Hoboken, people!",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
9,KT98PD9MeqiPBICwhPEWMw,Shirley W.,4.0 star rating,"Was in the area and saw on social media that they had pineapple poke bowls. I've never seen one of those before so had to come here and try it out. After reading the reviews, I definitely was expecting the prices to be a bit steeper than other places. In total, my meal came out to about $18 with the pineapple poke bowl (2 protein) and a drink. I've only had a poke bowl once before in the city, so I'm still fairly new to the concept. The staff was more than helpful and really patient. I got the salmon and shrimp on the white rice, only got seaweed, cucumbers, and masago as toppings (misread the menu and thought that the other toppings were extra charge, whoops! My mistake), and sesame seeds, spicy mayo, a chili sauce, and garlic to top it all off. Originally I only asked for the spicy mayo but the person who helped me suggested the chili and garlic since they went well with the shrimp. He let me try the sauce first to make sure I liked it. It was delicious, so glad he helped me out there! I went to sit outside and I can't even tell you how many people stopped to check out the pineapple bowl I was having! Definitely an intriguing look to your typical poke bowl. It tasted even better than it looked to be honest. The salmon and shrimp were fresh, all toppings and sauces blended nicely, definitely worth the hype in my opinion. The prices are definitely higher than other places, but don't let that stop you. The quality is on point here. Definitely want to come back here again soon and go HAM on the toppings since I know they're not all $1 extra LOL.",Makai Poké,4.0 star rating,$$,"Hawaiian,, Poke,, Acai, Bowls"
