,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,edkzf8gryg6B7uteL5_V7Q,Shirley G.,5.0 star rating,"Wow, blown away. I was here with a party of two on Sunday at around 7:30pm. I walked in and was immediately seated. They said they only take reservations of 4 or more FYI. We tried burrata as the appetizer - it was arugula, baby tomatoes, balsamic vinegar all topped off with mozzarella. The mozzarella was so delicious... it just melted in my mouth *drool*. The waiter recommended this to us and I'm glad we listened to him!! We got the tagliatelle al ragu which is pretty much pasta with a beef tomato sauce. Most of their pasta is homemade and you can definitely taste it. It felt like I was back in Italy. It was reasonably priced. The place had a dim lit environment which made it a more intimate setting - great for dates! The staff were so welcoming and friendly. I am pretty much hooked and will definitely be returning the next time I catch myself in West Village. CASH ONLY BY THE WAY",Malatesta Trattoria,4.0 star rating,$$,Italian
1,o_Fzyms988o2-T00lVCEAg,sancia d.,4.0 star rating,"What an amazing gem have stumbled upon! Came here with friends for dinner on a Friday evening. We didn't have reservations but spent our wait time at The Rusty Knot (just around the corner!). Finally got called to be seated. It was a little cramped (hey, it's the West Village) but the food and service made up for it all. I've never hard calamari this good before. Never. It was grilled and seasoned to perfection, and served on a bed of mixed greens that weren't wilted to death (what usually happens elsewhere!) The pasta was so fresh and incredibly delicious - we ordered the black spaghetti and spinach gnocchi - and another friend had the sea bass (also good but slightly on the dry side for me). I couldn't believe the price! $85.93 for three people - no alcohol, just sparkling water; appetizer and 3 main courses. It's unheard of these days in NYC!Two reasons Malatesta doesn't get 5 stars for me are the following: (1) the noise was terrible. I was constantly leaning into my pasta sauce just to hear the person across from me, not to mention screaming to speak. (2) I know every space counts but jeez, jamming a table for 3 in a nook that couldn't fit a baby crib was not fun. That said, I'll be back here for sure! (And don't forget to bring cash!)",Malatesta Trattoria,4.0 star rating,$$,Italian
2,OCDCDTDMQ070wf9yw3QqzA,Mariana S.,4.0 star rating,"Service could be better but I will take it. The food is Delicious, Delicious, Delicious! I have had about almost everything on the menu and you can't go wrong with anything. They take a little longer with getting seated, menu, refilling water, food to table, picking up the bill..... But as long as you come with the right people, share plates and have great conversation; you will not care because the food is Delicious, Delicious, Delicious!",Malatesta Trattoria,4.0 star rating,$$,Italian
3,jPjFVLy95kWnjYRNN1Gz-A,Jolene J.,5.0 star rating,"Probably the best Italian restaurant I've been to in a long while. Friend and I got the 2 most popular and highly recommended dishes: spinach gnocchi with gorgonzola sauce (friend) and spaghetti alla chitarra for me. I loved both dishes, but thought that the spinach gnocchi might be too creamy for me to finish an entire entree. My pasta dish was cooked to a perfect al dente with a texture that you can almost only get with good homemade noodle. All the ingredients tasted super fresh and delicious. The only thing I was confused by was that we were served bread (also fresh and delicious) but without a little plate or dipping bowl to pour olive oil (on every table) in. We didn't want to fill up on bread so we didn't bother asking. Will def return with my mom who loves a good Italian dish!",Malatesta Trattoria,4.0 star rating,$$,Italian
4,2G6lifMXnvbpvOGX6uhmtA,Michelle G.,5.0 star rating,"the pasta was fresh and housemade. The sauce was incredibly flavorful. The beef was cooked just right. This dish was so simplistic, yet it was beautiful done.",Malatesta Trattoria,4.0 star rating,$$,Italian
5,zZ7PqyjYhEIMZj-DyoXNjA,Denay W.,4.0 star rating,"Stumbled across Malatesta after trying to go to another restaurant which was packed and looking for vegetarian options for a visiting friend. Malatesta fit our food needs and we decided to pop in! For Sunday lunch, there were plenty of seats open and we loved the older feel of the restaurant. It was charming and you could tell that it had been around for a while. Our sever was so upbeat, flawless, and very professional with his service, which elevated our already positive experience. I loved that all the menus looked handwritten and the prices of dishes were all quite reasonable. Note: on the menu it says the restaurant is cash only, so don't forget your cash. We started out with the burrata and I selected the spinach gnocchi as my dish. The burrata was fantastic, served with arugula, cherry tomatoes, and prosciutto. As for the gnocchi, I basically could drink the creamy Gorgonzola sauce that it was served in. Safe to say I essentially inhaled my meal with great pleasure. You could definitely tell that the gnocchi was handmade as noted on the menu.",Malatesta Trattoria,4.0 star rating,$$,Italian
6,Jx_B5KN6es8A7w6cf99Rzg,Daniel B.,3.0 star rating,"Decent food, small intimate atmosphere, place screams bring a date! Well if you're me, you like to eat alone, but still I crave friendly servers as much as I crave good food.And that's where this place really committed offense.Apparently, they have some foreign guy with braids whose job is solely to hand out menus. I asked him a question about the contents of said menu but he shrugged me off. Yeah, guy I get it, you're ""the menu guy"" .... no matter how strange I take his overweening response to be, I went with it, eagerly awaiting my waiter so that I may ask him my question.My waiter finally appeared and I ordered the ragu.The sauce was very light and probably could have benefited from some extra pepper.Came time for checkout, ""menu guy"" appears. Apparently he gained 100 EXP. and acquired a new skill evolving into ""check guy.""Adjusting to his surroundings though, he wrongfully assumed I gave him a four dollar tip off a twenty.I didn't say anything but stood idol until he got the message.  He gave me back three; which, if my Math is correct, still shortchanged me by a dollar and some change. It's trivial, but where I'm from you give back your change. Don't expect a tip! Guess there is a darn good reason why ""menu guy"" is ""menu guy""!  I still maintain that's no reason to boast!",Malatesta Trattoria,4.0 star rating,$$,Italian
7,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,5.0 star rating,This is one of my #1 recommendations for places to go in nyc. It is right off the christopher st path station and easily accessible if you live in nj. The food is authentic and the prices are very reasonable. The gnocchi is as advertised and delicious. You really cant go wrong with what you order here. The important thing is to come and come multiple times. It is a little small in there so you are kind of close to other guests but thats normal for nyc. The place is cash only just an fyi. Solid 5 star place.,Malatesta Trattoria,4.0 star rating,$$,Italian
8,5flWMLHTI-8CmZXSb0KbDQ,Risa H.,4.0 star rating,"Really cute spot for dinner - but remember that it is CASH ONLY!  I liked the ambiance of the place; candle lit, nice waiters, good food.  I swear our food came out 7 minutes after we ordered it...or maybe I was a little buzzed and more time had passed by because I was lost in conversation and good company.  Okay I was definitely a little drunk...but regardless I would come back here for dinner.  We ordered the spinach gnocchi with gorgonzola sauce and the chicken cutlet, which was thin, fried to a crisp yet still juicy, and had a pile of arugula and tomatoes (the kind that would be on top of bruschetta) on top.  We were too full for dessert...but will have to come back some time!",Malatesta Trattoria,4.0 star rating,$$,Italian
9,LxG7arMjsc7nIrTbWjUqqw,Matthieu L.,4.0 star rating,"Really amazing authentic Italian food. You will not find any Americanized dishes here. This restaurant is located right at the edge of the West Village and surrounded by cute bars. Great place to grab dinner, few drinks, and some sweets. Calamari was amazingly grilled and full of flavor. Waiters were very friendly and service was quick. The chocolate moose was rich and amazing. Had a chance to try the crème brûlée and wasn't impressed but everything else was amazing.Great way to end a night.",Malatesta Trattoria,4.0 star rating,$$,Italian
10,lVBrWOIhOCBbOkIqRndpbA,Jennic M.,4.0 star rating,One of our favorite restaurants in NYC. The food is great and the neighborhood atmosphere is easy and fun. In warmer weather try to get an outdoor table.,Malatesta Trattoria,4.0 star rating,$$,Italian
11,PubsT_pCyYvVOJzAqp6QKA,Michelle L.,5.0 star rating,"Ordered the ragu with meat and it was delicious! The lamb is amazing as well. Service is great! Cute little place, reasonable prices!",Malatesta Trattoria,4.0 star rating,$$,Italian
12,fY9swUieC4WhOsGwQBatWQ,Michelle W.,4.0 star rating,"Great service! Our waiter was energetic and gave the best menu explanation of all time. Very exuberant fellow. The burrata was delicious - obviously. Who doesn't love the soft, pillowy inside of fresh burrata?!We also got a piadina appetizer (kind of like a flat bread folded in half). It was OK, nothing special. Ragu is typically my go-to pasta, but for some reason I chose the spaghetti. But, I'm so glad I did! The pasta was perfectly doughy yet al dente, and the fresh made crushed tomato sauce was a bright complement to the homemade pasta. It was a great, classic dish.",Malatesta Trattoria,4.0 star rating,$$,Italian
13,-4NjBafOgaWrq3Z_3yZvLA,Noor S.,5.0 star rating,"Holey moley! This place is authentic. Everything we ordered tasted like dishes you would have in Italy. Def one of the best Italian restaurants in the city! We decided to order to go and the food arrived as tasty as it would've been if we ate it at the restaurant. Pesto pasta with shrimp, grilled calamari, tagliatelle al ragu, and spinach gnocci. Prices aren't bad! Only thing, they don't take reservations and the place can be a little congested on weekends. Highly rec this spot!",Malatesta Trattoria,4.0 star rating,$$,Italian
14,gGePueTnywY2s7Bxgv_7lw,Bonnie G.,5.0 star rating,"Bite for bite, dollar for dollar, this is the best Italian restaurant in the West Village. So many places come and go, but this spot stays for a reason. The absolute must is the simple Chitarra Pasta. For $13, you get homemade, doughy pasta, fresh, sweet, rich tomato sauce, chunks of mozzarella, and shredded basil. Also incredible is the soft grilled octopus.5 stars!!!!!!!",Malatesta Trattoria,4.0 star rating,$$,Italian
