,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,2glsi4d0P3jwZUozZCPz5A,Penelope H.,3.0 star rating,"In the past three years I have eaten here maybe more than two dozen times, and yet I've struggled to bring myself to write a review for Malibu.I grew up on diner food (I know, another Greek stereotype). Diner food has a special place in my heart. Breakfast served at all hours of the day, fluffy waffles, crispy fries, satisfying Reubens, and let's not forget, a classic Greek salad. Friendly staff, a familiar hustle and bustle, and creamy milkshakes. Classic.Unfortunately, Malibu doesn't fit the bill. I've tried to order a range of food here: penne vodka with shrimp, fish and chips, Belgium waffles, French onion soup, Manhattan clam chowder, Reuben, burgers, crab cake burger, omelette, sizzling skillet eggs, onion rings, fries, salads, and more. The only reliable meals here are limited: (salty) French onion soup, a waffle, and an omelette. Beyond that, you're taking a risk. Other items on the menu are low on flavor, over cooked, soggy, and sad. Worse, it's extremely overpriced. For a waffle, eggs,  soup, and two hot drinks, I've just spent $38. Ouch! Unless you're craving a plate of fries or chicken wings and a waffle, save yourself the disappointment.",Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
1,4mO82d8Pd0GVcJOmSZxLeg,Dulce P.,1.0 star rating,"The service was great. Our serve tended to us in a timely manner and continued to check on us. I had ordered the eggs Benedict with the salmon and I was extremely excited to try it out. Once it arrived I saw how the first egg had a lot of raw spots where the clear or the yolk was showing. I didn't want to be picky so I tried my best to eat around it. Once I got to the second egg, however, it was impossible to eat. The whole inside of the egg was clear and uncooked. I had our server take a look and he agreed and apologized. My stomach immediately began to hurt and although my order was remade I just decided to go home and take it to go.As I got hungry throughout the day I decided to eat the order they made for me to go. Hours later the stomach pain turned into far more worse. I have the worst food poisoning ever. Going on 20 hours of severe stomach pain, vomiting, and diarrhea. So again, service was great all around, but they need to speak to that kitchen staff. First and last time I step foot into this diner!!!!",Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
2,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,3.0 star rating,This is a diner and not some gastro version.  It serves the food you expect at reasonable price.  I have only eaten at counter and get good service.    You will not see the farm the eggs came from and that is fine.   If want a waffle with bacon at 9am or hamburger at 1pm that is what you will get with no pretense.,Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
3,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,3.0 star rating,"This is an ""okay"" diner. I would really only suggest going here for late night eats since its 24 hours. It's really convenient - has parking which is not the norm for Hoboken. The inside is really nice looking - the service is usually a little awkward though. My friend ordered pancakes and asked for syrup, and the waitress looked at him like he had 5 heads lol. Again, not bad but only go for convenience. There are much better diners out there.",Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
4,lSTQPjP3VNHykFTG8BJymg,Dwayne F.,3.0 star rating,A good place for lunch during the week.  I liked the look of the place.  The service was good.  The food was good.   I took advantage of my favorite pancakes for this meal.   I'll keep this diner in mind the next time I need a quick stop for lunch and Im in the area.,Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
5,aYgSkPoqeuGe-zJ51aO83Q,Ruba U.,5.0 star rating,BEST chicken & waffles ever!! The oil could be a little lighter on the chicken but it's so good omggg; highly recommend it if your a chicken and waffles fan the flour breaded chicken is seasoned so nicely it's amazing,Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
6,o5aQCfRLvN3M75etib_W6Q,Matthew M.,5.0 star rating,Great establishment!Best Diner food I've had in this area! Great prices! Frequent Visitor!Must try the Chicken and Waffles!!!!!!They also put my favorite show on T.V upon request.Super friendly staff!,Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
7,1PawvP_3NB7Q21YaPXWJDw,Ellen B.,1.0 star rating,I stopped at the Malibu diner for a quick lunch and I will say I have never had such terrible food the fish was taken from a fried fish sticks box. The waitress never bothered to check on us the side salad was basically just lettuce and dressing from a bottle and everything was overpriced I would not recommend this diner for anything,Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
8,U4OXFHaLoD_6m55ujCI9zw,Giancarla C.,2.0 star rating,"Came here for my first meal in Hoboken, fresh off the plane. Ordered a rib eye steak and eggs (between $14-$17, I can't remember). It was good, portion was generous. But why do they ask me how I like my steak when it's 3mm thick and it ends up being well done anyway? Anyhoo, the meal stated that the entrée came with coffee AND juice. Our server, who was cordial enough I guess. Didn't even mention to us that the food came with juice and if my brother hadn't asked, didn't tell us about the choices of toast that the meal came with either.I don't really understand the underwhelming service we received. This was 6:30 AM and the diner was not even a quarter full. Not once was my coffee refilled and she only came by three times. Once to take our order, second to deliver it, and third to give us our check. Never came by to ask how everything was, no smile on her face. To be honest, it wasn't the most welcoming atmosphere that day. I'm not very enthused to come back.",Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
9,44BuUdtthGoE2ASWPhnQFg,Nicole A.,4.0 star rating,"Got a bunch of food for my friends after we were out all night. Take out was quick and easy. We just had the basics: chicken fingers, mozzarella sticks, milkshakes, fries... the stuff we shouldn't have been eating hahaIt was pretty good.",Malibu Diner,3.0 star rating,$$,"Diners,, Breakfast, &, Brunch,, Sandwiches"
