,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,DKL8THTMRcTcMfVuNmaF4g,Hank C.,2.0 star rating,"Walk-up* window. No indoor space. Bathroom needed? Make sure you get buzzed in.Not exactly the epitome of speed and efficiency, but at least they're up to almost 24-7 operations (drive thru only).Speed of food is worse than other McD's in the area.Also, noticed the walk up menu was smaller than normal. Only goes over the top meal packages.",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
1,XPZOXCjW0pY5ystiGG55zw,Edgar B.,1.0 star rating,"The slowest McDonalds in the world, it doesn't matter what time of the day you go, this place just loves to disappoint its customers.",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
2,Bnicf-eFeronuSkMoR7cdw,Ryan A.,1.0 star rating,"0 stars DO NOT GO HERERude Employees (been here during multiple times of the day)The order accuracy is a joke, it's as if they throw random food in your bag and hand it out.Just went, I ordered a simple sausage, egg and cheese bagel. Being that it's 7:30 in the morning I gave them the benefit of the doubt and told myself that they couldn't possibly mess it up, right? lol WRONG *Donald Trump voice*I get home to a bagel harder than a hockey puck, with bacon egg and cheese, and some weird white sauce that I think was ranch? So I called to let them know because I was a little disappointed. Some woman picks up and gives me an attitude after I explained my situation as if this was all and inconvenience for her. After playing hot potato with the phone I got in touch with a woman names Cindy, who was very accommodating letting me know I can get a new meal on her. But sorry to say after this I will never return to this location ever again. I am willing to drive 10 minutes out of the way to go to a decently run McDonalds. Again, please do not go here. There is a Burger King down the block with AMAZING service that I highly recommend.",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
3,kxF2x7q4jp1tpJTw54IPCA,Jeffrey B.,1.0 star rating,"0 stars. This McDonald's needs to be closed down. Can't get a order right. It's like whatever they get their hands on they throw in a bag. How do you mess up 2x Big Mac and a larger fríe after making me wait 15 mins ??? Or 2x McDonald's doubles with mac sauce the ticket says mac sauce and u charge me, to my surprise no mac sauce. This place is a joke. AVOID GOING HERE !!!!!",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
4,iuOFT5DzzUGuLhAHgnXXaA,Chaghri O.,1.0 star rating,"Worse McDonald's ever they should change their employee or system Really bad service, he drove me crazy ,whada idiot guy who I tried to communicate withThey don't know how to talk their customer Not recommend",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
5,sWAZF3f5RBSLl2wOC7okFw,Monica R.,1.0 star rating,This location should be closed and boarded up immediately. I've given it 3 chances and each time is worse than the prior visit. My most recent and LAST trip lasted 45 MINUTES in the drive-thru. I had already paid so I was stuck. After 30 minutes They hand me bags with food spilling out of it and ask me to pull around to the third window to wait for cookies. Ten minutes later I'm handed a bag of burnt cookies that have melted into a solid lump in the corner of the bag. 3 cookies melted into mush and she literally ran away before I could say anything. There's nothing FAST about this fast food location.,McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
6,ziZWsOzR9I-vV-BMz6LPOg,Lauren T.,5.0 star rating,"You guys, the weekday morning staff here are amazing. They are fast, accurate and always smiling. I never thought I'd leave a review for McDonald's, but they really brighten my day. Keep up the great work!",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
7,Gd0mijdURZL2tzth-d50lQ,Dean T.,1.0 star rating,A few months ago I posted how bad this place is but kept going for Breakfast because it's most convenient. Tonight quarter to midnight. For probably the tenth time of maybe 15-20 orders. They gave me all wrong food again. The girl supposed to be taking orders was to busy talking with her friend who was video taping her acting like an idiot inside. This isn't for the manager. But the owner. Send in people to order food and see yourself. It's a investment. Why pay people to operate your business that are not working or contributing to better the business?? I'm officially done,McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
8,fPRlrv9v2L-1q6fraucgrw,Jas K.,3.0 star rating,"""Dont punish me with brutality talk to me, so you can see oh whats going on"" - marvin gayeI cant believe that i am giving this many stars to an evil food corporate empire.   Whats going on?    But honestly i cant really complain much.    Was driving to work saturday mornin and decided to get breakfast there.   Here are my observations-free small coffee -drive thru (star for me) or walk up window only-hash brown were actually good (star for me)-efficient at this location-dont hate me but i like McD bfast sammies (star for me)-24 hours open",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
9,i3t8OCzIk8LXJ5tV2xRXiA,Nicole E.,1.0 star rating,"Look, I get this is a McDonald's. But it's just horrible. Pulled up and they said ""we are only taking cash!"" We said okay and proceeded to order, got interrupted ""did you hear what I said? Cash only!"" We said yes... that's fine. Ordered two items and she gave us the total... we weren't even finished yet nor did she ask if that was all. Come on, this job can't be that hard. A nice hello and friendly demeanor goes a long way.",McDonald’s,1.5 star rating,$,"Fast, Food,, Burgers,, Coffee, &, Tea"
