,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,hfPvEx50D6lq4UBjlUlzHw,Mahima H.,5.0 star rating,"Awesome Ramen, Gyoza and bao buns. I do wish they had some more variety than just the same pork belly on every ramen - but they were great about substituting it with the other toppings. The fried tofu topping was an eye-opener. And i left my phone there, and got it back within the hour. Awesome place!",Menya Sandaime,4.0 star rating,$$,Ramen
1,ZJo8ozyAzr0QDkQvHJIFew,Maria F.,2.0 star rating,"I was hoping to have a nice ramen with dipping sauce .The deco and the music are different . The staff greet you in Japanese and then the music reminds you a Japan in the 60sThe noodle is neatly made but lack of favor. If you need to take the noodle out , they provide paper bowls with a neat packing bag.",Menya Sandaime,4.0 star rating,$$,Ramen
2,nFPUmy0u8UzmVmq0gxw-zQ,Paige Q.,4.0 star rating,"I actually though it was going to be another one of those fake Japanese ramen shops but it turned out to be authentic Japanese ramen! They have the right amount of noodles and generous portion of the pork belly! Had the Karakuchi Ramen, Miso Ramen (with extra noodle for $2, I think they just doubled the noodle) and Gyoza. The gyoza wasn't as good, the meat was a bit slimy. They have this table where you can get ice-cold water, extra condiments, and to-go containers in case you don't finish your food (which was the case for me). There's no waiter service here(no tipping, YES!), you order, pay, and wait for your number to be called and you would get it from the counter. I would definitely recommend this place!",Menya Sandaime,4.0 star rating,$$,Ramen
3,rtOgvrSLb8at6qIEIKu1_g,Sampad D.,3.0 star rating,"I have been to the one in Fort Lee and it was awesome.I was bit disappointed here, the ramens were just OK.",Menya Sandaime,4.0 star rating,$$,Ramen
4,7BkMXcBB6hHToehLFKX4rg,Emily Y.,4.0 star rating,"This place recently opened up right next to the Cafe Bene so we decide to come by for lunch. I recommend coming early and avoid the rush because the line becomes long and so does the wait!When you first walk in you will realize its not a regular sit down ramen restaurant. You basically walk to the back counter to order your food then find seating after you get your food. They also have a little counter with rayu ( spicy oil) and shichimi togarashi ( Japanese chili powder mix ). After you eat there is a little station where you leave your tray ( which usually a worker will help you).They have a variety of ramen, rice bowls, few appetizers and Vegetarian versions of some of their dishes. If you like Asian soft drinks they have calpico and few other popular drinks. Want something non sugared? Go for the yummy ito en geeen teas. It has no sugar at all and lots of tea flavor.My Co workers got the Tonkatsu Ramen, gyudon and the yaki ramen vegetarian version while I got the Shoyu Ramen.My coworkers with the Gyudon and Tonkatsu got their food fairly quickly and thought it was great. Very flavorful and filling.My shoyu ramen was also delicious as well. It was very flavorful, topped off with half and egg, 2 slightly grilled pork belly, and lots of spinach and bamboo shoots. My Coworker who got the vegetarian version of the seafood sautéed ramen would beg to differ with his experience. His took three times as long to get, and he did not look like he enjoyed it. He threw away half of his food :(  however that said, he also is much pickier and doesn't like random things.  ( ex : doesn't like chipotle but loves Chick-fil-A, hates Popeyes) This place is good. Maybe not good enough for making a special trip in my opinion but never bad choice when you are close by. (Unless you want super uber healthy)Overall it's a solid lunch joint and even dinner spot if you are at the Mall and craving ramen!!",Menya Sandaime,4.0 star rating,$$,Ramen
5,YMMakzUBcmgcKMguWy9baQ,Alex C.,3.0 star rating,"Good crowd on a Sunday afternoon, there's validated parking at the North Garage across the street. They renovated it nicely. You line up and order them pickup your ramen, after which you put it away. As for the Ramen, the basic Tonkotsu is a little bland, the meat while very tender, is not as flavorful as it should be. The soup's temperature is a few degrees low and got cold fast, and there were clumped noodles.Maybe another try at some point",Menya Sandaime,4.0 star rating,$$,Ramen
6,M6ovR_D12p59j-EIY3BvzQ,Alexandra T.,4.0 star rating,"Best ramen I've ever had! Used to always cringe and fear getting ramen as I thought it was way too salty, but fear no more...Kenya sandaime hits the spot and changed my view of the ramen world.Came for lunch on a Sunday around 2pm and it was packed! Went up to the counter and ordered 2 of the spicy ramens (medium) that came with pork belly, bean sprouts, spinach and half an egg. The noodles were just right, not too hard not too soft. The grilled pork belly was so tender it fell apart as you moved around the broth and with the faintest touch of your chopstick. The spinach was a nice addition with some greens. Perfect meal on a rainy Sunday. Will definitely be back!!",Menya Sandaime,4.0 star rating,$$,Ramen
7,LbIhx1du5S3io2HvEBM36Q,Zhicao F.,4.0 star rating,Order over the counter. The Tonkutsu (pork broth) ramen tasted OK overall. The noodle was homemade and texture was great; pork belly meat was tasty with a perfect balance of fiber and fat. The broth could be enriched a bit more to be more spicy for my taste. Quite enough veggie. Very satisfied.,Menya Sandaime,4.0 star rating,$$,Ramen
8,DKL8THTMRcTcMfVuNmaF4g,Hank C.,2.0 star rating,"Stopped in here after waiting what seemed like months for this place to open (originally around Fall 2017, but only opened finally in 2018).Big open space with small benches and tables in mostly wood and some fabric, you walk to the back to order and sit down - take heed of your number. Some fake food on the wall albeit not really labeled so not sure if you like the way something looks, you point? Anyway, big menu across the back area and a glimpse into the kitchen.They have a free water station to the right of the counter and pickup area.Ramen:- Miso ramen included a portion of stir-fry vegetables that dwarfed the noodles and soup - for a while there I was eating nothing but those vegetables. The depth of the bowl was pretty good. The miso flavor, however, was far too light. I suspected diluted by all that vegetable on top.- The spicy ramen was interesting, a spicy that didn't turn the soup base red, but was pretty intense none-the-less; go with small (one pepper) if you haven't tried it before. Unfortunately, the size of the food was less than half (minimal vegetables).On both ramens, the pork was too lean and dry, overcooked, didn't fall apart in the mouth (much of it was already shredded), and too heavy on both smoke + burned pieces instead of savory pork. The soy sauce used was too heavy, and the pork reduced what would have been okay ramen to pretty much a bowl of overcooked meat ramen, something you would've expected out of a college dorm kitchen, not a restaurant like Menya.I'm disappointed, and I'll give them another shot later after they work out their opening kinks, but they really need to work on balance between dishes and also work on the balance between events.",Menya Sandaime,4.0 star rating,$$,Ramen
9,FWGKud1x3J0hHuq3W1HkRQ,JP S.,3.0 star rating,"I was looking forward to some ramen on a cold almost spring night. We have high hopes for Jersey City Menya Sandaime since it is part the Fort Lee location, known for home made noodles, small well thought out selection, minimalist, clean decor and good service.We ordered a miso and karakuchi ramen. The lady in the front was very helpful and patient. We ordered another item but it was removed due to a food allergy but not a game changer. Order came quickly and money refunded.The karakuchi ramen was well made. Spicy but not overwhelming. Good broth, vegetable and meat combination. The miso ramen was so disappointing. My high hopes crashing with the lack less, watery broth and stiff noodles. It was overpowered by too much vegetables and thick pork slices. I was very disappointed to say the least. I'm sure the 3 stars on this review is temporary.  Even with my high hopes lessened, we are going to give Sandaime another chance. The location is  new and very close to the PATH. A recommendation from me but a hit or miss.",Menya Sandaime,4.0 star rating,$$,Ramen
