,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,MfnkSLjnfArctA6TjmkHWA,Sarah A.,4.0 star rating,"Let me preface this review by saying I, myself, can make a pretty bomb Philly cheesesteak. Even my husband says mine are the best he's ever eaten (and he always SHOWS me the truth -- by refusing to eat something if he doesn't like it) so I know his stomach doesn't lie.These cheesesteaks from Midtown come pretty darn close to the ones I make. The portions are big -- I'm *almost* regretting that we didn't order one to split halfsies. ALMOST. A good portion of meat inside each one -- and as always, I order extra (American) cheese on mine. They serve white American here (I'm partial to yellow) -- but it definitely comes full of cheesy goodness when you fork over the 75 cents for extra. Most toppings cost extra, as do sauces, so pay attention to this if you're someone who likes a complicated cheesesteak. For me, traditional simplicity is best, with peppers and onions (at least the onions are free!) and the extra cheese. The rolls are soft and chewy and warm. Total yum. I've tried three kinds of their fries. Ranked, in order:1.) Lemon pepper (I honestly tried to eat each last seasoning crumb. SO GOOD. Tangy and sour. Perfect against the crispy saltiness of the fries. 2.) Regular--they have a tons of side dips to order -- about 75 cents each. I got the ranch and it was a fabulous combo. Their ranch is more vinegar tasting than others I've had and I loved it this way. 3.) Cajun. I'm normally a fan of Cajun fries, but these needed a little more kick. Great if you like your Cajun a bit mild. But the other two just blew these out of the water. I ordered the onion rings once ($5). I'd skip them. They were over cooked and I really didn't taste much onion flavor. So they were a bit burned tasting, too much crunch and not enough onion. I'd be slightly more upset about their $3 delivery charge (because who likes paying delivery charges ON TOP of tipping? Ugh. But the 2x I've ordered delivery from here, the food was on time and arrived piping hot.Kudos to the restaurant here for being smart enough to pack fries in paper bags instead of aluminum tins with plastic lids or god forbid those pesky styrofoam containers that leave them a wet pile of mush!!Overall, when I'm in a pinch and craving a cheesesteak, and don't feel like hauling to the grocery store and getting a bunch of ingredients to make them myself, I order from here. For two cheesesteaks and two orders of fries with tax, tip + delivery, expect to spend around $34.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
1,g4Xf2xppKeLvUl1ZGEe69w,Claire D.,5.0 star rating,"Last night, I watched a dude try to get his money back for a sandwich he consumed....two weeks ago.........that's a real thing that happened. So honestly 5 stars for handling it professionally instead of choke slamming him, which is what I would've done.Also super delicious gotta love the California steak. O ya midtown philly 4 life.",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
2,B8SYKlgwqWg0NteuBI_HpQ,Aman K.,5.0 star rating,Midtown Philly's California chicken hero has been my pregnancy craving. The bun is soft no matter what time of day you order. It's cheesy and delicious. I've had 3 this week. I also get the Cajun fries with light Cajun seasoning and they are yummm!! Delivery is usually pretty quick except when they're super busy. My husband gets the classic cheesesteak and thinks it needs more meat and some A1.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
3,TtxF7ZIOz959nRCXGMd9mA,Linda M.,2.0 star rating,It was ok.  2 star service and 2 star food.  Had the cheesesteak with mushrooms which apparently means 1-2 mushrooms only.  Cheese was a little scarce.  It was much better when I added hot sauce and buffalo. I gave it more flavor. We also tried the Buffalo chicken sandwich. All of it was to go.I wasn't a real fan of the guy at the register. I have a thing about people putting money on the table far away from the person gave it to them. He also had a really dismissive attitude that I could've done without.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
4,gpL_XR2NarG5e8T0oJcSgw,Karl S.,2.0 star rating,"I remember cheese steak egg rolls tasting great. Now they taste like they have tarragon in it or some other weird herd. It's too spicy and not cheesy enough. What happened? I will never get a cheese steak egg roll from Midtown again. ""If it ain't broke, don't fix it."" Bring Frank back! - ReekenHavoc",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
5,c6xknIARVhbfrhlg4p6TPQ,Louis P.,1.0 star rating,Absolutely horrible! We are regulars there and we accidentally gave them the wrong address honest mistake. The owner then calls me up and was very rude. He refused to deliver the food. He told me if i want my food i will have to go to him to get it. Safe to say i will never go back to the place ever! After all the business we gave him I'm am shocked. There are places in Hoboken with much better food!,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
6,4YZi489kqBp4J8HLpPTiPA,Laura M.,5.0 star rating,Absolutely loved this place! Took my sister & her fiancé there to try their first Philly cheesesteak & they were blown away! The bread was so soft & it was honestly so worth the detour to the airport! Definitely be back soon!,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
7,RIhACn-oA3lxRBWst1_L1w,John M.,5.0 star rating,This is a great place to stop in for lunch. I mostly take the food to go.  They have a lot a specialty sandwiches. I like the Blackened Chicken.  Very good. But what should not be missed is the lemon pepper fries.  Never miss getting these with my order.,Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
8,-jNxEJzXNWtbCy5VEyS3Lw,Mark A.,5.0 star rating,"11$ and change...got me a nice Philly cheese steak, with mushrooms and onions...healthy serving of a side of lemon pepper fries ...thank you for noticing my notes for my pick up order! Lol I was super hungry ...well worth it, food is delicious and amazing",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
9,lYKdznv9Ccfchz30v5xsQQ,Joseph G.,5.0 star rating,"I ordered from here around 2:50pm for lunch today at work in the JC Heights area. I ordered the diablo cheesesteak without ranch but asked for blue cheese instead. I almost immediately got my confirmation after putting in my order saying I should have my food by 3:40. I got my food by 3:20pm and was finished eating by the time they said I should have my food in the confirmation.The cheesesteak was still hot and was delicious when it got to me. It's a cheesesteak sandwich, so of course ordering it for delivery, getting a messy sandwich shouldn't be surprising, but I would definitely recommend asking for extra napkins if you're not eating somewhere that has them already. Other than that, this was a perfect lunch, and the delivery speed all the way into Jersey City was extremely impressive, and that's coming from someone who is a delivery driver in his spare time. If your really hungry and need food quickly, this is the place to call! Will definitely be ordering again!",Midtown Philly Steaks,4.0 star rating,$,"Sandwiches,, Cheesesteaks,, Chicken, Wings"
