,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,JJbjL6a5cgYu77rNUm21WQ,Tiffany M.,4.0 star rating,"Happy Thirsty Thursday my fellow Adventurers! Came here this past Sunday Funday for both the Super Bowl Specials but also for my birthday. Low key dive bar but they have an awesome Sangria special--$10 per pitcher (red or white). AMAZING! Had a pitch I split with friend and it wasn't too bad, not as strong as say a Portuguese place would have but still tasty and alcoholic. The appetizer sampler is really good too! We had an order of two for 4 people which was more than plenty of food, though we may add an order for the chicken quesadillas to fill us up.The food was typical bar food but still tasted really delicious. Wings weren't too well done but still crispy and meaty. I love wings with the bone not those gourmet chicken nuggets that are called boneless wings. The onion rings and mozzarella sticks were my absolute favorite! I will definitely be coming back here on another Sunday Funday for the Sangria special and order a few different appetizers to munch on. The staff was really attentive and quick with the orders. The space wasn't too crowded even on Super Bowl Sunday which is hard to find in Hoboken.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
1,v72NgzMaqAm_ko8UO24e9g,Jeff D.,3.0 star rating,"If you're looking for a fun-filled, low-key, non-pretentious kind of night, then Mikie Squared ain't a bad place to go. I gotta give a shout out to the staff. They may get busy, but they are very friendly and as attentive as can be when it starts to get packed. The food is OK. Typical bar food at Hoboken prices. My burger was meaty and juicy but the bun was too big and dry. Fries are good, both the regular and sweet potato variety. If you come on a Wednesday night around 8:30, you can expect a full house as this is their trivia night. Their first prize is a gift certificate and bottle of wine which is nice. They also have some free SWAG for the second and third place winners. Although they do offer select half priced wine bottles and glasses, you're only cheap option for beer is $4 Blue Moon Pints. Of course, you have the option of splurging for a $7 Fat Tire, but it's not worth it in my personal experience. I'd love it if they got some more craft beer and had some better beer specials...",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
2,kNxtxnKhxPV7trd8DU66vQ,Stephanie D.,2.0 star rating,"I came to this bar specifically for their 1/2 price food and drinks on Monday nights. I've had their Maple Chipotle wings before and really enjoyed them, so I thought this would be a great deal for dinner. At the end of the meal, our server told us that the half price only applies if you pay cash only. I double checked their social media (which is how I found out about the deal), their sign out front, and their website. Not one of these sources say anything about cash only on Monday nights. I was really disappointed, since this was the reason we came here for dinner. Luckily, my fiancé had enough cash, but I don't carry too much cash on a regular basis, if it weren't for my fiancé we would've had to pay full price. I don't appreciate this. The owners should make ""cash only"" clear on every source of advertising this deal, otherwise, it's deceiving in my opinion. As far as the food, we decided to go with just appetizers. I had the maple chipotle wings and French onion soup and my fiancé had a chicken quesadilla. The food was just ok. Maybe because I'm a picky eater, but the French onion soup tasted like store bought beef broth heated up in a microwave. I tried the chicken quesadilla and was not a fan either, the salsa looked like it came from a jar. I did have a glass of their white sangria and really enjoyed it. Unfortunately, I don't think I'll be coming back based on my experience.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
3,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"**Monday: 1/2 off menu review**Mikie Squared is one of those bar places where you just want to grab a few drinks while having some okay bar food. So that's what my boyfriend and I decided to do on a Monday night at around 8. It was really their half price menu that got us: on Monday's it's 50% off all food and drinks. However, what they don't mention until you pay is that the 50% off only applies if it's cash only. We only got the head's up when we overheard another table. Luckily, we had enough cash on us. But still, that's pretty shady IMO - to not tell the customer that the deal is cash only, until they get the bill.Other than that, everything else was okay. Like I said, it's okay bar food. Don't expect an out of this world gastronomic experience. Do expect a cheap meal (if you come on a Monday night). I had the AJ's Sweet and Spicy Chicken Sandwich (Cajun chicken, applewood smoked bacon, mushrooms, Monterey Jack cheddar, lettuce, tomato and homemade honey mustard) and I enjoyed it.I think I would be back, especially if it's a lazy Monday and I don't want to cook. Plus they have drink specials every night (including Fridays and Saturdays!)",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
4,W8gPSfYsstwBYEpM-_fWjA,Yinglu W.,2.0 star rating,"I guess this is the first time I give 2 stars ranking. The only good thing at that restaurant was the service. Food was terrible. I ordered a grilled vegetable salad, couldn't imagine how greasey it was. And I was REALLY superised tomatoes tasted different from onions. Martini was awful. The olives must be there for an hoir before it was brought to me.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
5,K-Jw6Qu_tpIOuOkvL5dChg,Bonnie P.,4.0 star rating,Sunday Sangria - $10 pitcher all day special review! The sangria isn't terribly strong but seriously for a all day Sunday special this is not bad! The food is decent - regular bar food. We ordered the appetizer sampler and the nachos with steak (always medium rare) and it was good. Will definitely return for the Sunday specials and a fun time. Bartenders and servers are really nice and music is good.,Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
6,3ADyUyo3_LEJX7e9R3dNsQ,Logan S.,4.0 star rating,"I live on Washington St. so I come here for brunch usually.  I only get one thing and it's the Breakfast Nachos.They are probably for two or more people but I down it myself and always feel satisfied afterwards.  Service is always good, and during the warmer seasons it's really nice to sit outside to be away from the rowdy crowd during game days.I've seen that they also have some game nights, which look really fun.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
7,AIHBUhBdDHu3fA-dELpqGQ,Crisan M.,4.0 star rating,Service is of typical NY/NJ . Waiting long than usual for a server who kinda hates his job. But it's tolerable because the food is AMAZING. Great prices! They have this cute little mimosa menu with all different typeS of specialty mimosas. Each was $7 and if you get the try 3 there each $5. Really delicious. Then the menu is to die for. Between me and my two friends we order almost every item off the appetizers menu and everything taste 5 star. Best sweet potato fries hands down. MUST TRY: filet mignon tips & sweet potato fries,Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
8,6es_04FrajEYVhuFv4Xpgw,Kristina P.,4.0 star rating,"Mikie's never comes to mind as a strong brunch contender but we stopped here on a whim on a Sunday morning. It was pretty empty; my boyfriend and I sat at the bar and we were the only ones there. Service was quick, friendly and the bloody mary was delish.The food was also surprisingly good! I've been here for lunch before and haven't been impressed, so it looks like brunch is the way to go. The eggs benedict had the perfect amount of hollandaise and the eggs were poached just right. We also shared a waffle and it was tasty. Everything is reasonably priced. Will be back for brunch :)",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
9,Lp6ctsBFcqm88eQdh3JElA,Jessie P.,5.0 star rating,Amazing food with quick and friendly service. Was there on a Wednesday for half off wine and trivia and it was a great time with a good crowd. Will definitely be back.,Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
10,t8eGzmX6DEzEq0sonO7Niw,Morgan G.,5.0 star rating,"My boyfriend and I came to Mikie Squared for two reasons: one, because on Thursdays, martinis are half priced and two, because my boyfriend's roommate works there now. That being said, Mikie Squared did not disappoint, and I will certainly be back, especially for their Wednesday trivia night.Though it was martini mania, my boyfriend and I got a strawberry margarita and a Blue Moon as our first drinks (Blue Moon was also on sale and my boyfriend is a big beer drinker). My strawberry marg wasn't too sweet or overflowing with alcohol -- perfect for a Thursday night meal. Later, my boyfriend ordered the mango martini (don't judge him) and it was definitely mango-y, but in a good way. Being the girl I am, I enjoyed the fruity taste that masked the overwhelming taste of alcohol. Instead of ordering two entrees, my boyfriend and I decided to split three appetizers -- the buffalo calamari, the tomato and mozzarella salad and the spinach and artichoke dip. Let me just say now that each of these appetizers was incredible. The mozzarella at Mikie Squared is homemade, and you can taste the effort put into making it. The buffalo calamari is also a unique spin on regular fried calamari; combined with the creamy dipping sauce they provide, this was by far one of the best appetizers I've ever had -- especially since as a pescetarian, I never get to eat buffalo wings and this is a great substitute. The best part about our experience was that the staff was friendly (especially since we knew some of them) and I always felt like we were being paid attention to -- our water cups NEVER went dry. When the bill came out, I was surprised that three drinks and three appetizers came out to under $50, but in a good way. I love Mikie Squared and I can't wait to go back.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
11,n4aeJhZIZk8EJXFBwkFynw,Brad P.,5.0 star rating,"Sunday's are $10 sangria pitchers. Their sangria is phenomenal, and I've seen them make it - far from skimpy on the booze. I've really only had apps here so cannot comment too much on the food but the Montana De Nachos are great and so are the Filet Mignon Tips. The staff is friendly and they like to have a good time, creating a fun environment. Definitely recommend this place, especially on Sundays.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
12,bv3LFXCQsslLRD_AIC3a5g,Hope D.,4.0 star rating,"This bar was your average place to go to grab a drink & have a good time. I was a bit confused as to why the bartender did not know what a ""Dirty Shirley"" was but maybe some places don't make them even though I thought it was a known drink. She did make an awesome Malibu Bay Breeze though! It was very packed inside and she did her best keeping up with everyone considering you had all these people screaming for her left and right. She was kind & sociable which always makes me happy because I can't stand having a person serving/waiting on me who is rude or too quiet.Overall, good bar...convenient and somewhere to try if all the other places are mobbed.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
13,20h7tx7qfOFMTilDoSxCxg,Mike S.,3.0 star rating,"Have gone to Mikie Squared a good handful of times during my years in Hoboken.  Food is pretty good.  I usually go for the Buffalo Chicken wrap which I enjoy.  Most of the items are reasonably priced, few items are a couple dollars more then they should be but what are you going to do, it's Hoboken.  The one big thing Mikie's has going for it is the $10 pitchers of sangria on Sunday and the tables to sit outside and eat during the Spring/Summer.  Red sangria is pretty tasty.This review would have been 4 stars but I did have one terrible experience with a very rude waiter about six months ago.  The waiter was rushing our group and how he spoke to our table was not how a restaurant should ever speak to their customers.  Ironically we had this same waiter again at Charrito's Midtown and Charrito's in Hoboken has the worst customer service.  Have not seen this waiter again at Mikie Squared since.  All in all Mikie Squared is a solid place to go for food and drink in Hoboken and I would recommend going for Sunday sangria or a quick bite.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
14,syPg3ybATC3ai-qQI1L0fA,Juan D.,4.0 star rating,"Great spot on Washington ave, Hoboken. They always have $10 Sangria pitchers. It's good for breakfast or lunch.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
15,XERrz4eoZvL91d1wpoe7gQ,Mercy C.,5.0 star rating,"I give 5 stars to Danny, he was very nice when I placed my order for pick-up today. Not like the lady that took my order 2 weeks ago, she had a nasty attitude, didn't want to explain to me what the salad included, kept on breathing on the phone, she was either having a bad day, or her attitude just stinks. But my 5 STARS goes to the guy today. Thanks for being polite & explaining the appetizer today. The food was great!!!!! :) They should hire more people like you!",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
16,megNHggeE9WFho87dKHrTA,Bari T.,4.0 star rating,"It was a really nice day and wanted to sit outside for brunch.We live around the corner and got a table right away - I think we came just in time as the outdoor space filled up QUICK!They have Sangria Sundays, I think it's $10/pitcher - AWESOME!I ordered their breakfast burrito and it was very satisfying.My friend enjoyed her bloody mary, except it wasn't spicy enough.Will definitely come back soon!",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
17,BMy43gv_1WfAfuMGqyAmFg,Marissa B.,5.0 star rating,Mikie Squared is definitely my favorite brunch spot in Hoboken. Sangria pitchers for $10?! Yes please. I especially love that you can order brunch or lunch so you're not forced to just one kind of food. The Delectable French Toast is my new favorite go-to!,Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
18,DvOVei_FUicKnOYBZVHgDA,Molly K.,4.0 star rating,Always very satisfied with my experience here. Food is good. Service is ok. Nice outdoor seating. Love going on Mondays when everything is half price!!,Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
19,yzJ9ZRXgPfNHF9XT3VWrAQ,Sarah C.,4.0 star rating,"I've been in here twice now, both on Wednesdays. The food is good, especially for a place that looks like a bar (loud music, lots of TV's).  The first time I had the ""Cindy's always on a diet"" and I really enjoyed it. The honey balsamic side it comes with isn't my jam, but it's ok because you don't need it, the chicken is moist and the veggies are well seasoned. Maybe not worth $13-14, but coupled with cheap wine, it made a decently priced meal. Last night I had the special, which was a corned beef sandwich. I'm no corned beef connoisseur (mainly because it's usually on a reuben with two of the grossest things someone can put on a sandwich- swiss cheese and sauerkraut), but I really enjoyed it. It came with chipolte mayo, which was kind of a weird addition but seriously amazing. Like, I could put that on anything. Even the cole slaw was worth eating by itself. I like that there was no upcharge for getting a side salad instead of fries. Salad itself is just mixed greens and two tomato slices, but it was fresh and well dressed. They have half priced wines on Wednesday, which is always welcome. They also have trivia...I didn't play either night but the questions weren't ridiculously hard and it's well paced. Teddy the bartender took care of me, but all the staff I interacted with were friendly. I'll definitely be back!",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
20,JJbjL6a5cgYu77rNUm21WQ,Tiffany M.,4.0 star rating,"Happy Thirsty Thursday my fellow Adventurers! Came here this past Sunday Funday for both the Super Bowl Specials but also for my birthday. Low key dive bar but they have an awesome Sangria special--$10 per pitcher (red or white). AMAZING! Had a pitch I split with friend and it wasn't too bad, not as strong as say a Portuguese place would have but still tasty and alcoholic. The appetizer sampler is really good too! We had an order of two for 4 people which was more than plenty of food, though we may add an order for the chicken quesadillas to fill us up.The food was typical bar food but still tasted really delicious. Wings weren't too well done but still crispy and meaty. I love wings with the bone not those gourmet chicken nuggets that are called boneless wings. The onion rings and mozzarella sticks were my absolute favorite! I will definitely be coming back here on another Sunday Funday for the Sangria special and order a few different appetizers to munch on. The staff was really attentive and quick with the orders. The space wasn't too crowded even on Super Bowl Sunday which is hard to find in Hoboken.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
21,v72NgzMaqAm_ko8UO24e9g,Jeff D.,3.0 star rating,"If you're looking for a fun-filled, low-key, non-pretentious kind of night, then Mikie Squared ain't a bad place to go. I gotta give a shout out to the staff. They may get busy, but they are very friendly and as attentive as can be when it starts to get packed. The food is OK. Typical bar food at Hoboken prices. My burger was meaty and juicy but the bun was too big and dry. Fries are good, both the regular and sweet potato variety. If you come on a Wednesday night around 8:30, you can expect a full house as this is their trivia night. Their first prize is a gift certificate and bottle of wine which is nice. They also have some free SWAG for the second and third place winners. Although they do offer select half priced wine bottles and glasses, you're only cheap option for beer is $4 Blue Moon Pints. Of course, you have the option of splurging for a $7 Fat Tire, but it's not worth it in my personal experience. I'd love it if they got some more craft beer and had some better beer specials...",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
22,kNxtxnKhxPV7trd8DU66vQ,Stephanie D.,2.0 star rating,"I came to this bar specifically for their 1/2 price food and drinks on Monday nights. I've had their Maple Chipotle wings before and really enjoyed them, so I thought this would be a great deal for dinner. At the end of the meal, our server told us that the half price only applies if you pay cash only. I double checked their social media (which is how I found out about the deal), their sign out front, and their website. Not one of these sources say anything about cash only on Monday nights. I was really disappointed, since this was the reason we came here for dinner. Luckily, my fiancé had enough cash, but I don't carry too much cash on a regular basis, if it weren't for my fiancé we would've had to pay full price. I don't appreciate this. The owners should make ""cash only"" clear on every source of advertising this deal, otherwise, it's deceiving in my opinion. As far as the food, we decided to go with just appetizers. I had the maple chipotle wings and French onion soup and my fiancé had a chicken quesadilla. The food was just ok. Maybe because I'm a picky eater, but the French onion soup tasted like store bought beef broth heated up in a microwave. I tried the chicken quesadilla and was not a fan either, the salsa looked like it came from a jar. I did have a glass of their white sangria and really enjoyed it. Unfortunately, I don't think I'll be coming back based on my experience.",Mikie Squared Bar & Grill,3.5 star rating,$$,"American, (New),, Sports, Bars"
