,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,lgmNZD2ryJ__BOH2qTmahg,Courtney B.,5.0 star rating,"My first Miznon experience was at their Paris location. It was sooo good and I was so glad I tried it but sad I wouldn't be able to have it again for quite a while. When I found out they were opening a New York City location, I was thrilled! I finally made my way over and it exceeded my expectations.I ordered the lamb pita and it was SO GOOD. The pita was soft and fresh, the fixings inside were so tasty and I especially loved the sauce. I can't wait to come back and get it again.The location is really spacious especially for Chelsea Market with bleacher style seating on one wall, seats at the bar (where you can order from as well) and various tables inside and just outside the restaurant reserved for Miznon.If you're looking for a great lunch option in Chelsea Market I definitely recommend this spot. It wasn't very fast but it's worth the wait!",Miznon,4.0 star rating,$$,Mediterranean
1,cKHctvIaOfkQ54ak1MkQyQ,Jerry T.,4.0 star rating,"Hey yo. As I was food-hopping within Chelsea Market, I stumbled upon this new Mediterranean joint. I have to say, they do fast casual right. Chomped:1. Egg Perfume with Half Minute Steak - the pita was light and fluffy. This felt like a delectable breakfast sandwich. 2. Baby Cauliflower - ""world famous"". The interior of the cauliflower was a tad cold, but I've never had cauliflower like this. The exterior had a nice light roast to it and the bite was just simply butter.I'd come back because the place settles for nothing less than success. The food wasn't just good, it was AWESOME.",Miznon,4.0 star rating,$$,Mediterranean
2,Rc-q_LotsU_BwPuQWJ7ImA,Matthew L.,5.0 star rating,I visited Miznon and I have to say I had fun. Tasty and cool environment. The last minute steak is awesome and the chicken liver with pita as well.Playlist in the background make the atmosphere is amazing.Same like in Tel Aviv!,Miznon,4.0 star rating,$$,Mediterranean
3,yy9QpLX2bwj0NtWoZ9G6ag,Olivia R.,4.0 star rating,"Service is totally disorganized but this is heaven on earth. Additional note: For us who can't tolerate spice, plz say on menu which items are spicy.I ordered the eggplant pita. The pita was so pillowy and soft I wanted to cry. The filling was delicious but definitely a little spicy. Let a girl know, will ya?",Miznon,4.0 star rating,$$,Mediterranean
4,jxfMKokdFBm6u-GD2wEzvA,Brandon G.,4.0 star rating,"The baked cauliflower was everything it was hyped up to be. Such a cool spot, dominated by millennials but not too hipster. Because it's a popular spot, that just opened, the service isn't the best. A host is shouting names throughout the restaurant, trying to find the correct person to give their order to and chaos ensues. Still, I'd recommend it because the service is swift. It's all the rage in Israel and we are fortunate to have a place to experience the cauliflower in the states.",Miznon,4.0 star rating,$$,Mediterranean
5,Pp_pTPFgIMENJ7yaNvjRVg,Jordan J.,5.0 star rating,"I absolutely LOVED Miznon! It was a meal where everything was spot on.First off, it has a pretty decent sized space, especially for Chelsea Market and I liked that a lot. The wait went by quickly enough too.We got the famous Baby Cauliflower which was just as tender and buttery as it looks in photos. It's a light dish and just falls apart at the touch of a fork. Super satisfying to eat.The Run Over Potato was really unique in its presentation and fun to eat as well. The sour cream was perfection with all the herbs in it, but the ratio of potato to cream was a bit unbalanced. Overall still delicious. We had to finish off with the pitas of course. The Rib Eye Roast Beef was a total home run. I loved the pita, which was thick and fluffy enough to absorb all the yummy sauces. The beef was crazy tender and well-seasoned, plus they were generous with amount they put in the pita. All the sauces were just delicious and having the veggies balanced out the rest of the flavors and textures. We left pretty darn stuffed thanks to the portion sizes and every dish was truly on point. I will definitely be back to grab a quick bite or to have a multi-course meal because you can totally do either here!",Miznon,4.0 star rating,$$,Mediterranean
6,MChIIjb0nzgF1WRgmTWStQ,Manna C.,3.0 star rating,"The food was at Miznon was just average. Disappointed by this fact since it's a chain from Tel Aviv and by a well known executive chef. I ordered the ribeye minute steak and the world famous baby cauliflower. Ribeye minute steak comes in a pita with the steak, tomato salsa, pickles and tahini sauce. The pita was really soft but not warm and really took away from the experience. Miznon likes to pack the front of the pita but the bottom was completely empty - there would have been nothing in there if I didnt push the meat down.  So I just had mouthfuls of pita. The baby cauliflower was also subpar, which was a let down because it was charred beautifully. I also tried the intimate cow and I was not a fan. The meat was tender and had a kick to it due to the peppers. Again, pita wasn't warm. In addition, I also tried the run over potato - it was so run over I thought the server was handing me an empty tray. It didn't have too much flavor but very amusing to eat. This place is overpriced and not worth as I was still hungry after this meal.",Miznon,4.0 star rating,$$,Mediterranean
7,K4-KW5CdZxzg2bJAZiAV-w,Henry M.,5.0 star rating,"Delicious!  This place is definitely worth the hype (and the wait).  I came here right before opening, so there was no wait.I went with the ribeye minute steak pita and it was delicious.  The beef was seasoned really nicely.  The pickles and diced tomato added a nice contrast of freshness and acidity, and the tahini sauce rounded out the flavors.  Then there was some coarse salt used for seasoning, which was great to crunch into.  The pita bread itself was really soft.  Overall, it was delicious.The day I went, they had the ""ribeye minute steak"" on the menu, but they did not have the ""ribeye roast beef"" on the menu.  While the minute steak was good, the beef was sliced really thin.  I think the roast beef version would have provided a more juicy piece of beef.  The images of the roast beef version look like it'd be better than the minute steak version.I also got the famous cauliflower.  It was both exactly what I expected and nothing like what I expected.  It tasted intensely of cauliflower and they were able to bring out the best flavors of the cauliflower while avoiding the bad bitter aftertaste of cauliflower.  And the charred bits really added to the experience.  Again, there was some coarse salt sprinkled onto the cauliflower and gave little bursts of saltiness.I'll definitely be back to try other items on the menu.  And I hope they bring back the ribeye roast beef back so I can try it.",Miznon,4.0 star rating,$$,Mediterranean
8,qKrvctzfquUf0T55cxQM2Q,Frances T.,5.0 star rating,"You know you're definitely walking into something epic when there's a long line (but goes by quick), all the tables are full, and all the workers are busting their @$$.The famous baby caulifower is not so baby! It's a giant cauliflower head. It seems simple, but yet complex in flavor and so damn good! The outside is crunchy and the inside is soft like a potato. Mmmm I'm so drooling over it right now!The minute steak pita is one the best pita I've ever had. It had a good amount of well seasoned tender steak. The bread was fresh, soft, & substantial to hold in the tahini, tomatoes, and pickles.The ambiance is great. The workers and owners are way friendly and you definitely get that family vibe. They walk around making sure that everyone is satisfied. And you can tell they sincerely care about their customers and their food. Don't worry about seating because there's plenty including stadium bench seating and bartop seating.If you haven't gone yet, I suggest you go...GO NOW!!!!Thank you for bringing the Tel Aviv street food experience here!",Miznon,4.0 star rating,$$,Mediterranean
9,hGMoHjcVdH1zWosSA60-Tw,Mike C.,5.0 star rating,"Another killer pita spot just opened in Chelsea Market a few steps away from the also great Dizengoff.This one has lots more interesting sandwich options, as well as a famous cauliflower side option that the chef from Israel is well-known for.I tried the Ribeye Pita ($12.50), which was incredible. The giant cauliflower was cool too, but the pita sandwiches are where it's at.[for best results enter on 15th St. There is plenty of seating in here, as it's a full restaurant, as opposed to a stand like Dizengoff].",Miznon,4.0 star rating,$$,Mediterranean
