,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,6V0pgT9Pnu7CfRXpW91afg,Jess W.,5.0 star rating,"We came to Moran's for brunch and it was fantastic! The service was on point and our water glasses were constantly refilled. Now onto the food - which was so delicious! I had the quiche and tell - what a cute name. They actually put puff pastry below and above the eggs - so it's basically sandwiched in puff pastry. My friend highly recommends the Moran Burger - with bacon, cheddar and truffle mayo you can't go wrong! They even serve tea in pot with a hat on it - so very cute! Moran's is a solid choice for brunch if you're in Hoboken!",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
1,mbxdo8Z59tcQc_FJMxHNeA,Trent T.,4.0 star rating,"Moran's wasn't our first choice, but certainly might be the next time we're looking to eat or grab a drink. This place definitely seems like more of a bar than restaurant, especially when we came in, but did the job nonetheless. We popped in for a quick bite prior to going to some fights in the city. We all ordered the fish and chips, and I personally went for the sweet potato wedges over the traditional fries. Along with our entrees we had a beer, can't recall the name however it was fresh and crisp. The fish was alright at best, lost its crispy factor somewhere between the deep fryer and our table unfortunately. Still far from what I would consider disappointing. The batter is somewhat heavy almost like a pancake batter, it was 3/5 at best. The sweet potato wedges on the other hand, out of this world. It really astounded me how well they were cooked and seasoned, along with the shear amount given in one order.Prices were reasonable and server was attentive throughout, I'd come back.",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
2,GEuZioZWz6Jio2fKWcI52g,Alex B.,4.0 star rating,"My favorite part of Moran's is the cozy environment! It makes the meal so much more enjoyable.I came here a couple times with my SO and his father.  We always get the nachos because they are absolutely amazing.  You get more toppings than chips! What a dream! As far as entrees go, I have personally had the lobster mac and cheese (which I am not sure is still served, or it could be a seasonal thing) and the poutine (which I am OBSESSED with).  Other meals that I have tasted are the fish and chips, and the burgers.  I have nothing negative to say about any of them. This place is worth a try.",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
3,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,5.0 star rating,"Let's talk about the cheese, the pretzel appetizer and especially the cheese. The food was so good overall but as the waiter removed our cheese thinking we were done there was a loud cry from half the table ""noooooooooo"" and a request for a cheese dip refill! Pretty happy with my burger and have had great meals here in the past as well, but I had to drop by and say cheese :D sorry if this is cheesey",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
4,ppeM2rdQTIR84RJtjA3Tkw,Alex I.,4.0 star rating,Came here for brunch on a Saturday afternoon with a group of 4. We all loved it! This place is a cozy little pub with great atmosphere. The food was delicious. I had a Florentine Benedict and was blown away. Excellent Hollandaise sauce and perfectly poached eggs! Also really affordable prices ($5 mimosas yay). Our only tiny complaint was that the service was slow at times but overall still highly recommend!,Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
5,fzu5w5qhB5wqxUu-jPX0sw,Ted B.,4.0 star rating,"Came here for St. Pat's. It's literally a corner bar and we had a good time. The wings and lamb lollypops were both very good. Since it was St. Paddy's, we had the corned beef plate, which was good, although we did have to wait a bit, so I can't speak to the regular menu beyond the aforementioned appetizers. I do want to come back and try the rest. The service was good and friendly and I liked the crowd. I'll be back for sure.",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
6,c_S0EhI0ariqenLb4njIfA,Rina N.,5.0 star rating,"I can't believe it's taken me two years to eat here! I read such great reviews and finally got a chance to have their brunch! SO MUCH YUM! I had a Jon Daly to drink (which is like a spiked Arnold palmer, but with homemade lemonade, with Bourbon) it was super refreshing sipping on a Sunday afternoon! I ordered their smoked salmon eggs benedict - I thought this was so unique because instead of using bread, they used fried potato cakes! (holy amazing flavor!) it comes with a side of fruit, so this was a low-carb friendly meal! I'd love to try their other meals...I'd like to also mention that their staff is incredible - even when they're busy they accommodate to your needs and always making sure you're GOOD. Can't wait to come back!!",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
7,oCqd1CXpeoUJyXEDjJc3gA,Michelle P.,5.0 star rating,We were there for brunch and Loved the place. Very nice service. Good people and good food. It was fun and tasty,Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
8,sdkWib964Wug9eWWQb6byg,Jeff D.,4.0 star rating,Good food and terrific vibe.  Place was full on Sunday late morning with a mix of families and Sunday Funday pre-gamers.  Solid burger.  My son's cornflake crusted French toast was the coup-de-tat.  Solidly in the brunch rotation.,Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
9,yyKfaJjoOezIebPLrh8azA,Marleigh S.,4.0 star rating,"It was time for the next burger, and Moran's looked promising. We came on a Sunday evening, and ended up sitting outside because it was so loud inside, so keep that in mind if you're coming with a large group. They currently have the Sam Adams seasonal Oktoberfest which is robust in flavor. It took a while for the food to come, so I was definitely glad to have something to sip on. I went for the burger with no bacon (because I rarely find that bacon adds anything to a burger), and ordered it medium. It definitely came out well done, but wasn't dry. They have a great combo of burger toppings, including arugula, which made the flavors appealing. So appealing that I ate the entire giant burger...Their other sandwiches looked great too, and would definitely leave you with second helpings. I would say skip the bacon on the burger unless you always love that, because I heard it was a little soggy (I'm a fan of crispier bacon).",Moran’s,4.5 star rating,$$,"Pubs,, Gastropubs,, Breakfast, &, Brunch"
