,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,WLXZYXFAQRYhrk36V0leMQ,Marlon Y.,5.0 star rating,"Relatively new to the area, and was in the mood for some good Chinese takeout. I had the fried dumplings and beef with broccoli. The dumplings were delicious; perfect size with the right amount of pork inside. Also, the dipping sauce gives a nice  kick to it. The beef with broccoli was also tasty and was a pretty generous portion for the price. I am so glad I don't have to travel to Chinatown to satisfy my Chinese food craving. I can honestly say I found my go to take out place and will definitely be coming back!",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
1,gjQvWPOi-FEhN35YPnB7Pg,Barbara M.,4.0 star rating,"Pleasantly surprised.  I avoided this place for a long time because I made a judgement about its location.  I read a couple of recent reviews and decided to give it a try. Order was called in. No problem.  Reasonably priced. Delivered in 24 mins.  Steamed dumplings and house special lo-mein. It arrived hot. The ginger and pork in the dumplings was in good proportion to the dumpling.  It was tasty. The dipping sauce was good. 8 dumplings is a nice portion..The lo mein had real chicken, pork, beef and baby shrimp.  The noodles were cooked well in brown sauce.  The veggies were crisp and good.I am pleased with the meal and the choice.The delivery guy was all about business.  No calls ahead. He was prepared with change and was happy to get a tip.I didn't receive any napkins or implements to eat the food.  Guess I have to request that. I will find that out.",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
2,dugA_rKOfCPu4Wdj5Rtt7g,Ashleigh O.,5.0 star rating,"I used to order from here as a child as my parents loved it. It was always good. When we moved I missed the place a lot but heard they closed down when I visited. Apparently that is not the case and it was temporary because I moved back and have ordered here several times. Amazing food. I've been to Kwok's, Jade Wok, Good Year Chinese, Garden State, etc, and their food doesn't compare. The only reason Mr. Rice isn't more popular is because they refuse to partake in online ordering a la Seamless or Grubhub. Their veg dumplings are huge and have mushrooms which is a rarity in the area, the lo mein is flavored perfectly, their moo shu pancakes are the freshest in the area. No MSG or frozen food here. Yeah, the place itself is not much but that shouldn't mater when the food is so great!",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
3,z61jnc1bA9o3oPqDvnQ1EQ,Charlie S.,4.0 star rating,Cash only and looks sketchy but great food and great prices. Im within walking distance and take out orders are always ready for pick up within 15-20 min. Pretty decent dumplings too,Mr Rice’s Kitchen,4.0 star rating,$,Chinese
4,AesKzN01amY9vVUQ0DhlMA,Katy W.,4.0 star rating,"The prices and food are pretty good. Ordered delivery here, they said 45 mins but it was at least an hour wait. The good thing is that the food was still piping hot and delicious.*Note: Pt size orders come in 2 containers, 1 small box for rice, and a separate container for your dish. I'd say it's a moderate portion size. (If you're looking to share, I suggest getting Qt sizes.)Menu photos are current as of 12/28/2015.",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
5,d2AH_5GUjLZwKzW7hkyESw,Louise R.,4.0 star rating,"Whoever said this looks like a backalley dump from the outside is correct. The inside isn't any better except the tables to sit at were wiped down which is why we decided to eat inside instead of in the car.  My sister got the chicken lo mein which was one of the best I've ever tasted. The front desk staff was super sweet and when I argued with my sister about asking for NO Veggies, the front desk lady defended her and said most of her clientele request that. That has to directly correlate with the rate of diabetes in jersey city. I ordered shrimp soup with noodles which I have to admit, the broth was super bland. I added four packets of hot sauce however the shrimp were super fresh and perfectly cooked and there were about 10 of them in a quart. It would've been perfect had I requested wonton broth with the same contents of shrimp, noodles and veggies. With two cans of gingerale and a shrimp roll, it was only 13 $. So the look, feel and decor of actual restaurant is like 1 star. The staff 5 stars even though they supported my sisters unhealthy choices. The food 4 stars because of amazing lo mein and bland soup. I wouldn't make a special trip back here for the food, but I definitely get why the locals are all about it.",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
6,YPTM2nIMSp_2BpMm7DQSNw,Kevin O.,5.0 star rating,"Best chinese takeout in the heights. Food quality is consistent, prices are affordable and staff is very friendly. Must try if you haven't.",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
7,owLodJ7YK392jylothYPrQ,Jennifer M.,2.0 star rating,I've literally been waiting for my food for over 30 mins now and still didn't receive it. Rice a little undercooked but food came hot.,Mr Rice’s Kitchen,4.0 star rating,$,Chinese
8,0egWxlyDv3bG7AE0cKDI_A,Linda A.,4.0 star rating,"Solid American style chinese food place. I ordered delivery and they arrived in the time frame quoted. Food was hot and tasty. I enjoyed the lo mein a lot, and the beef and broccoli was great. Veggies were nice and crunchy. The pupu platter was plentiful, especially for the price. What a deal. I'd recommend.",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
9,SiLLZWXnkS2fBgOXaBn1Pw,Jessica L.,5.0 star rating,"Best take out Chinese in the area (and I've tried a lot of them!) Yea, it looks like you could get murdered in here, but the food is delicious and the staff are really friendly and accommodating. Perfect Chinese take out in my book!",Mr Rice’s Kitchen,4.0 star rating,$,Chinese
