,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,dHed3TqgAToGwWWKniVU7A,Rosibel S.,5.0 star rating,Best place to grab a fresh wrap. I come here all the time and my all time favorite wrap is the #2 South Western Chicken Wrap with a side of chipotle mayo. Don't forget the chipotle mayo! Everything is always so fresh and the wrap is big. I always just manage to eat half but save the rest for later. Definitely recommend it,Mr Wraps,3.5 star rating,$,"American, (New)"
1,RIhACn-oA3lxRBWst1_L1w,John M.,3.0 star rating,"A pretty good place for wraps.  Huge selection!  I like the roasted turkey wrap, comes with stuffing, gravy and cranberry.  Very good but can be a little light on the stuffing.  Not much seating but a good to go place.   Inexpensive for the size wrap you get.",Mr Wraps,3.5 star rating,$,"American, (New)"
2,XFmhO6SCEH06OX9-Sm5OIQ,M S.,1.0 star rating,We used to order from here all the time however lately it seems employees make up their own prices. Ordered 2 wraps at $7.50 and fries at $4.50 delivery driver shows up and says $30!! Obviously made an attempt to rip me off! Watch what they charge you especially for delivery,Mr Wraps,3.5 star rating,$,"American, (New)"
3,S34h7HULcD-7GjySuvWp1A,David John A.,4.0 star rating,"Used to order from here all the time when I worked at the local hospital. My go-to was the #1 BBQ Chicken wrap, it was a monster loaded with chicken, rice, Monterrey jack cheese and sour cream. Be prepared to feel very sleepy after eating one, I've also have their pork BBQ sliders which were solid and the waffle fries are crispy deliciousness! The owner and staff are really friendly and hardcore Giants fans, really miss coming by, maybe I'm do for a trip!",Mr Wraps,3.5 star rating,$,"American, (New)"
4,V0_H3f7FVS_nRt43A2QlVw,Rafael M.,4.0 star rating,"Fast enough. The wrap is not bad but it's not that cheap. Do you want a quick meal, go there. I liked that hey have real chicken, the taste was good.",Mr Wraps,3.5 star rating,$,"American, (New)"
5,cuk5bg6ZDykp_3phl0pQRQ,Amber E.,5.0 star rating,Best hangover cure ever! Waffle fries and a burrito and back to life! Thanks for my bomb ass food!,Mr Wraps,3.5 star rating,$,"American, (New)"
6,OToU_KJ7J8Q5-Ya9oCHjtA,Jennifer A.,4.0 star rating,"Mr. Wraps is legit. There's so many different options on the menu, anyone can find something they like. They offer way more than just wraps too... burgers, salads, soups, specialty sandwiches, french fries, chicken tenders, jalapeno poppers and so on. I've only tried the wraps so my 4 star rating is based on that.If you come here to try one of their many options for wraps, I highly recommend the roast BBQ pork with potatoes, sautéed onions and jack BBQ sauce. This wrap is AMAZING. Its my go to order. I also got the roast turkey with stuffing, cranberry sauce and brown gravy last night in addition. This one was yummy as well but doesn't compare to the roast BBQ pork wrap. Mr. Wraps also serves ice cream, which is pretty cool. I was looking around last night and it seems like they have a nice selection and also really cool cone options. I especially like this place because they are environment friendly and recycle. Good job Mr. Wraps, I respect any establishment that cares about the environment. The wait time for 2 wraps last night was a bit lengthy but worth it since the food is scrumptious.",Mr Wraps,3.5 star rating,$,"American, (New)"
7,QEDfcKK-Zu9pWsi-YgybMw,Haotian H.,5.0 star rating,I seldom write reviews but I would like to do it for this wrap. I ordered a Thai Steak it's full of steak and thai rice as well as vegetables. No oily a perfect wrap after working out. Price is good and restaurant is clean and tidy. They make good wraps,Mr Wraps,3.5 star rating,$,"American, (New)"
8,h67Tb8ka4KHcPv5LdputTA,Fernando H.,5.0 star rating,"This place is the bombdiggity. Great portions, good prices, great burgers, and a lot of variety to the menu. If you're a college student on a budget this place is a gamechanger.",Mr Wraps,3.5 star rating,$,"American, (New)"
9,Kx6PGZFGoF8QKS--anq4tg,Rebecca R.,3.0 star rating,The corned beef sandwich is legit as is the bbq chicken.  But honestly the best thing there is the disco fries with extra gravy and mozzarella.  #insane,Mr Wraps,3.5 star rating,$,"American, (New)"
