,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,R_t4Bn3NgGOfHpCNTMEMIw,Angie L.,5.0 star rating,"Is everyone a food blogger in New York or is the food too beautiful here that you find everyone taking pictures of their meals before they dive in?Regardless, the Duck entree was delectable. I can usually do without the addition of cinnamon to savory dishes, but this elevated it. 12/10. Great service as well! Will definitely be coming back!",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
1,tygRUEg5SnUJXpq7IsV4mw,Kathy X.,4.0 star rating,"A friend and I came here for a late brunch on a rainy Saturday afternoon. We were seated immediately by one of the large windows which was really nice. I enjoyed the cozy and warm atmosphere. It was a lovely respite from the rain. Along with brunch, there was complimentary bread and homemade marmalade. There were 2 types: Raisin and nut wheat bread and mini muffins. Both were wonderful tasting. The raisin and nut bread was hearty and was great with the butter and raspberry jam, while the muffin was perfectly moist. I had a tough time deciding what to order (what else is new?), as there were quite a few appetizing sounding options. I finally decided on the Laffa Taco, which came with spicy garlic fries. The taco filling included scrambled eggs with chorizo, manchego cheese and salsa verde. It was really pretty presentation, filled with bright colors of yellow, orange, red and green. In addition to the 2 tacos and fries, there was a small salad on the side with red and yellow tomatoes. I really liked that there was plenty of filling for the tacos. The flavors from this meal were amazing! The eggs mixed with the chorizo was delightfully seasoned, the peppers were juicy and fresh and the cheese complemented the rest of the ingredients well. The pita bread used for the shell of the taco was also so good... Fluffy, soft, still warm. And the french fries were delicious, as well as very crispy with lots of garlic. My friend tried the Housemade Chicken Sausage, which included butternut squash, green apple hash, Parmesan and 2 eggs over easy. There was also a slice of orange and strawberry. Again, the presentation was really aesthetically pleasing. I tried some of the chicken sausage and butternut squash + green apple hash and I wasn't a huge fan of the sausage but liked the butternut squash. The service was okay, though at first it was a bit on the slow side and I noticed that the party next to us, who came after us got the complimentary bread first so I had to ask the waitress if we would be also be getting that. However, it definitely got better and I enjoyed my experience. I would come back for dinner.",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
2,mhzOHfp739ZX8wjAf8mu4w,Diana G.,4.0 star rating,"Delicious food and impeccable service in a quaint atmosphere. The only issue is that it's maybe a bit too quaint. Had to wait a bit to be seated, as they were behind. No problem, I'm always happy to grab a drink at the bar.But it was impossible. No space at all. Constantly being bumped by staff.Other than the tightness, great place.",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
3,L4WNpfK7hxx9J51QCHom-Q,Muneeza I.,1.0 star rating,"Never actually got to eat at this restaurant. Did not have a reservation so we came early  on a Saturday night and were told to wait 45 minutes by a hostess. She suggested we get a drink at the bar next door and come back, that she would remember us and no need to take names.When we came back 40 minutes later, her shift was over and the grouchy man who replaced her was extremely rude and told us we were lying and refused to give us a table.",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
4,FOBjmtk5FG3BB7UF5A62pA,Victor H.,4.0 star rating,"Came here with friends and ordered: Meatballs, it was superb. Well cooked and the portion was greatCombination sampler, it was ok. It consisted of some pita bread with different sauces to dip the pita breads into Shawarma Royale, it was the best dish of the night. I definitely recommend this dish as it would take your brains away. The meat is soo good! Octopus, it was superb. Well cooked and the portion was greatMeme's couscous, it was superb. Well cooked and the portion was greatLamb Shank, it was ok. The overall meat wasn't that tender. And the meat that was close to the bone wasn't that tasty. Overall the dish was ok.I'd definitely come back to this place even though it was a bit small for a party of 10 people but it was great to hang out and enjoy each other company along with some great food",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
5,aT3OUDWgc4u09N0KuCtL0w,Trythis T.,4.0 star rating,"Cozy and intimate restaurant. Great for a small group or date night! To drink: I had two cocktails.. kept it smoky ! Ordered the Paloma but less on the syrup To eat: Me and the girls ordered wild mushroom salad, tuna tartare, braised short rib and vegeterania lasagna to share. It was perfect! Everything was so delicious along with a side of feta and harissa ! Definitely will revisit and order other dishes on their menu such as the grilled octopus and moussaka ! Xx",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
6,KyEB3FdC0rU3Hc7Ky0v0Dg,Laura S.,4.0 star rating,"Great brunch spot if you're looking from something different than the traditional Benedict or waffles route!Very cute decor. My friend and I just split a Moroccan breakfast, which was shakshuka that had like 4 eggs, added the sausage option, and a few pieces of pita. It was so good! Even had a spicy kick to it. The spices and the tomato base of the shakshuka made is a much more flavorful brunch than usual.",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
7,pnwkSvuHrWcmNOBEZSEhYg,Anitha K.,5.0 star rating,"Everything was so good that I ate it so fast and didn't take pictures :) It's tapas style but the portion sizes were a lot more generous than most places I've been! We ordered 4 dishes for 3 people which was plenty. The baked meatballs, rock shrimp, laffa taco and the combination platter. All good!! Ask for some harissa on the side! Super cute place. On the smaller side so I'm surprised we were seated so quickly.",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
8,Pp_pTPFgIMENJ7yaNvjRVg,Jordan J.,5.0 star rating,Happened to be nearby and decided to try this place out. It's a cute little place that has outdoor seating as well. For food you can order small plates to share or get larger entrees. For two people we were told to get 4 small plates to share but we only got 2 and felt so full. One was the combo platter that is a total must because you get to try so many different things. The falafel was absolutely delicious and they were generous in giving us extra pita! We also got the laffa taco which was really good and perfect for two people. It had one of the best chicken schawarma's that I've tried!,Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
9,yD7AcxpwKznuVsbrZBBV3w,LeAnne B.,5.0 star rating,"This place is a bit busy, but the food is amazing here. We had the lobster beet risotto and octopus salad as starters to share and both were cooked to perfection!  I wish I had taken pictures of it because the plating was really nice too, but we were too hungry for that. For our main course, I had the duck, which was also two thumbs up. I don't think you can go wrong with any dish here :) Plus our waitress was super nice. Thank you for a great meal!",Mémé Mediterranean,4.0 star rating,$$,"Mediterranean,, Salad,, Seafood"
