,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,9zngzsXKxCPUg0uR76PJ4Q,Lisa H.,4.0 star rating,"We'd gotten the Napoli's nod from native New Yorkers/Hoboken residents and decided to stop by for lunch. I'd read on the Napoli's website that the owner is part of the family that founded Lombardi's in NYC so he's from a pizza dynasty. All positive things!The pizza lunch special (everyday, 11 AM-4 PM) currently is either two Margherita or classic slices for $5 or two specialty slices for $7. A fountain drink is included. For the slices, you go up to the counter and pick from what's available.We sat at a table inside (there's outside seating too) and dined on the Napoli sliders ($8.95) and the pizza slices (I got Margherita and veggie). The four meatball sliders on garlic knots were delicious and had come highly recommended from a friend. Neat and unique concept. The pizza was good too but maybe not quite as tasty. The crust was pleasantly crunchy. Veggie featured broccoli, peppers, onions, and basil. The fresh mozzarella was a highlight of both slices. The young man waiting on us was pretty friendly, easygoing, and attentive.So Napoli's may not be quite as good as Lombardi's, but it's a foolproof choice in Hoboken for sure. Try 'em out.",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
1,n3reQ0FiRZysqU35VmPQjQ,River J.,1.0 star rating,Lost seamless order.  Might be good pizza.  Might not.  Who can know when it never arrives.  All the waiting.  None of the pizza.  ...at least that was my experience tonight.,Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
2,OEwG9G5NVdwTbMWwOAa7Sg,Alex C.,1.0 star rating,"A few layers to this review - I very rarely write bad reviews.  I think there have been too many things to happen with Napolis for me not to come on here and let people know.  We have been ordering delivery from this place for a while.  EVERYTIME the delivery takes atleast 75-90 minutes for a simple pizza/salad.  Also, our last delivery they brought us the wrong order TWICE and couldn't rectify it.  We had to call the restaurant instead of the delivery person doing it.  No refund or discount or anything.  Boggles my mind when almost every other pizza place in Hoboken is 30-40 minutes and responsive.  Pizza is good but not THAT good, especially in Hoboken.  Secondly, went to their new location on 2nd and Clinton last nite with my wife.  Took about 10 minutes to get seated and it was very disorganized.  It was very clear that they weren't ready to open.  We had to tell THEM that there was an open table for 2.  We finally got seated, had 2 different people come over but no one took our order or even gave us a menu for about 25 minutes (which we had to ask for). The server came to the table next to us 3-4 times and never looked at us.  Not to mention, that table complained about how their pizza came out before their apps and they were cold.  I finally decided to walk out and go to Leo's.  Had a great dinner with great service there.  Don't waste your time here when there are a ton of other places to get pizza in this town.",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
3,jE3_kaOmALiokG59asVFPA,Rich W.,5.0 star rating,"It is always easy to type a review when you are angry. You want to do ""something"" so your frustration streams out of your fingertips.... That is not this review.We have been in town for three days and have eaten at Napoli's twice (already). After a long day in the City it is nice to have a place that feels and treats you like you are home. The Pie (Meat Lovers) is exactly what you should expect, the Pastas are fantastic and even the Cannoli are outstanding and house made. Phil gladly opened our BYOB wine for us and entertained us with stories of the old neighborhood. The constant stream of Uber Eats and take out customers tells me that the rest of the neighborhood thinks this place is pretty great too.I don't know if we will be going back before we fly home, but I would love to try the Garlic Knot Meatball Sliders, they look amazing.",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
4,4Pp1NdLWPg4EIPchw-gV6A,Adam K.,3.0 star rating,The pizza is amazing but the service is HORRIBLE. Putting boxes together during dinner rush and ignoring people trying to order? Really frustrating,Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
5,GjipEDHR_gkhR_18aSY5lw,Katherine C.,4.0 star rating,"I've come here a few times for pizza and it used to be better. Seems like it got greasy BUT their garlic knot sliders are phenomenal. It's a meatball in between the garlic knots with melted mozzarella. It was freshly made and hot! There's 4 per order so it's shareable for sure! It's BYOB which is nice if you wanted to have a casual dinner with some drinks. Outside is decorated with Christmas lights, hard to miss!!",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
6,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,4.0 star rating,"Ordered from Napoli's one Thursday night around 9 or so for pick-up. Our pizza was ready in about 20 minutes. When we arrived, they were just taking it out of the oven, so we knew it was definitely fresh. We ordered the chicken parm pizza, which breaded chicken, ricotta, and fresh mozzarella. The chicken tasted a bit dry/tough. I'm thinking they maybe just tossed the leftover chicken parm from the night before because it definitely tasted like it was reheated a few times. But aside from the chicken situation, the pizza itself was very good. The ricotta was a nice touch. I would definitely come back and try their other non-chicken pies!",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
7,CGgA6zmvJl-gsr48gR4wEg,Corinne B.,4.0 star rating,The food is good/ average. The service can be inconsistent. I have been here many times and it generally meets expectations.,Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
8,U_UvZKuqTV35_R_QaUsVPA,Christina G.,4.0 star rating,"definitely adding this spot to the hoboken restaurant rotation! plenty of things to choose from on this menu. tons of different pizza, pastas and sandwiches along with a lot of apps. and its a BYO.we started with a caesar salad. this was probably the least exciting thing we ate. for dinner we shared an order of the chicken fettuccine with spinach and mushrooms (extra $2). we also ordered two personal sized pizzas. really liked that they had 3 size options to order for the pizzas, so we were able to enjoy the chicken bacon ranch (new) and the vodka pizza. both were delicious, i'm a sucker for vodka sauce so that was my favorite of the two. we ended up still taking the equivalent of an entire personal pizza (4 slices) home with us. they proudly display on the wall near their pizza oven that all of their sauces are homemade on premise. again the vodka sauce was really good. definitely stop in here, and if it happens to be a monday they give out free zeppolis!",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
9,FuiG5k5hpmVgVjFnY8eQhQ,Cassandra P.,1.0 star rating,"This was our second time ordering from Napoli's. The first time food was good except for the desert. This time...it took an hour and 45 minutes for the delivery, 40 minutes longer than the time estimate. We called 3 times to get an estimated delivery time. Each time the person said it was ""going out in 3 minutes"". I understand a delay but would appreciate honesty, if you haven't even put the food in tell us. When the food arrived it was cold and there was chicken on a vegetarian pizza. The restaurant is 5 blocks away. So disappointed. With many other Italian food options in Hoboken, we won't be coming here again.UPDATE: Manager called and offered a credit (with a lot of excuses). Nice gesture, still never going back.Update: The manager never followed through on the credit. So also not truthful.",Napoli’s Brick Oven Pizza,3.5 star rating,$$,"Pizza,, Italian"
