,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,I9Qwmrou2IuYKWC_b-ME6g,Tiffany S.,5.0 star rating,"Perfect place to by and grab some coffee! The service is great, friendly, and super fast. I am not much of breakfast person but usually stop here for a fresh juice or coffee to start my day!",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
1,hGW-Rcm9ihqhIA-h3gW44w,Jessica H.,2.0 star rating,"Although this is a chain restaurant, the flavors and textures of the food being served here are not up to part with the other restaurants. The food comes out either undercooked or overlooked. The eggs were old and cold. The beans lacked seasoning. In my visit there was a disgusting rubber band in my food. I will not be returning to this location.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
2,6MagHPUEcS_mEgL_P-tZEQ,Martin C.,1.0 star rating,Bummer. Gave it a 2nd try and the food was inedible. Just gross. Spend your $ elsewhere,Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
3,7UNzFoP0z5UaLziC1OmZog,Sophia Fabiola D.,2.0 star rating,"Not really a fan. Nothing really special with the place, food and service. They said the ""beef steak"" here is good, but I disagree! Meat is still hard to chew bubble gum type and too salty. Everything is oily.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
4,PIV1on-rAF6VS28e9EonaA,Casandra E.,2.0 star rating,I ordered a steak sandwich it was very dry. It did come with french fries which is considered a deluxe in the American world. But for about $12 it was not worth it. You can go up to Bergenline Avenue where the rest of the Latino restaurants are and go to another Noches and get it for $8 with more flavor but the best steak sandwhich by far is dos amigos !!!! I also ordered a baby churroscoo meal and between both I paid almost 40 bucks . It was not worth it at all they really should recognize the neighborhood they are in and if you're a franchise you should charge the same as the ones uptown. Well like I said there's steak sandwich is not worth buying at all.,Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
5,PzowqOXJjqlLzQmReTvOiw,Sabrina W.,2.0 star rating,"A group of us ordered from here for lunch and i would've like to included a half star to the 2 whole stars. Ordered from the lunch menu (online--wouldn't recommend-our order was incomplete) a couple of menu items were missing on their website, so we had to improvise and cross the fingers not to get charged extra. So I'd ordered the grilled pork and while it came nicely packaged, it wasn't worth the money spent. The meat is flattened to a napkin and it wasn't tasty. The beans were ok. Be prepared to have BOTH rice and Fries.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
6,ww2J1TJl6NyQ1jxKZsA9Bw,Jennifer A.,3.0 star rating,"Came in Tonight looking forward to having a great Churrasco (skirt steak) at Noches, left disappointed. The steak was overloaded with Onions, it was cold, the pan it was on wasn't sizzling which I love and use to my advantage to cook the raw onions. I wouldn't go back here to have a Churrasco. The best part of dinner was the cappuccino and Black Berry juice..... honestly I wasn't too crazy about the food. The service was slow, my server was pleasant but couldn't find her from time to time. I wouldn't come back again honesty, unless I'm craving some coffee or juice. I'm sad because I want to like this place since it's so close to home ! Ugh!!",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
7,WWmv-OF9bcbTDJRiQKKjkQ,Jolene P.,3.0 star rating,"Im soo happy that there is a Noches in the JC Heights area. It is such a good and affordable option. The service is always prompt and attentive. In terms of recommendations there are too many to mention but here you go:Arroz con Camarones- zafron style rice mixed with a lot or large shrimp. The dish costs aprox 14 and is enough to feed a small village. I have literally bought a service to go and shared it at home with 3 people. It also comes with a salad, and some fried plantains which are delish. Appetizers - pan de bono (this amazing bread) chorizo, empanadas, chicharrón buñelosColombian style chicken breast with a nice cream and mushroom sauce. This also comes with 2 sides.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
8,5pCFgfZTv5bD8FyAc7RctQ,Maggie R.,1.0 star rating,"I must say I was rather disappointed with the quality of the guacamole serve .Made all day at the end of the night which is when I usually arrive to eat the same thing it's old and black what's wrong with making a fresh one?90% of the waitress are rude obnoxious don't smile not friendly or welcoming.It's like a factory when you go here that's the way they make you feel as a customer. Eat and leave bye, they need attitude training.Am hoping yelp invent zero stars this estAblishment for central Ave location deserves no stars.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
9,A0Eqf3Q1MZJXCYN0JXR9MA,Vicente C.,2.0 star rating,"I gave it 2 stars as part of the flavors of all but one item. If this was a service based review it would be zero stars, so we took consideration for the guacamole, pandebonos and the chicharrón. I ordered a guacamole, morcilla, chicharrón, 3 pandebonos and an avocado salad with grilled chicken. I waited over a half hour for what was a salad and 3 apps because the pandebonos are in the warming display on the counter. After about 20 minutes a staff member took concern. So the other girl which wore a different color from the rest pretended to then ""expedite"" my order which took about another 15 minutes. Oh you thought this review was over huh?No, it continues.......We get to my in Laws and boom my chicharrón was missing! So in looking through the other items I noticed the morcilla which I'll post a photo of was burnt crispy. I went back to Noches and the young lady that expedited the order took care of me and I showed her the photo of the morcilla and she was like ok and gave me another one which wasn't as crispy as the 1st. I'm Puerto Rican, so I'll stick to our style of morcilla. I think that I can only order delivery because I saw frustrated patrons that seemed to be waiting awhile for there food.",Noches De Colombia,3.0 star rating,$$,"Colombian,, Breakfast, &, Brunch"
