,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,FLsECwL1OxZuwxPS7yQsgg,Sean I.,5.0 star rating,"Lived in Hoboken and ate at every Chinese food shop in town - this is hands down the best. Used to order from Precious and always disappointed. Their Won Ton is very good (wish it had pork bits and some more green veggies in the broth), but the wonton are firm and delicious. Big fan of beef and broccoli, the broccoli are cooked through and not too crisp (this is the way I like it). Also pork fried rice is excellent too - pro tip, combine pork fried rice with beef and broccoli. Also crazy fast delivery for Hoboken.  Literally took 20 minutes with my last order (I didn't use Yelp - I just called). The place looks like a hole in the wall, but their food is literally the best Chinese in Hoboken.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
1,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"This place always seems to deliver exactly what I am looking for. They make solid general tso's and sweet and sour chicken.This isnt 5 star gourmet food but if you are craving chinese food this is it.It is inexpensive, quick delivery, and good product. Not much more you can ask for.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
2,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,"This rating is based on both the quality of food and the price that was paid.  It is 3 star food as pretty typical if slightly above average Chinese takeout. Prices are good as bill for dinner combo, two spring rolls plus another entree with delivery and mead came to under 20.   Spring rolls were not overly greasy and light on the wrapping.  Sesame chicken could have used more broccoli but otherwise very good.Delivery came quickly and available on delivery.com. I will order from them again when want Chinese.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
3,gL-Jm_2mgw82k_GybkD7ug,Yifan S.,2.0 star rating,"I paid one dollar tip for delivery. Immediately They called me and asked me to pay two more dollars as delivery fee. I said okay I don't want to pay and you can cancel my order. They said no because they have already cooked it.I don't understand. If you demand delivery fee, why claim free delivery on yelp?The food is average.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
4,zRdhH-2qQ_B1JaTHfUlZsw,Antonio E.,5.0 star rating,Hands down my favorite Chinese food in hoboken I order atleast once a week give or take. But every time I order it's always fresh and hot served to my door if you want good consistent Chinese food go to number 1,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
5,cz7KcF3Br-NhCA7LVxfL9A,Greg D.,5.0 star rating,"Not only is this fine oriental establishment extremely affordable (and the portions are yyuuuuge), but they are speedy too. We ordered $73 worth of food for six hungry people and it got here within 10 minutes. Very friendly on the phone and made sure she got our order correct. I would highly recommend ordering here as it has become an every Sunday tradition and the food is great too!",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
6,PF1lVdQK2Ot_gxxq2SMMAA,Max M.,5.0 star rating,"I am an American-Chinese food snob.  Pork fried rice, wonton soup, pepper steak, general tso's chicken, etc.  you'd think it so easy to get right, to not screw up, yet so many places in the area are too greasy, dry, more batter than meat, etc. But not this place, oh no sir, this place gets it right. I only allow myself to indulge in the lunch special once a week least my belt tighten too much, but you get excellent portion sizes, prepared to order, and the staff is exceptionally friendly and kind. The perfect local Chinese food place.  You can't go wrong with them, and even though I have to walk by one other Chinese food place to get there, it's worth the trip.  If only there were a sixth star that I could give this place.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
7,3_Xu3ufl9McjNZb22lnZKA,Andie A.,5.0 star rating,"This is our go to Chinese place in Hoboken. Fast and friendly service. We've ordered delivery and pickup. Personal favorites include the lo me in and sesame chicken. Very affordable and great portions. Plus a huge menu so you can find something for everyone. I've found the ""spicy"" food is just right for me and I'm a big wimp. Definitely give them a try.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
8,JrILVIamwQpzSSv9-OcF6A,Mariah F.,4.0 star rating,I have been ordering from this Chinese since high school. It used to have great prices for lunch. My co worker and I ordered today for pickup. He told us 10-15 minutes. 15 minutes later we go and the food had not been worked on yet. It's best to go and actually order rather than call. The portions have become smaller over the years and that may be due to the fact that they are on Washington St. The food still tastes great!,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
9,KPyejPH8MdnR9cV0292wAA,Jimmy P.,1.0 star rating,Yikes!  This shit was grossssss across the board.  Boneless spareribs were dry and the BBQ sauce was nasty.  General tso chicken the worst I've had in hoboken.  Fried dumplings weren't terrible but def below average and the crab wontons were the worst in hoboken.  I just threw out $40 worth of food- and I don't feel bad knowing I'll never have to eat it again. Save yourself the disgust...call Lo Fat or Precious.,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
10,Y6Sx49M_nU83bJXkI5K9dA,Anthony J.,1.0 star rating,"We haven't been too impressed the last couple of times we ordered from here, and I'm sorry to say this will be our last. My chef special crispy white meat chicken with walnuts contained almost no chicken at all---it was just a bunch of mushy pieces of fried dough (see my photo). Inside a few of the larger pieces, there were pathetic tiny shreds of chicken meat strands. Our crispy bacon rolls appetizer were burned to the point they were almost black (how can you mess up fried bacon?).  Even our favorite spicy mei fun beef thai style contained only a few tiny pieces of beef. They are definitely cutting corners, and it shows. When a place starts doing things like this, it is usually a sign of things going downhill and I wouldn't be surprised if they weren't around for much longer.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
11,9uZpqQC5Cc03yRtkjbXlLw,Trinity M.,5.0 star rating,"Fast service, reasonable prices and very tasty Chinese food!  We always get their fried chicken, beef lo mein and shrimp fried rolls to go.  For lunch specials, the general tso's is a must.  What is there not to love?",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
12,pakLSkKWVk7IAZtd7ySPzQ,Michael D.,1.0 star rating,"Horrible, went off off googles 4 star rating and that couldn't be more off!   The dumplings were overly doughy, the boneless ribs were fatty and soggy, the lo main was flavorless and the beef was questionable, and the sesame chicken was lacking flavor and chewy.  What a disappointment!",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
13,GRY2acZtI5q4P1KdCWhcUQ,Dave F.,3.0 star rating,"Ordered a little less than my usual feast to test, but after the standards, I'm not sure ill order again here. Had the general tso's chicken combo with fried rice, wonton egg drop soup, and an egg roll. The egg roll was nice and crispy, and probably the best thing of the day. Soup was a little thick for my taste, but the wontons were nice and doughy. The general tso's was good, but the pork fried rice was pretty bland.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
14,h8Ao_Cht6ZH14_yuzgPnKg,Dan G.,3.0 star rating,"I've been ordering from these guys for 5 Yrs now- steps I've had to take to get mostly what I want- and in their defense, they have been nice and apologetic when they forget chopsticks, soy sauce, tartar sauce with fried crab legs- but it takes work1. Slow them down when ur placing order2. If you order more than 3 times from them and think you will continue to order from them, then don't let them off the hook when they forget something- demand that they go back and get what you ordered- a coke, tartar sauce,etc- they will do it and eventually they stop forgetting things- if u don't do this- they will forget stuff frequently3. Get ready to meet them at the front door of apt building- they don't walk up- not even 4 small steps/stairs - they say buzzer is broken, I'm fine with it- I deduct it from the tip. Last time- I gave him no tip cause he was rude. He said, where's my tip, I said for what? Doing your job? You didn't bring the food to me- I damn near had to go to your car to get it ( I always tip unless they demand I do- then I don't esp. When they don't walk up the four stairs to my apt.)4. Don't order entrees- they are really skimpy on  meat, chicken, beef, shrimp- and most are all mediocre at best--stick to appetizers, sides and soups- great fried chicken wings and fried crab sticks- pork fried rice is good too-",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
15,4Pp1NdLWPg4EIPchw-gV6A,Adam K.,5.0 star rating,Only ever ordered delivery from here. No complaints whatsoever.  They have the best sesame wontons in town and you owe it to yourself to try them!,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
16,92bYO8orpZ380qvyIHFEng,Melissa T.,4.0 star rating,"Ordered chicken with brown sauce, general tso dinner combo and plain lo mein (not a complicated order) but was cheap, speedy delivery, included plenty of duck/soy sauce and tasted great. We threw out our Off The Wall menu and will be ordering from here from now on.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
17,94V-snVUg2Gd-OPd7rcZEg,Laila D.,4.0 star rating,"Thank you for making the best wonton soup in town. Not to salty and tasty broth, plentiful chewy tasty wontons that do not fall apart and hot on arrival with quick delivery. Oh and my new favorite dish is their chicken broccoli or chicken string beans: both great and they (like any solid Chinese establishment) don't overcook their greens!!",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
18,iDfU6GIOCWa8d_xXzSKgbA,Kimberly S.,4.0 star rating,I know I know.... But I love this place. We usually order the same thing each time:chicken wings - Wish they would let you order 5 instead of 4chicken and broccoli - Some places make watered down chicken and broccoli but here the sauce is thick and the broccoli is not soggy.pork fried rice - Very tasty2 egg rolls - always crunchyBeen ordering from this place for over five years and I have yet to have a bad experience. I mean for how cheap they are the food is very satisfying.,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
19,NDBEu5OPX0RBNVOm9Vw99A,Rory C.,5.0 star rating,"my go to place.  fastest delivery in town.  ignore the haters, it's chinese food not the ritz and worth every penny",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
20,FLsECwL1OxZuwxPS7yQsgg,Sean I.,5.0 star rating,"Lived in Hoboken and ate at every Chinese food shop in town - this is hands down the best. Used to order from Precious and always disappointed. Their Won Ton is very good (wish it had pork bits and some more green veggies in the broth), but the wonton are firm and delicious. Big fan of beef and broccoli, the broccoli are cooked through and not too crisp (this is the way I like it). Also pork fried rice is excellent too - pro tip, combine pork fried rice with beef and broccoli. Also crazy fast delivery for Hoboken.  Literally took 20 minutes with my last order (I didn't use Yelp - I just called). The place looks like a hole in the wall, but their food is literally the best Chinese in Hoboken.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
21,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"This place always seems to deliver exactly what I am looking for. They make solid general tso's and sweet and sour chicken.This isnt 5 star gourmet food but if you are craving chinese food this is it.It is inexpensive, quick delivery, and good product. Not much more you can ask for.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
22,k8ToEsaJuHbT-fGtFhpzKw,Bryan C.,4.0 star rating,"This rating is based on both the quality of food and the price that was paid.  It is 3 star food as pretty typical if slightly above average Chinese takeout. Prices are good as bill for dinner combo, two spring rolls plus another entree with delivery and mead came to under 20.   Spring rolls were not overly greasy and light on the wrapping.  Sesame chicken could have used more broccoli but otherwise very good.Delivery came quickly and available on delivery.com. I will order from them again when want Chinese.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
23,gL-Jm_2mgw82k_GybkD7ug,Yifan S.,2.0 star rating,"I paid one dollar tip for delivery. Immediately They called me and asked me to pay two more dollars as delivery fee. I said okay I don't want to pay and you can cancel my order. They said no because they have already cooked it.I don't understand. If you demand delivery fee, why claim free delivery on yelp?The food is average.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
24,zRdhH-2qQ_B1JaTHfUlZsw,Antonio E.,5.0 star rating,Hands down my favorite Chinese food in hoboken I order atleast once a week give or take. But every time I order it's always fresh and hot served to my door if you want good consistent Chinese food go to number 1,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
25,cz7KcF3Br-NhCA7LVxfL9A,Greg D.,5.0 star rating,"Not only is this fine oriental establishment extremely affordable (and the portions are yyuuuuge), but they are speedy too. We ordered $73 worth of food for six hungry people and it got here within 10 minutes. Very friendly on the phone and made sure she got our order correct. I would highly recommend ordering here as it has become an every Sunday tradition and the food is great too!",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
26,PF1lVdQK2Ot_gxxq2SMMAA,Max M.,5.0 star rating,"I am an American-Chinese food snob.  Pork fried rice, wonton soup, pepper steak, general tso's chicken, etc.  you'd think it so easy to get right, to not screw up, yet so many places in the area are too greasy, dry, more batter than meat, etc. But not this place, oh no sir, this place gets it right. I only allow myself to indulge in the lunch special once a week least my belt tighten too much, but you get excellent portion sizes, prepared to order, and the staff is exceptionally friendly and kind. The perfect local Chinese food place.  You can't go wrong with them, and even though I have to walk by one other Chinese food place to get there, it's worth the trip.  If only there were a sixth star that I could give this place.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
27,3_Xu3ufl9McjNZb22lnZKA,Andie A.,5.0 star rating,"This is our go to Chinese place in Hoboken. Fast and friendly service. We've ordered delivery and pickup. Personal favorites include the lo me in and sesame chicken. Very affordable and great portions. Plus a huge menu so you can find something for everyone. I've found the ""spicy"" food is just right for me and I'm a big wimp. Definitely give them a try.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
28,JrILVIamwQpzSSv9-OcF6A,Mariah F.,4.0 star rating,I have been ordering from this Chinese since high school. It used to have great prices for lunch. My co worker and I ordered today for pickup. He told us 10-15 minutes. 15 minutes later we go and the food had not been worked on yet. It's best to go and actually order rather than call. The portions have become smaller over the years and that may be due to the fact that they are on Washington St. The food still tastes great!,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
29,KPyejPH8MdnR9cV0292wAA,Jimmy P.,1.0 star rating,Yikes!  This shit was grossssss across the board.  Boneless spareribs were dry and the BBQ sauce was nasty.  General tso chicken the worst I've had in hoboken.  Fried dumplings weren't terrible but def below average and the crab wontons were the worst in hoboken.  I just threw out $40 worth of food- and I don't feel bad knowing I'll never have to eat it again. Save yourself the disgust...call Lo Fat or Precious.,Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
30,Y6Sx49M_nU83bJXkI5K9dA,Anthony J.,1.0 star rating,"We haven't been too impressed the last couple of times we ordered from here, and I'm sorry to say this will be our last. My chef special crispy white meat chicken with walnuts contained almost no chicken at all---it was just a bunch of mushy pieces of fried dough (see my photo). Inside a few of the larger pieces, there were pathetic tiny shreds of chicken meat strands. Our crispy bacon rolls appetizer were burned to the point they were almost black (how can you mess up fried bacon?).  Even our favorite spicy mei fun beef thai style contained only a few tiny pieces of beef. They are definitely cutting corners, and it shows. When a place starts doing things like this, it is usually a sign of things going downhill and I wouldn't be surprised if they weren't around for much longer.",Number 1 Chinese Kitchen,3.0 star rating,$,Chinese
