,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,rtOgvrSLb8at6qIEIKu1_g,Sampad D.,4.0 star rating,"This is a a nice place in Hoboken. Its not on the main strip , so easy to miss it. But it has its own advantage - You get free parking space !!The place is not very big with decent ambiance. We had ordered sushi . The california rolls were good. We also got udon. That was great as well.They also served complimentary salad (not bad).The service is good and quick. Overall a good food experience.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
1,U_UvZKuqTV35_R_QaUsVPA,Christina G.,3.0 star rating,"tried this spot over MLK weekend. very convenient for cold weather. it has a parking lot, and is in a shopping center with a wine store... so very easy to get there and grab something for this BYO spot. due to its location, we didn't have to wait for a table, which was great! the menu is pretty expansive with a mix of sushi, japanese and some thai cuisine. we came for sushi, but the udon coming out also looked delicious.  we started with the rock shrimp app and a bowl of tom yum soup. both were tasty, tom yum broth was nicely developed with a good kick. for sushi we tried two specialty rolls and two basic rolls. definitely try the pacific roll. its tuna, lobster salad, shrimp, avocado, tobiko and wasabi mayo. lots of fish in the rolls, we filled up quickly. service here was also excellent. lots of people working to ensure you were taken care of. overall food and experience was a 4, but knocked a start after both me and  the husband felt ill later in the evening and then not the greatest the next day after.willing to give the spot one more try!",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
2,A-am14Gmiu-ZTqGVwMM62Q,Matthew P.,1.0 star rating,"I ordered food at 8:15pm. At 10:10pm I call the restaurant and I ask for a refund as they say they don't know where the food is and it's been 2 hours. It finally arrives at 10:20pm and the driver hands me the food . as he's walking away I politely tell him I called and asked for a refund since it took over 2 hours and he comes back and says he has to take the food! The foods going to waste clearly, the smart thing to do is write this off as a cost to potentially keep a customer. I WILL NEVER ORDER FROM HERE AGAIN! I ordered from here twice before and both times took over an hour and I live in their neighborhood!!",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
3,hBTWUm0lHZDaslBs2vGJ3Q,Pobmeister L.,4.0 star rating,Revised review: Service is prompt and sushi is consistent. Revised review to reflect that this is take-out and not fine sushi isuda. :) it's good option for a takeout date night and not stress that the food will come after Netflix and chillin,Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
4,svFycHjXZYpNVutZ_0_gDQ,Jessica W.,5.0 star rating,"I'm almost tempted to not review this place but I absolutely love the sushi here. It's amazing, the quality of sushi, taste, types of rolls and attention to instructions beyond beats every other Hoboken sushi spot. The sashimi is awesome, and the prices are fair considering the quality. My only complaint is they don't give enough ginger and they removed the option toPurchase extra ginger. It's definitely a little annoying because I spend 100 plus dollars there usually and I would appreciate the option of ordering more ginger.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
5,OIHKWl_odHzt62j1q7RM7A,Angela K.,5.0 star rating,"Solid sushi spot. Fish is fresh and nicely cut, and the presentations are nice.  This is our go to sushi spot for dining out in Hoboken.  We also order takeout from here, which is always delivered in a timely fashion.  I would highly recommend it.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
6,MaHEwBRe5jpgoYk7gE4cqQ,Susan T.,5.0 star rating,"Sushi is amazing here. Fresh and staff is friendly. We came here on a Friday night with a stroller, staff was able to accommodate us with moving tables around and there was no wait. Food came out fast and tasted great. It's also BYOB.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
7,FSa8nwM1reDQH6DjtDHciQ,Kathy A.,5.0 star rating,The sushi is always fresh! Reasonable prices for good quality sushi and serving size. The staff is always welcoming. You can't go wrong!,Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
8,PY-XIZ9KX4xZ0WFT6RaFLg,Jessica D.,4.0 star rating,I wanted to have a quick take out sushi and this place seemed decent. It's like a 15 minute wait for take out. They have sushi and thai food which I thought was pretty cool. The sushi was a little more than my usual places. Kani salad- 4/5 This was pretty good. Your typical kani salad but they ask if you want it spicy. I got mild and it was really exactly how I imagined it to be.,Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
9,m60p4y-GauS7KbGFycUqEQ,Cathy S.,4.0 star rating,"Solid sushi spot! We like to get the lunch special here, which is pretty affordable and comes with salad and miso soup. The rolls are well made, with a good amount of filling and not too much rice. It's nice that they have a parking lot, though it can get filled during busy hours. We've had a good experience getting delivery as well.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
10,frKbf63rhAWDIbVtL_kSxw,Sara J.,1.0 star rating,"I really don't know how this place has 4 stars because this place was terrible. I had a garden salad and it looked as if someone had just torn leaves off from a head of lettuce and threw them into a bowl because the pieces of lettuce were huge. My boyfriend and I shared the sushi for two and it's supposed to come with 12 pieces of sushi, a rainbow roll and an eel avocado roll. However, instead of the eel avocado roll, we received a spicy salmon and avocado roll, a substitution we were never informed of. The restaurant also didn't have the heat on so halfway through the meal, I had to put my coat back on because it was so cold.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
11,S-daUb1oFb9mU2jVhigoZQ,Chelsea W.,5.0 star rating,"Lovedddd this joint! First of all, it BYOB with a liquor store next door, score! Saves you a good wad of cash! We had the three sushi combo with tuna, yellowtail and California roll, so simple but so delicious! We also had the TNT And Hoboken Roll, those were also delicious! The sushi comes with miso soup or salad, we chose salad. The salad was a very small bowl for 3 people, we just assumed we'd each get a small bowl. Our bad for assuming, but really what's the point of a tiny salad for 3 people?! Other than that, no complaints! Food came out quickly and the service was on point! Definetly my new go to spot for sushi!",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
12,j6BHfsui2qVc9GulvgyPAg,Ember R.,5.0 star rating,"I came in today and ordered the house special roll which was delicious. The service here is great and I love that there is parking and BYOB. I came with a friend, we ordered the pork dumping (it was aight) and spring rolls (I loved them but my friend thought more filling was a must) and he ordered the three roll lunch special. I have nothing bad to say about this place. I'm coming back and trying more. Also, this isn't a fancy spot, this is causal dining and the ingredients aren't super super fancy but, it isn't horrible quality either. It's chill and affordable with a nice setting. It's great when you're on a budget.",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
13,spHNgqE3BdptKe8urMiHYA,Will J.,5.0 star rating,This place is very consistent. They almost always deliver on time if not early and it's pretty good. If you're looking for a casual place to get take out or go in and sit byob it's one of the better ones in the area,Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
14,AP-QqWMEsyiHb5eRAdQVGg,Jenni K.,4.0 star rating,"Last summer, my friend and I both moved to Hoboken around the same time. The first place we had lunch together was at Okinawa and we were both elated that the food was delicious! Since then, I've come to Okinawa many more times and have ordered take-out. The sushi is affordable and they have a variety of rolls and sushi/sashimi dishes. I usually get the CHIRASHI these days, which comes with 20 pieces of sashimi. I've been to A LOT of sushi restaurants in the city, both cheap and expensive, and I'm satisfied with what Okinawa has to offer and its prices.The restaurant is usually pretty busy but I've never had to wait for a table. They are closed on Tuesdays, fyi!",Okinawa Sushi & Grill,4.0 star rating,$$,"Japanese,, Sushi, Bars,, Thai"
