,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,I-cIvsDlNlV1dk3pWCT69w,Esther J.,5.0 star rating,"The highly rated Oscars was recommended on Yelp when we walked through. It's a very small cute place. Felt a bit out of place when greeted at first but as we got settled, the host was very nice. We tried their tea and featured fish and chips and also their omelette. Their fish and chips were excellent! And I've lived in England for a short while. Totally recommend it. Know that you will be very full afterwards.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
1,JCn-W-dQwbMyPGNOYC5zkg,Ryan R.,3.0 star rating,"Went here with a friend to grab an early dinner on a Saturday. We were one of two tables in the place, so we were seated right away.After perusing the menu, we decided to split the fish and chips and a burger.The burger was very standard--not a lot of seasoning for the meat and pretty average--the fries were good though.The fish and chips were better, though it still didn't hit the high marks I was expecting based on the reviews. Also, the tartar sauce lacked a little flavor.Overall, this is a cozy spot that serves up homey food. The service was friendly and attentive, but it did take a while for the food to come out even though we were the only ones ordering food.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
2,WynWl7DoB0s-u85WKcdGgg,Matt B.,3.0 star rating,"This place had some good reviews but not sure how they got to 5 stars. I spose it depends what you are after. I thought it was fair that's for sure. I had the big breakfast. I think is called English breakfast. Mushrooms has a weird taste to them and I didn't eat them. It was a decent ""greasy breakfast"" but when I was writing this I thought, would I rush back if I had a hang over? And the answer is no. My wife had the eggs coccoti, I think it was called. It wasn't bad. About 50 bucks including coffee. Not bad but it isn't a place I would rush back to.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
3,9Ib_3GLDwdbdImKddCC7JA,Susan C.,4.0 star rating,"An intimate corner location with a cozy British slant, Oscar's features a selection of breakfast options styled after the local morning traditions from across the pond. The place is small, but they take reservations, though the largest party they can sit is 5-6 people at the corner table in the back left corner of this space. There are two tables for 4, and another 2-3 tables for 2. On a sunny day they have outdoor sidewalk seating under red umbrellas enough for 10-12 people. These are set up as tables for two. Inside, the kitchen is basically right behind a bar area on the back right, and it's fun to watch the chef prep and cook. I highly recommend the English breakfast ($17), which is a hearty combination of two eggs, bacon, sausages, toast, grilled mushrooms and tomatoes, stewed beans and the mash of the day. I ordered the Arundel omelette ($14.75) which had bacon, onions, mushroom and spinach and came served with a side salad and mash. A second and third friend ordered the Eggs Cocotte ($15) and English breakfast omelette ($15.50) which both came with mash and side salads also. Service was courteous and quick, and we left very satisfied with our experience. As we were leaving we saw a berry French toast and a burger being served and they looked like great options to try next time. Bonus: Check in on yelp for a free coffee or tea!",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
4,hl8uxOPAvXPlbqbmn6XgAA,Daniel P.,4.0 star rating,"English Breakfast to me is very personal. Having half of my family being from the great country of England, I come to really critique any English (or Irish) Breakfast. This place has got it right! I went for breakfast around 9:30am because I don't do brunch. I'm not sorry for that because I do like 3 square meals a day. Go to Oscar's for breakfast! For $17 it is a bargain and it's totally delicious. Ask for the Irish bacon instead of regular American bacon! Everything was cooked perfectly and service was great. The atmosphere is a lot of fun and is definitely a nice hole in the wall! Sit outside on a nice sunny day and gossip while drinking a nice real cup of tea or coffee. I'll be coming back for the fish and chips. I cannot wait!",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
5,FvDY4VIVItwMkHoMBlKuLg,Joanne H.,2.0 star rating,"My boyfriend was homesick and wanted a proper English brekkie so he found this place. He's not picky whatsoever but he wasn't pleased. I for one am, and my not so memorable entree was not enjoyable. I'm going to assume we probably went on an off day for Oscar's considering the 4 stars but it's a no for me.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
6,5h00APSM6LgaYZSk3P1sfw,Adriana G.,4.0 star rating,"I came for dinner with a friend on a Saturday at 7, and there was ample room for seating inside and out. What I especially liked was that the atmosphere did not feel rushed or hectic as is common in many restaurants in the village. I ordered the vegetarian croque which came with fries (crispy and perfectly salted) and a salad. The croque, which I had not had before, is like a large open-faced sandwich with spinach, tomato and cheese. Very delicious. I will be coming back.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
7,tK2MtC42Sx81DldZIlSGow,Jay V.,1.0 star rating,When to stop by this place? Hmm. Do you want to eat mediocre (at best) food? Would you like to sit in uber cramped seats with your elbows knocking your neighbor's back each time you use your knife and fork? Do you want to feel your server's behind brush your other arm each time he carries kitchen waste past your table? You just hit a jackpot - dine here then.,Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
8,nXLdU_PupIs4jgY2GDRYcw,A C.,5.0 star rating,"This is EXACTLY what is missing in the collapse of the West Village. This is a delicious neighborhood restaurant. Breakfast, lunch & dinner. Literally everything is delicious. Insanely good mussels, beef stew, salads, omelettes, Mac & cheese, French onion soup, English breakfast with REAL Cumberland sausages, HP Sauce etc.The owner, Neil, a Brit expat, is a delight, as are Trinidad & the chef ( who's name I forget ) working dinner are lovely. We'd be lost in this corporate and overly fussy neighborhood without Oscars. Support your individually owned businesses. So important. We love this place and have gone here for years. We'd have to move if they closed.",Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
9,RQ0gu5p6xOnrMFICMXqliQ,Nick S.,5.0 star rating,Great food in a tiny hidden place.  My wife had the mussells and finished the whole two pounds and loved it my steak was full of flavor and the aspall English cider was great (at least my mom and wife said so). Would come back to this hidden gem in s heartbeat!!!!!,Oscar’s Place,4.5 star rating,$$,"Modern, European,, Breakfast, &, Brunch,, British"
