,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,"Otto Strada is one of the better Italian restaurants in Hoboken. Unlike Cafe Michelina which has an old school style, Otto Strada has a modern twist - and pizza. Similar to the other Italian restaurants in the area, it's BYOB so bring a bottle of wine or two. We tried the burrata, two pastas and two pizzas. The smashed burrata is a must try. The pastas were notably better than the pizza, but the pizza wasn't bad either. All the entrees are pretty large so be prepared for leftovers unless you're sharing.",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
1,U_UvZKuqTV35_R_QaUsVPA,Christina G.,3.0 star rating,"wishing yelp had half stars, so i could give this spot a 3.5. there were a few highs and some lows. my friend i got there around 6pm on tuesday night, definitely the right time to visit, it was empty and we got a table immediately. the highs: -the menu, its has a ton of variety. the appetizer, pizza and pasta options were a plenty! the mains were standard and limited. -the food, super tasty. i definitely recommend you get the buccatini carbonara, so rich and decadent it was my favorite of the night. we also had the veal tortellini and spicy pizza which were tasty too and server reco's.-BYOB, obvious   -price, you get a ton of food for the moneythe lows:-they didnt have the AC turned on, my friend and i basically sat and sweated buckets throughout our entire meal. when its +80 degrees out with almost 100% humidity, do us all a favor and turn it on! -the nats... unsure if these came in from the open windows and doors, but there were nats everwhere. two even wound up in my full glass of red wine. hoping this was due to heat and not something going on in the kitchen...-the nutella brownie, there was no sign of nutella anywhere, it was dense, heavy, fudgelike and $11... definitely skipi plan to come back here again and try some more items off the menu, especially the pizza and pasta!",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
2,_VlZTpWafQCJNaLbG3vWmw,Jaime R.,3.0 star rating,"Very mixed feelings on this place for me...The good: cozy atmosphere, byob, great menu and delicious food.  I got the carbonara and the tortellini and it was delicious... pasta was fresh, sauce creamy... great flavors.  We also got the spicy pizza which was def spicy but also delicious...I give the food a 4The bad: it was a very warm day and they kept the door open making the temp uncomfortable.  We were surrounded by nats that kept flying in our face and 2 ended up in our full glasses of wine.  If there were so many nats at the table it made us wonder what's going on in the kitchen.  We got the Nutella brownie for dessert and we had such high hopes after a delicious dinner.  The brownie was gross! I love a fudgy brownie but this brownie was literally like a hunk of fudge with very very sweet icing.  Didn't taste the Nutella... not worth the calories or money. I would try this place again but skip dessert... and if the nats are still a problem I'll prob never go back.",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
3,_PeZgqt5NfKSbY4zYNJ2rQ,Melissa M.,4.0 star rating,"I had been dying to try Otto Strada ever since moving to Hoboken a few months ago, and I will definitely be returning!They definitely have a variety of dishes on their menu- I decided to go with a carbonara pasta and my friend ordered the bistecca alla pizzaiola (ribeye steak in red sauce). Although the steak was good, I feel that you really cannot go wrong with their pasta dishes. Coming from an Italian family that frequently makes homemade pasta, my standards are high. The buccatini alla carbonara passed the test. The pasta was cooked perfectly al dente and the pancetta added a great flavor to the cream sauce. I will definitely be ordering this again when I return! The portions were large so I had leftovers for the next day.For dessert, we tried the pear robiola pizza. It wasn't terrible, but was sort of bland. I wouldn't order it again, especially for $16.I went to Otto Strada in December, so I obviously sat inside, but I'd like to go back in the spring when I can enjoy the outdoor seating. The fact that they are BYOB is also great because it is not a cheap dinner.",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
4,jIPodfSJ77NvlE6ulLb1fQ,Lindsey R.,3.0 star rating,"3 stars for food and 1star for service. 45 min wait so it must be good right? Two minutes after sitting down the waiter accidentally spilled scampi sauce down my back. He was very apologetic and came right over with seltzer water. The restaurant is tiny and jammed packed. When our actual waiter came over he seemed annoyed with us and did not tell us the specials. We placed our order and he came back to tell us they were out of eggplant pizza.  Instead we tried the veggie pie, gluten free pasta and a bunch of appetizers. The waiter could not seem to figure out how to serve the food and was annoyed with us when we asked for napkins or larger plates. The restaurant was not wildly busy and we asked politely. He then came out with the pizza and pasta and it was it was not gluten free. After asking and waiting the bill finally came and not a thing was comped they didn't even offer a dessert. Tomato and mozz were very thick slices and not good for sharing. Next came the shrimp. $18 for 6 grilled shrimp seems a big much. Pizza was good but nothing great. Brussels sprouts, asparagus, cauliflower and zucchini. Our favorite was the grilled corn. Restaurant was very cute, nice outdoor seating, byob and seems to have a good menu. Hopefully the next diners have a better experience!",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
5,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,4.0 star rating,"Came here on a friday night and there was a little bit of a wait. The hostess was very accomodating and seemed like she had a good handle on things. She called us pretty quick and said they had a table ready.It is great that this is a byob. The waiter was attentive to all of our needs and even helped us with suggestions on what to have. I would suggest simplifying the menu. It is massive and has WAY too many options. We ordered the meatball appetizers and the cheese plate (3 cheeses for $12). The portions were massive. It was great. The meatball was flavorful and had a good texture. The sauce was tangy and delicious.We tried the parmesan, burrata and goat cheese and all were phenomenal. We probably shoulda ordered the appetizer with the different jams but that is our mistake.Finally we had the nutella pizza with strawberries and bananas. Crunchy and gooey this definitely hit the spot. Overall, otto strada hit the mark in both food and service. I will be back.",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
6,cXolg7bRI3Fgj6LJUYp26A,Amanda J.,5.0 star rating,"A very cozy warm restaurant with a small Italian home feel. A Hoboken staple. Food and service is always amazing and at a good price. Tucked away from Washington Street, this restaurant is a hidden gem perfect for a date or a night out with family/friends. The coolest thing on the menu, in my opinion, is the huge appetizer meatball. It's enormous and is sourced from Truglios, which is an old school butcher shop around the corner. Kudos for using local vendors and for being unique.  Also, we order pizza for takeout (this restaurant is on Seamless) atleast once a month. It's absolutely delicious! If you live in Hoboken, this BYOB won't let you down!",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
7,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,5.0 star rating,"This is a Hoboken staple - amazing authentic Italian food with HUGE portions. It's also BYOB and has outdoor seating, so it's the perfect spot to come drink/eat and relax with friends. We started out with the Meatball Appetizer - OMG. It was a huge one pound meatball with ricotta cheese on top. Seriously, it was amazing. We also got the Shrimp appetizer - I'd probably try something new next time, but it was very good. For entrees, we got the Eggplant Parm and it was delicious. BUT, the dessert was the absolute best thing we had. We got the Nutella Pizza - it was actually out of this world. Warning - it's HUGE, but SO good. We took more than half home, and are so excited to eat the leftovers again tonight. We will be back very soon!",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
8,4MnYTInVSp45tAImGKsN2A,Alessia I.,5.0 star rating,"Incredible authentic Italian cuisine. This small, romantic restaurant did everything right. Started with a special appetizer, smashed burrata. The burrata was perfectly creamy and fresh. Our entree's were cooked to perfection, big portions, and just delicious. The tiramisu is fabulous as well!",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
9,SNYBFXwnMZHTuqI1BvCe1g,Farha S.,5.0 star rating,"You can find me here every Sunday in food heaven - this is hands down the best modern Italian in the Hudson county area. They have an amazing brunch and dinner menu. Some of my favorites are the French toast, chicken Milanese, the assorted meat and cheese platter, grilled shrimp appetizer, and the truffle mushroom pasta. And if you like Nutella anything you know where to go. I'd give 6 stars if I could.",Otto Strada,3.5 star rating,$$,"Italian,, Pizza"
