,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Vavtd5JwMKYgxYz-X3Uyew,Huw P.,5.0 star rating,"My wife and I had lunch here, this is the real deal proper Japanese food, I have considerable knowledge of Japanese food having work for the Japanese Gov for 10 years. The service is perfect we had green tea that was piping hot and were offered more hot water as needed.The food is excellent my wife had a bento box with sashimi, I had a sashimi plate with an eel roll, the sashimi was perfectly cut and nice and chunky and at the right temperature most places serve it cold, the eel roll was equally good. My wife was very happy with her bento lots of different vegetables and the same sashimi, there was a slightly pickled fish I think it was Spanish mackerel that was awesome.Conclusion I walked up from Hoboken and will do so again, well worth the trip, go if you like very authentic Japanese food but if in doubt ask about strong tasting fish as I know it's not everyone's taste.",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
1,WDHu0VTxa006SB3loL17bg,philip w.,3.0 star rating,"Hi Shinaku, Thank you for your response. My order was on 3/22 with fastboy delivery service.I gave you another star for the good customer care.",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
2,MNkbAnFpHX4gqgluZMKraw,Derek C.,5.0 star rating,5 star quality food service. Location is small but that doesn't matter when the quality of food and service is there! We love this place and wouldn't think of getting ramen anywhere else!,Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
3,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,4.0 star rating,"As someone else said, this really is a hole in the wall. Very small place with limited seating. I found this spot via Yelp when searching for sushi nearby in Jersey City. I saw that they had Pokè bowls and I was sold!I tried the Tuna Poké bowl. It was really delicious, but I wish there was more tuna. It was on the pricier side but it was worth it. Service was pleasant and friendly. I'd come back again.",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
4,0MI1BlemQv2HoAl5ITW6QQ,Jeannette L.,5.0 star rating,"Tonight's dinner at Ozu was 5 Stars! So my hubby's been sick and stuck at home most of the week, so I decided to take him out to a nice dinner in The Heights. I chose Ozu because what he needed was a restorative, healthy meal to lift the spirit and engage the senses. And that's what we both got at this local Japanese spot on Hutton and Central.Our food was so good! It was fresh and flavorful. Here, the food is about quality of ingredients versus quantity. Nutritious and delicious, you feel physically better after eating the food here. We left happy and feeling good. We ordered a pot of green tea to begin. Then I got the Big Eye Tuna Poke Bowl and my dude got the Vegan Bento. My poke bowl tasted amazing; it's the best poke I've had. My guy loved the vegan bento and said he would order it again. He loved best the eggplant and tofu item on the menu that was included in the bento. We were lucky that no one else was dining in. There is only one two-person table and a ledge that fits about four people, I think? It appears to me that Ozu makes most of its sales from take-out/pick-up. A few regulars dropped by to place take out orders or called their orders in for pick-up. We could tell the customers were local regulars because of the conversations they had with the owners. The owners were very friendly. The female owners was super friendly to us. She was so nice and made the dining experience even better. We hope to come back again to try out the other menu items. I recommend you try Ozu, too!",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
5,dD-e4MWK3p5xUK9gcWpu9w,Emma P.,5.0 star rating,"Tiny (6 seat) Japanese BYOB restaurant right off Central Avenue. Came here for lunch and had a knockout meal. The server/owner was very sweet and super friendly and the food was very authentic and delicious. I had a sashimi bento box and it was outstanding - 8 pieces of sashimi served with three different vegetable preparations, pickled cucumber, and rice. The sashimi was excellent, very fresh, and everything was beautifully presented. It was a lot of food for $19.00 and the price included tea or a soda and I noticed a lot of regulars (always a good sign) coming in for take out food. I will certainly be back soon to try out more of the menu.",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
6,nMn2OLIVHoDRZK46dMzEtA,Stephanie G.,5.0 star rating,First timer. It was my first time trying Japanese  food (other then sushi) and it was really good. I walked in not knowing what to order but the lady at the counter helped me and she was really nice. I got the Bento with tuna and it was really good. I don't have anything to compare it too but it was good and I would go again if I'm ever in the area.,Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
7,x9-U0oayhhXmUsdeWl8mbA,I H.,4.0 star rating,Tiny place with fresh food..quite delicious..portions were a little small...not your run of the mill Japanese place...recommend this highly,Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
8,-ZjTqfH_FCa27cUCgycj0w,Hersh S.,5.0 star rating,"Hidden gem! Great quality, fresh and healthy options. I had the vegan bento box and the potato croquet, both were awesome and made fresh to order. You can tell quality products are used, and the chef takes pride in the food served. Will definitely be back, there's tons more to try!",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
9,-gkcx2A7T1xw8V9ST5T4gg,Louisa M.,5.0 star rating,"Really a mistake to have waited so long to come here.  Beef curry and ozu ramen are their 2 top sellers.  And with good reason.  The ozu ramen is special-the pork is so so flavorful and masterfully prepared.  Broth is so nicely balanced and isn't ridiculously salty.  Beef curry is quite simply delicious and obviously made from scratch.I imagine a spicy tuna roll is the kind of thing that restaurant owners kind of roll their eyes at having to include in their menus, but this spicy tuna is flavorful, delicate, and doesn't rely on the spicy mayo for its flavor.  And there's something about the rice that elevates it even further from your typical spicy tuna roll.Pretty clear this place is a Labor of love for the owners.  There's nothing fast or middle ground about this food.  They seem to do a large amount of take out and delivery but I can't imagine that the ramen is experienced any better than onsite.  Highly recommend eating there.  It's worth it.  Be warned the place is tiny.  But what it lacks in space it more than makes up for in hospitality and superior food quality & flavor. Definitely adding this to the regular rotation.",Ozu Foods,4.0 star rating,$$,"Japanese,, Sushi, Bars"
