,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,4lAQYtRnSB6qdinlNEwDcA,Lindsay M.,4.0 star rating,"BEST BAGEL SPOT IN HOBOKEN. Hands down. I've tried every bagel shop in the area and was consistently disappointed. I got sick at some places, had bad butter and bagels that were hard as a rock. I was losing hope on Hoboken bagels. Then, my roommates and I found O'Bagel...This is now our go to spot. From plain bagels, to breakfast sandwiches, everything is fresh and absolutely delicious. The interior is also very nice for a bagel shop! The only downside is the wait time. A huge line forms on the weekends and the inside gets very hot. However, I will say these bagels are absolutely worth it. Go enjoy!",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
1,12XHIOwaakyxChOA0V-i5w,Kristen W.,4.0 star rating,"Bring on the deliciousness!!! I LOVE CARBS as their t-shirts proudly proclaim!You are in for a treat if you come here for your bagels and bagel sandwiches! Upon moving to the NJ/NYC area I spent weeks searching high and low at well knowns and dives to find the signature staple - a great place for bagels. Finally I made it to O'Bagel bringing my exhaustive search to a finale - and what a finale it is!Not only do they offer a wonderful selection of hand rolled fresh, doughy, flavor packed bagels, but they have a huge creative and delicious selection of breakfast and lunch sandwiches. I highly recommend the 'ridge diablo' fully loaded with hash browns (they put right on the sandwich!). This classic little aisle deli style cafe has high tables on the left and don't be surprised by the line that forms to the right - it's worth the wait - and they hustle! You can even observe them boiling bagels in the back and enjoy your bagel under an umbrella on the sidewalk terrace in the summer months. Oh, and this  facebook.com/Thrillist/v…A+++",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
2,bxETIDvolTVZ9skxMbDGIg,Alex L.,4.0 star rating,"Incredible bagels and sandwiches! Came here on a Sunday morning and although there was a little bit of a line, at 10am it wasn't bad and it moved very quickly. After taking the order, I got my food within 5 minutes which was some impressive timing.I got the Diablo with the hash brown add on. The egg, bacon, hash brown and delightfully fresh made everything bagel made everything right with the world. The jalapenos were a nice touch too and I loved this spicy breakfast sammy.Being a lox fanatic, I splurged on their ""Lox and Loaded"" bagel too...at $11+, it's their most expensive sandwich, but they definitely do not skimp on the lox and it goes well with the cream cheese, capers; definitely delightful. I wouldn't be spending that kind of dough every day, but for a visit to NJ--it was delightful!",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
3,-xYUKfWQTaB-7BeizsQA3w,Robin G.,5.0 star rating,"Extra points for having my favorite Whole Wheat everything bagel! And EXTRA extra points for their awesome shirts which said 'I heart carbs' on the back of them! Cute *tiny* bagel shop on Washington Street in Hoboken - we were walking around after staying with friends and this place was right on our meanderings!! As you walk past the blacked-out bagel spot, you're faintly hit with the delicious smell of bagels mixed with breakfast meats.  Once you open the door, it's a whole different ball game.  The smells waft over you as you're transported to a bagel oasis.  YUM.The place is TINY tiny, and you have to make your way towards the line in the back, swimming upstream against the line of patrons waiting towards the front for their orders.  The bagels are all displayed behind clear plexiglass, so you can see what they have/they're out of.  Not that it's an actual decision though, because when they have whole wheat everything, you order whole wheat everything...There were 4 of us, we all ordered different sandwiches and paid - they had tons of different breakfast specials advertised on menus and digital screens above the cashier.  The wait was probably about 10 minutes, which seemed like a long time - but the place was bumpin' and you could tell the staff was working really hard!  The bagels were fluffy and chewy - the perfect balance.  YUMMY.  The whole wheat everything was great, slight subtle sweet hint from the whole wheat, and salty/garlicky/deliciousness from the everything seeds.",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
4,AsaRM39nFILKd1Tg6YI8Eg,Jacqueline A.,1.0 star rating,"I award you no points and may god have mercy on your soul. I placed an order through seamless at 9:57am on a Friday. At 11:00 the food still hadn't arrived (I am less than 2 miles away) so I called and the woman who answered assured me that it would be there shortly. The food finally arrived at 11:20 and was completely disgusting. Everything was cold, soggy, and the order wasn't correct at all. Whoever was responsible for constructing my bagel should be banned from the food service industry for this crime against carbohydrates. I will never be ordering from there or visiting the shop ever again and I'll make sure that no one from my office does either. Bad food and bad customer service.",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
5,u5bVXbXlYjbXlOef8pvA2Q,Stefan S.,4.0 star rating,"Awesome bagels!!! My favorite is the Ridge Diablo, recommended with the hash brown. Weekends the line can be pretty long but it goes pretty quick.",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
6,nkrt_GX66yznsvvSu5eC5w,Steve L.,1.0 star rating,Got sick after eating here - both me and my friend. Also price is $20 for two bagel sandwiches. Pretty ridiculous for what you get.,O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
7,XlH8oikQgvXILtHpn8H_ZQ,Sarah B.,3.0 star rating,"I like the different combinations they have with the bagel sandwiches. I ordered the Sinatra which was sausage, egg, arugula, and Tuscan cream cheese. It was tasty and well cooked. They cut my bagel very poorly in half which made it difficult to eat. I also felt it was pricey for the size. In comparison to other jersey bagel spots, the bagels were smaller than usual.",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
8,seiQSja721EZ4CTr8sKU-Q,Alexandra M.,4.0 star rating,"Being a New Yorker this place doesn't have the best bagels I've ever tasted (but prob the best in Hoboken), however it's always satisfying and has really interesting options.  These guys are creative and always trying to do something new (taco Fridays over the summer) and for that I give them credit!  It gets crowded on weekend days but the line moves relatively quickly and it's worth it.Only downside is every single time I've gone, they are out of cold brew...just make more plz.The staff is always energetic which is impressive considering they're working weekend morning shifts.  Keep it up!",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
9,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,4.0 star rating,"I've been here a few times and it's been good for every visit.  It meets all of my bagel shop standards: they don't screw up my order, there are usually salt bagels left by the time I arrive on a Saturday, and they remember the pepper and ketchup.  They also have a few different sandwich options you won't find anywhere else in Hoboken.",O’Bagel,3.5 star rating,$,"Breakfast, &, Brunch,, Bagels"
