,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,QiF8Yvx7nG4qfuBWW4AzvQ,Essie L.,4.0 star rating,"Kinda liked the place due to its inner design. It's a nice place for a business dinner, a formal date, or an anniversary celebration.Food is fine, I would say 3/5. But you came for the vibe right?",Perry St,4.0 star rating,$$$,"American, (New),, French"
1,t-5kIufm9gaBXqt3zETFaQ,Natasha B.,4.0 star rating,"Went on a lunch date this afternoon.Lets start with the place first extremely classy , ambience very elegant and stylish reminded me of our dining experience at Modern.Our server Henry was very friendly and helpful and ofcourse professional.We ordered from their spring pre fix menu.The green pea soup was amazing , I am a vegetarian so the chef made me a custom vegetarian entree which was really nice of him and it was great.My husband got the Sashimi and Chicken. He was raving about his food too.The molten chocolate cake was to die for.Overall and amazing experience will definitely recommend you can totally go for a special occasion or a casual dining even a business meet.",Perry St,4.0 star rating,$$$,"American, (New),, French"
2,3easRFhglY5n2Ea-mpV-sA,N K.,4.0 star rating,"Stopped by a few times for the prix-fixe brunch. Favourites include the tuna tartare, steak tartare, smashed tuna burger and the chocolate lava cake that is reminiscent of the chocolate dessert option at the crown jewel of the chain, Jean Georges.While the food was flavourful, some of the dishes ordered were lacklustre (e.g. rice bowl), and most recently, one fine Sunday afternoon, the service was somewhat clumsy and inattentive.Tip: Be sure to try their refreshing house-made soda (e.g. cherry-yuzu), which, once again, is remarkably similar to the one served at the mother ship, JG.",Perry St,4.0 star rating,$$$,"American, (New),, French"
3,WletekLWg5-djFAzBufpRA,Andy Y.,4.0 star rating,Came here for restaurant week! Great choice!Staff: Very professional and courteousInterior: Beautiful decor and lovely tables and dark ambience at night time. Corner seating is a bit far from table than I would have liked.Food:Salmon Sashimi & Tomato Soup: Very delicious app to start. The sashimi was a bit sweet but very good. The tomato soup was so good and might be the best I've ever had in a restaurant! Creamy and great texture to mix in with the bread.Pan Seared Black Sea Bass & Roasted Crescent Duck: I am not too into sea bass so that part was just okay not to my liking but the duck was tender and had great flavor!Molten Chocolate Cake & Caramel Apple Panna Cotta: The caramel was okay too damn sweet tho. The chocolate cake was so so good but pretty standard as well.Overall: Great date spot and of course pleasant restaurant week place to hit up!,Perry St,4.0 star rating,$$$,"American, (New),, French"
4,yRJq7vz6bF1Sc6kHdNzeeg,Dana H.,4.0 star rating,"Came here for dinner on a weekday night during restaurant week. We made a reservation on opentable and even on a Tuesday, it was necessary. The restaurant setting is crisp and nice, right next to the water on Hudson. Service was attentive like I would expect from a Jean Georges restaurant; however, timing was initially a bit off. I ordered a cocktail and my friend ordered a glass of wine, and both came out after we had finished our bread, amuse bouche, and appetizer. It was like the initial start of our meal was too rushed, and they wanted our table. But after the entree, timing was okay. In terms of food quality, very delicious. We started with a complimentary taste of potato soup with black truffle - so insanely amazing! :) bread and butter was very average, not served warm. For my first course, I chose the salmon sashimi and my friend got the tomato soup. She enjoyed her soup, and I really liked my sashimi. Great portion size and very fresh. For our mains, we both got the delicious duck that included breast and confit. Served with bok choy. Finally for dessert, we both chose the chocolate molten cake with caramel ice cream. Tasty for sure but not particularly unique. Overall for $42+ drink, tax, & tip definitely worth it. Non-restaurant week, I don't know if I'd necessarily come back. Not because I was disappointed in my experience, but I've just been wow-ed more in the past for similar pricing of what the regular menu is. Nevertheless, definitely enjoyed Perry St and worth a try!",Perry St,4.0 star rating,$$$,"American, (New),, French"
5,qSxr0YHJd1uDysV4mlaZHg,Elisa H.,5.0 star rating,"Came here for restaurant week. The tuna tartare was amazing. JG and partner know their fish. Only tartare I've had better than this was at Jean-George's Topping Rose, which could only be described as A-fcking-mazing. The flat iron steak had a perfect crust, salt and mini butter roasted Brussels with chimichurri and avocado crema. Last, but certainly not least, we almost licked our dessert plates clean of the molten chocolate cake with salted caramel ice cream and banana cake with brulee'd bananas and passion fruit sorbet. Everything was portioned superbly and so delectable, it only lead you to wanting more. Frankly, I would've paid the prix fixe price for any one of the 3 courses if it were enough to fill me up. Service is impeccable as were the bedside manner and spotless latrine. Located across the Westside Highway, it's a welcomed semi-getaway from the hubbub of the crazy city. The Best restaurant week experience by far.",Perry St,4.0 star rating,$$$,"American, (New),, French"
6,sumQvjwkmWMtFKLI3vUKqQ,Stella T.,5.0 star rating,Bravo! Had a lovely dinner here for restaurant week. Everything was perfect! From the proper yet friendly staff to the dim yet comfortable lighting & all throughout our meal. I don't have a single negative thing to say about my experience here. Thank you Perry st for a lovely dinner experience.,Perry St,4.0 star rating,$$$,"American, (New),, French"
7,S96Bcka69OtqkVw80tPKtA,Judy L.,4.0 star rating,"Chic modern but also casual eatery on the edge of manhattan next to west side hwy, this spot is perfect for brunch or any gathering. We ordered duck croque madame, eggs Benedict and ahi tuna burger, and hands down croque madame is a win! Flavorful duck with melted cheese and sunny side up egg, was just Devine, one of the best croque madam version we've tried. Chairs are all so comfy, no hard wood here. Servers were very professional and presentation was good as well. Price range for brunch plate around $20 per plate.",Perry St,4.0 star rating,$$$,"American, (New),, French"
8,-taFOcPzZHdDKiAGIyQoCQ,Juliya G.,4.0 star rating,"We came here for brunch, and the food was delicious! I had the Eggs Benedict with the Flying Pig Farm Ham (brownie points for using local meats!). This was the best Eggs Benedict I've ever had! The hollandaise sauce was light and did not overpower the dish. Eggs Benedict can easily become a heavy dish, but they somehow found a balance so I had room for second and third courses. We then split a side of the pancakes. There were three of us and three pancakes. It was meant to be. Very fluffy and flavorful, even after we let it sit on the table while we ate our first course. Finally we devoured the carrot cake. The cake itself was a bit dry but the coconut ice cream and icing helped even it out. Beautiful presentation with this dessert. I had the red juice to drink. It was very pleasant and not too sweet.Why not five stars? The service was slow despite it being relatively empty. Also, we weren't offered new plates for the pancakes, and they forgot to bring us the complementary bread. I also wish the restaurant had some colorful decor. The food was so beautiful, yet the venue itself was drained of color and very dim.",Perry St,4.0 star rating,$$$,"American, (New),, French"
9,vyUPdrNA-nGXBujziEjE0g,Sergio G.,5.0 star rating,"One of the best brunches I've had here in the city. We've started off with the Whiskey Buck, a drink recommendation from the bartender, who was very courteous and knowledgeable. Then the plates start coming one after the other: Rice Cracker Crusted Tuna - a must have, Eggs Benedict with Chili Hollandaise & Smoked Salmon - eggs perfectly pouched and the salmon melts in your mouth, and then treated to a glass of Sancerre white, then ended the experience with Perry St.'s take on the carrot cake and also given an opportunity to taste their landmark molten chocolate cake. Also the assorted baked goods were a treat",Perry St,4.0 star rating,$$$,"American, (New),, French"
