,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,GbrnHTTjozErjmp13i2HBw,Jenny S.,5.0 star rating,"My go to for trying out new pho places is getting the summer rolls, pho, and the banh mi. Was I drinking the night before? Perhaps. Take this review as someone who may have been looking for some sweet sweet broth to regain that brain strength. Pho with meatballs meets my criteria of decent pho at a decent price. It's not super memorable but this place is great for an emergency pho meal. The summer roll with shrimp is also delicious where the shrimp and veggies tastes super fresh. I love leaving the best for last so on to the banh mi: outstanding. The baguette along with the flavors from the sauce they use really is what makes a banh mi. I wish I can replace every sandwich place with banh mi. Like I said, my review may be skewed by my state of mind but just go in if you are craving some awesome banh mi and quick service.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
1,JZYr09X0fGp5bcnXR7A3Ng,Eric B.,3.0 star rating,"Not great. Not bad.  Just okay.Spring rolls are spot on, only to be improved by an amazing dipping sauce.Pho is okay -nothing to write home about.  A bit light and under-seasoned, which suggests the broth may be watered down and/or needs additional bone and spice simmering.Bánh mìs taste great, but suffer from a light hand.  They contain, literally, 3 slices of whatever meat you've ordered in each.  Nothing sucks more than leaving a restaurant still hungry.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
2,WWS8ABkpBclbLyO3fenCgw,Jennifer L.,3.0 star rating,"If you are looking for something to barely hit the spot for a pho craving, I would go here. The pho wasn't anything to write home about. The brother was very light and almost tasted watered down. The noodle or meat ration was extremely off (heavily favoring noodles), so be prepared to ask for extra pieces of meat just to balance out your bowl. I did try a pork bahn mi, which was actually very good. They give you A LOT of meat and the veggies were also very good. I would only come here for the bahn mi.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
3,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"Pho Nomenon is not the best Vietnamese food you'll ever have in the NYC/NJ area. I wasn't expecting it to be. What I was expecting was my go to for a hangover cure - a steaming hot bowl of pho, and it did the trick. The broth could have been hotter but overall, I was pretty happy with my decision to try this place out. My boyfriend and I came around 3 pm on a Saturday and there weren't many people dining - probably because it was a weird hour, and it was also the Saturday before Halloween so people were probably busy prepping for their parties that night. We also tried the banh mi, which was okay. Like I mentioned, it's not the best Viet food but it is the only option in Hoboken so I'll definitely hit up this spot next time the craving for Vietnamese (or next time a hangover) hits.Tip - don't sit outside. Service is very limited.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
4,njzZIvecryBJKAT6mFBW8Q,Yao H.,5.0 star rating,"Had a quick lunch here before got on the bus. It was a clean and tiny pho restaurant, and my friends and I both chose the pho that included all toppings, which were raw and well cooked beef and brisket. It was served with fresh green sprouts and lime. The pho tasted delicious, and the service was good and quick.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
5,XlH8oikQgvXILtHpn8H_ZQ,Sarah B.,3.0 star rating,"I love Vietnamese food and have traveled to Vietnam several times. This pho place was pretty good in flavor compared to other pho places I've tried. However, they didn't provide condiments that are usually offered with meals. The spring rolls, which were pretty pricey at 6.95 for 4 rolls, didn't come with cilantro. The pho also didn't come with jalapeños. I also felt they could've filled the bowl up with more broth. I appreciate places that fill the bowl as full as they can. Overall though, the flavor was pretty good.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
6,dv1N3Ze007TmU4wREzNz9A,Esmeralda C.,4.0 star rating,"Visited this noodle spot a few times and while the colder days seem behind us, on chilly days their vegetarian pho soup hit the spot.  Always had a table available on the various times I've frequented.  The staff is young and swift, ready to take your order, or suggest items if you're unsure of what to try.I could tell it was a good pho spot because of the clientele, almost everyone was a pho lover and you can see in the way they devoured their meals, that this was it.  It is hard to find a good pho place outside of NYC, yet this one isn't too far from my place and I was happy when I found it.I've taken several friends and they all love it.  Always getting one of their pho options, and of course tried a few of their appetizers which are spot on.Look forward to trying something cooler during the summer months, when I'm in the area.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
7,sdkWib964Wug9eWWQb6byg,Jeff D.,5.0 star rating,"This place has been a favorite of ours since it opened.  The lunch sandwiches are amazing, particularly the sliced beef.  We've always loved the ramen.  Every once in awhile I break away and try something new and am never disappointed.  This time it was the BBQ special with beef.  A simple dish, perfectly done.  Keep up the pho-nominal work!",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
8,bzE5eXGE3poJ5K4lb-RIFw,Catharine C.,1.0 star rating,"Horrible horrible experience tonight with the staff, manager and delivery. Still waiting almost 2 hours for a delivery. They indicated only one driver on but neglected to share that when ordering. When calling to check on order I was put on hold numerous times, and their only solution was that I can cancel my order (now close to two hours later). Manager ends up getting on phone and states they will give a discount next time I order as her solution and then hangs up on me. That ""next time I order"" will never happen.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
9,rfgZzsr5ht39ybhyFnvndg,Irene L.,1.0 star rating,"THE WORST Pho I've ever (had) seen. Just picked up an order of soup to go. 1) I should've checked the bag (specifically asked an employee if there were chopsticks in there. No chopsticks, no spoon(!!) 2) 1/3 of the broth is FAT. See for yourself. 3) It has 3(!!) thin slices of eye round, and 2 EXTRA FAT SLABS. INEDIBLE (quite literally, since there's no spoon). Thanks People.",Pho Nomenon Noodle & Grill,3.0 star rating,$,"Vietnamese,, Noodles"
