,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,T9xLOjbWITOK0DiEdCOyTw,Laura E.,5.0 star rating,"Every time I can't make it on a Tuesday, I get major FOMO because that 50% deal is too good!!! I've had the kielbasa, the grilled chicken sausage and the bratwurst from the grill, which were all delicious and came with a heaping side of french fries and sauerkraut ($12, normally). After ordering, you wait around 10-20 minutes, depending on how crowded it is, and then pay at the register. The utensils are on the side of the grill, as well as the sauce pumps and napkins.Recently we came and ordered some of the entree dishes from the kitchen. The schnitzel ($19), a pork cutlet, came with a side of parsley potatoes, pickled cucumbers and lingonberry sauce - the portion was so large we needed to take it home. The side of french fries ($4) were huge and fed the four of us like an appetizer. Now the show stopper- you need to get the Bavarian Soft Pretzel ($11). It's not like your NYC pushcart pretzel, this is the real deal. It comes out incredibly soft and warm, and tastes absolutely delicious dipped in the grainy mustard and the cheese. Honestly, I could just eat 3 of these for dinner and live a happy life. As for the beer, the menu is extensive, and a little overwhelming. I've tried the Stiegel, Pilsner Original and Oktoberfest and all paired well with the meat. I also tried my friend's grapefruit canned cider, which was light and fruity. The bathrooms are clean, and seating gets really tight at around 6, do come early. The line for the grill gets lengthy real fast, and ordering entrees from the kitchen is just as good. There's outdoor seating which is pleasant during the warmer months, and is super aesthetic.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
1,sohhYrRIMJnQC42drcPmMw,Kiki K.,4.0 star rating,"This is a great biergarten. First, they have a good selection of beers (bottle and tap). Second, they have a lot of space... outdoor, indoor and even a second floor. Third, they have food, lots of grilled meats and sausage, but I've only had the pretzel... and it's perfection.  Fresh baked and warm with a crisp exterior that snaps when you break off a piece. It's salty but not overly coated in salt granules (that you end up rubbing off anyway). The interior is fully cooked and fluffy, not doughy. It's large and filling but doesn't leave a lump in your tummy like some heavier pretzel. Simply delicious. Fourth, they have events, drink specials, and guest djs. It's a cool place to go with a group of friends anytime of year, day or night. Swing by for a cold brew and a good time.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
2,Uoa5vniFBvUk19fqfY4JKA,Mike C.,2.0 star rating,"It's a pretty unique atmosphere in Hoboken, but please understand that even on Tuesdays, when everything is half-priced, the cheapest pint you will still find is $5. I'm pretty sure that means that most other nights the cheapest pint you will buy is $10 which, as much as I love the atmosphere, is a little bit too steep for Hoboken.Servers are very nice.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
3,oZ8fNMUQ-XmN9XEsSccCiw,Brian N.,1.0 star rating,"So I would love to properly review this place but I cant. I am hungry and have tried to call them ten times but only get a convoluted phone answering system that will absolutely NOT allow me to talk to a human being. I have a simple question, ""how late do you serve food?"" I am hungry and have had a long travel day and would like to have a few beers and a soft pretzel, but I will not make the trek to Hoboken without confirming whether or not I will still be able to order food. Alas this seems impossible to confirm.I HATE when places do this crap! Answer your damn phone! I am willing to come and spend my hard earned money at your establishment provided I get the answer one simple damn question. These impersonal phone systems are horse hockey. I would love an answer from management explaining why they think it acceptable to not allow a consumer to be able to pose a question before patronizing. Ridiculous!",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
4,37HCULJd5s4JmNG9d0B1EA,Aditya K.,1.0 star rating,Amer from the staff. The nicest guy in the staff accommodated our large beer. The WORST Dj. MANAGEMENT NEEDS TO NOTE THIS. The volume levels is beyond bearable.,Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
5,Kt-C9RoWBNN0qW45GDuspg,Jordana S.,4.0 star rating,"This is in a part of Hoboken that's off the beaten path, in the warehouse area. What a cool spot. Comfortable and spacious beer garden with plenty of seating. Cute beerhouse decor with long wooden benches. The extensive beer menu is very tasty. Great for big groups.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
6,2Xf8YyKoGsb0x_P5YxORyA,Natty C.,5.0 star rating,I really liked this location. There is also a Biergarten in Jersey City but I prefer the Hoboken location. They have huge pint size beer and great German food specialities. I went with the Bavarian pretzel and it came with a spicy mustard and spicy cheese dip. Delicious! Also loved the potato pancakes with sour cream and apple sauce.They have live music and outdoor seating. Definitely a fun night out and different vibe from other Hoboken bars. Good for big groups too!,Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
7,aK0qo1Sf_hHWl8th6ksxmQ,Nicole C.,5.0 star rating,"One of my favorite places in Hoboken! This is an ideal place to meet up with a group of friends because the space is large and loud and caters to crowds. It's also family friendly and you will certainly see many strollers parked at the ends of the large wood picnic tables. I never come here without getting a turkey burger with Greer cheese. It's heavenly and their French fries are ridiculously yummy. You MUST get be pretzel with the cheese dipping sauce. I would suggest you split it so that you have room for the turkey burger I just convinced you to order. I am not a beer snob but the staff is always super helpful when helping me select something similar to what I normally drink (shout out to my fellow lager lovers.)The outdoor space is large and has a projection screen setup for good games. Even when it gets colder, they have heat lamps so you don't freeze. Definitely check this place out. Parking is way easier uptown by the beer garden FYI.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
8,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,5.0 star rating,"Spacious with an outdoor area, variety of beers/ciders and amazing grill menu items. The grill is cash only and worth a taste, but don't forget to get a pretzel. On Tuesdays, select beer and food items are half off when paying with cash. This location is upkept significantly more than the Jersey City Biergarten. The worst thing about Pilsner is trying to get the wait staff attention if you're at a table.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
9,-7v2412d8cmO3Tle_JQcZQ,Lizzie L.,5.0 star rating,"If you are looking for a kid friendly place this is your spot! We came here with 2 newborns and observed babies and kids of all ages come and go throughout the day.  The service is attentive and friendly, and the beer selection is superb. Be sure to order a giant pretzel  and remember some cash as the meat station does not take credit.",Pilsener Haus & Biergarten,4.0 star rating,$$,"German,, Pubs"
