,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,lt-sk1tzF3Ch53-lKmMz1A,Edward T.,5.0 star rating,"I'm working now in Hoboken, and, although my families, both genetic and non-genetic (I'm adopted), for the most part originated in Jersey City and Hoboken, I'm not really familiar with either area (even though I grew up primarily in the Passaic County area of north Jersey). Consequently, when ordering food at work, I'm dependent on those co-workers who live in the general vicinity to suggest where the best places are to eat. One co-worker, of Peruvian descent, suggested Pio Pio and I was game. I've only eaten there a few times, and its invariably take out...I've never actually been in the restaurant...but I've become a big fan. And I do mean a big fan.When my co-worker asks where I'd like to order from, more often than not now, I'll reply, ""Pio Pio?"" Another co-worker, of Cuban descent, always laughs uproariously at that. Not entirely sure why--- my Irish-German-raised-as-a-WASP-in-north-Jersey accent? Maybe. But this ""gringo"" has come to love this restaurant, and if some good-natured mockery is what I have to go through to eat there, then so be it! The chicken soup is delicious-- crammed full of noodles, chicken and vegetables (including a section of corn on the cob with the cob included). Each day of the week has several specialties listed that you can order--- my particular favorite is Monday's ""Picadillo Crillo"" (ground beef in creole sauce). Every time I order this, my Cuban co-worker again laughs unroariously, and then corrects my mangling of the words. I usually get a side of rice with it, mix the Picadillo Crillo in, and chow down (last night I ordered it with a side of plantains rather than the black beans that I usually get with the rice-- every dish comes with 2 sides). I've had the yellow rice with chicken, but I especially love the Pot Roast with sauce. I haven't had pot roast since my mother made it for me as a child, but this recalls it vividly. Thankfully, nobody laughed when I ordered it. But it was....I know the word ""Amazing"" get thrown around a lot on Yelp, but this time the word is truly merited. The dish was, and is, amazing. Simple, perhaps, but amazing.What really stands out about this restaurant, beyond the quality of the food, is how much of it you get for so little money.  The pot roast, for example, cost only $8.50. And the quantity of meat, tender and flavorful, is prodigious. Perhaps I've eaten this much great food for so little money elsewhere in my life, but I can't remember where, or when. At some point, I suppose I'll have to actually sit down in the restaurant and order a meal. But I love this place; take-out, sit-down, or whatever. Really. Good, hearty food for very little money. I can't recommend it enough.",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
1,gN7mRkTp687IACDs-3Nu_w,Victor R.,4.0 star rating,"Pio Pio is that local restaurant that even if it's your last resort for food, your satisfied. The portions that provided compared to the price of your food is insane. I can get an entire meal for $8 and still have enough food left over for lunch the next day. The food taste pretty good and the staff are quite friendly. Only negative, I would stay away from the seafood options, the salmon mainly. Just doesn't quite satisfy my taste buds. Enjoy Yelpers!",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
2,xtFtEUke7lCV3FE9M6tC8w,Sam S.,5.0 star rating,Great food and extremely cheap. One of those place ''s that is classic heights cuisine and classic heights prices,Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
3,v1FNTbX1UruF9Vs6rchy3A,Katherine G.,5.0 star rating,"Have been coming here for years with my boyfriend, and he always comes with his dad. I drove by this place for many years without knowing what a gem it is. The food quality and portion size is amazing compared to the competition on Central Ave. They have something for everyone and have rarely been disappointed. I recommend this place to ANYONE looking to sit down and have a good filling meal with a friend or loved one. The atmosphere is cozy, they almost always have a soccer game on but even better is that the staff is SO FRIENDLY. 5 stars if not 6. Well deserved.",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
4,ohaKZ_3CH30qbvkBahrfGw,Rene R.,5.0 star rating,"Would you like to be stuffed beyond belief for under 20 bucks? This place has you covered. The churrasco steak is great and inexpensive. The rice was a little mushy, but who cares? The sides are tasty and you have so many choices. The home made chimichurri sauce is amazing so ask for it on the side!",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
5,giwbTDRvjV6xqeYRO_66Vg,Toriah B.,5.0 star rating,"I have been here a ton of times and I LOVE it! The shakes, juices and Cafe con leche are all amazing and so cheap. The always make me feel welcome and remember my favorite orders. Any meal you get here is tasty and oversized. I once turned a lunch portion of pork stew into 3 separate meals and dinner for a friend after adding a few fresh vegetables.",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
6,g9YK4I9S-8IVxOzzfiTyEA,Gracie J.,2.0 star rating,"We ordered take out from Pio Pio based on the raving reviews, but found ourselves completely confused. Reviews said.. ""great value""Our actual experience: Two dinner entrees for $30, not including tax and tip. The portions were not that big. My chicken entrée, for example, filled up maybe half the aluminum take out container.Reviews said... ""great cuisine""Our actual experience: Chicken was overcooked (too dry) and the entire entrée consists mostly of tomato sauce. My hubby's dish (steak) was overly well-done leading to a tough, dry, and chewy consistency. The vegetable sides were average - same quality you would get from a Boston Market.Side salad is an unmemorable iceberg lettuce salad with some beets and onions.Dessert... tres leche was, like the entrees, really dry - not up to par with others we have had in nearby Essex County.Maybe it was an off night?  Maybe their regular chef wasn't in? Trying to think of reasons why we would have such a disappointing experience here.",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
7,oHpsDuLx1Y1FmCdMZaL28g,Frankie M.,5.0 star rating,"When it comes to Spanish good, this is my favorite in jersey city.  I have tried a few other well known places such as rumba.  But Pio Pio takes the award for best Spanish food in jersey city in my mind.  I ordered the roasted chicken white rice and black beans for lunch.  The chicken was so moist and the beans were so flavorful.  Definitely freshly cooked that day.  And u get a lot of food for ur buck.  I spent 5.50 and had lunch and finished the rest for dinner.  The have a lot of food. The search is over for spanish food. Go here hands down!!!",Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
8,sdUOQXf0pPKmSL1x2zObzQ,Can M.,2.0 star rating,Inedible. Chicken was gray in color on the outside and pink on the inside. Maduros (sweet plantains) were dry and hard. The yellow rice was good. First and last visit for me. And what a pity because I live next door.,Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
9,orh66d7hD95Jo9LSsS6PmA,Jay M.,5.0 star rating,Visiting from Cali and found this place on yelp! Best place in the area. So much food for very reasonable price!,Pio Pio Restaurant,4.0 star rating,$,"Spanish,, Latin, American,, Cuban"
