,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,ex5VXPckxoEdQf1yEs3uhA,Sandeep R.,5.0 star rating,"Prime Food Market has been a ""god-send"" for me. Back in the day [2013], the food here was very very [very] questionable. It would be cooked in the morning and be served till late in the night. Fortunately, the guys who owned this place had a change of mind-set [for the better] and bought in a new cook who now prepares everything after it's ordered. Amongst the things that I've loved the most [to the freakish extent that I've ended up ordering multiple times a week] are the Bombay Sandwich, Paneer Mutter, Paneer Tikka Masala, Vada Paav. [Frankly, the list is much bigger than that]The grocery prices are slightly more than what you'd get at your normal retail store such as ""Shoprite"" / ""Target"" but given the location of this place, you wouldn't mind shelling a few extra bucks vs having to walk a mile or so.",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
1,B7ByHtBLZHr7by9qN5iQcw,Nivi R.,5.0 star rating,"Friends who live in JC suggested that we pick up food from here in our way home. The place looked a little dingy as we entered and I had very low expectations. We got paneer masala, dal fry and rotis. The food was the bomb!! So glad I don't live in JC anymore, else I'd never cook.",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
2,Mc6fHQBWnH9p4WqDh-bXdQ,Alex M.,4.0 star rating,"Stopped by here very quick. Seemed about average, prices were decent.",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
3,xpljr5wThdhMyyagMgUF2w,Robert Wren G.,4.0 star rating,"Four stars for cleanliness, otherwise three.  It's true, the cashiers are never in a terribly wonderful mood but you might get a smile if you frequent the place.Very good variety and size for a corner convenience store.  The prices are high, especially compared to Shop Rite down the road.  Then again you and usually come in and out of here, no lines, items are easy to find, and, again, the place is VERY clean.  As my father would say, you get what you pay for.On a side note, I like the Indian soft drinks in the cooler on the western wall as well as the mango juice on the racks facing said cooler.  Very good Haagen Dazs selection, they always have the dulce de leche variety, unlike Shop Rite.  They also carry artisanal/organic ice creams as well as gelatos.  And it's nice that they make mango lassi in house.If I could make once suggestion it would be to lower the credit/debit card minimum from $10 to $5.",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
4,I7Uaoqe3LtQ5A_Bz1rzZoQ,Vanessa Y.,4.0 star rating,"Have been here a few times, they have a lot of your basic veggies at prices cheaper than most chain supermarkets. If they sold meat too then I would do all of my grocery shopping here.",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
5,VZo2saBbBGRDI3QVwlpVcA,Kathrine L.,5.0 star rating,Delicious and affordable Indian food. Great portions (1 entree is enough for two people) and they also give onions & lemon on the side. I do not order Indian food from anywhere else besides Taste of India in the mall. They are also good at remembering their regular customers.,Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
6,k0ZL5-njTrGf8c8GOg-TPA,Stefano T.,2.0 star rating,"Overpriced, I get its a convenience store but the prices of the items are shocking. Also their customer service leaves a lot to be desired, I've just been in and the guy behind the counter left me standing there for a while whilst he finished whatever he was doing on his phone, never looked up at me, never spoke....not even when I gave him the money. I had to get the price from the register....really?!Try being welcoming to your customers!",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
7,GSqFiozgjDRsMVmZf_YxXQ,Tina T.,5.0 star rating,"Don't be fooled by the outside! They have amazing Indian food you an order, and it was a good friend who is Indian, who told me it's pretty close to home cooking, It's better than any place I've eaten in Manhattan and I lived there for 15 years.Must order!",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
8,F8Egvjm-isQALf__0Kr34A,Archena A.,4.0 star rating,Great convenient location for Indian groceries- the little food bar is pretty good too. Cost is a little higher than journal square- but you pay for the convenience.,Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
9,PIqzl5KsP-hKEs6FSLsMlA,Lokesh S.,5.0 star rating,"Nice and clean store, and their kitchen is awesome. They got best Samosa's in USA, and their food is also good (I tried only vegetarian).",Prime Food Market,4.0 star rating,$$,"Grocery,, Convenience, Stores,, Indian"
