,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,E4LmQduJ0f9mqgrLrfav3A,M C.,5.0 star rating,Love this place. The portions are HUGE and oh so tasty. We love bringing people in sharing with them this little gem.,Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
1,0WzT84TJm-3uPMO3OKYS8g,Sasha G.,2.0 star rating,Ordered a pie from here and it was gross. It was doughy as hell. Maybe buying per slice is better? Next time I'll stick with Marco's.,Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
2,cDwIyagCfuGLIT791Smd6Q,Gerry N.,4.0 star rating,"Nice old school Italian bakery with a pizza oven in the back. Prices very reasonable, which is uncommon in Jersey City. I will definitely come back.",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
3,nkiWjx4BGsJ12eBbfhfxbg,Mariam B.,5.0 star rating,"Hands down the best pizza in Jersey City. I've tried several pizzerias in the area, but no one gets it right like Rizzo's. I really do believe that because they are also an Italian bakery their pizza has such a unique taste to it. First of all, you can tell from the crust that the dough has been prepared well- when you bite into it you taste a very nice doughy/matured yeast flavor that I've never tasted before. Their crust is not soggy and over dripping with grease so the slice holds itself well. Whatever it is that they are doing, I recommend that they continue doing it!",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
4,sqIbNpzBlq3gU84ty3xXhg,Thomas N.,4.0 star rating,"Pretty good slices for $2. Even though the slices are big, they pretty much just stretch out all of the ingredients. It looks big, but in reality it's the same amount of ingredients used on your average slice. The ingredients they use are pretty good but it would take like 4 slices for me to get full.",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
5,49s14eg34Pxg3qy3RpF4WA,Felix R.,5.0 star rating,"Solid place, old style place, fresh cookies, giant pizza slice for $2.00. Got a pound of biscotti, great to dip in a hot tea...",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
6,_3KlXVIhrKd-LNFZ1dnc7g,Shane B.,1.0 star rating,Was in to get some pizza and I saw a cat walking around the back. The employees seemingly did nothing making me assume it's a pet.,Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
7,uxctMs2Tu_po8ICKka2gwg,David H.,1.0 star rating,"Is this place ever open? I called over two consecutive days and no one answers the phone! Done trying with this place! The House cheese pizza is reasonably priced, but the price jacks up the moment you add a topping! One stopping is half the cost of another pizza. The pizza isn't that good...",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
8,Fe_8z90Itsvk4_eKeDZmww,Isis N.,4.0 star rating,"Probably the best pizza I've had a long time! Excellent crust, with flavorful sauce and delicious cheese. I'm rarely in this area so while out here on a small trip I decided to order out and chose rizzos after hearing from the locals how delicious there pizza was. The only thing I'd like to mention is that the chicken- lacked seasoning and flavor. Just overall plain.",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
9,GIm65ERUIDDLVZq-XlSukw,Katherine A.,5.0 star rating,"You don't know Italian food if you give this place less than 5 stars!!! I've been coming here my entire life. Best lunch, best Italian food, best pizza in jersey city. Food is always fresh. Love the rizzo family.",Rizzo Bakery,4.5 star rating,$,"Bakeries,, Italian"
