,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,_RNxlWibIPDZcnDGwh7ReA,Lisvette V.,5.0 star rating,"Their tiramisu is the main reason for this 5 star review. Made in house-- it's layers are simplistic but well put. The perfect consistency of espresso soaked wafers topped with whipped mascarpone cheese with a dusting of cocoa powder truly is roller coaster for your tastebuds. Must go uptown and get some now They offer breakfast sandwiches on fresh brioche, bagels, croissants and Italian bread. Lunch options aren't limited to sandwiches they do everything from pasta to rice and meat to paninis and wraps/hero's... $15 delivery minimum  They're one of the only good ""Delis"" in town that's open past 6",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
1,qjcDpfzoX_iyBbvKcZHr-Q,Sophia Y.,2.0 star rating,Maybe this place was hyped up too much for me but I was not impressed at all with our takeout on Sunday. I tried really hard to like it but I just couldn't.Ordered the brisket meal with two sides and I regretted it the minute I opened up my container of brisket. It was FULL of fat instead of actual meat--there was barely any meat actually. I also got the rice balls because everyone talks about them and both of my rice balls were black and completely burnt. They added the meatballs burnt side down and covered it in sauce... how convenient.  Partner got a burger (which wasn't all that bad) and got talked into ordering fries (not good to go). The tiramisu was also lacking in flavor and just tasted like a container of whipped cream.The only thing memorable thing at Gigi's was the marinara sauce that the rice balls came in. Their menu is SO extensive that it may be worth giving this place another shot but be warned...,Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
2,5aZX8bTiD0k9vR60SG588Q,Alison C.,4.0 star rating,"When my friend asked me about where we could order breakfast delivery from, I was at a loss, since it was rarely something that I did.  However, an image of Rosticeria Da Gigi appeared in my mind, and knowing that the adorable café was only a few blocks away, I knew it was the perfect option.  I called the restaurant directly and placed our order, which was delivered in about 20 minutes.  We had requested one black coffee and one with milk and sugar, both of which were delivered exactly as desired.  Plus, the coffee was a flavorful, balanced medium roast that was extremely enjoyable.  My friend loved his ham, egg, and cheese sandwich, which was not surprising, since it looked gooey and delicious.  My Egg White ""Gigi"" Omelet was thick and fluffy, making it more like a frittata.  I had left out the typically included onions, but accepted the other vegetables on offer: peppers, zucchini, mushroom, and tomato.  The vegetables were cooked, yet maintained their texture; even the mushrooms were not overly mushy.  The omelet was served with a substantial portion of delicious home fried potatoes that had been sautéed with peppers and onions.  My breakfast platter was so delicious that I could not stop attacking it.  However, I would just make sure to request a few lighter alternatives next time, such as less oil and whole grain toast without butter, since I had not been aware that I was receiving white, buttered toast by default.  Overall, Rosticeria Da Gigi was an ideal solution to our breakfast hunger.",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
3,fbhRFckDkMOCZFSxpOM4xA,Kimberly M.,1.0 star rating,"Not really feeling it.  I struggle with these spots on Washington who think they can charge over $10 for a bad panini.  If you're a legit Italian deli, I'll pay for a great sandwich (but you know that overcharge doesn't happen, when you're already a legit Italian deli).Anyway, I ordered the lunch special panini with grilled chicken.  Bread was ter-ri-ble.  Probably the worst bread I've ever had in Hoboken.  Just soaked with butter or oil, some kind of seasoning that did not belong, and not fresh.  The chicken looked and tasted like rubber.  The mutz, also not fresh, ew.  Here are 3 basic sandwich ingredients off the mark, total cost $11.42.  There are many other lunch options in the immediate area.",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
4,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,4.0 star rating,"Rosticeria da Gigi is a small little deli/sandwich place on Washington Street. But don't let this fool you. Walking by, you wouldn't think much of it. It might be small on the outside and on the inside, but the flavor of their food is anything but small. I ordered the prosciutto and fontina panini. The prosciutto was a little chewy for my liking but it was the focaccia that it was served on, that was the real winner here. It was fresh, and perfectly toasted. I had a bite of my BF's cousin's sammie, which was chicken and sun-dried tomatoes on the focaccia, and I instantly regretted not ordering that one instead. He ordered the chicken parm dinner, which came with a side of pasta. Everything was average but it was the mozzarella cheese that really won me over. I feel like I could go in there and just order a few balls of that for lunch, if only that was socially acceptable.Trying to get to Hoboken's Mutzfest but low-key a bit sad because I just found out you need tickets, which are sold out. So if anyone has the hookup, let a sister know!",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
5,3rqMcJvQ1KpGX6dVfZmGbA,Peter L.,3.0 star rating,"I was recommended this spot by my barber as it was super close by. They offer both a breakfast and lunch menu. Their assortment of foods is very typical of a deli, I came here for breakfast however.They are a small restaurant with plenty of outside seating. They also have inside seating for those that do not want to be outside. Since I was in a rush I ordered to go and got a breakfast sandwich. The prices are pretty decent and the sandwich was solid.Overall, this place is good for a grab and go. I may make it my usual tradition to grab a breakfast sandwich after my haircut as it is close by. The food will not blow you away but the cheap prices will definitely get you full. I will definitely be back.",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
6,QxTNaHoxTL8f7jAK5nwQ1g,Nicholas G.,2.0 star rating,Not a very good experience. Ordered delivery and it was beyond average. We got the chicken salad which was as bland as cardboard. The chicken cutlet sandwich was not much better. Everything seemed like it lacked salt. Needed more flavor. Idk why but just not feeling this place.,Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
7,xxcEXDT6t_CCw_0FQFQuLg,Gary M.,5.0 star rating,"Great service .... nice change from regular restaurants ... had the ham egg and cheese over a delicious croissant... hash browns were truly fresh and homemade ... the ham was smoky and not processed,,, a gem of a place....we were served by Nicol ... and she was great...",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
8,6QxIW4P0GsOodae3_KAn0Q,Lauren D.,5.0 star rating,"I typically only think to order from here for breakfast. However, I ordered the turkey panini the other night and I'm sad it took me this long to discover- amazing! The bread they used was out of this world delicious. Will definitely be ordering from here more often- any time of day!",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
9,-P51DxGgxcv3pfoALuP41A,Jim T.,4.0 star rating,"Underrated place in hoboken. Wide variety menu, fair prices and the hot pastrami sandwich rocks. Delivery also prompt",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
10,2hDc3-TvYiWeaKS4y7Fj-w,Scott A.,4.0 star rating,"Rosticeria Da Gigi is one of the most underrated places in Hoboken. It's never packed or crowded with customers sitting as most customers order takeout.  The interior and exterior design is kind of sore on the eyes. The food though, is different story. They have some pretty interesting options. I got the lamb sandwich with mint jelly and it was fantastic. Never had anything like it before. The portion size was generous as well.  Also ordered a chicken parm sandwich and that too was very good. This is a great spot to come to if your Uptown in Hoboken and want to sit down, get a quick bite, and have some quality food.Will be coming here again in the future.",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
11,NPFn3HB6vQVLwoW4LNcwXw,Ipsita D.,4.0 star rating,"More like 3.5 stars. Delivery was pretty fast (I ordered at a random time Sunday afternoon). Side of meatballs was 2 huge ones, very tasty. The roast pork brie panini i expected to have apple butter based on another review but it didn't so it was terribly bland--was able to help the taste by putting some of the meatball sauce on it, then remembered i had some apple butter at home and added that to it & it worked. They really need to have something else in it otherwise it doesn't taste good. Same with patrami-swiss sandwich--they should add russian dressing or mayo or something! Plus the bread was soggy from condensation since they didn't toast it. The apple pie was tasty though also a little soggy. Overall despite the small issues I'd try other things from here in the future since the quality seems pretty good.",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
12,OhmG9jBV5hbUXYW3LIgd2w,Rebecca C.,5.0 star rating,"While I was pregnant, my husband was on the hunt for the best meatball sub in the area. We ordered a couple a week for a few weeks time. And without fail, this won as the best we could find!!We then one day came in person and they have tables outside and it tasted even better fresh. I order the chicken parm sub and it's just as good. The prices are decent too but they do upcharge for delivery in Jersey City which it gets pricey for 2 subs and tip (almost $30). But if you love meatball subs, I'd totally say it's worth it!",Rosticeria Da Gigi,4.0 star rating,$$,"Italian,, Sandwiches,, Breakfast, &, Brunch"
