,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,rD6BVFz072deQUtyZ0x3dA,Tom T.,5.0 star rating,"Delicious chicken and lamb over rice.  Tasty just like what the halal guys used to be 10 years ago.  Warning: the food here is very saucy and flavorful but about 60%. The portion of halal guys and 80% of the portion of the kiwk cart.  That said it is priced proportionately so it's about the same price point ($6 for mixed,  $5.50 for chix)Will be coming back.  So far the best I've had!  But that said I have a kiwk cart review in the next 30!  (Hehe)",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
1,6h2vXvhkxdz40sygYlPzFQ,Kyle O.,5.0 star rating,"I recently moved away from New York and this place is easily one of the spots I miss most about living here. however, I'm fortunate enough to still have a job that lets me come back up roughly once a month. and yet, the lovely couple who runs this cart still remembers me. I walk up, he immediately starts making kati rolls. even if I haven't been by in a month plus. he'll even get creative and make new concoctions, which are always delicious (eating one now). attention to detail like that really make this place stand out. can only imagine how many people come thru on a daily, or even weekly, basis. would give them 6 stars if I could.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
2,ACbk4n64hNrCuKlSdkk2OQ,Sherry S.,5.0 star rating,"The couple that runs this cart is SO SWEET! They are so kind all the time and the food they make is of great value! A friend recommended this cart to me and it's been such a great spot to grab a quick meal. I tried the mixed combo plate $6 which was enough for about 1.5 meals and the flavors are great. I recently tried the lamb Kati rolls (2 for $6) and the wrap itself was so buttery which was probably really unhealthy but it tasted great! The owner will probably remember after your first visit which is so nice of them and they let you adjust the spice level!Pros: kind owners, great food, fast, stamp card!!Cons: none as of now!!",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
3,kQ2CRROrULlhpv76t9fwXw,Elise H.,4.0 star rating,"Royal Halal is a paradise for savory, oily cheap eats. I came here on a weekday evening to catch a quick dinner. The man at the cart surprisingly remembered my friend's previous orders, and welcomed me with friendly and genuine service. My Kati roll was deliciously greasy. The wrap itself was thick and buttery, encasing copious amounts of sweet and savory chicken. The red sauce is actually spicy here; I'd probably recommend going easy on it if you are unaccustomed to spice. This food is great to cope with a hang over or as an occasional treat. I'll be sure to come back to try other items on their menu.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
4,G3c2TAL-ukgpIey7n4ZPPg,Asha M.,5.0 star rating,"I highly recommend the food at Royal Halal to fulfill your necessary food cart desires. I would say this place is way better than The Halal Guys for their chicken over rice platters. The chicken is juicy, flavorful, and is enhanced by the biyriani rice underneath it; this should absolutely be a part of your diet. I added the white sauce, hot sauce, and green sauce (cilantro) all of which added multitudes of layers to the dish (which was already perfection). The man behind the cart was super sweet and happy, it was overall a great experience! Honestly, I'm so excited to have found this place and will be coming back. They have one of those promotional cards where you get your 8th platter free.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
5,0d05b5EIHxs4-UJ6bbJNBg,Dawn H.,5.0 star rating,"It was late and our options are limited and we found this food truck with good rating so we tried the lamb briyani.Food came fast and I have to say, it's better than the halal guys. Meats were very juicy, moist and tasty. Portion is less than halal guys but the quality took my loyalty from halal guys. I would come back again to try other stuffs from their menu.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
6,0fVBNTdm4ZVRl9NRf-YcNA,Manish J.,5.0 star rating,"I had falafel over rice, which was delicious! Seemed like falafel balls were freshly fried and were done just right! Rice was so much better quality than what you get at such places- so aromatic and with subtle flavors! I wish it had some more spice or something but you can always ask for hot sauce. Accompanying veggies were so fresh!I always love having street food in NYC and  as vegetarian, falafel sandwich is usually the best bet. So it can be assumed I hv tasted a fair variety of falafels! We were near Bryant Park and on a whim googled for falafel carts and this place came up with stellar reviews. And man it did not at all disappoint!The husband wife team manning this are super sweet and friendly too..",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
7,VCgmxLiVP4_ahig6Ih3lMg,David W.,5.0 star rating,I have to up my rating to 5 Stars. After a month of eating here once a week trying different dishes he has never disappointed. There were a few times he surprised me how good it was particularly the Chapli and curry chicken. Don't get any add on sauces for those and he'll do some magic on them.He truly takes pride in his cooking.  He was beaming when he showed me that he was #2 in a grubstreet article.,Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
8,Yhu_CIta57VnQDnFS2vb0Q,Jeff K.,4.0 star rating,"Found this place through a Yelp search. Most of the well known Halal carts in midtown are near Rockefeller center. I was looking for something closer to Port Authority. Royal Halal fit the bill. It's located about a block away from Bryant Park on 44th St. and 6th Ave.This cart is run by a nice couple. They are always smiling and saying hi, when you approach the cart. It's quite a different experience from the rudeness I've experience at most of the halal carts in the city.I've ordered the chicken and rice here. $5.50. It's very tasty and served to order. They ask how you like it and adjust the spices and sauces according to your preferences.The chicken and rice has an Indian flavor to it. It's somewhat similar to Sammy's or the Soho halal cart.They also have a punch card. Buy 7 and get one free. Not a bad deal with the price and the punch card. They have some other dishes that I haven't tried, but probably will in the future, that look interesting, like the chicken biryani and chicken tikka masala.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
9,wwDgEMqNZlbDmQfM5DLgfA,Sarah J.,5.0 star rating,"The food is SO good here, when I was looking for my new apartment I had to make sure the cart was still within walking distance. The servers are so nice as well and always recognise you. The chicken and rice is my go to, I can't recommend this place enough if you're looking for a delicious, healthy, filling lunch for under 6 dollars.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
10,4e4LWvAJQyrBs0fvC3ERdA,Steve C.,5.0 star rating,"I found this place from the NY Daily News article. It's about a block from my job. I try to come once a week. First and for most, try the chicken over rice. It's the signature dish smothered in 3 sauces. The chicken is consistently juicy and the rice is always fluffy and flavorful. The owner is great. He recognizes his customers and offers to experiment a bit based on your palate. In my case he adds chili's and hot sauce to the chicken when grilling. Sometimes, he will even add a surprise to your combo; such as a falafel or samosa. Also, don't forget to bring/get a punch card. If you buy 7 rice platers, you get an 8th one for free.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
11,FjSyx-ghnI8g0ql9UU8Zyg,Stephanie C.,5.0 star rating,"I'm so happy I came across this food truck, it's my first halal cart that I've tried and there's good reason that it's rated so well. The guy working the cart was so friendly, offering many options and allowing us to even combine different meats together. I ordered the chicken kati rolls and I'd highly recommend it! The chicken was nicely seasoned and the rolls tasted very buttery, but a mix of curry and coconut (maybe from the wrap itself?) The wrap reminded me of roti which I love. So worth your money, I'd definitely recommend finding this cart for some cheap, delicious and piping hot meal!",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
12,yU9wpWmENVSR6VXsbIVPsg,Meredith L.,5.0 star rating,By far the best quality halal cart food I've had in NYC! My husband and I ordered the combo platter over rice for $6. The portion was large enough for the both of us. The meat was very well seasoned with the perfect amount of spice. The man working the cart was very friendly and accommodating. It's the perfect location to enjoy your food in Bryant Park.,Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
13,cHCo0_gLW1OzenuTPNY2uQ,Marina C.,4.0 star rating,"Ok for halal street food, it's actually pretty good. Street meat is highly processed and will be high in salt. So if you can't handle that, do what I do and I take it home and mix it with more rice, veggies, etc... I liked that this place has a more Indian influence in the food. I've only tried this cart once but I'll definitely come back. We had the chicken masala and lamb, and one with fish. Both were very good, spicy... definitely better than the halal guys. That place is all hype. Portions were great. Meat was tender. Will stick with the usual chicken and lamb next time. This is only something we'll eat a few times a year since it's greasy and street food isn't very clean/healthy.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
14,Q0a_rKwFS6Z88PNHDokwYg,Mykelin H.,5.0 star rating,"Better than its fiver stars. I love New York City cuisine because of food like this. Cheap, flavorful, plentiful.... what an awesome food cart on the corner of Times Square. Extra love for the sweet couple making/serving the food.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
15,967dphDCFCFP6fiH2Aq7nQ,Claire J.,5.0 star rating,"Chicken and lamb over rice from this place = my new favorite meal. I wish I could take this cart back with me to California! My boyfriend and I went last night and loved it so much we went back tonight. I can't say much more that other reviewers haven't said already, so just do your stomach a favor and go discover the yummiest halal cart!",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
16,AR1z4MTJeHNxOFMvl1Bisg,Peter Y.,5.0 star rating,"5 stars. And for good reason. Royal Halal is run by a Bangladeshi couple with the help of a couple relatives/close friends. Really friendly people.Coming here a few times now I've tried their Kati roll and chicken/gyros over rice and both were exceptional. One thing you will notice about the food here is that it is extremely savory and colorfully flavorful (makes me want to write a song about it). Especially their wrap/naan: butterlicious, and easily the best I've ever had.The price is expected for Halal carts at $6. For $6 the quantity is generous. They will usually take about 4-6 minutes to get your food ready, but luckily there's rarely a line. Another plus is that they have a stamp card that lets you get a free dish after you buy 7 entrees.It'll be hard not going here 5 times a week tbh.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
17,qJvjbX0w00jZl76R3AGtIw,Rita L.,5.0 star rating,"Yelped the best Halal cart around the area and came across this one. I don't usually eat street food, yet along Halal but this was decent. Chicken was marinated and delicious. Late night? Come to this particular stand, reviews don't lie!",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
18,GMfD6TTitGKh2__fOLnSHQ,Iba M.,5.0 star rating,We were in town for a few days and needed our chicken and rice fix. I was worried about spice levels but the owner was happy to keep my chicken tikka on rice order mild. My husband ordered the chapli kabab on rice (melt in your mouth kababs).Delicious and will visit again and again! PS I loved it way more than halal guys. I usually feel bloated and unwell after a splurge at halal guys- but this place I felt light (and no carb coma either!).,Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
19,wvWMyVgJ9m1kYX8m6nqV3g,Richard D.,5.0 star rating,"Royal halal was ranked #2 for halal chicken rice in nyc on grubstreetgrubstreet.com/bestofnew…My coworkers and I eat here at least once a week.The price is right, and after 7 purchases, you get 1 free.  You can also have it be a low carb meal if you tell them you want your chicken on a salad instead of rice.  You can make it low cal if you tell them to go easy on the white sauce as well.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
20,rD6BVFz072deQUtyZ0x3dA,Tom T.,5.0 star rating,"Delicious chicken and lamb over rice.  Tasty just like what the halal guys used to be 10 years ago.  Warning: the food here is very saucy and flavorful but about 60%. The portion of halal guys and 80% of the portion of the kiwk cart.  That said it is priced proportionately so it's about the same price point ($6 for mixed,  $5.50 for chix)Will be coming back.  So far the best I've had!  But that said I have a kiwk cart review in the next 30!  (Hehe)",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
21,6h2vXvhkxdz40sygYlPzFQ,Kyle O.,5.0 star rating,"I recently moved away from New York and this place is easily one of the spots I miss most about living here. however, I'm fortunate enough to still have a job that lets me come back up roughly once a month. and yet, the lovely couple who runs this cart still remembers me. I walk up, he immediately starts making kati rolls. even if I haven't been by in a month plus. he'll even get creative and make new concoctions, which are always delicious (eating one now). attention to detail like that really make this place stand out. can only imagine how many people come thru on a daily, or even weekly, basis. would give them 6 stars if I could.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
22,ACbk4n64hNrCuKlSdkk2OQ,Sherry S.,5.0 star rating,"The couple that runs this cart is SO SWEET! They are so kind all the time and the food they make is of great value! A friend recommended this cart to me and it's been such a great spot to grab a quick meal. I tried the mixed combo plate $6 which was enough for about 1.5 meals and the flavors are great. I recently tried the lamb Kati rolls (2 for $6) and the wrap itself was so buttery which was probably really unhealthy but it tasted great! The owner will probably remember after your first visit which is so nice of them and they let you adjust the spice level!Pros: kind owners, great food, fast, stamp card!!Cons: none as of now!!",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
23,kQ2CRROrULlhpv76t9fwXw,Elise H.,4.0 star rating,"Royal Halal is a paradise for savory, oily cheap eats. I came here on a weekday evening to catch a quick dinner. The man at the cart surprisingly remembered my friend's previous orders, and welcomed me with friendly and genuine service. My Kati roll was deliciously greasy. The wrap itself was thick and buttery, encasing copious amounts of sweet and savory chicken. The red sauce is actually spicy here; I'd probably recommend going easy on it if you are unaccustomed to spice. This food is great to cope with a hang over or as an occasional treat. I'll be sure to come back to try other items on their menu.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
24,G3c2TAL-ukgpIey7n4ZPPg,Asha M.,5.0 star rating,"I highly recommend the food at Royal Halal to fulfill your necessary food cart desires. I would say this place is way better than The Halal Guys for their chicken over rice platters. The chicken is juicy, flavorful, and is enhanced by the biyriani rice underneath it; this should absolutely be a part of your diet. I added the white sauce, hot sauce, and green sauce (cilantro) all of which added multitudes of layers to the dish (which was already perfection). The man behind the cart was super sweet and happy, it was overall a great experience! Honestly, I'm so excited to have found this place and will be coming back. They have one of those promotional cards where you get your 8th platter free.",Royal Grill Halal Food,5.0 star rating,$,"Halal,, Food, Trucks,, Street, Vendors"
