,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,xMHuqzxBhe8FMBnrGyp3_g,Josh B.,5.0 star rating,"Today was my first visit but considering the great food, friendly service and prices from 1983 I'll be back soon.While I plan to check out things like the $3.95 Cuban sandwich in the future, I couldn't resist the $5.95 breakfast special featuring eggs, mashed plaintains, fried cheese, salami, coffee and juice.I haven't been diligent about making it to this part of town. Using mass transit it seems there are places in Brooklyn that are quicker to reach. But Rumba's is a fine example of why I should wake up earlier in the morning to expand my choices beyond the Newport Mall and microwave products.",Rumba’s Cafe,4.5 star rating,$,Cuban
1,K-Jw6Qu_tpIOuOkvL5dChg,Bonnie P.,3.0 star rating,"Cheap!!!!!In this area it might be normal to be able to buy a meal for around $6 and honestly as someone just visiting the location, I was just blown away by the great food and fast service. Just be careful that they do not speak much English, it honestly depends who is working that day. I walked in early morning on a weekend and it was absolutely packed!!! I literally just ordered take out so it was not a problem but WOW insane.So we ordered a few things for just the two of us to try out the restaurant. Great chicken leg with rice and beans, side ordered of chicharron, pulled pork, and chicken noodle soup. Overall food is the expected quality and price of these types of Latin American restaurants. This place is great for breakfast and some fast casual type of food, but this is definitely pay for what you get. Its great prices but its not Michelin star hahaha, still though for a few bucks you can definitely have a good meal. I would definitely stop in again if I was in the area but I would not make a huge effort to visit this establishment. Pro-Tip: It works in your favor to bring a Spanish friend hehehe",Rumba’s Cafe,4.5 star rating,$,Cuban
2,C8BRhiuPMZeVVtV94x7wKw,Gail E.,5.0 star rating,Such a cozy spot ! Delicious simpleCuban food hitsThe spot all the time . Reasonable pricesCasual and always amazing food !,Rumba’s Cafe,4.5 star rating,$,Cuban
3,Sx5NzfisrxjD76ziugjH-g,S S.,5.0 star rating,My Goodness! Must stop for Spanish food in Jersey City. So many options so little money you have to spend. Fast and friendly service. Lots of parking around. Enjoy!,Rumba’s Cafe,4.5 star rating,$,Cuban
4,Znp-gxzWlDaUeEIjUKZOYQ,Amber-Marie S.,5.0 star rating,Wow.  What a great place!!! Clean restaurant.  Wonderful staff.  Friendly environment! Best authentic cuban food ive ever had. Order pork chops and i was not left unsatisfied!  I couldn't stop eating. It was so good.  There was no wait! And i cant wait to eat here again next time im in town!,Rumba’s Cafe,4.5 star rating,$,Cuban
5,Yhu_CIta57VnQDnFS2vb0Q,Jeff K.,5.0 star rating,"Great place for Cuban food.This place is located in Jersey City Heights on Central Ave. Parking is a bit of a pain around here, but if you search, it doesn't take too long to find a spot.Service is mostly quick and food comes out pretty fast.They have a daily menu with changing specials, with some dishes being available all the time. I've tried a good portion of their menu and everything has been great. Their dishes come with rice (white or yellow and sometimes black) and beans (red or black) with a couple plantains. The portion sizes are pretty good.The sirloin steak is probably my favorite here with the ropa vieja coming in a close second.The prices are super affordable for everything. I believe the most expensive dish on the menu is under $10.",Rumba’s Cafe,4.5 star rating,$,Cuban
6,BRRbV2An9onG5igIcddMMQ,Eddie D.,5.0 star rating,"Don't know where to begin , it's a small mom and pops kind of place .The coffee is one of the best prepared  and the price of 1$ u get an 8oz cup  is unbeatable-",Rumba’s Cafe,4.5 star rating,$,Cuban
7,C83mqRrvlK6U1xuaZAVbJQ,Rene B.,4.0 star rating,Cute place in lively neighborhood.  The prices are amazing!  Very affordable.  Very clean restaurant with the vibe of a diner.  The food:Plantain chipsStuffed yucaPernil asadoFried snapperWow the food was so good! Still dreaming about the fish!!!,Rumba’s Cafe,4.5 star rating,$,Cuban
8,KT98PD9MeqiPBICwhPEWMw,Shirley W.,5.0 star rating,"I wonder how this place stays in business with such low prices and great quality food! I was in Jersey City today and was craving some Chicharron (fried pork skin). I found this place on Yelp and decided to get some take out from here. It's probably for the best that it isn't closer to me because I'd be here every single day...Prices are soooo cheap, I thought it would reflect on the quality of food there, but absolutely not. The Chicharron was on point, super crispy. I normally go to Noches de Columbia by me for that and it costs me a good $6 per order. It was about $3 here. I then got a papaya shake (about $3 as well), a fish filet and pork entree (both about $7), and 4 empanadas ($1.25 each). My total came out to a whopping $25. Whaaaaat?! That would've easily costed me double at another restaurant. On top of that, portions were generous and food was delicious. Can't complain about the service either. They were quite busy running around with the people dining in and people sitting at the counter. I don't speak any Spanish so I ended up just pointing out a bunch of the things I wanted on the menu, probably slowing them down a bit lol. If you're in the area, I would definitely recommend this gem. I know I'll be back the next time I head to Jersey City.",Rumba’s Cafe,4.5 star rating,$,Cuban
9,QMuoam92eea__Z6epdaxGA,Juan C.,5.0 star rating,His place is killing its competitors in its area. It is the go to to local homemade Spanish food in its area. It's almost a must go to when your near by. Ask any local. I've been here many times before and order a variety of different plates. I have yet to be disappointed,Rumba’s Cafe,4.5 star rating,$,Cuban
10,XzXTx4L7bCeNVJ78Lxg8Hw,Ana V.,4.0 star rating,It is my first time here!! the food was amazing authentic cuban tastes...the price super and the staff extra friendly...definitely We come back again!!,Rumba’s Cafe,4.5 star rating,$,Cuban
11,XsvKSzrXqPwaYHDosaQj5w,Mary R.,4.0 star rating,"Good food, very afforable...plenty of left overs! Service is good, can't wait to try more dishes off the menu.",Rumba’s Cafe,4.5 star rating,$,Cuban
12,4kdSh2lkelfHpXOQAPF4rQ,Michelle C.,4.0 star rating,"Food is pretty good and it's priced very low for what you get.  I am very happy we decided to venture out of Hoboken and try a new place.  What did we get... - Orange Juice: Full glass of fresh squeeze with no ice - amazing!  Unlike other places where they serve you smaller glass or fill it with ice, they give you legit amount of fresh OJ.  - Seafood Soup: Very flavorful soup filled with some crab, shrimp, clams, veggies at a wooping $3 price tag.  I don't think I can find the quality and value anywhere else for less than $10.   - Chicharon de Puerco (Fried Pork): Nice and crispy fried pork with a touch of salt.  Recommend eating this dish here as it will get soggy if you get it to go.  - Tostones: Huge fried plantains. We find the plantains to be very bland (they might have forgotten to season it).  It was crispy on the outside and moist on the inside. - Pollo Asado: GINORMOUS quarter dark meat chicken.  In the picture, it looks like you are getting half a chicken but in reality it is a jumbo chicken leg.  I thought it was turkey leg for a minute because it was so big.  - Filet of Fish: This dish came out a bit cold and not crispy.  It's almost as if someone forgot about this dish and left it sitting out for too long before serving it.  Luckily I was so full from the apps that I ended packing most of it to go anyways.  This was the only disappointing dish.  We couldn't finish most of the chicken and fish dishes because we were so full from the apps.  Definitely great value for the food you get.  All in all, our bill was $28 because we also ordered 2 desserts to go.",Rumba’s Cafe,4.5 star rating,$,Cuban
13,EI3BR_inDOQjNvY7oseYrw,Melissa V.,5.0 star rating,"This place was awesome! Came in exactly three minutes before breakfast was over and still got a freshly cooked breakfast. It was so good as was the papa relleno. We also got a plate of pork stew, rice and beans to take back to NC and it was the bomb!!!! Wish we had food like this in the South!!!",Rumba’s Cafe,4.5 star rating,$,Cuban
14,WWmv-OF9bcbTDJRiQKKjkQ,Jolene P.,4.0 star rating,"This spot is for sure very value for your money. Typical Caribbean fare at a good price and the food is great. I had the baby churrasco which was huge and flavorful. I accompanied it with tostones, perfectly fried to crisp also had a morir soñando juice(orange juice and milk) which was a bit too sweet for me. I would love to be closer to take advantage for their lunch menu that is about 5.00. The service is also prompt and friendly.",Rumba’s Cafe,4.5 star rating,$,Cuban
15,FsLXt-IiaZnCAqcGI1_WJQ,Toyo K.,5.0 star rating,"Was in town for business and wanted to grab a bite with colleagues. We found this place and we were so glad we did.  Family type atmosphere. Everyone dining had a smile on his/her face.  Cheap, inexpensive menu items.  Large portions. Everything was delicious.  I don't eat Cuban food often, but this place was one of the best.  Homestyle cooking left us full and satisfied. Went on a Friday night at 6pm and we're lucky to find street parking in front, but as we were leaving the spaces were getting filled up.",Rumba’s Cafe,4.5 star rating,$,Cuban
16,XSnuu9bpdH2qHH4LpNBpvA,Danny N.,5.0 star rating,Old school Jersey City at its finest. Affordable and delicious.It's always kind of weird to find a sit down place with waiter service like this still operating in Jersey City where you can get meals for under $10.,Rumba’s Cafe,4.5 star rating,$,Cuban
