,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Q9cx1USMgTDE7XS3Sc-pEA,Jill R.,5.0 star rating,"I had the pleasure of dining there yesterday evening. The food was delicious, the atmosphere very nice and subdued and the service  impeccable!! And it was extremely reasonable.Our table had the bow tie pasta with salmon, the veal saltimbocca, and the grilled salmon as our three entrees. Each dish was wonderful.I can't say enough about how charming this restaurant and its staff was.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
1,bvktYv32BbC1PnWLrksY5Q,Alexis M.,4.0 star rating,"I visited the San Marino Restaurant after attending the American Candy Halloween Show at Green Space in Manhattan. Yes, you are probably thinking this review is overdue since I visited there in October and you are correct-lol. However, it is important for me to mention this nice eatery especially since this is an Italian Restaurant and you know how much I love Italian Food-lol. San Marino Restaurant is conveniently located next door to a Sheraton Hotel.There was nice outdoor and Indoor decor. My first observations were the Halloween themed carved pumpkins as well as garland and lights surrounding the entryway into the place. Lovely front patio furniture where one can enjoy eating outside. Gorgeous ambiance inside added to my great dining experience as they have leather furniture, tables arrangements, flowers, artwork, chandeliers, lighting arrangements etc. I sat by their flat screen tv and felt so comfortable.I started my meal with Cranberry/Orange Juice which was mixed well. Deciding to check in on Yelp led me to receive their free Fried Zucchini appetizer.  The Fochaka Bread had olives and parmesan cheese in it and tasted heavenly! Spaghetti Bolognese was the entree I chose which was incredible...Staff Mario and Enzo are delightful! Both of them tended to patrons, brought whatever was needed to the table, answered questions and were professional yet extremely friendly. Mario kept me laughing...his kindness and fabulous customer service are more than enough reason to visit  San Marino Restaurant!Oh and another reason is definitely to try the good Fochaka Bread and Entrees!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
2,A1s1VKtGJnyJJEzuIyBblA,Marie J.,2.0 star rating,"Had dinner her last evening! Was not impressed! Besides the lighting being so bright! The tv so loud!Started with a burrata appetizer which was quite good! They gave us fried zucchini complimentary but it was greasy and tasteless! Entrees a pasta special spinach fettuccine with shrimp was so hot it must have been microwaved and over cooked and tasteless the chicken dish I had with mushrooms and artichokes was not much better the chicken was rubbery and tasteless , anyway needless to say will not be back wait staff were good",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
3,VR6qCr9AIUUsNnGh12KbXQ,Howard T.,5.0 star rating,This is a very good Italian restaurant. The staff is friendly and very accommodating. The food was very good and fairly priced with several complimentary appetizers. The entry from the street is not attractive. You go through the lobby of a Sheraton but everything else is excellent. Enjoy,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
4,FpjEovUUZdWGVE0O7HwJGA,Eric A.,5.0 star rating,"I had an enjoyable experience at San Marino Restaurante. Located right next to the Sheraton hotel near West Houston Street, this Italian spot is a favorite among the locals.They have a nice selection of classic pasta dishes along with meats and seafood entrees. They also have a TV up above, tonight it was tuned onto CNN and I once again watched the living nightmare that is Donald Trump's Presidency. Anyway, lets not ruin my review and return to the great food!I was offered the complimentary bread basket which was fresh and hot right out of the oven. I didn't eat that right away though, I waited until my pasta came out so I could dip it in the wonderful sauce. For my pasta I went with something simple and classic, Spaghetti Carbonara. It was soo rich and decadent, the cream sauce sooo good with fresh egg yolk and cream all emulsifying together. It was also too filling that I couldn't finish it all, so I asked to have it wrapped up so I could take it home.I also had the Baked Clams as an appetizer. Very aromatic and the bread crumbs added a nice crunch.Normally, I would order something classic like Tiramisu or Panna Cotta, but since I was too full from the Carbonara, I knew I couldn't have anything like that tonight. I instead opted for the Vanilla gelato since I knew that would go down easy and wouldn't overtax my intestines LOL.I once again also had a warm, frothy cup of Cappuccino as I always do when I dine somewhere Italian.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
5,eV8U74QLJvDxkzq_dPch8g,Suzy M.,4.0 star rating,We stayed at a hotel above the restaurant and ordered Linguine alle Vongole and Tortellini soup for room service. It was a nice surprise. Food was delicious. Tortellini soup was just like what we had in Bologna.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
6,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,5.0 star rating,"P H E N O M E N A L!!!!What a gem! I was absolutely blown away by the beautiful presentation, impeccable service, and delightful atmosphere. We went there tonight for a birthday dinner. We have been to Antica, the sister restaurant, which is amazing- and San Marino was likewise nothing short of perfection.We started with some freshly cut prosciutto with deliciously sweet melons and very crisp calamari. That already set the mood for all of us- the drinks were generously poured as well. For my main course, I had the chicken parm. It was finger licking good- the sauce was mmmMmmMmm amaaaaazeeeeng!!!! The birthday boy inhaled his veal- who needs utensils when you can breath in heaven? Everyone devoured their respective dishes within seconds and we were more than satisfied to the brim. To top that off, Sammy, the owner, and Mario, came by to wish the birthday boy happy birthday with a scrumptious piece of chocolate cake which was oozing with strawberry syrup, dressed with a single lit candle. We sang happy birthday and they took pics of all of us. Sammy is a remarkable restauranteur with incredible staff who made our dinner unforgettable. What a memory I want to repeat every night. We will most definitely be back for more. I cannot sing enough praises about this place!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
7,a_Wnksnv5KQAI70mbBoxtA,Sherry D.,3.0 star rating,"This spot is really cool, but it is tucked away by a hotel, which really didn't make the place stand out at all. Down a narrow hallway, you'll find the restaurant. When my friends and I went, it wasn't particularly populated at 7pm on a Friday night, which made the experience of dining there perhaps a little too intimate as it wasn't busy enough.The food was presented with a fun, professional flair, but there was something about the staff that felt a little inexperienced or flustered (things were knocked over). I also felt a little pressured by the folks there to order more. There wasn't anything too amazing about this place that appeals to a second visit.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
8,Y97SCp3B0SEDU8EG4uMaMg,David H.,4.0 star rating,"One of the perks of staying at the Four Points Sheraton is the proximity to this restaurant.  Consistently good with great service.  The chicken parm is a classic, the soups are always good.  The only miss is the mozzarella appetizer, too little for the price.Had to comment on the chicken parm, it was one of the best I ever had. Even the spaghetti underneath was cooked to a perfect al dente.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
9,QAJiRZf1oJTEsq5gebPRyw,Starla W.,5.0 star rating,This place is a hidden gem. The food and customer service here is amazing. Riddi and Gumo are an amazing team. I'm in town on business and have had dinner here two days not because it was convenient to the hotel but because I wanted to eat here. I planned on having the same dish for dinner but tried something new and was pleasantly surprised.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
10,CrJl7b8FJZ80OAPyUYPi8Q,Michelle L.,5.0 star rating,"I was in need of a venue for a Bridal Shower I was setting up for my best friend that was both great for the bride-to-be and our guests as well as affordable for a party 22 people. San Marino came to me from Yelp heaven and I couldn't have been more happy with reserving a bridal shower here. With no minimum required and no extra charge for bringing a dessert, this place was truly perfect for our budget.This restaurant is connected with the Four Points Sheraton hotel.  We were able to reserve a space in its main dining area with a sun window on top and doors all around to allow for a private event. The space was perfect, plenty of space to set up a presents section and even set up a projector for a slide show. The service and management were spectacular. They were so accommodating for all my requests of time, requesting for a projector screen and allowing for an extra person when someone came last minute. We were allowed to decorate the space, giving us 45 minutes before the reservation to set up and the table was already set up communal style  by the staff when we arrived which saved us a lot of time. Service of the food was very timely, we never felt rushed to leave.As for the food, it was spectacular for what we paid for. At $30 a head, we received multiple plates of appetizers served family style as well a main entrée served individually. A prix fix menu was prepped on all our plates upon arrival as well which was greatly appreciated. For appetizers, they offered multiple big plates of antipasti including olives and eggplant chips, delicious crunchy calamari, capresse salad, Caesar salad, and bread. For main entrée, they offered a choice of salmon, chicken and mushroom ravioli. It also came with sides of broccoli and French fries. Everything was large in portion and we were all so thoroughly full by the end of the bridal shower. It really was spectacular service. If an event was ever needed and you wanted to get the most out of your money on a good budget, this is your place. Thank you San Marino for making my job of planning so easy!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
11,t7UDbPHySrz-rhFFu8Uw4g,Stephen S.,5.0 star rating,"Food was unique, excellent, and gave a taste of Italy. The staff was also very hospitable, especially Enzo. He gave great food recommendations and made us feel right at home. Great service!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
12,jiMwksIaLr3DvEhbdG69Bg,Joseph T.,4.0 star rating,"This was a great little stop for a Lobby restaurant. It has its separate entrance outside as well walking through a small open courtyard right next to the Four Points Lobby in SoHo on Charlton. You walk into a bar area that is very very tiny with about six seats at the bar. It is a very bright room with little if any character. I walked in & the bartender was not very friendly or attentive. She was a younger girl with three customers at her bar and seemed quite overwhelmed and completely not interested that a customer walked in the door. I walked past her and towards the back of the restaurant which is where the other two rooms are located. You walk into the next one which again is quite bright but darker appointments were in the room and where the service station is. I was greeted immediately by several male servers who were very very attentive and friendly. I decided to sit in the back room which is where all the character is. The tables in that room are linen-covered and candle-lit. the lighting was subdued and quite nice. The mudic playing was very indicative of the Sinatra era. The room was darker in styling and very italianate. It has a glass ceiling with a large Center chandelier so that was pretty interesting. When it came time to order, the food was VERY good. It came out in a reasonable amount of time. They definitely lean towards a little more fine dining but nothing over the top and I would describe the atmosphere as upscale casual. I had some tortellini in brodo and it was very well prepared and extremely tasty. Followed by a fish oriented dinner of red snapper & jumbo shrimp sauteed wonderfully in a lemon wine sauce with a small side of spaghetti. It was very flavorful and well presented. A variety of breads came out during the meal as well as separate complimentary dishes of assorted olives and sauteed zicchini to enjoy. There is a bar and open wine list which is also quite inexpensive and you can definitely find what you're looking for. Pricing was very reasonable and the atmosphere was okay so I'd say this is a great spot to just pop in if you're wandering around Soho and looking for something Italian. Mario was one of the attendees to my table & he was over and beyond attentive to all needs while i dined.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
13,uKEldx5gVoCW0Zbm8SUyMg,Vin S.,5.0 star rating,We had dinner here last night.  What a wonderful surprise. This was by far the best dinner in a long time.   The food was great and the staff made it even better.  Both my husband's dinner and mine was excellent from the salads the main course to desert.  You are missing out if you don't go here.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
14,xSHv6LvUeoa8DapKb2Gd2w,Jewels M.,5.0 star rating,Came here over the weekend to celebrate my father's birthday.  I had read all the positive reviews and was looking forward to trying this place out.  I was not disappointed.  The minute we walked in we were greeted with such warmth and hospitality.  The food was amazing!  It's been a long time since I've been to place that had such great dishes.  I will be telling all my friends to try this place out.  My family and I are planning to make this place our regular go to when we dine out.  Thank you San Marino!!,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
15,91lOVa0LzV28838APNuVdg,Paige P.,4.0 star rating,Mario was super friendly and we loved the inside ambiance The rigatoni Bolognese was hot and tastyMy gamberi risotto did not disappoint Definitely enjoyed,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
16,FfNj5wPuizDCV8Tu9OIGoA,Ruishan L.,5.0 star rating,Their food is so delicious. Really recommend this place. Mario is so friendly and we had a great time.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
17,rERiaYIDkmuck37jxZPY_Q,Cindy C.,5.0 star rating,"Excellent pasta. The mushrooms and cream sauce were excellent. The drinks were smooth and balanced. No rushing, comfortable outside dining area. Mario was helpful but not obtrusive. I'm thinking of going back before we leave town tomorrow. Prices were about the same as other restaurants in the area.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
18,pcM0AKpNwk6Z-afAhxuVQQ,John C.,5.0 star rating,Flavors of the old country! San Marino is very friendly and very good food! Service is just right. They checkin as needed and the food was piping hot! The tortellini in brodo had great flavor. My wife has the chicken scarpariella was a large portion. The food had plenty of garlic and veggies and chicken. The linguini with clam sauce had so many clams that the linguini was not visible. A must eat place!,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
19,TWvK3cX9x81NvbT9fanpCA,Jesue R.,1.0 star rating,So I came in today and got some food at the restaurant thought it would be good got told the wrong price try to ask for refund and manager jesse didn't give it to me so very disappointed with the service wouldn't tell you to eat here if it was the last place on earth,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
20,Q9cx1USMgTDE7XS3Sc-pEA,Jill R.,5.0 star rating,"I had the pleasure of dining there yesterday evening. The food was delicious, the atmosphere very nice and subdued and the service  impeccable!! And it was extremely reasonable.Our table had the bow tie pasta with salmon, the veal saltimbocca, and the grilled salmon as our three entrees. Each dish was wonderful.I can't say enough about how charming this restaurant and its staff was.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
21,bvktYv32BbC1PnWLrksY5Q,Alexis M.,4.0 star rating,"I visited the San Marino Restaurant after attending the American Candy Halloween Show at Green Space in Manhattan. Yes, you are probably thinking this review is overdue since I visited there in October and you are correct-lol. However, it is important for me to mention this nice eatery especially since this is an Italian Restaurant and you know how much I love Italian Food-lol. San Marino Restaurant is conveniently located next door to a Sheraton Hotel.There was nice outdoor and Indoor decor. My first observations were the Halloween themed carved pumpkins as well as garland and lights surrounding the entryway into the place. Lovely front patio furniture where one can enjoy eating outside. Gorgeous ambiance inside added to my great dining experience as they have leather furniture, tables arrangements, flowers, artwork, chandeliers, lighting arrangements etc. I sat by their flat screen tv and felt so comfortable.I started my meal with Cranberry/Orange Juice which was mixed well. Deciding to check in on Yelp led me to receive their free Fried Zucchini appetizer.  The Fochaka Bread had olives and parmesan cheese in it and tasted heavenly! Spaghetti Bolognese was the entree I chose which was incredible...Staff Mario and Enzo are delightful! Both of them tended to patrons, brought whatever was needed to the table, answered questions and were professional yet extremely friendly. Mario kept me laughing...his kindness and fabulous customer service are more than enough reason to visit  San Marino Restaurant!Oh and another reason is definitely to try the good Fochaka Bread and Entrees!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
22,A1s1VKtGJnyJJEzuIyBblA,Marie J.,2.0 star rating,"Had dinner her last evening! Was not impressed! Besides the lighting being so bright! The tv so loud!Started with a burrata appetizer which was quite good! They gave us fried zucchini complimentary but it was greasy and tasteless! Entrees a pasta special spinach fettuccine with shrimp was so hot it must have been microwaved and over cooked and tasteless the chicken dish I had with mushrooms and artichokes was not much better the chicken was rubbery and tasteless , anyway needless to say will not be back wait staff were good",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
23,VR6qCr9AIUUsNnGh12KbXQ,Howard T.,5.0 star rating,This is a very good Italian restaurant. The staff is friendly and very accommodating. The food was very good and fairly priced with several complimentary appetizers. The entry from the street is not attractive. You go through the lobby of a Sheraton but everything else is excellent. Enjoy,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
24,FpjEovUUZdWGVE0O7HwJGA,Eric A.,5.0 star rating,"I had an enjoyable experience at San Marino Restaurante. Located right next to the Sheraton hotel near West Houston Street, this Italian spot is a favorite among the locals.They have a nice selection of classic pasta dishes along with meats and seafood entrees. They also have a TV up above, tonight it was tuned onto CNN and I once again watched the living nightmare that is Donald Trump's Presidency. Anyway, lets not ruin my review and return to the great food!I was offered the complimentary bread basket which was fresh and hot right out of the oven. I didn't eat that right away though, I waited until my pasta came out so I could dip it in the wonderful sauce. For my pasta I went with something simple and classic, Spaghetti Carbonara. It was soo rich and decadent, the cream sauce sooo good with fresh egg yolk and cream all emulsifying together. It was also too filling that I couldn't finish it all, so I asked to have it wrapped up so I could take it home.I also had the Baked Clams as an appetizer. Very aromatic and the bread crumbs added a nice crunch.Normally, I would order something classic like Tiramisu or Panna Cotta, but since I was too full from the Carbonara, I knew I couldn't have anything like that tonight. I instead opted for the Vanilla gelato since I knew that would go down easy and wouldn't overtax my intestines LOL.I once again also had a warm, frothy cup of Cappuccino as I always do when I dine somewhere Italian.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
25,eV8U74QLJvDxkzq_dPch8g,Suzy M.,4.0 star rating,We stayed at a hotel above the restaurant and ordered Linguine alle Vongole and Tortellini soup for room service. It was a nice surprise. Food was delicious. Tortellini soup was just like what we had in Bologna.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
26,QmXD8PoMBe5WHX0diF2g0g,Shonnie H.,5.0 star rating,"P H E N O M E N A L!!!!What a gem! I was absolutely blown away by the beautiful presentation, impeccable service, and delightful atmosphere. We went there tonight for a birthday dinner. We have been to Antica, the sister restaurant, which is amazing- and San Marino was likewise nothing short of perfection.We started with some freshly cut prosciutto with deliciously sweet melons and very crisp calamari. That already set the mood for all of us- the drinks were generously poured as well. For my main course, I had the chicken parm. It was finger licking good- the sauce was mmmMmmMmm amaaaaazeeeeng!!!! The birthday boy inhaled his veal- who needs utensils when you can breath in heaven? Everyone devoured their respective dishes within seconds and we were more than satisfied to the brim. To top that off, Sammy, the owner, and Mario, came by to wish the birthday boy happy birthday with a scrumptious piece of chocolate cake which was oozing with strawberry syrup, dressed with a single lit candle. We sang happy birthday and they took pics of all of us. Sammy is a remarkable restauranteur with incredible staff who made our dinner unforgettable. What a memory I want to repeat every night. We will most definitely be back for more. I cannot sing enough praises about this place!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
27,a_Wnksnv5KQAI70mbBoxtA,Sherry D.,3.0 star rating,"This spot is really cool, but it is tucked away by a hotel, which really didn't make the place stand out at all. Down a narrow hallway, you'll find the restaurant. When my friends and I went, it wasn't particularly populated at 7pm on a Friday night, which made the experience of dining there perhaps a little too intimate as it wasn't busy enough.The food was presented with a fun, professional flair, but there was something about the staff that felt a little inexperienced or flustered (things were knocked over). I also felt a little pressured by the folks there to order more. There wasn't anything too amazing about this place that appeals to a second visit.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
28,Y97SCp3B0SEDU8EG4uMaMg,David H.,4.0 star rating,"One of the perks of staying at the Four Points Sheraton is the proximity to this restaurant.  Consistently good with great service.  The chicken parm is a classic, the soups are always good.  The only miss is the mozzarella appetizer, too little for the price.Had to comment on the chicken parm, it was one of the best I ever had. Even the spaghetti underneath was cooked to a perfect al dente.",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
29,QAJiRZf1oJTEsq5gebPRyw,Starla W.,5.0 star rating,This place is a hidden gem. The food and customer service here is amazing. Riddi and Gumo are an amazing team. I'm in town on business and have had dinner here two days not because it was convenient to the hotel but because I wanted to eat here. I planned on having the same dish for dinner but tried something new and was pleasantly surprised.,San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
30,CrJl7b8FJZ80OAPyUYPi8Q,Michelle L.,5.0 star rating,"I was in need of a venue for a Bridal Shower I was setting up for my best friend that was both great for the bride-to-be and our guests as well as affordable for a party 22 people. San Marino came to me from Yelp heaven and I couldn't have been more happy with reserving a bridal shower here. With no minimum required and no extra charge for bringing a dessert, this place was truly perfect for our budget.This restaurant is connected with the Four Points Sheraton hotel.  We were able to reserve a space in its main dining area with a sun window on top and doors all around to allow for a private event. The space was perfect, plenty of space to set up a presents section and even set up a projector for a slide show. The service and management were spectacular. They were so accommodating for all my requests of time, requesting for a projector screen and allowing for an extra person when someone came last minute. We were allowed to decorate the space, giving us 45 minutes before the reservation to set up and the table was already set up communal style  by the staff when we arrived which saved us a lot of time. Service of the food was very timely, we never felt rushed to leave.As for the food, it was spectacular for what we paid for. At $30 a head, we received multiple plates of appetizers served family style as well a main entrée served individually. A prix fix menu was prepped on all our plates upon arrival as well which was greatly appreciated. For appetizers, they offered multiple big plates of antipasti including olives and eggplant chips, delicious crunchy calamari, capresse salad, Caesar salad, and bread. For main entrée, they offered a choice of salmon, chicken and mushroom ravioli. It also came with sides of broccoli and French fries. Everything was large in portion and we were all so thoroughly full by the end of the bridal shower. It really was spectacular service. If an event was ever needed and you wanted to get the most out of your money on a good budget, this is your place. Thank you San Marino for making my job of planning so easy!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
31,t7UDbPHySrz-rhFFu8Uw4g,Stephen S.,5.0 star rating,"Food was unique, excellent, and gave a taste of Italy. The staff was also very hospitable, especially Enzo. He gave great food recommendations and made us feel right at home. Great service!",San Marino Restaurante,4.0 star rating,$$,"Italian,, Desserts,, Salad"
