,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,b922d8e2bXPC3nI_pyOMTg,Jillian B.,5.0 star rating,"Love Satay. This place is excellent for dine-in, take-out, and delivery. Whether you're looking for some legit Malaysian food in NJ or interested in something steamed and healthy, Satay provides.I really enjoy their Hainanese Chicken Rice dish that comes with the tastiest ginger chicken broth flavored rice this side of the Hudson. I also love the roti canai appetizer and prawn mee noodle soup. The desserts are good too! Every time I dine in, I try something new and am yet to be disappointed.When I'm feeling super healthy, I always order one of the steamed meat and vegetable dishes from the menu. I love their steamed chicken with mixed vegetables and ordering a curry or other sauce for occasional dipping. One of these steamed dishes comes with rice noodles, which are also really good. Other restaurants in Hoboken and jersey city deliver steamed chicken and vegetables, but I find that Satay's steamed dishes are the best quality out of the many that I have tried.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
1,rqB87nQzHDqQC1TPGtJXVg,Leon C.,2.0 star rating,"Went here for dinner yesterday. Food was good but service was BAD! After we finished, we get the check. Waitress advised if pay in cash get 10% off. I said Ok we will pay cash. Bill came, it was full charge, No discount. I took the bill with cash to the register. Took the full payment and said nothing. I got my 32 cents changed. No thank you nothing. I stand by the door to get my jacket. The cashier asked the waitress, did they leave the tips? She went by the table and check and she told him yeah they left the tips.  BAD Service. Don't offer for discount with cash when you don't honor it. I should have pay with my credit card to get points. Will not go back here just for that reason. DISAPPOINTED.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
2,Ib4lPGbUvmjoP6P_ny8SMQ,Erica K.,5.0 star rating,"I love this place and have been here countless times! May absolute favorite item on the menu is the curry soup; it is a savory broth with just the perfect amount of heat with some tofu and vegetable. I normally like to order a few appetizers with people and share. Roti Canai and Satay Tofu are two of my favorites. In general, I feel like a lot of the main dishes are quite oily whether it meat, noodle, etc... but that is just the style of cooking I'm pretty sure. The menu is a little too long for my liking, but everything on it is delicious! Most of the time I usually order Ice Kacang for Dessert, and enjoy the first few spoonfuls, but then it starts melting rather quickly and the flavors just get..... weird. I love that they started serving bubble tea and smoothies. The staff here is great, and they offer 10% discount if you pay in cash.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
3,60xT8IJErBIOe1q8dGfIJw,Christina D.,2.0 star rating,"Got the Chicken Pad Thai and Seafood Tom Yum soup...I guess Malaysian and Thai food share some similar dishes?Anyways, the seafood soup broth had fabulous flavor; perfect combination of sour, savory and heat.  Unfortunately, the actual ingredients of the seafood soup left little to be desired.  The shrimps were ok, your average frozen shrimp you expect from most places, but they also put in really bad artificial crab meat (and I'm talking bad, tastes like chalk kind of bad cause you know those fake crab meats also come in different versions from bad to decent), ridiculously chewy squid pieces and a piece of scallop.  That's right, you read it correctly, a PIECE of a scallop...not a whole one, not a whole small one, but it looks like somebody either ate it and rejected 1/4 of their scallop and it ended up in my soup or the scallop had been cooking in the soup broth all day long and disintegrated into a small fraction of it's former self...either way, it's a lose lose for me.The chicken pad thai was fine.  Again, seasoning and flavoring were SPOT ON!  But the quality of ingredients were really poor.  The noodles were breaking apart, there was no chew or bite to it.  The chicken was poor quality/not very fresh as the meat was soft/mushy and fell apart...and not in a good way.Maybe it was because it was the end of the night and I got their left overs from the day?  Who knows, but what I do know is I got the short end of the straw.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
4,zTYUt-fWQUXDVada-2MGdA,Craig G.,4.0 star rating,"One wouldn't expect to find real deal Malaysian food on a busy stretch of Washington Street in downtown Hoboken. One would be missing out if they passed Satay by.I haven't gone in for a meal, but they do a brisk delivery (half an hour is pretty damn speedy for most places, but getting across to my neck of downtown JC from Hoboken on a Sunday evening that quick is mighty impressive) and the food meets all expectations.I ordered a seafood tom yum soup and beef rendang with coconut rice. That soup was pungent, sour, spicy, salty, and a little sweet (everything a good tom yum should be) with a small bit of baby corn, a scallop or two, a couple of small shrimp, and a strip of surimi. The rendang was on-point: meltingly tender beef in a spicy curry over fragrant coconut rice. Texture alone made it the best rendang I've had in a while.They offer some standard looking Chinese fare (noodles, stir fries), but I'll be sticking with the Malaysian side",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
5,3EhuKfGwBxtTuJlsL9tOoQ,Sukanya R.,4.0 star rating,"I love this place. Great food and service. Mango sticky rice is a must have. Also, it is vegetarian friendly.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
6,W8gPSfYsstwBYEpM-_fWjA,Yinglu W.,3.0 star rating,Just so so ......i dont like my coconut rice as it's so sticky... And the chicken hainannes is kinda tasteless...a place for quick dinner...,Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
7,gxENC_UdtelREs0DEsrmrg,Michael N.,5.0 star rating,"Before I start... I suppose it is worth noting that as of this review, the restaurant provides a flat 5% discount if you pay cash.Located on the same block as the world famous Carlos Bakery on Washington Street, you'll find one of Hoboken's best Asian restaurants. I would have to say that the service is exceptionally quick and professional. All of the staff knows the menu inside and out, and they are very helpful with recommendations.I've been coming here periodically over the last year and a half. I would classify it as very tasty Asian cuisine in a casual atmosphere that is good for groups between 2-4 people. When the weather starts to get colder, we flock here for the soups! The Ayam Curry is always a favorite and is constantly ordered whenever I come here with friends.The Chicken Pad Thai is spicier than at other restaurants, making it that much more delicious for me. Another good dish is Nasi Nenas, which they tend to advertise frequently, as it comes inside a carved out pineapple!",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
8,ldbtrkfHFfgVIYq72liN6A,Arvinder Kaur S.,4.0 star rating,"Roti Canai with the Chicken Potato curry was amazing. Loved the coconut flavor.Tried Roti Telur with the Chicken curry too but that didn't taste great as the Canai.Chicken Satay was fine. Malaysian noodles with shrimp were tasty. Overall, I did like the food here.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
9,tZMNBuoEGtT5EJJw100biA,Kevin N.,5.0 star rating,"Loved their food. Our first experience is amazing, would definitely go again. The atmosphere is beautiful and very welcoming. The customer services are extraordinary. They cleaned our table and make sure we fished our appetizers first before bringing the next dish. Very organized and authentic feel and taste.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
10,7Y0GcR7DAoxlyFrcSZ0rPg,Raxa P.,2.0 star rating,"We went to the restaurant around 9:15pm, they told us they closed at 1030pm. We figured we jad enough time to enjoy the food, food was great and delicious. However, everyone in the restaurant rushed us on everything as we were finishing any items we ordered they would takeq our plates without asking us if we were  done or not. We finished our dinner around 955 and there were about 6 people surrounding our table( i guess to rush us out and clean so they can go home,i felt so  In secure). I would NEVER go back here  just because how they treated there customer.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
11,n1VVImGwGPUhpfQ1k57QRQ,Gabriel E.,5.0 star rating,Favorite delivery spot in Hoboken! Always good on a lazy evening and food has so much personality at this place. Prices are not bad at all. Never disappointing!!!,Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
12,aZ3V2wGvLSNHzojF-SGYyg,Afshan A.,5.0 star rating,"I've been experienced both dine-in and delivery, and I have never been disappointed by the food. I can't speak to the authenticity but in terms of taste the food was flavorful and delicious.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
13,3L5-jh0CIHplgBxyndgS2g,Arti G.,5.0 star rating,"Have been wanting to try for a while! So glad we decided to walk in today. It's my bday and I love to try new things on it! Roti Canai was probably the best I ever had! We got Curry Soft Shell Crab with ginger rice! This was delicious.. the ginger gave the rice just a little flavor! We also had the Cantonese noodles! Must say this was a perfect dish. Thin rice noodles with chicken, spring onions, shrimp and bean sprouts. A must try.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
14,sqqr-zCQtdZB0q4hAFgr3Q,Shawn B.,5.0 star rating,Phenomenal food. Reminded me of my mom's home cooked Indian food. You will love it. And get the fresh coconut water...most refreshed you will feel all day.,Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
15,hj9NOt0sDoEWaRMX8EDj1w,Steve N.,4.0 star rating,"As we were walking down Washington Street, we spotted a few restaurants, but Satay Malaysian Cuisine got our attention. I love Malaysian food, so this was a no-brainer. We got lucky and were able to get seated right away. In fact, we only saw few employees sitting back, taking their time off from serving and preparing vegetables for the dinner crowd. This restaurant isn't too fancy or upscale, but was clean inside. The menu looked enticing and prices were very reasonable. One of the items I absolutely have to order is the Roti Canai. It's a popular and authentic Malaysian pancake like dish served with curry. People have this as an appetizer, but for me it's like a main course. I could order three of these and just be satisfied with that. We also ordered other things like shrimp and vegetables and All I have to say is that the food was delicious and the service was satisfactory. We enjoyed every bit of it and kept nothing left over on the plate. If you're craving Malaysian food and are in the Hoboken area, I would definitely recommend coming here.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
16,0iRASj0cU-MPkQvHRWjXSQ,Danielle V.,5.0 star rating,"GO HERE FOR LUNCH!!! For $7.50 you get choice of a lunch entree, choice of rice (get the coconut) and choice of soup (get the curry). Did i say ALL FOR $7.50?!??..... and SO good.**try the soft shell crab** (its not on the menu but they have it)",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
17,9D0WPo1E2LKIZO_t8L-EOQ,Loraine F.,5.0 star rating,"Best Malaysian resto I've tried! The service is exceptional, our waiter was very patient explaining everything on the menu since it was our 1st time, and recommending their best dishes!!! The food is delish, price is reasonable, and this is a good place to go when you're hungry and need simple good food! Check this place out! :)",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
18,QPXyMvNg-si9dpb_wgtaJA,Mikky M.,4.0 star rating,"Food and service were great !!!!Especially ginger fried rice they nailed it Loved the spice and the way they carry their flavors in their meal And had a great selection on appetizers,and drinks",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
19,cpcmFG3oRO07aj46prdgMw,Mel I.,3.0 star rating,"First time trying Satay by delivery. The mee goreng is good, not easy to get in Manhattan and the portion was generous.Don't get the Hainanese chicken rice lunch special! It's mostly rice with a pile of bones. I've had much better in Malaysian places in Chinatown.Will try the other dishes, but maybe I'll read the reviews first.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
20,b922d8e2bXPC3nI_pyOMTg,Jillian B.,5.0 star rating,"Love Satay. This place is excellent for dine-in, take-out, and delivery. Whether you're looking for some legit Malaysian food in NJ or interested in something steamed and healthy, Satay provides.I really enjoy their Hainanese Chicken Rice dish that comes with the tastiest ginger chicken broth flavored rice this side of the Hudson. I also love the roti canai appetizer and prawn mee noodle soup. The desserts are good too! Every time I dine in, I try something new and am yet to be disappointed.When I'm feeling super healthy, I always order one of the steamed meat and vegetable dishes from the menu. I love their steamed chicken with mixed vegetables and ordering a curry or other sauce for occasional dipping. One of these steamed dishes comes with rice noodles, which are also really good. Other restaurants in Hoboken and jersey city deliver steamed chicken and vegetables, but I find that Satay's steamed dishes are the best quality out of the many that I have tried.",Satay Malaysian Cuisine,3.5 star rating,$$,"Malaysian,, Chinese,, Asian, Fusion"
