,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,cURUWWhMlqqKTIywyeyF4A,Hilton K.,4.0 star rating,"Great place.  Services often a little slow and or confused, but what ever --- it's not supposed to be 5 star dining.  The food is good.But . . .  Very important.  They no longer serve the shredded hash-brown potatoes for breakfast.  Very.Very.Disappointed.",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
1,zrSjTENEL9wE2t5nzWJT8Q,Michelle H.,2.0 star rating,"Ordered breakfast to be delivered this morning . Got a tofu scramble and French toast. French toast was just that .. TOAST. A thin crunchy piece of sweet toast , not at all made the traditional way . Oh and they forgot the syrup, YUM! The tofu scramble was not SCRAMBLED . Chunks of tofu drenched in salty soy sauce vegetables ! The worker even commented that other people complain about this all the day .... SO why not change it !?Both were not edible . Only reason I'm not giving them 1 star is because people that work there were nice on the phone and refunded the 2 items .",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
2,ZAj-SDiLyhlxLw3iV6vo3Q,Jazmine B.,4.0 star rating,"Casual and cute vibes as soon as you walk in, with very friendly and attentive staff in paper hats and aprons, complete with milkshake counter, candy selection, and glass cabinet showboating their doughnuts and cakes. If that doesn't paint a picture: my boyfriend, who is usually quite emotionless, felt COMPELLED to ask for cola in a glass bottle, just to fit the ambience.Boyfriend and I both succumbed to fish and chips. We decided the chips/fries stole the show. Our shakes were good but nothing memorable- perhaps the only factor being the mint in his shake tasted more genuine than usual. We also tried one of those ice cream floats with the soda- can't really go wrong with one of those.We came late, and the crew decided to let us take a box of doughnuts for free, basically. Their reasoning was that the place were closing soon, so if we didn't take the doughnuts, they'd be tossed in the trash... 'Well, if you insist.'Still generally pricey for a college kid's standards.",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
3,LcWOq7p7Mhtv9hIlDrhy9A,Mel T.,3.0 star rating,"Stopped in for breakfast one Friday morning at around 10 and the place was surprisingly packed. I had the breakfast special for $8 (?). This includes two eggs your style, breakfast meat (choice of sausage, ham, bacon, or Taylor ham), white or wheat toast, shredded potatoes, and a coffee. It's a little bit greasy but it's expected - it's not exactly like it's a healthy breakfast. Overall, it wasn't bad and you get a good amount of food for that price. I wouldn't mind coming back to try some of their sandwiches for lunch.",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
4,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"Passed by this place during the Hoboken Arts & Music Festival and saw the donut station that they set up right outside. My husband and I decided to give this place a try. Unlike the normal diner style restaurants, upon entering this place I noticed the chocolate display on the left side. There was a lot of flavors and I received a free one after checking in on Yelp.We ordered the roasted vegetables wrap with home made chips, the tuna melt with home made chips, Dulce de Leche donut, and Boston creme donut. Everything turned out very good especially the chips and donuts. Chips were crispy and light. Donuts weren't too sweet and moist. I would definitely go back for more.",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
5,HxSw2rvtW75K1E2Kc-_aNg,Lauren K.,3.0 star rating,This place is always mobbed but I haven't quite figured out why. Service is inconsistent and the food often takes a long time to come out. It's just a standard diner fare at city prices.,Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
6,UHi8Y73uTZQ2tAKLJcKqxw,Jenny Z.,4.0 star rating,"Adorable place! MM and I came here on a random sat afternoon for a very late brunch. We sat the bar, true their avocado toast and grilled veggie wrap. Both were great,  especially the veggie wrap! Perfectly grilled vegetables wrapped in warm spinach pita! Yummm... the servers were also very attentive and we can't wait to try more next time!",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
7,yKGaw3kHYtO5k6ejm6I8Ww,Katherine S.,4.0 star rating,Great spot. I love the outdoor seating. Waiters and waitresses are so friendly. Great spot for a low key and delicious breakfast/brunch. I have been here on multiple occasions and was very please after both. Check out the photos I added! Good vibes all around.,Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
8,scIwKUtbbSyAMUZqgid3Gw,Kim M.,5.0 star rating,Chocolate chip pancakes are to die for. Union rings rock. Save room for a homemade donut. We love everything about this place from the ambiance to the service. All excellent. Highly recommend!!!,Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
9,ornb1UYCzFd2u9Y_ldGvPA,Nicole R.,3.0 star rating,"If you're looking for a cute and local lunch spot and craving a burger I'd give this place a shot. Skip Johnny Rockets and head further uptown where you're transported back into the 1950s. I went for lunch with my niece and she had a blast. The menu offers different types of burgers, sandwiches, and shakes. Prices are reasonable and not overpriced and each meal comes with either fries or chips. Our waitress was very friendly. Our order was messed up but the entire crew worked quickly to get it taken care of. We both ordered American cheeseburgers. It comes with the traditional toppings and with your choice of cheese. My burger was cooked just how I liked it and found it to be very good. They also offer homemade donuts and chocolates where you can grab a few on your way out. My tiny lunch date requested a chocolate Oreo and she said it was very good. I'd like to come back and maybe try a different sandwich just to really get the feel of the menu before updating my review. Cool spot for lunch and you should go check it out!",Schnackenberg’s Luncheonette,3.5 star rating,$,"Breakfast, &, Brunch,, Donuts,, Diners"
