,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,9LnIKV-AsaxU7kMMMGZ6iQ,Wendrich J. M.,5.0 star rating,"I always thought Serafina was an overrated restaurant in NYC. I passed by its multiple locations ALL the time and I never wanted to eat there (even though I love for Italian food). I felt it was kind of a tourist trap or something like that. I feel bad now, I recently visited the one in 12th St and my experience was better than what I expected. The service was amazing, the atmosphere was really positive and the food was great.Firstly, we got there without any reservations or anything and we got seated right away. For my surprise, it was on the second floor and it was even better than downstairs. The mood was peaceful and romantic. Amazing artwork all over the place from the vintage mirrored ceiling to the walls. The prices are really good, not expensive at all. The menu is not so extensive, but overall okay. I would definitely will continue exploring their different locations. Never judge a book by its cover, they said.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
1,TcVd32LPEMO4Iiv9OH2djw,N M.,1.0 star rating,"I had dinner two weeks ago at the Times site and had an awesome experience. And I so decided to give this one a try... BIG MISTAKE!! The only positive in this venue was the hostess. She was pleasant and inviting. Our waitress either didn't want to work or had an issue we us as patrons (maybe the color of our skin?) Either way, she was very rude and inattentive. Literally, she could care less! She even approached our table to take away our plates, didn't bother to ask if we were finished; and my friend was still eating!! We had to keep asking for items and service. My food came with vegetables: the threw two huge pieces of broccoli and that was it! And THE FOOD WAS LUKEWARM!!!!Do yourself a favor, stay away from this overpriced, pretentious location. Stick to Serafina Midtown.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
2,hvf3ko4xry4F23Kh8TNkVA,Gloria Z.,3.0 star rating,"I was very surprised to learn this is a chain. Thankfully it did not have that feel to it though now that I think back, there was something kind of regimented in the look of the plates....This was our stumbled-upon dinner spot on our very untraditional Thanksgiving Day!Food was overall good...the carpaccio with mustard sauce drizzle was a standout as was the butternut squash soup which really hit the spot on a chilly day after walking around for a while including up on the Highline.  The melting dollop of goat cheese plus slivered almonds added superb pops of flavor and texture.  Unfortunately the soup was a special only that day and I don't think they have any soup on their standard menu. Steak and fries was below expectations. It was unevenly cooked, the requested medium rare only on one end and the other half overdone. The fries and accompanying grilled vegetables were so bland.Service was not good either.  Too many different people showing up at the table but it still took three requests to get salt and ketchup for those sad fries. (Even the brown mushroom gravy which was so flavorful on the meat, could not rescue them.) And no one came around to refill the obviously empty water glass. We had to wave for that.The atmosphere was fun at the bar level on the main floor. It's a three story establishment.It was ok, but I doubt we'd return except maybe for a drink.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
3,Kec4KvOWPhyaNMpO3S7mmg,Bindi P.,3.0 star rating,"A spacious and homey Italian restaurant with ok food. I came here for a family dinner and we were seated upstairs. We were there for an early dinner at 530 on a Thursday and pretty much had the whole place to ourselves.  It did get more packed after 630.I was drawn to this place because of their numerous truffle options. I'm a big truffle fiend! I ended up ordering truffle risotto and penne alla vodka. The risotto looked amazing when it first came out, but was incredibly salty. I took a couple bites and couldn't finish it.  I had some cousins try it as well and they agreed. I hate returning items, but this was inedible. The waiter was really nice and immediately talked to the chef to rectify this.  The second risotto was much better. It was still on the salty side, but nowhere near the first one. I probably won't order that dish again.  The penne alla vodka was fantastic.  I really enjoyed that.  For dessert we got the chocolate mousse and tiramisu. The mousse was thicker than I would've liked, but still decadent. Tiramisu was good. Service was really good.  Our waiter was attentive and prompt with our requests. It is unfortunate the truffle risotto didn't live up to my expectations, but the other dishes I had were good.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
4,jKWpPR7gXrYiwToGF5sI4Q,Rachel R.,4.0 star rating,"I came here with a group of six a couple weeks ago. We ordered the crostini with mozzarella and prosciutto for an appetizer and I order the gnocchi bolognese for my meal. All of the food was delicious. The gnocchi were very light and soft and the sauce was flavorful. Service in general was good. However, when we got our food, five of the six of us all got our food at once, and the one of us who didn't get their food at that time ordered just penne with arrabiatta sauce (which shouldn't take that long to cook). The waiter didn't acknowledge this and made no comment like ""you're food will be out soon."" Eventually her food came out but we were all basically finished eating. It was just a little strange that the waiter didn't say anything about it. Obviously something happened with the dish (either he forgot to place the order or it got dropped) and the waiter not acknowledging it coming out later makes me think they didn't want to take responsibility for it. This wouldn't stop me from coming back but mostly pointing it out so the issue can be fixed for the future.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
5,gnF1tnjSn8wNUXl9QKnbAQ,Christopher S.,4.0 star rating,"I don't know where all the terrible reviews are coming from - I have always had a quality meal whenever at Serafina! I found the service to be great and the food consistently good. The restaurant is right in the thick of things in Manhattan's Meatpacking District, with multiple floors and an amazing patio.While the apps and pasta are good, I urge everyone to give the burger a try - it is one of my favourites and I highly recommend to change things up. While slightly overpriced, look where you are. I'll be returning.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
6,ao-GEUTbPhlbzVqn2XHDgQ,Lauren W.,2.0 star rating,"I've heard about this restaurant for years so I was excited that my friend picked it to go to dinner. We had a reservation and were seated immediately. THe ambiance was very dark and romantic. Our server was very attentive and food came out quick. The food was basic. Nothing spectacular. I have def cooked better pasta. I ordered the black truffle ravioli. I love anything truffle so i was excited to see it on the menu. The truffle was overpowering. I get it, truffle is a strong taste but i grew a headache after eating 3 of them. My headache was so strong that I had to take an advil to balance it out. The food is overpriced and drinks are more expensive.I wont be returning. I would have enjoyed a better meal in the hood.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
7,hzP-KApZgDYbJwARhp9QtA,Filipe G.,3.0 star rating,"Food: expected more - pasta was not al dente, too hard instead.Server: the one who took orders at the upper floor.. too rushy and not really attentive. The other who served water was a nice polite guy.Will I come back? Nope!Check out my other reviews for better spots :)",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
8,sx9ssHP22o5tsXbwfjtVFQ,Bonnie O.,5.0 star rating,"Service - 5 starsPizza crust - 5 starsBolognese ala tagliatelle - 5 starsYUMThis is my first review in a long, long time. I'm either tipsy, satiated or both. Serafina has reawakened my zest to Yelp!Our server was great. Not too familiar. Not too hopeful. She gave us the space needed to make our choice but with enough friendliness to make us feel welcomed. We started with the burrata with prosciutto di Parma. Scrumptious delicate layers of saltiness rolled amidst creamy milky cheese. Yum. Next was the VIP Margherita pizza. With olives please. Oh but they have pits. Yes please. Crust was New York chewy, crispy deliciousness. Oh my. Yum. Again. We followed with a course of Tagliatelle Bolgnese. Al dente. Well pshaw. Is there any other way?! Very. Good. Yum. Again. And again. Wish we had room for the Focaccia Alla Nutella. It looked incredibly sexy watching the Italian couple eating it. But alas. This couple can only livethrough  the couples sighs of bliss. Our tummies are way too filled.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
9,IBINB26QEAHsxiePETuQYA,Miss T.,1.0 star rating,"Food was not great, but that's not the reason for the 1 star. The blonde hostess was kind to people of a certain demographic but rude and snarky with us and I saw her yell at a black customer ""your table isn't ready yet!"" And grab his shoulder because he was heading for the bar for a glass of water--idk if she thought he was going upstairs but he was so clearly headed for the bar. Everyone with me saw and we were shocked at her behavior.",Serafina Meatpacking,3.0 star rating,$$,"Italian,, Pizza"
