,user_id,user_name,user_rating,user_text,restaurant_name,restaurant_rating,restaurant_price,restaurant_type
0,Gnj3X_Zs99KS0AIVeYQVGA,Jerry L.,5.0 star rating,"My favorite juice spot in town, the staff is friendly and very knowledgeable about every product and if you would like to improvise on one of the juices they would do it, my favorite drink is probably the hot beverage the kung flu fighter ($7) which consists of cayenne,  lemon/lime, ginger, apple cider vinegar, habanero pepper, raw honey, horseradish, orange and tumeric, onion and a dash of oil from oregano, this has prevented me from getting really sick and is one of my favorite elixirs. Everything is  organic and a lot of options for folks who are vegan, I sometimes also get their E3 live (blue algae shot (a ton of vitamins & only place in town that serves it), also enjoy their wheatgrass shot single or double $3.50/$6, and they also have the reboot immunity shot ($4) booster which consists of ginger, lemon/lime, oil of oregano & cayenne extract which is cold drink. The owner is amazing and so is there staff, shout out to the owner Sung, Jake, Ron Hussle aka Omentah aka slowfi, Rachel (PT Student), Bree & Teague! See you all soon. And if you're in Fort Lee they opened another spot. There is parking for bikes and vehicles but no bathroom. They do deliver and also you can order in advance and will cater.",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
1,Ox6NXoHS5rFQ3FA_-oKdaQ,Christina B.,4.0 star rating,Ingredients all taste real and fresh. I'm not vegan but I come here for the smoothies as I can't find real smoothies anywhere else in the area! You can make your own or choose from a preselected list. I personally like the ones with berries in them and make a few minor substitutes. Most of the juices are made earlier in the day and put into the fridges which I don't prefer though I had a fresh one when they first opened and it was pretty good.,Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
2,zB8TS8sr8zLQ7hSu78Gkjw,Wei V.,4.0 star rating,"I was happy to find raw vegan cakes not too far from my house. My husband got the acai paradise pie as a treat! It was very smooth and tasted very good! I wish they went easy with brazil nuts, which tasted a little bitter.",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
3,aW6ScZKCyAmcemd9bCAmgA,Anna V.,5.0 star rating,"Amazing, amazing, amazing. The owner of the store himself delivered my order to Jersey City on a snow day when the delivery guys hid away from the snow. I can't thank them enough for the great healthy food they make and their service. All the best to you guys!",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
4,zMilz6OlDmRAxiReuMGgBg,Gina R.,5.0 star rating,"Hands down best premium smoothie/juice place in Hoboken. And Jersey City for that matter.Let's start with the smoothies.  The ingredients are premium and include fresh young Thai coconut water (and frozen coconut meat!), raw honey, fresh mint, Brazil nut butter, hemp milk, black mission figs and, of course, kale.  You can order one of the 10 on the menu or create your own.  I recommend the Bubblegum - it's very lightly sweetened with honey only (you can customize the level). It is unbelievably good, strawberry, pineapple, pomegranate, coconut water, plus acai and goji berries.  You can't go wrong and will love anything you order.Next up: juices.  So all the juices are made in house.  One case is 100% organic.  There are about 20 varieties of green juices.   Orange juice.  Simple pure carrot juice, pineapple, even pear!  Chia seed drinks.  Spoiler alert: charcoal lemonade.  Aloe water.  There's ginger and wheatgrass shots.  And my favorite - creama de coco.  This baby is blended coconut meat and water, creating a smooth creamy masterpiece.  It's a vacation to the tropics in a bottle.Another case is dedicated to raw and vegan food.  Find veggie burgers, raw-o-licious (gf raw oats, coconut, dates), chia pudding, burritos, raw tarts, some salads like the Cuban ceviche.  All of it is thoughtfully crafted and very fresh.Pricing - ranges from $5-10.  Offering a cleanse package for $58 with 7 juices.  It's a really good deal!There's steady food traffic here.  There's something for everyone, even kids.  It's easy to understand why - the owner and his staff are super friendly and knowledgeable.  There's some samples on hand and they are happy to help you find exactly what kind of juice you are craving.  Happy smoothie-ing!",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
5,XUB4HCdKUS7QrqAtYvYC3g,Greg R.,5.0 star rating,Best juice and smoothies in town. Also very good vegan sandwiches. Highly recommended,Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
6,WUhSkcmpwe-KFsXCQZ8n6g,H H.,3.0 star rating,"This place is just ok.  I've been there a few times over the past 1-2 years-this review reflects those visits.Pro's: it's not too expensive (vs other places I've tried it's basically on par), they offer fresh and ready to go (pre bottled), they have healthy snacks, and give out samples!Con's:  the ingredients they write on the cooler doors are pretty hard to read (ask the person at the counter).  Also, it's really nothing special-just run of the mill.  Worth it only if it's close-I wouldn't go out of your way for this...",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
7,FEDVVcxHq4FosS6Fh-KTvw,Tao J.,5.0 star rating,"Normally I only post negative yelp reviews because I don't like my favorite restaurants to get all pricey and packed BUT I do make rare exceptions when they are truly deserved. I wish I could give Simply Juiced 6 stars. I was a vegan for almost 20 years, I have travelled all over the west coast and used to live in San Francisco so I know a thing or two about vegan restaurants. Trust me when I say that Simply Juiced is the best of the best. Every single item I tried was flawless. Creative, delicious, nourishing, prepared with love and simply incredible. It made me wish I had two stomachs. Often vegan food falls into the trap of assuming that just because of the veganism it is automatically healthy. This is not true at all. Eat too much processed fake meat and fake cheese and you will ruin your biome. Simply Juiced does not fall into this trap. Another trap is assuming that food that is healthy is automatically delicious. This is not true at all. Fresh organic ingredients are essential, but they must also be prepared with creativity and flavor or it's just a bunch of ingredients in a pile. Simply Juiced does not fall into this trap either. Simply Juiced is absolutely incredible. I will be ordering from them every week I am in town. They are such a cut above the competition that it's not even fair to place them in the same category. Simply Juiced deserves a Michelin Star, and not even some upcycled local vegan version of a Michelin Star, in talking about the real deal here. Simply Juiced takes big fat healthy well digested probiotic sh*ts all over the competition and then starts its day kicking *ss and taking names. Eat here and tip well.Much respect, more of everything please!Dylan(But don't go get a big ego and price me out of the game now)",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
8,Ralo7wlSbCF5IM3Z46y8PA,Yeraldine S.,4.0 star rating,"After my session, my trainer & I were discussing places in Hoboken that offer healthy drinks. We threw a few names around and why they weren't consistent and that's when Simply Juiced came up.. so I had to check it out for myself. The place is super clean, it has a few tables to sit in, and a grab & go option (juices, salads, & snacks). I was greeted by the nice lady behind the counter, who asked if it was my first time. Based on what I told her I was looking for, she recommended the Green Dream($11): Banana, kale, Brazil nut butter, vanilla extract, dates, rice protein, and almond milk!  It sounds like a lot but the mix was perfect. A great post-workout drink ..I just wish it was bigger for the price tag. I was impressed with the varieties available. The staff is so helpful so don't hesitate to ask questions. There were plenty samples that I was offered to try. They also have a reward system based on how many drinks you purchase, all you do is input your cell #. . Looks like I'll be heading to #SimplyJuiced after my workout!",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
9,hr5IJ4mxQIMOEonyPo6hjg,Shruti K.,4.0 star rating,"I ordered from the food menu - mac and no cheese and the pad Thai noodles. The food was fresh and healthy. However, I was very surprised about the quantity. Very expensive for the amount you get. I would go back to try the juices.",Simply Juiced,4.5 star rating,$$,"Vegan,, Juice, Bars, &, Smoothies,, Live/Raw, Food"
